parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
UNIPROT:Q2YIM2,"['Haloacid dehalogenase/epoxide hydrolase:Haloacid dehalogenase-like hydrolase:HAD-superfamily hydrolase, subfamily IA, variant (UniProt:Q2YIM2)']",['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YIP5,['Anthranilate synthase component I and chorismate binding protein (UniProt:Q2YIP5)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YIP7,['Homospermidine synthase (UniProt:Q2YIP7)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YJF9,['Flagellar hook protein FlgE (UniProt:Q2YJF9)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YJV5,['Short-chain dehydrogenase/reductase SDR:Glucose/ribitol dehydrogenase (UniProt:Q2YJV5)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YJZ4,['Ribonucleoside-diphosphate reductase subunit beta (UniProt:Q2YJZ4)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YKA8,['Glyoxalase/Bleomycin resistance protein/dioxygenase domain (UniProt:Q2YKA8)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],"['Homo sapiens (human)', 'Mus musculus HLA-B44 Tg']"
UNIPROT:Q2YKY7,"['Glutamine synthetase, catalytic domain (UniProt:Q2YKY7)']","['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']",['Homo sapiens (human)']
UNIPROT:Q2YLD5,['Thiolase (UniProt:Q2YLD5)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YLS2,['2-oxoglutarate dehydrogenase E1 component (UniProt:Q2YLS2)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YM71,['Peptidase M15A C-terminal domain-containing protein (UniProt:Q2YM71)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YM77,['Single-stranded-DNA-specific exonuclease RecJ (UniProt:Q2YM77)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YMD1,"[""Pyridoxine/pyridoxamine 5'-phosphate oxidase (UniProt:Q2YMD1)""]","['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']","['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q2YMR9,['ATP/GTP-binding site motif A (P-loop) (UniProt:Q2YMR9)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YMU8,['TPR repeat (UniProt:Q2YMU8)'],"['Brucella abortus 2308', 'Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']",['Homo sapiens (human)']
UNIPROT:Q2YMW4,['AMP nucleosidase (UniProt:Q2YMW4)'],"['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus bv. 1 str. 9-941 (Brucella abortus biovar 1 str. 9-941)']",['Homo sapiens (human)']
UNIPROT:Q2YMX6,['Probable periplasmic serine endoprotease DegP-like (UniProt:Q2YMX6)'],"['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']","['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q2YNP2,['Biotin carboxyl carrier protein of acetyl-CoA carboxylase (UniProt:Q2YNP2)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YNV9,"['Binding-protein-dependent transport systems inner membrane component:NADH-plastoquinone oxidoreductase, chain 5 (UniProt:Q2YNV9)']",['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YP32,['dITP/XTP pyrophosphatase (UniProt:Q2YP32)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YPK4,"['Gliadin, alpha/beta:ATP-binding region, ATPase-like:Bacterial sensor protein, C-terminal:Histidine kinase (UniProt:Q2YPK4)']","['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']",['Homo sapiens (human)']
UNIPROT:Q2YPN1,"['Transglycosylase, putative (UniProt:Q2YPN1)']",['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YPX5,['UvrABC system protein A (UniProt:Q2YPX5)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YPY2,['DNA gyrase subunit A (UniProt:Q2YPY2)'],"['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']","['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q2YQ56,['Glutamate--tRNA ligase 1 (UniProt:Q2YQ56)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YQK2,['Cobyric acid synthase (UniProt:Q2YQK2)'],"['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']","['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q2YQT7,['Phosphate-specific transport system accessory protein PhoU (UniProt:Q2YQT7)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YR27,['Aldehyde dehydrogenase (UniProt:Q2YR27)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YRK6,"['Glutamyl-tRNA synthetase, class Ic:Aminoacyl-tRNA synthetase, class I (UniProt:Q2YRK6)']",['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YRN0,['ABC transporter (UniProt:Q2YRN0)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YRN2,['Carbamoyl phosphate synthase large chain (UniProt:Q2YRN2)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YRQ2,['Outer membrane protein assembly factor BamA (UniProt:Q2YRQ2)'],"['Brucella abortus 2308', 'Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']",['Homo sapiens (human)']
UNIPROT:Q2YRV6,['Uncharacterized protein (UniProt:Q2YRV6)'],['Brucella abortus (Brucella melitensis bv. Abortus)'],['Homo sapiens (human)']
UNIPROT:Q2YRW1,"['Carboxyl transferase family:Acetyl-CoA carboxylase carboxyl transferase, beta subunit (UniProt:Q2YRW1)']","['Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']","['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q2YS08,['Polynucleotide adenylyltransferase (UniProt:Q2YS08)'],"['Brucella abortus 2308', 'Brucella abortus (Brucella melitensis bv. Abortus)', 'Brucella abortus S19 (Brucella abortus str. S19)']",['Homo sapiens (human)']
UNIPROT:Q8YAX1,['Probable udp-n-acetyl-d-mannosaminuronic acid transferase (UniProt:Q8YAX1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YAZ0,['Glutamyl-tRNA reductase (UniProt:Q8YAZ0)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YB52,['Uncharacterized protein (UniProt:Q8YB52)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YB53,['Chaperonin GroEL (UniProt:Q8YB53)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YB55,['Had superfamily protein involved in n-acetyl-glucosamine catabolism (UniProt:Q8YB55)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:Q8YB85,['histidine kinase (UniProt:Q8YB85)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YBI3,['Uncharacterized protein (UniProt:Q8YBI3)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YBK7,['Uncharacterized protein (UniProt:Q8YBK7)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YBP8,['Glycosyl transferase (UniProt:Q8YBP8)'],"['Brucella melitensis', 'Brucella melitensis bv. 1 str. 16M']",['Homo sapiens (human)']
UNIPROT:Q8YC14,"['Transcriptional regulator, arac family (UniProt:Q8YC14)']",['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YC41,['Putative binding protein BMEII0691 (UniProt:Q8YC41)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YC44,['Transcription-repair-coupling factor (UniProt:Q8YC44)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YC78,['diguanylate cyclase (UniProt:Q8YC78)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YCH1,['Rhodocoxin reductase (UniProt:Q8YCH1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YCJ6,['Hypothetical membrane associated protein (UniProt:Q8YCJ6)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YCK9,['Iron-regulated protein frpc (UniProt:Q8YCK9)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YCN1,['enoyl-CoA hydratase (UniProt:Q8YCN1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YD21,['Galactonate dehydratase (UniProt:Q8YD21)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YD23,['Sugar transporter (UniProt:Q8YD23)'],"['Brucella melitensis', 'Brucella melitensis bv. 1 str. 16M']",['Homo sapiens (human)']
UNIPROT:Q8YD50,['Phosphoglycolate phosphatase (UniProt:Q8YD50)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YD64,['Gluconate 2-dehydrogenase (UniProt:Q8YD64)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:Q8YDF1,['6-oxohexanoate dehydrogenase (UniProt:Q8YDF1)'],"['Brucella melitensis', 'Brucella melitensis bv. 1 str. 16M']",['Homo sapiens (human)']
UNIPROT:Q8YDH0,['Putative peptide import ATP-binding protein BMEII0206 (UniProt:Q8YDH0)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YDJ3,['Uncharacterized protein (UniProt:Q8YDJ3)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YDK2,['Uncharacterized protein (UniProt:Q8YDK2)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YDK9,['Flagellar biosynthesis protein FlhA (UniProt:Q8YDK9)'],"['Brucella melitensis', 'Brucella melitensis bv. 1 str. 16M']",['Homo sapiens (human)']
UNIPROT:Q8YDL6,['Flagellar hook protein FlgE (UniProt:Q8YDL6)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:Q8YDV1,['Pentapeptide MXKDX repeat protein (UniProt:Q8YDV1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YDX0,['Uncharacterized protein (UniProt:Q8YDX0)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YDY4,['Glutamate synthase [nadph] large chain (UniProt:Q8YDY4)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YDZ3,['Type IV secretion system protein virB5 (UniProt:Q8YDZ3)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YE03,['Homospermidine synthase (UniProt:Q8YE03)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YE05,['Para-aminobenzoate synthase component i (UniProt:Q8YE05)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YE08,['Hypothetical membrane associated protein (UniProt:Q8YE08)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YE93,['Phosphate-specific transport system accessory protein PhoU (UniProt:Q8YE93)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YE98,['DNA protection during starvation protein (UniProt:Q8YE98)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YEF7,['Acetoacetyl-CoA synthetase (UniProt:Q8YEF7)'],"['Brucella melitensis', 'Brucella melitensis bv. 1 str. 16M']",['Homo sapiens (human)']
UNIPROT:Q8YEG7,['Membrane-bound lytic murein transglycosylase b (UniProt:Q8YEG7)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YEH8,['Cytochrome o ubiquinol oxidase subunit i (UniProt:Q8YEH8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YEI8,['Transporter (UniProt:Q8YEI8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YEQ8,['Acetyltransferase (UniProt:Q8YEQ8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YFD9,['Sensory transduction protein kinase (UniProt:Q8YFD9)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YFK3,"[""Pyridoxine/pyridoxamine 5'-phosphate oxidase (UniProt:Q8YFK3)""]",['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YFL8,['Alkaline phosphatase like protein (UniProt:Q8YFL8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YFY0,['Betaine aldehyde dehydrogenase (UniProt:Q8YFY0)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YFY2,['Oxygen-dependent choline dehydrogenase (UniProt:Q8YFY2)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:Q8YFZ2,['Atpase (UniProt:Q8YFZ2)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:Q8YG21,['Phage host specificity protein (UniProt:Q8YG21)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YG32,['Probable periplasmic serine endoprotease DegP-like (UniProt:Q8YG32)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YG65,['GTP pyrophosphokinase rsh (UniProt:Q8YG65)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YGB6,['Formate dehydrogenase alpha chain (UniProt:Q8YGB6)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:Q8YGH4,['K(+)-insensitive pyrophosphate-energized proton pump (UniProt:Q8YGH4)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YGR2,['Succinoglycan biosynthesis protein exoi (UniProt:Q8YGR2)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YGS6,['Serine--tRNA ligase (UniProt:Q8YGS6)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YGS9,['Lipoprotein nlpd (UniProt:Q8YGS9)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YGU7,['Outer membrane protein (UniProt:Q8YGU7)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YGX2,['Uncharacterized protein (UniProt:Q8YGX2)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YH31,['DUF2059 domain-containing protein (UniProt:Q8YH31)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YH36,['Glutamate--tRNA ligase 2 (UniProt:Q8YH36)'],['Brucella melitensis bv. 1 str. Rev.1'],['Homo sapiens (human)']
UNIPROT:Q8YH42,['Membrane lipoprotein lipid attachment site containing protein (UniProt:Q8YH42)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YH57,['histidine kinase (UniProt:Q8YH57)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YH80,['Xaa-pro dipeptidase (UniProt:Q8YH80)'],"['Brucella melitensis', 'Brucella melitensis bv. 1 str. 16M']",['Homo sapiens (human)']
UNIPROT:Q8YHB8,['DNA gyrase subunit A (UniProt:Q8YHB8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHE5,['Acetyltransferase component of pyruvate dehydrogenase complex (UniProt:Q8YHE5)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHE6,['Pyruvate dehydrogenase E1 component subunit beta (UniProt:Q8YHE6)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHH0,['Outer membrane protein assembly factor BamA (UniProt:Q8YHH0)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHI8,['Membrane protein (UniProt:Q8YHI8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHJ3,['DUF883 domain-containing protein (UniProt:Q8YHJ3)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHJ7,['Propionyl-CoA carboxylase beta chain (UniProt:Q8YHJ7)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHL1,['Outer membrane protein (UniProt:Q8YHL1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHR8,['Single-stranded-DNA-specific exonuclease RecJ (UniProt:Q8YHR8)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHS4,['Peptidase M15A C-terminal domain-containing protein (UniProt:Q8YHS4)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YHV6,['Cobyric acid synthase (UniProt:Q8YHV6)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YI58,['Outer membrane protein assembly factor BamD (UniProt:Q8YI58)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YI78,['Uncharacterized protein (UniProt:Q8YI78)'],['Brucella melitensis bv. 1 str. 16M'],['Homo sapiens (human)']
UNIPROT:Q8YIC4,['Abc transporter ATP-binding protein (UniProt:Q8YIC4)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YIE1,['Acyl-CoA hydrolase (UniProt:Q8YIE1)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YIN3,"['Transcriptional regulator, merr family (UniProt:Q8YIN3)']",['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YIR2,['Glutamyl-tRNA synthetase (UniProt:Q8YIR2)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YIS5,['DUF883 domain-containing protein (UniProt:Q8YIS5)'],['Brucella melitensis'],['Homo sapiens (human)']
UNIPROT:Q8YIW5,['Chemotaxis motb protein (UniProt:Q8YIW5)'],['Brucella melitensis'],['Homo sapiens (human)']
