,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_146|Q1JKN7|S-ribosylhomocysteine|WP_021299075.1|tpos:1-160,Cytoplasmic,0.0001,0.0133,0.9855,0.0011,0.0000,0.0000
53,antigen_82|Q48SZ3|D-alanine--D-alanyl|WP_011528711.1|tpos:1-512,Cytoplasmic,0.0002,0.0054,0.9901,0.0043,0.0000,0.0000
54,antigen_120|Q5X9I4|UPF0473|WP_002982199.1|tpos:1-101,Cytoplasmic,0.0000,0.0014,0.9977,0.0008,0.0000,0.0000
55,antigen_121|Q1JGR7|Probable|WP_011054506.1|tpos:1-294,Cytoplasmic,0.0002,0.0009,0.9983,0.0006,0.0000,0.0000
56,antigen_122|Q8P0H4|Uncharacterized|WP_021299180.1|tpos:1-450,Cytoplasmic,0.0004,0.0009,0.9986,0.0002,0.0000,0.0000
57,antigen_85|P0DB23|Glycerol-3-phosphate|WP_002986123.1|tpos:1-338,Cytoplasmic,0.0002,0.0333,0.9634,0.0031,0.0000,0.0000
58,antigen_86|Q5X9I0|Protein|WP_002992179.1|tpos:1-378,Cytoplasmic,0.0001,0.0592,0.9312,0.0095,0.0000,0.0000
59,antigen_87|Q8NZ20|Aspartate--tRNA|WP_021299104.1|tpos:1-582,Cytoplasmic,0.0000,0.0004,0.9996,0.0000,0.0000,0.0000
60,antigen_151|P0DB58|dITP/XTP|WP_011284524.1|tpos:1-328,Cytoplasmic,0.0003,0.0362,0.8637,0.0998,0.0000,0.0000
61,antigen_152|A2RGJ5|D-aminoacyl-tRNA|WP_010922691.1|tpos:1-147,Cytoplasmic,0.0008,0.2244,0.5914,0.1833,0.0000,0.0000
62,antigen_153|Q48RY7|Gamma-glutamyl|WP_021299082.1|tpos:1-416,Cytoplasmic,0.0003,0.0018,0.9975,0.0005,0.0000,0.0000
63,antigen_113|P60452|Large|WP_002986659.1|tpos:1-208,Extracellular,0.0000,0.7971,0.2029,0.0000,0.0000,0.0000
64,antigen_114|P0DC28|Protein-ADP-ribose|WP_011528672.1|tpos:1-270,Cytoplasmic,0.0012,0.2088,0.7061,0.0839,0.0000,0.0000
65,antigen_144|P0DE27|Large|WP_002986636.1|tpos:1-101,Cytoplasmic,0.0000,0.2710,0.7290,0.0001,0.0000,0.0000
66,antigen_145|Q48U40|CCA-adding|WP_011528507.1|tpos:1-402,Cytoplasmic,0.0004,0.0003,0.9903,0.0090,0.0000,0.0000
67,antigen_156|Q5XDS5|Serine/threonine|WP_002985964.1|tpos:1-404,Cytoplasmic Membrane,0.0000,0.0009,0.0000,0.9991,0.0000,0.0000
68,antigen_157|P67575|Asparagine--tRNA|WP_011528431.1|tpos:1-448,Cytoplasmic,0.0000,0.0036,0.9964,0.0000,0.0000,0.0000
69,antigen_123|A2RCV8|Aspartyl/glutamyl-tRNA(Asn/Gln)|WP_011528910.1|tpos:1-479,Cytoplasmic,0.0000,0.0087,0.9912,0.0001,0.0000,0.0000
70,antigen_124|Q1JK54|Xaa-Pro|WP_011528953.1|tpos:1-760,Cytoplasmic,0.0106,0.4122,0.5640,0.0132,0.0000,0.0000
71,antigen_117|Q99Y13|Galactose-6-phosphate|WP_011529003.1|tpos:1-171,Cytoplasmic,0.0000,0.0141,0.9857,0.0001,0.0000,0.0000
72,antigen_93|P0DC38|Peptide|WP_002985759.1|tpos:1-169,Cytoplasmic,0.0001,0.0255,0.9736,0.0008,0.0000,0.0000
73,antigen_94|Q5XCB7|tRNA|WP_011528598.1|tpos:1-458,Cytoplasmic,0.0002,0.0015,0.9965,0.0018,0.0000,0.0000
74,antigen_161|Q1J4K0|Ribosomal|WP_021299281.1|tpos:1-317,Cytoplasmic,0.0003,0.0013,0.9981,0.0004,0.0000,0.0000
75,antigen_162|Q8P0G7|UDP-N-acetylglucosamine|WP_011528739.1|tpos:1-419,Cytoplasmic,0.0007,0.0028,0.9922,0.0043,0.0000,0.0000
76,antigen_61|P0C0I6|Exotoxin|WP_011529047.1|tpos:112-231,Extracellular,0.0004,0.8815,0.1136,0.0045,0.0000,0.0000
77,antigen_4|Q1J492|Holliday|WP_002992186.1|tpos:1-198,Cytoplasmic,0.0002,0.0009,0.9720,0.0269,0.0000,0.0000
78,antigen_10|Q48S05|Holliday|WP_002983622.1|tpos:1-202,Cytoplasmic,0.0006,0.0240,0.9481,0.0273,0.0000,0.0000
79,antigen_11|P0DG21|tRNA|WP_002990222.1|tpos:1-239,Cytoplasmic,0.0000,0.0013,0.9985,0.0002,0.0000,0.0000
80,antigen_24|Q7CMS1|Galactose-6-phosphate|WP_011529004.1|tpos:1-142,Cytoplasmic,0.0000,0.0364,0.9635,0.0001,0.0000,0.0000
81,antigen_25|B5XMM1|Probable|WP_002983569.1|tpos:1-214,Cytoplasmic,0.0001,0.0086,0.9899,0.0013,0.0000,0.0000
82,antigen_191|Q8P1D1|Thymidylate|WP_011017679.1|tpos:1-279,Cytoplasmic,0.0001,0.0468,0.9494,0.0038,0.0000,0.0000
83,antigen_192|P0DE64|Small|WP_001118387.1|tpos:1-127,Cytoplasmic,0.0005,0.0338,0.9547,0.0110,0.0000,0.0000
84,antigen_193|Q1JN21|GTPase|WP_003047080.1|tpos:1-298,Cytoplasmic,0.0000,0.0070,0.9855,0.0075,0.0000,0.0000
85,antigen_106|Q5XCB9|Putative|WP_011528596.1|tpos:1-200,Cytoplasmic,0.0010,0.0552,0.9158,0.0281,0.0000,0.0000
86,antigen_107|Q1JP12|Large|WP_002986651.1|tpos:1-114,Extracellular,0.0002,0.8853,0.1131,0.0014,0.0000,0.0000
87,antigen_3|Q1J6I6|Probable|WP_011054506.1|tpos:1-294,Cytoplasmic,0.0002,0.0009,0.9983,0.0006,0.0000,0.0000
88,antigen_46|Q48V07|Protein|WP_011528310.1|tpos:1-139,Cytoplasmic,0.0010,0.1526,0.8382,0.0081,0.0000,0.0000
89,antigen_47|B5XK66|Peptide|WP_002985759.1|tpos:1-169,Cytoplasmic,0.0001,0.0255,0.9736,0.0008,0.0000,0.0000
90,antigen_70|B5XM46|S-adenosylmethionine:tRNA|WP_011528763.1|tpos:1-342,Cytoplasmic,0.0000,0.0030,0.9968,0.0002,0.0000,0.0000
91,antigen_19|B5XKU0|Large|WP_002985149.1|tpos:1-119,Extracellular,0.0000,0.9979,0.0020,0.0001,0.0000,0.0000
92,antigen_20|Q1JDW9|V-type|WP_002986419.1|tpos:1-471,Cytoplasmic Membrane,0.0006,0.1312,0.3519,0.5163,0.0000,0.0000
93,antigen_21|Q9A0I1|Phenylalanine--tRNA|WP_011528461.1|tpos:1-347,Cytoplasmic,0.0000,0.0012,0.9988,0.0000,0.0000,0.0000
94,antigen_30|Q1JJZ6|Galactose-6-phosphate|WP_011529003.1|tpos:1-171,Cytoplasmic,0.0000,0.0141,0.9857,0.0001,0.0000,0.0000
95,antigen_31|P0DC23|Elongation|WP_010922253.1|tpos:1-610,Cytoplasmic,0.0004,0.0794,0.6535,0.2668,0.0000,0.0000
96,antigen_184|P0DE91|Small|WP_000529929.1|tpos:1-217,Extracellular,0.0011,0.6574,0.3280,0.0135,0.0000,0.0000
97,antigen_91|Q1JLY8|Elongation|WP_010922253.1|tpos:1-610,Cytoplasmic,0.0004,0.0794,0.6535,0.2668,0.0000,0.0000
98,antigen_154|Q5XD18|Putative|WP_011017561.1|tpos:1-325,Cytoplasmic,0.0001,0.0175,0.9766,0.0057,0.0000,0.0000
99,antigen_155|Q5X9K2|Formimidoylglutamase|WP_002982269.1|tpos:1-328,Cytoplasmic,0.0003,0.0354,0.9513,0.0130,0.0000,0.0000
100,antigen_75|Q1J7A2|Large|WP_002985116.1|tpos:1-104,Extracellular,0.0000,0.6284,0.3716,0.0000,0.0000,0.0000
101,antigen_76|Q1JHP3|DNA|WP_011528457.1|tpos:1-652,Cytoplasmic,0.0001,0.0012,0.9983,0.0004,0.0000,0.0000
102,antigen_12|Q1JFM4|UPF0398|WP_011285056.1|tpos:1-171,Cytoplasmic,0.0010,0.0025,0.9726,0.0239,0.0000,0.0000
103,antigen_13|B5XKP9|ATP|WP_002985238.1|tpos:1-502,Cytoplasmic,0.0013,0.1909,0.4512,0.3566,0.0000,0.0000
104,antigen_129|A2RCI0|Small|WP_002986049.1|tpos:1-137,Cytoplasmic,0.0008,0.1595,0.8063,0.0335,0.0000,0.0000
105,antigen_130|P66852|Single-stranded|WP_002983122.1|tpos:1-163,Cytoplasmic,0.0000,0.1574,0.8370,0.0055,0.0000,0.0000
106,antigen_131|Q1JDK8|Small|WP_002986049.1|tpos:1-125,Cytoplasmic,0.0013,0.1633,0.8083,0.0271,0.0000,0.0000
107,antigen_168|Q1JHF5|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,Cytoplasmic,0.0002,0.0176,0.8740,0.1082,0.0000,0.0000
108,antigen_169|A2RF47|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,Cytoplasmic,0.0002,0.0176,0.8740,0.1082,0.0000,0.0000
109,antigen_148|Q1J7G2|ATP|WP_011528459.1|tpos:1-178,Cytoplasmic,0.0147,0.0233,0.6171,0.3449,0.0000,0.0000
110,antigen_149|P0DA05|ATP|WP_011017611.1|tpos:1-468,Cytoplasmic,0.0008,0.1327,0.4491,0.4174,0.0000,0.0000
111,antigen_150|Q99Y58|Xaa-Pro|WP_011528953.1|tpos:1-760,Cytoplasmic,0.0106,0.4122,0.5640,0.0132,0.0000,0.0000
112,antigen_140|Q1J6G8|UPF0122|WP_002989745.1|tpos:1-110,Cytoplasmic,0.0000,0.0301,0.9621,0.0078,0.0000,0.0000
113,antigen_141|Q5XEK9|DNA|WP_002986719.1|tpos:1-251,Cytoplasmic,0.0001,0.0089,0.9243,0.0666,0.0000,0.0000
114,antigen_142|Q1JD58|Ribosome-recycling|WP_002985763.1|tpos:1-185,Cytoplasmic,0.0000,0.0057,0.9938,0.0005,0.0000,0.0000
115,antigen_143|P0DG78|Putative|WP_011017561.1|tpos:1-325,Cytoplasmic,0.0001,0.0175,0.9766,0.0057,0.0000,0.0000
116,antigen_174|Q5XCK7|Orotate|WP_002984920.1|tpos:1-209,Cytoplasmic,0.0001,0.0181,0.9792,0.0026,0.0000,0.0000
117,antigen_175|P0DB81|Isopentenyl-diphosphate|WP_010922169.1|tpos:1-329,Cytoplasmic,0.0001,0.0041,0.9870,0.0089,0.0000,0.0000
118,antigen_176|P0DG49|Methionine--tRNA|WP_011528307.1|tpos:2-666,Cytoplasmic,0.0000,0.0011,0.9989,0.0000,0.0000,0.0000
119,antigen_158|Q8NZY8|NH(3)-dependent|WP_021299057.1|tpos:1-274,Cytoplasmic,0.0004,0.0016,0.9977,0.0003,0.0000,0.0000
120,antigen_102|A2RFS6|HPr|WP_002990580.1|tpos:1-310,Cytoplasmic,0.0001,0.0188,0.9664,0.0147,0.0000,0.0000
121,antigen_172|Q48VD6|Putative|WP_011528225.1|tpos:1-234,Cytoplasmic,0.0001,0.0049,0.9923,0.0026,0.0000,0.0000
122,antigen_173|P0C0H6|Inosine-5'-monophosphate|WP_011529148.1|tpos:1-493,Cytoplasmic,0.0004,0.2067,0.7814,0.0114,0.0000,0.0000
123,antigen_125|P0DG83|Nucleoid-associated|WP_010922643.1|tpos:1-99,Cytoplasmic,0.0000,0.0094,0.9895,0.0010,0.0000,0.0000
124,antigen_126|P0DB00|Beta-ketoacyl-[acyl-carrier-protein]|WP_011528907.1|tpos:1-324,Cytoplasmic,0.0002,0.0071,0.9864,0.0063,0.0000,0.0000
125,antigen_127|A2RG72|ATP-dependent|WP_002985850.1|tpos:1-196,Cytoplasmic,0.0004,0.0506,0.6273,0.3217,0.0000,0.0000
126,antigen_128|B5XJ57|Adenylate|WP_011054106.1|tpos:1-212,Cytoplasmic,0.0000,0.0031,0.9969,0.0000,0.0000,0.0000
127,antigen_40|Q48VU3|Small|WP_000529929.1|tpos:1-217,Extracellular,0.0011,0.6574,0.3280,0.0135,0.0000,0.0000
128,antigen_41|A2REG0|Ribonuclease|WP_011017771.1|tpos:1-263,Cytoplasmic,0.0022,0.0047,0.9928,0.0003,0.0000,0.0000
129,antigen_2|Q1J6Q6|Spermidine/putrescine|WP_002989863.1|tpos:1-384,Cytoplasmic Membrane,0.0002,0.0141,0.3262,0.6595,0.0000,0.0000
130,antigen_6|P0DA16|Glycerol|WP_011528882.1|tpos:1-508,Cytoplasmic,0.0016,0.0232,0.9672,0.0081,0.0000,0.0000
131,antigen_60|Q48QT6|DNA|WP_011529121.1|tpos:1-851,Cytoplasmic,0.0018,0.0072,0.9695,0.0215,0.0000,0.0000
132,antigen_35|Q1J6M7|GMP|WP_002989808.1|tpos:1-327,Cytoplasmic,0.0005,0.0944,0.8614,0.0437,0.0000,0.0000
133,antigen_27|Q48UD2|ATP|WP_002985233.1|tpos:1-138,Cytoplasmic,0.0002,0.0570,0.7621,0.1807,0.0000,0.0000
134,antigen_28|P65783|NAD|WP_002993124.1|tpos:1-278,Cytoplasmic,0.0000,0.1088,0.8773,0.0138,0.0000,0.0000
135,antigen_29|Q1JJ89|DNA|WP_002986719.1|tpos:1-251,Cytoplasmic,0.0001,0.0089,0.9243,0.0666,0.0000,0.0000
136,antigen_196|Q1JKD4|Heat-inducible|WP_002983310.1|tpos:1-344,Cytoplasmic,0.0007,0.0268,0.9109,0.0615,0.0000,0.0000
137,antigen_170|Q48UD0|UDP-N-acetylglucosamine|WP_002990414.1|tpos:1-423,Cytoplasmic,0.0002,0.0017,0.9955,0.0026,0.0000,0.0000
138,antigen_171|P0DF23|Ribonuclease|WP_009881223.1|tpos:1-309,Cytoplasmic,0.0001,0.0196,0.9786,0.0016,0.0000,0.0000
139,antigen_72|P0DC10|Galactose-6-phosphate|WP_011529003.1|tpos:1-171,Cytoplasmic,0.0000,0.0141,0.9857,0.0001,0.0000,0.0000
140,antigen_73|Q48V70|Protease|WP_002985953.1|tpos:1-298,Cytoplasmic Membrane,0.0000,0.0021,0.0002,0.9977,0.0000,0.0000
141,antigen_56|Q99YG1|Translation|WP_011528896.1|tpos:1-953,Cytoplasmic,0.0001,0.0093,0.9904,0.0002,0.0000,0.0000
142,antigen_189|B5XK72|Endoribonuclease|WP_002985748.1|tpos:1-165,Cytoplasmic,0.0000,0.0001,0.9998,0.0000,0.0000,0.0000
143,antigen_190|P64065|GTPase|WP_011528270.1|tpos:1-436,Cytoplasmic,0.0000,0.0053,0.9843,0.0104,0.0000,0.0000
144,antigen_42|Q9A1F2|Probable|WP_002991091.1|tpos:1-210,Cytoplasmic,0.0000,0.0002,0.9997,0.0001,0.0000,0.0000
145,antigen_43|A2RD32|Probable|WP_002983569.1|tpos:1-214,Cytoplasmic,0.0001,0.0086,0.9899,0.0013,0.0000,0.0000
146,antigen_182|Q1J708|tRNA|WP_011528534.1|tpos:1-299,Cytoplasmic,0.0002,0.0004,0.9989,0.0005,0.0000,0.0000
147,antigen_183|P0DG17|Uncharacterized|WP_011528848.1|tpos:1-451,Cytoplasmic,0.0017,0.0054,0.9918,0.0012,0.0000,0.0000
148,antigen_45|Q8NZZ1|UPF0398|WP_011285056.1|tpos:1-171,Cytoplasmic,0.0010,0.0025,0.9726,0.0239,0.0000,0.0000
149,antigen_51|P67255|UPF0122|WP_002989745.1|tpos:1-110,Cytoplasmic,0.0000,0.0301,0.9621,0.0078,0.0000,0.0000
150,antigen_52|Q1JJ57|Large|WP_002986651.1|tpos:1-114,Extracellular,0.0002,0.8853,0.1131,0.0014,0.0000,0.0000
151,antigen_53|Q99ZU3|UvrABC|WP_002984829.1|tpos:1-598,Cytoplasmic,0.0020,0.0126,0.9732,0.0122,0.0000,0.0000
152,antigen_7|B5XKQ2|ATP|WP_002985233.1|tpos:1-138,Cytoplasmic,0.0002,0.0570,0.7621,0.1807,0.0000,0.0000
153,antigen_163|P0DC12|Tagatose-6-phosphate|WP_011529002.1|tpos:1-309,Cytoplasmic,0.0003,0.0013,0.9966,0.0017,0.0000,0.0000
154,antigen_164|P60420|UPF0298|WP_002990928.1|tpos:1-91,Cytoplasmic,0.0006,0.0290,0.7930,0.1774,0.0000,0.0000
155,antigen_165|Q1JKA0|Alanine|WP_011528929.1|tpos:1-366,Cytoplasmic,0.0003,0.0080,0.9903,0.0014,0.0000,0.0000
156,antigen_115|Q1JE69|Holliday|WP_002986679.1|tpos:1-332,Cytoplasmic,0.0000,0.0026,0.9933,0.0041,0.0000,0.0000
157,antigen_116|Q8P0Y8|Tyrosine|WP_002984598.1|tpos:1-356,Cytoplasmic,0.0009,0.0055,0.9859,0.0077,0.0000,0.0000
158,antigen_49|Q1J777|tRNA|WP_002990222.1|tpos:1-239,Cytoplasmic,0.0000,0.0013,0.9985,0.0002,0.0000,0.0000
159,antigen_50|Q48TU0|Elongation|WP_010922253.1|tpos:1-610,Cytoplasmic,0.0004,0.0794,0.6535,0.2668,0.0000,0.0000
160,antigen_32|B5XLM6|Citrate|WP_011284806.1|tpos:1-102,Cytoplasmic,0.0003,0.0263,0.9692,0.0041,0.0000,0.0000
161,antigen_33|P65522|Putative|WP_011528225.1|tpos:1-234,Cytoplasmic,0.0001,0.0049,0.9923,0.0026,0.0000,0.0000
162,antigen_34|P66322|Large|WP_002991410.1|tpos:1-150,Cytoplasmic,0.0003,0.0617,0.9375,0.0005,0.0000,0.0000
163,antigen_185|Q5XAY0|Arginine|WP_002983792.1|tpos:1-157,Cytoplasmic,0.0002,0.0094,0.9840,0.0063,0.0000,0.0000
164,antigen_186|Q48VX9|DNA|WP_002986719.1|tpos:1-251,Cytoplasmic,0.0001,0.0089,0.9243,0.0666,0.0000,0.0000
165,antigen_17|Q8P0X5|Formate--tetrahydrofolate|WP_011528670.1|tpos:1-556,Cytoplasmic,0.0001,0.1825,0.8069,0.0105,0.0000,0.0000
166,antigen_48|Q1JFK0|Probable|WP_002983569.1|tpos:1-214,Cytoplasmic,0.0001,0.0086,0.9899,0.0013,0.0000,0.0000
167,antigen_44|Q1J776|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,Cytoplasmic,0.0002,0.0176,0.8740,0.1082,0.0000,0.0000
168,antigen_95|Q5XAZ0|Phosphopantetheine|WP_002983821.1|tpos:1-163,Cytoplasmic,0.0001,0.0090,0.9892,0.0017,0.0000,0.0000
169,antigen_96|P0DE90|Small|WP_000529929.1|tpos:1-217,Extracellular,0.0011,0.6574,0.3280,0.0135,0.0000,0.0000
170,antigen_97|A2RF70|Large|WP_002985116.1|tpos:1-104,Extracellular,0.0000,0.6284,0.3716,0.0000,0.0000,0.0000
171,antigen_98|Q5X9J1|UPF0246|WP_011529093.1|tpos:1-243,Cytoplasmic,0.0000,0.0021,0.9964,0.0014,0.0000,0.0000
172,antigen_77|P0DD80|Ribosome-binding|WP_012560889.1|tpos:1-115,Cytoplasmic,0.0001,0.0031,0.9965,0.0003,0.0000,0.0000
173,antigen_26|P69948|Elongation|WP_002986045.1|tpos:1-692,Cytoplasmic,0.0000,0.0039,0.9960,0.0002,0.0000,0.0000
174,antigen_68|Q5XC82|NAD|WP_002993124.1|tpos:1-278,Cytoplasmic,0.0000,0.1088,0.8773,0.0138,0.0000,0.0000
175,antigen_69|P63548|Adenine|WP_002990109.1|tpos:1-172,Cytoplasmic,0.0000,0.0154,0.9841,0.0005,0.0000,0.0000
176,antigen_22|Q8P1C8|Probable|WP_011184414.1|tpos:1-199,Cytoplasmic,0.0000,0.0228,0.9740,0.0032,0.0000,0.0000
