,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_4|B0BAL3|UDP-N-acetylmuramoylalanine--D-glutamate|CAX11217.1|tpos:1-416,Cytoplasmic,0.0001,0.0009,0.9974,0.0007,0.0009,0.0000
52,antigen_34|O84530|Large|CAX10982.1|tpos:1-284,Outer Membrane,0.0000,0.0000,0.0684,0.0000,0.9315,0.0000
53,antigen_16|B0B7R5|Ribonuclease|CAX10798.1|tpos:1-304,Cytoplasmic,0.0000,0.0001,0.9971,0.0013,0.0014,0.0000
54,antigen_17|O84077|DNA|CAX10521.1|tpos:1-365,Cytoplasmic,0.0001,0.0023,0.9457,0.0471,0.0047,0.0000
55,antigen_50|B0B880|Large|CAX10963.1|tpos:1-141,Outer Membrane,0.0005,0.0012,0.0600,0.0314,0.9050,0.0020
56,antigen_194|B0BAB7|Glutamyl-tRNA|CAX11121.1|tpos:1-335,Cytoplasmic,0.0002,0.0093,0.9674,0.0095,0.0135,0.0001
57,antigen_195|Q3KMS5|Ribosome-binding|CAX10542.1|tpos:1-123,Cytoplasmic,0.0001,0.0004,0.9906,0.0011,0.0077,0.0001
58,antigen_196|O84508|Nucleoside|CAX10957.1|tpos:1-141,Cytoplasmic,0.0002,0.0120,0.9766,0.0016,0.0094,0.0003
59,antigen_51|O84192|DNA|CAX10637.1|tpos:1-836,Cytoplasmic,0.0004,0.0017,0.9370,0.0046,0.0559,0.0003
60,antigen_115|B0BC28|Proline--tRNA|CAX10846.1|tpos:1-581,Cytoplasmic,0.0000,0.0001,0.9998,0.0000,0.0000,0.0000
61,antigen_111|O84796|UvrABC|CAX11250.1|tpos:1-579,Cytoplasmic,0.0008,0.0022,0.9919,0.0032,0.0018,0.0001
62,antigen_120|B0B8Y7|UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)|CAX11220.1|tpos:1-352,Cytoplasmic,0.0007,0.0013,0.5174,0.4086,0.0708,0.0013
63,antigen_121|P0DJI2|Large|CAX10898.1|tpos:7-553,Outer Membrane,0.0137,0.0290,0.0332,0.0458,0.7865,0.0917
64,antigen_39|P38002|ATP-dependent|CAX10886.1|tpos:1-192,Cytoplasmic,0.0003,0.0132,0.8553,0.0956,0.0264,0.0091
65,antigen_54|B0B899|Large|CAX10982.1|tpos:1-284,Outer Membrane,0.0000,0.0000,0.0684,0.0000,0.9315,0.0000
66,antigen_55|B0BCG3|Small|CAX10981.1|tpos:1-88,Cytoplasmic,0.0001,0.0162,0.9247,0.0195,0.0380,0.0014
67,antigen_56|Q3KLG6|Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine|CAX10988.1|tpos:1-280,Cytoplasmic,0.0000,0.0000,0.9949,0.0001,0.0049,0.0001
68,antigen_85|O84589|Tryptophan--tRNA|CAX11042.1|tpos:1-346,Cytoplasmic,0.0000,0.0000,0.9993,0.0000,0.0006,0.0000
69,antigen_86|O84672|Uncharacterized|CAX11124.1|tpos:1-83,Cytoplasmic,0.0005,0.0948,0.7439,0.0289,0.1296,0.0023
70,antigen_149|Q3KM44|Large|CAX10767.1|tpos:1-232,Outer Membrane,0.0005,0.0044,0.2566,0.0055,0.7281,0.0049
71,antigen_150|Q3KM39|Translation|CAX10772.1|tpos:1-73,Cytoplasmic,0.0000,0.0018,0.9573,0.0031,0.0125,0.0253
72,antigen_151|O84098|Translation|CAX10543.1|tpos:1-892,Cytoplasmic,0.0019,0.0009,0.9418,0.0074,0.0471,0.0009
73,antigen_167|B0BA28|DNA|CAX11032.1|tpos:1-576,Cytoplasmic,0.0005,0.0083,0.8920,0.0910,0.0078,0.0004
74,antigen_168|Q06280|Histone-like|CAX10493.1|tpos:3-194,Outer Membrane,0.0481,0.3896,0.0134,0.0008,0.4471,0.1009
75,antigen_171|O84834|Ribonucleoside-diphosphate|CAX11289.1|tpos:1-1047,Cytoplasmic,0.0027,0.0605,0.5551,0.0287,0.3509,0.0021
76,antigen_59|Q3KM43|Large|CAX10768.1|tpos:1-141,Outer Membrane,0.0000,0.0004,0.3874,0.0002,0.6113,0.0007
77,antigen_60|B0B9K4|Translation|CAX10543.1|tpos:1-892,Cytoplasmic,0.0019,0.0009,0.9418,0.0074,0.0471,0.0009
78,antigen_47|B0B964|Large|CAX11297.1|tpos:1-123,Outer Membrane,0.0000,0.0001,0.0759,0.0009,0.8939,0.0292
79,antigen_48|B0BB18|Methionine--tRNA|CAX10478.1|tpos:1-550,Cytoplasmic,0.0000,0.0001,0.9988,0.0000,0.0010,0.0001
80,antigen_8|B0B8I2|Uracil-DNA|CAX11065.1|tpos:1-229,Cytoplasmic,0.0001,0.0025,0.9953,0.0013,0.0005,0.0004
81,antigen_9|B0BAI4|Serine--tRNA|CAX11188.1|tpos:1-428,Cytoplasmic,0.0000,0.0000,0.9998,0.0000,0.0001,0.0001
82,antigen_71|Q3KN19|Glutamyl-tRNA(Gln)|CAX10449.1|tpos:1-491,Cytoplasmic,0.0018,0.0196,0.8589,0.0286,0.0260,0.0652
83,antigen_72|O84005|Glutamyl-tRNA(Gln)|CAX10448.1|tpos:1-100,Cytoplasmic,0.0000,0.0005,0.9940,0.0007,0.0045,0.0003
84,antigen_142|O84222|Flavin|CAX10668.1|tpos:1-192,Cytoplasmic,0.0003,0.0062,0.9888,0.0017,0.0026,0.0004
85,antigen_143|O84179|Probable|CAX10624.1|tpos:1-135,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9966,0.0029,0.0000
86,antigen_144|Q3KKK3|Phenylalanine--tRNA|CAX11298.1|tpos:1-342,Cytoplasmic,0.0000,0.0000,0.9938,0.0001,0.0060,0.0000
87,antigen_13|B0BC41|Transcriptional|CAX10859.1|tpos:1-154,Cytoplasmic,0.0007,0.0030,0.9333,0.0091,0.0533,0.0006
88,antigen_14|P0CE08|DNA-directed|CAX10964.1|tpos:1-377,Cytoplasmic,0.0002,0.0018,0.6127,0.0030,0.3817,0.0007
89,antigen_189|B0B874|Nucleoside|CAX10957.1|tpos:1-141,Cytoplasmic,0.0002,0.0120,0.9766,0.0016,0.0094,0.0003
90,antigen_190|B0B971|Polyribonucleotide|CAX11304.1|tpos:1-695,Cytoplasmic,0.0002,0.0006,0.9615,0.0023,0.0351,0.0003
91,antigen_28|B0B999|Deubiquitinase|CAX11331.1|tpos:1-339,Extracellular,0.0003,0.8288,0.0001,0.1156,0.0551,0.0001
92,antigen_73|B0B950|Succinate--CoA|CAX11283.1|tpos:1-386,Cytoplasmic,0.0016,0.0099,0.9540,0.0264,0.0070,0.0010
93,antigen_74|O84127|Large|CAX10572.1|tpos:1-150,Outer Membrane,0.0000,0.0000,0.1367,0.0001,0.8631,0.0001
94,antigen_178|O84413|Lipoprotein|CAX10861.1|tpos:1-167,Cytoplasmic Membrane,0.0001,0.0436,0.0016,0.9496,0.0050,0.0000
95,antigen_101|Q3KKR1|Lysine--tRNA|CAX11240.1|tpos:1-526,Cytoplasmic,0.0000,0.0002,0.9906,0.0003,0.0088,0.0001
96,antigen_42|O84404|Uncharacterized|CAX10852.1|tpos:1-328,Cytoplasmic,0.0000,0.0009,0.9808,0.0027,0.0138,0.0018
97,antigen_43|Q3KLN6|2-C-methyl-D-erythritol|CAX10918.1|tpos:1-219,Cytoplasmic,0.0002,0.0042,0.9823,0.0092,0.0030,0.0011
98,antigen_61|P0CE22|Glycine--tRNA|CAX11256.1|tpos:1-1003,Cytoplasmic,0.0000,0.0008,0.9988,0.0002,0.0001,0.0000
99,antigen_21|B0B918|DNA|CAX11251.1|tpos:1-820,Cytoplasmic,0.0002,0.0060,0.9897,0.0028,0.0010,0.0002
100,antigen_6|B0BAQ6|Peptidyl-tRNA|CAX11260.1|tpos:1-179,Cytoplasmic,0.0000,0.0004,0.9984,0.0001,0.0009,0.0002
101,antigen_7|Q3KM75|tRNA-specific|CAX10736.1|tpos:1-358,Cytoplasmic,0.0002,0.0007,0.9753,0.0039,0.0154,0.0044
102,antigen_3|B0B8U0|Glycerol-3-phosphate|CAX11173.1|tpos:1-334,Cytoplasmic,0.0001,0.0012,0.9867,0.0087,0.0024,0.0008
103,antigen_18|Q3KMF3|Leucine--tRNA|CAX10657.1|tpos:1-819,Cytoplasmic,0.0000,0.0000,0.9996,0.0000,0.0003,0.0000
104,antigen_68|Q3KLT5|GTPase|CAX10871.1|tpos:1-335,Cytoplasmic,0.0000,0.0000,0.9982,0.0013,0.0004,0.0000
105,antigen_69|B0BAU3|Large|CAX11297.1|tpos:1-123,Outer Membrane,0.0000,0.0001,0.0759,0.0009,0.8939,0.0292
106,antigen_70|Q3KKL0|tRNA|CAX11291.1|tpos:6-224,Cytoplasmic,0.0002,0.0011,0.9524,0.0144,0.0315,0.0004
107,antigen_94|B0B897|Large|CAX10980.1|tpos:1-111,Cytoplasmic,0.0001,0.0002,0.5270,0.0061,0.4582,0.0084
108,antigen_95|O84289|tRNA-specific|CAX10736.1|tpos:1-358,Cytoplasmic,0.0002,0.0007,0.9753,0.0039,0.0154,0.0044
109,antigen_87|B0BAF8|GTPase|CAX11162.1|tpos:1-490,Cytoplasmic,0.0001,0.0002,0.9766,0.0184,0.0046,0.0000
110,antigen_116|O84322|Transcription|CAX10769.1|tpos:1-182,Cytoplasmic,0.0000,0.0000,0.9864,0.0005,0.0131,0.0000
111,antigen_117|O84350|Ribonuclease|CAX10798.1|tpos:1-304,Cytoplasmic,0.0000,0.0001,0.9971,0.0013,0.0014,0.0000
112,antigen_77|Q3KM46|Large|CAX10765.1|tpos:1-130,Cytoplasmic,0.0003,0.0064,0.8111,0.0432,0.1225,0.0165
113,antigen_40|Q3KM31|Exodeoxyribonuclease|CAX10779.1|tpos:1-516,Cytoplasmic,0.0045,0.0431,0.7602,0.1350,0.0538,0.0034
114,antigen_64|B0B960|UDP-N-acetylenolpyruvoylglucosamine|CAX11293.1|tpos:1-291,Cytoplasmic,0.0000,0.0001,0.9979,0.0017,0.0003,0.0000
115,antigen_65|O84842|Large|CAX11297.1|tpos:1-123,Outer Membrane,0.0000,0.0001,0.0759,0.0009,0.8939,0.0292
116,antigen_66|B0B910|Ribonuclease|CAX11243.1|tpos:1-120,Cytoplasmic,0.0002,0.0018,0.9817,0.0019,0.0140,0.0003
117,antigen_67|B0B875|Holliday|CAX10958.1|tpos:1-200,Cytoplasmic,0.0003,0.0046,0.9590,0.0191,0.0168,0.0002
118,antigen_20|O84421|Probable|CAX10869.1|tpos:1-236,Cytoplasmic Membrane,0.0001,0.0026,0.2551,0.7400,0.0021,0.0001
119,antigen_156|B0BCE1|Crossover|CAX10959.1|tpos:1-170,Cytoplasmic,0.0043,0.0319,0.9437,0.0097,0.0080,0.0024
120,antigen_157|O84456|Isoprenyl|CAX10906.1|tpos:1-253,Cytoplasmic,0.0002,0.0066,0.9847,0.0049,0.0035,0.0001
121,antigen_158|B0BBU1|V-type|CAX10759.1|tpos:1-208,Cytoplasmic,0.0004,0.0007,0.9334,0.0225,0.0415,0.0015
122,antigen_159|Q3KL16|Uridylate|CAX11137.1|tpos:1-245,Cytoplasmic,0.0000,0.0015,0.9898,0.0027,0.0057,0.0003
123,antigen_198|B0B896|Small|CAX10979.1|tpos:1-224,Outer Membrane,0.0002,0.0004,0.0591,0.0100,0.8918,0.0385
124,antigen_199|B0BB32|Probable|CAX10492.1|tpos:1-499,Cytoplasmic,0.0168,0.0306,0.8740,0.0406,0.0290,0.0090
125,antigen_175|B0B846|Putative|CAX10929.1|tpos:1-104,Cytoplasmic Membrane,0.0002,0.2376,0.0716,0.6595,0.0294,0.0017
126,antigen_176|Q3KLM8|DNA|CAX10926.1|tpos:1-243,Cytoplasmic,0.0002,0.0076,0.8976,0.0916,0.0030,0.0000
127,antigen_177|P10560|Virulence|CAX11040.1|tpos:76-190,Cytoplasmic,0.0037,0.0668,0.9200,0.0044,0.0051,0.0001
128,antigen_112|B0B7S3|Ribosomal|CAX10806.1|tpos:1-277,Cytoplasmic,0.0001,0.0003,0.9962,0.0020,0.0011,0.0002
129,antigen_113|B0B8A2|Large|CAX10985.1|tpos:1-221,Outer Membrane,0.0000,0.0000,0.1622,0.0000,0.8377,0.0000
130,antigen_114|O84543|Uncharacterized|CAX10995.1|tpos:1-238,Cytoplasmic,0.0010,0.0696,0.6432,0.2742,0.0110,0.0011
131,antigen_169|Q3KMC6|Acyl|CAX10685.1|tpos:1-77,Cytoplasmic,0.0001,0.0020,0.9868,0.0014,0.0094,0.0004
132,antigen_170|B0B816|Small|CAX10899.1|tpos:1-88,Outer Membrane,0.0092,0.0262,0.0022,0.1508,0.8059,0.0056
133,antigen_26|B0BBU7|Large|CAX10765.1|tpos:1-130,Cytoplasmic,0.0003,0.0064,0.8111,0.0432,0.1225,0.0165
134,antigen_27|Q3KMV9|Tyrosine--tRNA|CAX10509.1|tpos:1-412,Cytoplasmic,0.0000,0.0001,0.9972,0.0002,0.0023,0.0002
135,antigen_82|O84719|Glycerol-3-phosphate|CAX11173.1|tpos:1-334,Cytoplasmic,0.0001,0.0012,0.9867,0.0087,0.0024,0.0008
136,antigen_83|B0B887|Large|CAX10970.1|tpos:1-123,Outer Membrane,0.0000,0.0001,0.1103,0.0001,0.8892,0.0003
137,antigen_84|C4PQQ9|Deubiquitinase|CAX11331.1|tpos:1-339,Extracellular,0.0003,0.8288,0.0001,0.1156,0.0551,0.0001
138,"antigen_161|B0BAH7|2,3-bisphosphoglycerate-dependent|CAX11181.1|tpos:1-226",Cytoplasmic,0.0008,0.0108,0.9830,0.0040,0.0010,0.0004
139,antigen_162|O84734|Serine--tRNA|CAX11188.1|tpos:1-428,Cytoplasmic,0.0000,0.0000,0.9998,0.0000,0.0001,0.0001
140,antigen_133|B0B810|Small|CAX10893.1|tpos:1-157,Outer Membrane,0.0001,0.0002,0.2206,0.0003,0.7787,0.0002
141,antigen_134|P0DPS8|Serine/threonine-protein|CAX10750.1|tpos:1-934,Cytoplasmic,0.0035,0.1212,0.4228,0.4190,0.0320,0.0014
142,antigen_31|P0A4C8|Small|CAX10969.1|tpos:1-165,Cytoplasmic,0.0002,0.0002,0.9266,0.0005,0.0724,0.0001
143,antigen_24|B0B9C6|Isoleucine--tRNA|CAX10465.1|tpos:1-1036,Cytoplasmic,0.0000,0.0000,0.9996,0.0000,0.0003,0.0001
144,antigen_139|Q3KMP3|Small|CAX10573.1|tpos:1-129,Outer Membrane,0.0004,0.0008,0.3969,0.0011,0.6003,0.0004
145,antigen_140|O84312|V-type|CAX10759.1|tpos:1-208,Cytoplasmic,0.0004,0.0007,0.9334,0.0225,0.0415,0.0015
146,antigen_141|Q3KKW5|Serine--tRNA|CAX11188.1|tpos:1-428,Cytoplasmic,0.0000,0.0000,0.9998,0.0000,0.0001,0.0001
147,antigen_160|Q3KN20|Aspartyl/glutamyl-tRNA(Asn/Gln)|CAX10448.1|tpos:1-100,Cytoplasmic,0.0000,0.0005,0.9940,0.0007,0.0045,0.0003
148,antigen_132|O84304|Valine--tRNA|CAX10751.1|tpos:1-939,Cytoplasmic,0.0000,0.0001,0.9973,0.0000,0.0025,0.0001
149,antigen_147|B0B8D2|Lipoyl|CAX11015.1|tpos:1-311,Cytoplasmic,0.0003,0.0022,0.9687,0.0096,0.0129,0.0063
150,antigen_148|Q3KKJ9|tRNA(Ile)-lysidine|CAX11302.1|tpos:1-321,Cytoplasmic,0.0003,0.0004,0.9886,0.0040,0.0064,0.0003
151,antigen_57|P13467|Major|CAX11140.1|tpos:1-394,Outer Membrane,0.0000,0.0000,0.0002,0.0507,0.9490,0.0001
152,antigen_58|B0BAG2|Trigger|CAX11166.1|tpos:1-442,Cytoplasmic,0.0003,0.0036,0.9628,0.0065,0.0264,0.0004
153,antigen_108|B0B7X8|Lipoprotein|CAX10861.1|tpos:1-167,Cytoplasmic Membrane,0.0001,0.0436,0.0016,0.9496,0.0050,0.0000
154,antigen_109|O84420|Putative|CAX10868.1|tpos:1-276,Outer Membrane,0.0071,0.1836,0.2745,0.0133,0.4563,0.0652
155,antigen_110|O84381|Malate|CAX10828.1|tpos:1-326,Cytoplasmic,0.0004,0.0134,0.9028,0.0056,0.0611,0.0168
156,antigen_22|O84128|Small|CAX10573.1|tpos:1-129,Outer Membrane,0.0004,0.0008,0.3969,0.0011,0.6003,0.0004
157,antigen_23|Q3KMZ6|Small|CAX10472.1|tpos:1-116,Cytoplasmic,0.0004,0.0001,0.8542,0.0020,0.1425,0.0008
158,"antigen_81|O84874|1,4-alpha-glucan|CAX11330.1|tpos:1-738",Cytoplasmic,0.0003,0.0317,0.9623,0.0030,0.0017,0.0011
159,antigen_191|B0BB65|Bifunctional|CAX10525.1|tpos:1-287,Cytoplasmic,0.0005,0.0042,0.9904,0.0014,0.0033,0.0002
160,antigen_192|O84033|Guanylate|CAX10476.1|tpos:1-205,Cytoplasmic,0.0001,0.0003,0.9962,0.0001,0.0029,0.0003
161,antigen_193|O84188|Glucose-6-phosphate|CAX10633.1|tpos:69-507,Cytoplasmic,0.0024,0.0548,0.9080,0.0054,0.0266,0.0028
162,"antigen_92|O84727|2,3-bisphosphoglycerate-dependent|CAX11181.1|tpos:1-226",Cytoplasmic,0.0008,0.0108,0.9830,0.0040,0.0010,0.0004
163,antigen_52|B0BB05|Isoleucine--tRNA|CAX10465.1|tpos:1-1036,Cytoplasmic,0.0000,0.0000,0.9996,0.0000,0.0003,0.0001
164,antigen_135|O84632|tRNA|CAX11085.1|tpos:1-327,Cytoplasmic,0.0001,0.0031,0.9530,0.0025,0.0244,0.0169
165,antigen_163|O84544|Thioredoxin|CAX10996.1|tpos:1-102,Cytoplasmic,0.0001,0.0019,0.9679,0.0011,0.0194,0.0096
166,antigen_164|Q3KKK4|Large|CAX11297.1|tpos:1-123,Outer Membrane,0.0000,0.0001,0.0759,0.0009,0.8939,0.0292
167,antigen_165|B0BBJ1|UPF0301|CAX10659.1|tpos:1-189,Cytoplasmic,0.0000,0.0012,0.9753,0.0151,0.0081,0.0002
168,antigen_75|O84533|Large|CAX10985.1|tpos:1-221,Outer Membrane,0.0000,0.0000,0.1622,0.0000,0.8377,0.0000
169,antigen_136|B0B7N3|Large|CAX10766.1|tpos:1-172,Outer Membrane,0.0026,0.1073,0.3664,0.0033,0.5153,0.0051
170,antigen_137|O84637|UPF0159|CAX11090.1|tpos:1-529,Cytoplasmic,0.0017,0.0293,0.8829,0.0131,0.0699,0.0031
171,antigen_99|O84694|Probable|CAX11147.1|tpos:1-281,Cytoplasmic,0.0002,0.0010,0.9966,0.0007,0.0014,0.0000
172,antigen_100|P0CD72|Glucose-6-phosphate|CAX10830.1|tpos:1-525,Cytoplasmic,0.0003,0.0134,0.9396,0.0014,0.0434,0.0020
173,antigen_118|P17451|Major|CAX11140.1|tpos:1-394,Outer Membrane,0.0000,0.0000,0.0002,0.0507,0.9490,0.0001
174,antigen_119|O84369|4-hydroxy-tetrahydrodipicolinate|CAX10816.1|tpos:8-253,Cytoplasmic,0.0001,0.0009,0.9907,0.0013,0.0069,0.0002
175,antigen_5|B0B8X5|Alanine--tRNA|CAX11208.1|tpos:1-875,Cytoplasmic,0.0000,0.0001,0.9993,0.0001,0.0004,0.0000
176,antigen_138|B0BAZ0|Aspartyl/glutamyl-tRNA(Asn/Gln)|CAX10450.1|tpos:1-488,Cytoplasmic,0.0001,0.0003,0.9674,0.0004,0.0315,0.0003
177,antigen_49|O84836|tRNA|CAX11291.1|tpos:1-224,Cytoplasmic,0.0002,0.0009,0.9557,0.0170,0.0257,0.0005
