Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen79|Q2FK09|CP000253.1|bcell|seq1,0.322,0.0,0,0.322,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq9,0.313,0.0,0,0.313,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq10,0.328,0.0,0,0.328,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq11,0.323,0.0,0,0.323,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq12,0.317,0.0,0,0.317,Allergen
antigen198|Q9ZEH3|CP000253.1|bcell|seq14,0.352,0.0,0,0.352,Allergen
antigen73|A8Z3N5|CP000253.1|bcell|seq1,0.331,0.0,0,0.331,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq1,0.408,0.0,0,0.408,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq2,0.429,0.0,0,0.429,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq3,0.317,0.0,0,0.317,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq4,0.324,0.0,0,0.324,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq9,0.309,0.0,0,0.309,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq11,0.327,0.0,0,0.327,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq12,0.324,0.0,0,0.324,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq15,0.357,0.0,0,0.357,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq16,0.343,0.0,0,0.343,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq17,0.356,0.0,0,0.356,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq18,0.378,0.0,0,0.378,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq19,0.372,0.0,0,0.372,Allergen
antigen74|Q7A5S6|CP000253.1|bcell|seq20,0.391,0.0,0,0.391,Allergen
antigen36|Q6GAB5|CP000253.1|bcell|seq3,0.317,0.0,0,0.317,Allergen
antigen36|Q6GAB5|CP000253.1|bcell|seq4,0.358,0.0,0,0.358,Allergen
antigen36|Q6GAB5|CP000253.1|bcell|seq6,0.409,0.0,0,0.409,Allergen
antigen36|Q6GAB5|CP000253.1|bcell|seq7,0.362,0.0,0,0.362,Allergen
antigen36|Q6GAB5|CP000253.1|bcell|seq8,0.31,0.0,0,0.31,Allergen
antigen36|Q6GAB5|CP000253.1|bcell|seq9,0.435,0.0,0,0.435,Allergen
antigen140|Q7A417|CP000253.1|bcell|seq1,0.365,0.0,0,0.365,Allergen
antigen140|Q7A417|CP000253.1|bcell|seq2,0.381,0.0,0,0.381,Allergen
antigen140|Q7A417|CP000253.1|bcell|seq3,0.313,0.0,0,0.313,Allergen
antigen140|Q7A417|CP000253.1|bcell|seq4,0.336,0.0,0,0.336,Allergen
antigen140|Q7A417|CP000253.1|bcell|seq5,0.31,0.0,0,0.31,Allergen
antigen140|Q7A417|CP000253.1|bcell|seq6,0.356,0.0,0,0.356,Allergen
antigen140|Q7A417|CP000253.1|bcell|seq7,0.387,0.0,0,0.387,Allergen
antigen26|Q5HHQ3|CP000253.1|bcell|seq2,0.347,0.0,0,0.347,Allergen
antigen26|Q5HHQ3|CP000253.1|bcell|seq3,0.339,0.0,0,0.339,Allergen
antigen26|Q5HHQ3|CP000253.1|bcell|seq5,0.34,0.0,0,0.34,Allergen
antigen194|Q2FEK3|CP000253.1|bcell|seq3,0.366,0.0,0,0.366,Allergen
antigen194|Q2FEK3|CP000253.1|bcell|seq4,0.407,0.0,0,0.407,Allergen
antigen194|Q2FEK3|CP000253.1|bcell|seq5,0.332,0.0,0,0.332,Allergen
antigen194|Q2FEK3|CP000253.1|bcell|seq10,0.381,0.0,0,0.381,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq1,0.307,0.0,0,0.307,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq2,0.371,0.0,0,0.371,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq4,0.364,0.0,0,0.364,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq5,0.357,0.0,0,0.357,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq6,0.344,0.0,0,0.344,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq8,0.33,0.0,0,0.33,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq9,0.33,0.0,0,0.33,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq10,0.34,0.0,0,0.34,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq11,0.397,0.0,0,0.397,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq12,0.32,0.0,0,0.32,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq13,0.336,0.0,0,0.336,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq14,0.393,0.0,0,0.393,Allergen
antigen111|A5ISH9|CP000253.1|bcell|seq15,0.328,0.0,0,0.328,Allergen
antigen30|P65288|CP000253.1|bcell|seq1,0.373,0.0,0,0.373,Allergen
antigen30|P65288|CP000253.1|bcell|seq3,0.218,0.5,0,0.718,Allergen
antigen30|P65288|CP000253.1|bcell|seq4,0.318,0.0,0,0.318,Allergen
antigen30|P65288|CP000253.1|bcell|seq6,0.291,0.5,0,0.791,Allergen
antigen30|P65288|CP000253.1|bcell|seq7,0.353,0.0,0,0.353,Allergen
antigen30|P65288|CP000253.1|bcell|seq8,0.323,0.0,0,0.323,Allergen
antigen30|P65288|CP000253.1|bcell|seq10,0.347,0.0,0,0.347,Allergen
antigen30|P65288|CP000253.1|bcell|seq11,0.34,0.0,0,0.34,Allergen
antigen30|P65288|CP000253.1|bcell|seq12,0.327,0.0,0,0.327,Allergen
antigen30|P65288|CP000253.1|bcell|seq13,0.345,0.0,0,0.345,Allergen
antigen30|P65288|CP000253.1|bcell|seq14,0.407,0.0,0,0.407,Allergen
antigen115|Q7A7G0|CP000253.1|bcell|seq1,0.326,0.0,0,0.326,Allergen
antigen115|Q7A7G0|CP000253.1|bcell|seq5,0.317,0.0,0,0.317,Allergen
antigen168|A0A0H3K6Z9|CP000253.1|bcell|seq1,0.334,0.0,0,0.334,Allergen
antigen168|A0A0H3K6Z9|CP000253.1|bcell|seq2,0.388,0.0,0,0.388,Allergen
antigen168|A0A0H3K6Z9|CP000253.1|bcell|seq3,0.321,0.0,0,0.321,Allergen
antigen168|A0A0H3K6Z9|CP000253.1|bcell|seq6,0.321,0.0,0,0.321,Allergen
antigen55|P65855|CP000253.1|bcell|seq2,0.352,0.0,0,0.352,Allergen
antigen55|P65855|CP000253.1|bcell|seq5,0.391,0.0,0,0.391,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq1,0.45,0.0,0,0.45,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq2,0.365,0.0,0,0.365,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq3,0.36,0.0,0,0.36,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq4,0.362,0.0,0,0.362,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq5,0.354,0.0,0,0.354,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq6,0.399,0.0,0,0.399,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq7,0.308,0.0,0,0.308,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq8,0.349,0.0,0,0.349,Allergen
antigen5|Q7A768|CP000253.1|bcell|seq9,0.357,0.0,0,0.357,Allergen
antigen184|A7X1D2|CP000253.1|bcell|seq1,0.473,0.0,0,0.473,Allergen
antigen184|A7X1D2|CP000253.1|bcell|seq2,0.446,0.0,0,0.446,Allergen
antigen184|A7X1D2|CP000253.1|bcell|seq4,0.307,0.5,0,0.807,Allergen
antigen184|A7X1D2|CP000253.1|bcell|seq5,0.353,0.0,0,0.353,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq2,0.341,0.0,0,0.341,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq3,0.4,0.0,0,0.4,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq4,0.337,0.0,0,0.337,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq5,0.359,0.0,0,0.359,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq6,0.365,0.0,0,0.365,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq7,0.305,0.0,0,0.305,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq8,0.511,0.0,0,0.511,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq9,0.313,0.0,0,0.313,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq10,0.328,0.0,0,0.328,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq11,0.323,0.0,0,0.323,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq12,0.317,0.0,0,0.317,Allergen
antigen131|Q2YXC9|CP000253.1|bcell|seq14,0.352,0.0,0,0.352,Allergen
antigen147|A6QHI5|CP000253.1|bcell|seq1,0.343,0.0,0,0.343,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq1,0.45,0.0,0,0.45,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq2,0.365,0.0,0,0.365,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq3,0.36,0.0,0,0.36,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq4,0.362,0.0,0,0.362,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq5,0.354,0.0,0,0.354,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq6,0.399,0.0,0,0.399,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq7,0.308,0.0,0,0.308,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq8,0.349,0.0,0,0.349,Allergen
antigen7|Q99WM3|CP000253.1|bcell|seq9,0.357,0.0,0,0.357,Allergen
antigen37|Q2YY04|CP000253.1|bcell|seq1,0.46,0.0,0,0.46,Allergen
antigen37|Q2YY04|CP000253.1|bcell|seq2,0.37,0.0,0,0.37,Allergen
antigen37|Q2YY04|CP000253.1|bcell|seq4,0.324,0.0,0,0.324,Allergen
antigen37|Q2YY04|CP000253.1|bcell|seq5,0.37,0.0,0,0.37,Allergen
antigen37|Q2YY04|CP000253.1|bcell|seq7,0.324,0.0,0,0.324,Allergen
antigen125|A6U0B2|CP000253.1|bcell|seq4,0.313,0.0,0,0.313,Allergen
antigen125|A6U0B2|CP000253.1|bcell|seq5,0.336,0.0,0,0.336,Allergen
antigen32|Q5HFH6|CP000253.1|bcell|seq1,0.401,0.0,0,0.401,Allergen
antigen32|Q5HFH6|CP000253.1|bcell|seq2,0.414,0.0,0,0.414,Allergen
antigen32|Q5HFH6|CP000253.1|bcell|seq4,0.408,0.0,0,0.408,Allergen
antigen32|Q5HFH6|CP000253.1|bcell|seq7,0.303,0.0,0,0.303,Allergen
antigen32|Q5HFH6|CP000253.1|bcell|seq8,0.334,0.0,0,0.334,Allergen
antigen32|Q5HFH6|CP000253.1|bcell|seq9,0.332,0.0,0,0.332,Allergen
antigen68|Q2FJK1|CP000253.1|bcell|seq1,0.323,0.0,0,0.323,Allergen
antigen68|Q2FJK1|CP000253.1|bcell|seq3,0.308,0.0,0,0.308,Allergen
antigen68|Q2FJK1|CP000253.1|bcell|seq5,0.317,0.0,0,0.317,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq1,0.353,0.0,0,0.353,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq3,0.36,0.0,0,0.36,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq4,0.313,0.0,0,0.313,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq6,0.47,0.0,0,0.47,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq7,0.316,0.0,0,0.316,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq10,0.393,0.0,0,0.393,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq11,0.36,0.0,0,0.36,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq12,0.305,0.0,0,0.305,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq13,0.307,0.0,0,0.307,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq14,0.302,0.0,0,0.302,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq15,0.357,0.0,0,0.357,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq16,0.324,0.0,0,0.324,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq17,0.412,0.0,0,0.412,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq18,0.35,0.0,0,0.35,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq19,0.336,0.0,0,0.336,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq20,0.326,0.0,0,0.326,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq21,0.366,0.0,0,0.366,Allergen
antigen33|Q2FWH7|CP000253.1|bcell|seq22,0.343,0.0,0,0.343,Allergen
antigen48|Q936F2|CP000253.1|bcell|seq1,0.329,0.0,0,0.329,Allergen
antigen48|Q936F2|CP000253.1|bcell|seq2,0.328,0.0,0,0.328,Allergen
antigen48|Q936F2|CP000253.1|bcell|seq3,0.328,0.0,0,0.328,Allergen
antigen48|Q936F2|CP000253.1|bcell|seq4,0.317,0.0,0,0.317,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq1,0.384,0.0,0,0.384,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq2,0.389,0.0,0,0.389,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq3,0.395,0.0,0,0.395,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq4,0.369,0.0,0,0.369,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq6,0.426,0.0,0,0.426,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq7,0.35,0.0,0,0.35,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq8,0.402,0.0,0,0.402,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq9,0.371,0.0,0,0.371,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq10,0.336,0.0,0,0.336,Allergen
antigen44|Q6GD73|CP000253.1|bcell|seq11,0.321,0.0,0,0.321,Allergen
antigen177|P60611|CP000253.1|bcell|seq1,0.322,0.0,0,0.322,Allergen
antigen53|Q2FIK4|CP000253.1|bcell|seq2,0.325,0.0,0,0.325,Allergen
antigen53|Q2FIK4|CP000253.1|bcell|seq3,0.343,0.0,0,0.343,Allergen
antigen53|Q2FIK4|CP000253.1|bcell|seq4,0.342,0.0,0,0.342,Allergen
antigen53|Q2FIK4|CP000253.1|bcell|seq5,0.384,0.0,0,0.384,Allergen
antigen53|Q2FIK4|CP000253.1|bcell|seq6,0.352,0.0,0,0.352,Allergen
antigen42|A5IPD1|CP000253.1|bcell|seq1,0.394,0.0,0,0.394,Allergen
antigen112|Q99V03|CP000253.1|bcell|seq3,0.317,0.0,0,0.317,Allergen
antigen112|Q99V03|CP000253.1|bcell|seq4,0.358,0.0,0,0.358,Allergen
antigen112|Q99V03|CP000253.1|bcell|seq6,0.409,0.0,0,0.409,Allergen
antigen112|Q99V03|CP000253.1|bcell|seq7,0.362,0.0,0,0.362,Allergen
antigen112|Q99V03|CP000253.1|bcell|seq8,0.31,0.0,0,0.31,Allergen
antigen112|Q99V03|CP000253.1|bcell|seq9,0.435,0.0,0,0.435,Allergen
antigen149|Q99QV7|CP000253.1|bcell|seq2,0.317,0.0,0,0.317,Allergen
antigen149|Q99QV7|CP000253.1|bcell|seq3,0.358,0.0,0,0.358,Allergen
antigen149|Q99QV7|CP000253.1|bcell|seq5,0.409,0.0,0,0.409,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq1,0.363,0.0,0,0.363,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq2,0.333,0.0,0,0.333,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq3,0.341,0.0,0,0.341,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq4,0.431,0.0,0,0.431,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq6,0.35,0.0,0,0.35,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq7,0.41,0.0,0,0.41,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq8,0.307,0.0,0,0.307,Allergen
antigen113|Q2FKQ5|CP000253.1|bcell|seq9,0.313,0.0,0,0.313,Allergen
antigen129|P63980|CP000253.1|bcell|seq1,0.334,0.0,0,0.334,Allergen
antigen129|P63980|CP000253.1|bcell|seq2,0.318,0.0,0,0.318,Allergen
antigen129|P63980|CP000253.1|bcell|seq3,0.375,0.0,0,0.375,Allergen
antigen129|P63980|CP000253.1|bcell|seq4,0.359,0.0,0,0.359,Allergen
antigen129|P63980|CP000253.1|bcell|seq5,0.371,0.0,0,0.371,Allergen
antigen129|P63980|CP000253.1|bcell|seq6,0.381,0.0,0,0.381,Allergen
antigen129|P63980|CP000253.1|bcell|seq7,0.349,0.0,0,0.349,Allergen
antigen129|P63980|CP000253.1|bcell|seq8,0.315,0.0,0,0.315,Allergen
antigen129|P63980|CP000253.1|bcell|seq9,0.334,0.0,0,0.334,Allergen
antigen106|A0A0H3K9F2|CP000253.1|bcell|seq2,0.45,0.0,0,0.45,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq1,0.334,0.0,0,0.334,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq2,0.343,0.0,0,0.343,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq4,0.374,0.0,0,0.374,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq5,0.317,0.0,0,0.317,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq6,0.306,0.0,0,0.306,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq7,0.385,0.0,0,0.385,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq8,0.353,0.0,0,0.353,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq10,0.302,0.0,0,0.302,Allergen
antigen119|Q99UI1|CP000253.1|bcell|seq11,0.405,0.0,0,0.405,Allergen
antigen89|Q2YU53|CP000253.1|bcell|seq1,0.316,0.0,0,0.316,Allergen
antigen89|Q2YU53|CP000253.1|bcell|seq2,0.361,0.0,0,0.361,Allergen
antigen89|Q2YU53|CP000253.1|bcell|seq3,0.346,0.0,0,0.346,Allergen
antigen89|Q2YU53|CP000253.1|bcell|seq5,0.535,0.0,0,0.535,Allergen
antigen89|Q2YU53|CP000253.1|bcell|seq6,0.323,0.0,0,0.323,Allergen
antigen89|Q2YU53|CP000253.1|bcell|seq7,0.372,0.0,0,0.372,Allergen
antigen89|Q2YU53|CP000253.1|bcell|seq8,0.475,0.0,0,0.475,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq1,0.392,0.0,0,0.392,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq2,0.309,0.0,0,0.309,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq3,0.324,0.0,0,0.324,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq4,0.305,0.0,0,0.305,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq5,0.377,0.0,0,0.377,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq6,0.397,0.0,0,0.397,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq7,0.357,0.0,0,0.357,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq8,0.347,0.0,0,0.347,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq9,0.342,0.0,0,0.342,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq10,0.422,0.0,0,0.422,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq11,0.376,0.0,0,0.376,Allergen
antigen78|Q2FZJ0|CP000253.1|bcell|seq12,0.392,0.0,0,0.392,Allergen
antigen3|Q6GB78|CP000253.1|bcell|seq1,0.375,0.0,0,0.375,Allergen
antigen3|Q6GB78|CP000253.1|bcell|seq3,0.362,0.0,0,0.362,Allergen
antigen139|P65968|CP000253.1|bcell|seq1,0.307,0.0,0,0.307,Allergen
antigen139|P65968|CP000253.1|bcell|seq2,0.305,0.0,0,0.305,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq2,0.345,0.0,0,0.345,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq3,0.348,0.0,0,0.348,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq4,0.322,0.0,0,0.322,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq5,0.38,0.0,0,0.38,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq6,0.407,0.0,0,0.407,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq7,0.304,0.0,0,0.304,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq8,0.38,0.0,0,0.38,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq10,0.351,0.0,0,0.351,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq11,0.393,0.0,0,0.393,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq12,0.383,0.0,0,0.383,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq16,0.459,0.0,0,0.459,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq17,0.382,0.0,0,0.382,Allergen
antigen14|A5IRD0|CP000253.1|bcell|seq18,0.403,0.0,0,0.403,Allergen
antigen150|O50581|CP000253.1|bcell|seq1,0.322,0.0,0,0.322,Allergen
antigen150|O50581|CP000253.1|bcell|seq2,0.317,0.0,0,0.317,Allergen
antigen150|O50581|CP000253.1|bcell|seq3,0.302,0.0,0,0.302,Allergen
antigen150|O50581|CP000253.1|bcell|seq5,0.305,0.0,0,0.305,Allergen
antigen150|O50581|CP000253.1|bcell|seq6,0.421,0.0,0,0.421,Allergen
antigen150|O50581|CP000253.1|bcell|seq7,0.315,0.0,0,0.315,Allergen
antigen150|O50581|CP000253.1|bcell|seq8,0.367,0.0,0,0.367,Allergen
antigen150|O50581|CP000253.1|bcell|seq9,0.352,0.0,0,0.352,Allergen
antigen150|O50581|CP000253.1|bcell|seq10,0.37,0.0,0,0.37,Allergen
antigen150|O50581|CP000253.1|bcell|seq11,0.338,0.0,0,0.338,Allergen
antigen150|O50581|CP000253.1|bcell|seq12,0.373,0.0,0,0.373,Allergen
antigen150|O50581|CP000253.1|bcell|seq13,0.356,0.0,0,0.356,Allergen
antigen150|O50581|CP000253.1|bcell|seq14,0.341,0.0,0,0.341,Allergen
antigen150|O50581|CP000253.1|bcell|seq15,0.356,0.0,0,0.356,Allergen
antigen150|O50581|CP000253.1|bcell|seq17,0.394,0.0,0,0.394,Allergen
antigen150|O50581|CP000253.1|bcell|seq18,0.331,0.0,0,0.331,Allergen
antigen150|O50581|CP000253.1|bcell|seq19,0.372,0.0,0,0.372,Allergen
antigen150|O50581|CP000253.1|bcell|seq20,0.333,0.0,0,0.333,Allergen
antigen49|Q6GJN0|CP000253.1|bcell|seq1,0.324,0.0,0,0.324,Allergen
antigen49|Q6GJN0|CP000253.1|bcell|seq2,0.328,0.0,0,0.328,Allergen
antigen49|Q6GJN0|CP000253.1|bcell|seq3,0.328,0.0,0,0.328,Allergen
antigen49|Q6GJN0|CP000253.1|bcell|seq4,0.317,0.0,0,0.317,Allergen
antigen121|Q99U50|CP000253.1|bcell|seq1,0.407,0.0,0,0.407,Allergen
antigen121|Q99U50|CP000253.1|bcell|seq2,0.354,0.0,0,0.354,Allergen
antigen121|Q99U50|CP000253.1|bcell|seq3,0.429,0.0,0,0.429,Allergen
antigen121|Q99U50|CP000253.1|bcell|seq4,0.391,0.0,0,0.391,Allergen
antigen121|Q99U50|CP000253.1|bcell|seq5,0.391,0.0,0,0.391,Allergen
antigen121|Q99U50|CP000253.1|bcell|seq7,0.36,0.0,0,0.36,Allergen
antigen121|Q99U50|CP000253.1|bcell|seq8,0.344,0.0,0,0.344,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq1,0.308,0.0,0,0.308,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq2,0.33,0.0,0,0.33,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq3,0.38,0.0,0,0.38,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq5,0.311,0.0,0,0.311,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq6,0.36,0.0,0,0.36,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq8,0.349,0.0,0,0.349,Allergen
antigen95|Q7A7B2|CP000253.1|bcell|seq9,0.43,0.0,0,0.43,Allergen
