Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen42|A5IPD1|BX571856.1|bcell|seq1,0.394,0.0,0,0.394,Allergen
antigen121|Q99U50|BX571856.1|bcell|seq2,0.348,0.0,0,0.348,Allergen
antigen121|Q99U50|BX571856.1|bcell|seq3,0.353,0.0,0,0.353,Allergen
antigen121|Q99U50|BX571856.1|bcell|seq4,0.389,0.0,0,0.389,Allergen
antigen121|Q99U50|BX571856.1|bcell|seq5,0.364,0.0,0,0.364,Allergen
antigen32|Q5HFH6|BX571856.1|bcell|seq1,0.346,0.0,0,0.346,Allergen
antigen32|Q5HFH6|BX571856.1|bcell|seq2,0.327,0.0,0,0.327,Allergen
antigen32|Q5HFH6|BX571856.1|bcell|seq3,0.358,0.0,0,0.358,Allergen
antigen32|Q5HFH6|BX571856.1|bcell|seq4,0.331,0.0,0,0.331,Allergen
antigen97|A8Z3M0|BX571856.1|bcell|seq1,0.326,0.0,0,0.326,Allergen
antigen97|A8Z3M0|BX571856.1|bcell|seq3,0.382,0.0,0,0.382,Allergen
antigen97|A8Z3M0|BX571856.1|bcell|seq4,0.314,0.0,0,0.314,Allergen
antigen97|A8Z3M0|BX571856.1|bcell|seq5,0.449,0.0,0,0.449,Allergen
antigen97|A8Z3M0|BX571856.1|bcell|seq6,0.356,0.0,0,0.356,Allergen
antigen97|A8Z3M0|BX571856.1|bcell|seq7,0.417,0.0,0,0.417,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq2,0.304,0.0,0,0.304,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq3,0.348,0.0,0,0.348,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq4,0.322,0.0,0,0.322,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq5,0.364,0.0,0,0.364,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq6,0.404,0.0,0,0.404,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq7,0.38,0.0,0,0.38,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq8,0.389,0.0,0,0.389,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq9,0.304,0.0,0,0.304,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq10,0.38,0.0,0,0.38,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq12,0.351,0.0,0,0.351,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq13,0.393,0.0,0,0.393,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq14,0.383,0.0,0,0.383,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq16,0.303,0.0,0,0.303,Allergen
antigen14|A5IRD0|BX571856.1|bcell|seq17,0.347,0.0,0,0.347,Allergen
antigen30|P65288|BX571856.1|bcell|seq3,0.259,0.5,0,0.759,Allergen
antigen30|P65288|BX571856.1|bcell|seq4,0.318,0.0,0,0.318,Allergen
antigen30|P65288|BX571856.1|bcell|seq6,0.326,0.5,0,0.826,Allergen
antigen30|P65288|BX571856.1|bcell|seq7,0.335,0.0,0,0.335,Allergen
antigen30|P65288|BX571856.1|bcell|seq8,0.323,0.0,0,0.323,Allergen
antigen30|P65288|BX571856.1|bcell|seq10,0.347,0.0,0,0.347,Allergen
antigen30|P65288|BX571856.1|bcell|seq11,0.34,0.0,0,0.34,Allergen
antigen30|P65288|BX571856.1|bcell|seq12,0.327,0.0,0,0.327,Allergen
antigen30|P65288|BX571856.1|bcell|seq13,0.345,0.0,0,0.345,Allergen
antigen30|P65288|BX571856.1|bcell|seq14,0.407,0.0,0,0.407,Allergen
antigen28|A6U0V5|BX571856.1|bcell|seq1,0.395,0.0,0,0.395,Allergen
antigen28|A6U0V5|BX571856.1|bcell|seq2,0.339,0.0,0,0.339,Allergen
antigen28|A6U0V5|BX571856.1|bcell|seq3,0.447,0.0,0,0.447,Allergen
antigen28|A6U0V5|BX571856.1|bcell|seq4,0.346,0.0,0,0.346,Allergen
antigen150|O50581|BX571856.1|bcell|seq1,0.333,0.0,0,0.333,Allergen
antigen150|O50581|BX571856.1|bcell|seq2,0.317,0.0,0,0.317,Allergen
antigen150|O50581|BX571856.1|bcell|seq3,0.302,0.0,0,0.302,Allergen
antigen150|O50581|BX571856.1|bcell|seq5,0.305,0.0,0,0.305,Allergen
antigen150|O50581|BX571856.1|bcell|seq6,0.421,0.0,0,0.421,Allergen
antigen150|O50581|BX571856.1|bcell|seq7,0.315,0.0,0,0.315,Allergen
antigen150|O50581|BX571856.1|bcell|seq8,0.367,0.0,0,0.367,Allergen
antigen150|O50581|BX571856.1|bcell|seq9,0.352,0.0,0,0.352,Allergen
antigen150|O50581|BX571856.1|bcell|seq10,0.37,0.0,0,0.37,Allergen
antigen150|O50581|BX571856.1|bcell|seq11,0.338,0.0,0,0.338,Allergen
antigen150|O50581|BX571856.1|bcell|seq12,0.356,0.0,0,0.356,Allergen
antigen150|O50581|BX571856.1|bcell|seq13,0.341,0.0,0,0.341,Allergen
antigen150|O50581|BX571856.1|bcell|seq14,0.356,0.0,0,0.356,Allergen
antigen150|O50581|BX571856.1|bcell|seq16,0.394,0.0,0,0.394,Allergen
antigen150|O50581|BX571856.1|bcell|seq17,0.331,0.0,0,0.331,Allergen
antigen150|O50581|BX571856.1|bcell|seq18,0.372,0.0,0,0.372,Allergen
antigen150|O50581|BX571856.1|bcell|seq19,0.333,0.0,0,0.333,Allergen
antigen18|Q5HIH8|BX571856.1|bcell|seq1,0.345,0.0,0,0.345,Allergen
antigen18|Q5HIH8|BX571856.1|bcell|seq2,0.314,0.0,0,0.314,Allergen
antigen18|Q5HIH8|BX571856.1|bcell|seq3,0.341,0.0,0,0.341,Allergen
antigen115|Q7A7G0|BX571856.1|bcell|seq1,0.382,0.0,0,0.382,Allergen
antigen115|Q7A7G0|BX571856.1|bcell|seq2,0.356,0.0,0,0.356,Allergen
antigen115|Q7A7G0|BX571856.1|bcell|seq3,0.324,0.0,0,0.324,Allergen
antigen115|Q7A7G0|BX571856.1|bcell|seq4,0.322,0.0,0,0.322,Allergen
antigen115|Q7A7G0|BX571856.1|bcell|seq5,0.322,0.0,0,0.322,Allergen
antigen115|Q7A7G0|BX571856.1|bcell|seq6,0.357,0.0,0,0.357,Allergen
antigen115|Q7A7G0|BX571856.1|bcell|seq7,0.323,0.0,0,0.323,Allergen
antigen36|Q6GAB5|BX571856.1|bcell|seq1,0.319,0.0,0,0.319,Allergen
antigen36|Q6GAB5|BX571856.1|bcell|seq2,0.365,0.0,0,0.365,Allergen
antigen36|Q6GAB5|BX571856.1|bcell|seq3,0.331,0.0,0,0.331,Allergen
antigen36|Q6GAB5|BX571856.1|bcell|seq5,0.331,0.0,0,0.331,Allergen
antigen164|Q6GIM9|BX571856.1|bcell|seq1,0.347,0.0,0,0.347,Allergen
antigen164|Q6GIM9|BX571856.1|bcell|seq2,0.41,0.0,0,0.41,Allergen
antigen53|Q2FIK4|BX571856.1|bcell|seq1,0.47,0.0,0,0.47,Allergen
antigen53|Q2FIK4|BX571856.1|bcell|seq2,0.322,0.0,0,0.322,Allergen
antigen53|Q2FIK4|BX571856.1|bcell|seq3,0.325,0.0,0,0.325,Allergen
antigen53|Q2FIK4|BX571856.1|bcell|seq5,0.342,0.0,0,0.342,Allergen
antigen53|Q2FIK4|BX571856.1|bcell|seq6,0.319,0.0,0,0.319,Allergen
antigen192|P30329|BX571856.1|bcell|seq1,0.391,0.0,0,0.391,Allergen
antigen192|P30329|BX571856.1|bcell|seq2,0.317,0.0,0,0.317,Allergen
antigen192|P30329|BX571856.1|bcell|seq4,0.322,0.0,0,0.322,Allergen
antigen192|P30329|BX571856.1|bcell|seq7,0.357,0.0,0,0.357,Allergen
antigen192|P30329|BX571856.1|bcell|seq8,0.344,0.0,0,0.344,Allergen
antigen192|P30329|BX571856.1|bcell|seq9,0.351,0.0,0,0.351,Allergen
antigen76|Q5HGQ3|BX571856.1|bcell|seq1,0.343,0.0,0,0.343,Allergen
antigen76|Q5HGQ3|BX571856.1|bcell|seq4,0.38,0.0,0,0.38,Allergen
antigen76|Q5HGQ3|BX571856.1|bcell|seq5,0.364,0.0,0,0.364,Allergen
antigen76|Q5HGQ3|BX571856.1|bcell|seq6,0.32,0.0,0,0.32,Allergen
antigen76|Q5HGQ3|BX571856.1|bcell|seq7,0.306,0.0,0,0.306,Allergen
antigen76|Q5HGQ3|BX571856.1|bcell|seq8,0.329,0.0,0,0.329,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq1,0.373,0.0,0,0.373,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq2,0.338,0.0,0,0.338,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq3,0.341,0.0,0,0.341,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq4,0.356,0.0,0,0.356,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq6,0.421,0.0,0,0.421,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq7,0.394,0.0,0,0.394,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq8,0.331,0.0,0,0.331,Allergen
antigen95|Q7A7B2|BX571856.1|bcell|seq9,0.376,0.0,0,0.376,Allergen
antigen87|Q2FXU5|BX571856.1|bcell|seq1,0.336,0.0,0,0.336,Allergen
antigen87|Q2FXU5|BX571856.1|bcell|seq2,0.348,0.0,0,0.348,Allergen
antigen87|Q2FXU5|BX571856.1|bcell|seq4,0.346,0.0,0,0.346,Allergen
antigen87|Q2FXU5|BX571856.1|bcell|seq5,0.399,0.0,0,0.399,Allergen
antigen87|Q2FXU5|BX571856.1|bcell|seq6,0.326,0.0,0,0.326,Allergen
antigen87|Q2FXU5|BX571856.1|bcell|seq7,0.373,0.0,0,0.373,Allergen
antigen87|Q2FXU5|BX571856.1|bcell|seq8,0.317,0.0,0,0.317,Allergen
antigen179|Q5HEW2|BX571856.1|bcell|seq1,0.337,0.0,0,0.337,Allergen
antigen179|Q5HEW2|BX571856.1|bcell|seq2,0.364,0.0,0,0.364,Allergen
antigen179|Q5HEW2|BX571856.1|bcell|seq3,0.384,0.0,0,0.384,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq1,0.34,0.0,0,0.34,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq3,0.348,0.0,0,0.348,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq4,0.355,0.0,0,0.355,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq5,0.512,0.0,0,0.512,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq6,0.343,0.0,0,0.343,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq7,0.41,0.0,0,0.41,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq8,0.346,0.0,0,0.346,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq9,0.426,0.0,0,0.426,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq10,0.388,0.0,0,0.388,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq11,0.374,0.0,0,0.374,Allergen
antigen98|A5IVY0|BX571856.1|bcell|seq12,0.342,0.0,0,0.342,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq2,0.371,0.0,0,0.371,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq4,0.364,0.0,0,0.364,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq5,0.357,0.0,0,0.357,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq6,0.344,0.0,0,0.344,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq8,0.33,0.0,0,0.33,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq9,0.34,0.0,0,0.34,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq10,0.397,0.0,0,0.397,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq11,0.325,0.0,0,0.325,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq12,0.393,0.0,0,0.393,Allergen
antigen111|A5ISH9|BX571856.1|bcell|seq13,0.328,0.0,0,0.328,Allergen
antigen194|Q2FEK3|BX571856.1|bcell|seq3,0.366,0.0,0,0.366,Allergen
antigen194|Q2FEK3|BX571856.1|bcell|seq4,0.407,0.0,0,0.407,Allergen
antigen194|Q2FEK3|BX571856.1|bcell|seq5,0.332,0.0,0,0.332,Allergen
antigen194|Q2FEK3|BX571856.1|bcell|seq10,0.381,0.0,0,0.381,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq1,0.398,0.0,0,0.398,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq2,0.34,0.0,0,0.34,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq4,0.433,0.0,0,0.433,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq5,0.339,0.0,0,0.339,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq6,0.333,0.0,0,0.333,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq7,0.33,0.0,0,0.33,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq8,0.341,0.0,0,0.341,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq9,0.303,0.0,0,0.303,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq10,0.336,0.0,0,0.336,Allergen
antigen71|Q6GKT7|BX571856.1|bcell|seq11,0.317,0.0,0,0.317,Allergen
antigen156|A8YZL5|BX571856.1|bcell|seq1,0.359,0.0,0,0.359,Allergen
antigen156|A8YZL5|BX571856.1|bcell|seq2,0.336,0.0,0,0.336,Allergen
antigen156|A8YZL5|BX571856.1|bcell|seq3,0.35,0.0,0,0.35,Allergen
antigen156|A8YZL5|BX571856.1|bcell|seq4,0.338,0.0,0,0.338,Allergen
antigen156|A8YZL5|BX571856.1|bcell|seq5,0.369,0.0,0,0.369,Allergen
antigen156|A8YZL5|BX571856.1|bcell|seq6,0.356,0.0,0,0.356,Allergen
antigen161|P99154|BX571856.1|bcell|seq1,0.672,0.0,0,0.672,Allergen
antigen161|P99154|BX571856.1|bcell|seq2,0.418,0.0,0,0.418,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq2,0.341,0.0,0,0.341,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq3,0.4,0.0,0,0.4,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq4,0.337,0.0,0,0.337,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq5,0.359,0.0,0,0.359,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq6,0.365,0.0,0,0.365,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq7,0.305,0.0,0,0.305,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq8,0.511,0.0,0,0.511,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq9,0.313,0.0,0,0.313,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq10,0.328,0.0,0,0.328,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq11,0.323,0.0,0,0.323,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq12,0.317,0.0,0,0.317,Allergen
antigen198|Q9ZEH3|BX571856.1|bcell|seq14,0.352,0.0,0,0.352,Allergen
antigen46|Q2YWH4|BX571856.1|bcell|seq1,0.418,0.0,0,0.418,Allergen
antigen46|Q2YWH4|BX571856.1|bcell|seq2,0.402,0.0,0,0.402,Allergen
antigen46|Q2YWH4|BX571856.1|bcell|seq3,0.372,0.0,0,0.372,Allergen
antigen46|Q2YWH4|BX571856.1|bcell|seq4,0.368,0.0,0,0.368,Allergen
antigen46|Q2YWH4|BX571856.1|bcell|seq6,0.332,0.0,0,0.332,Allergen
antigen46|Q2YWH4|BX571856.1|bcell|seq7,0.31,0.0,0,0.31,Allergen
antigen68|Q2FJK1|BX571856.1|bcell|seq2,0.356,0.0,0,0.356,Allergen
antigen68|Q2FJK1|BX571856.1|bcell|seq3,0.302,0.0,0,0.302,Allergen
antigen68|Q2FJK1|BX571856.1|bcell|seq4,0.313,0.0,0,0.313,Allergen
antigen68|Q2FJK1|BX571856.1|bcell|seq5,0.33,0.0,0,0.33,Allergen
antigen68|Q2FJK1|BX571856.1|bcell|seq7,0.314,0.0,0,0.314,Allergen
antigen67|A5IUL1|BX571856.1|bcell|seq1,0.338,0.0,0,0.338,Allergen
antigen67|A5IUL1|BX571856.1|bcell|seq3,0.336,0.0,0,0.336,Allergen
antigen103|Q6GJE9|BX571856.1|bcell|seq1,0.363,0.0,0,0.363,Allergen
antigen103|Q6GJE9|BX571856.1|bcell|seq2,0.322,0.0,0,0.322,Allergen
antigen103|Q6GJE9|BX571856.1|bcell|seq3,0.342,0.0,0,0.342,Allergen
antigen103|Q6GJE9|BX571856.1|bcell|seq4,0.34,0.0,0,0.34,Allergen
antigen103|Q6GJE9|BX571856.1|bcell|seq5,0.333,0.0,0,0.333,Allergen
antigen103|Q6GJE9|BX571856.1|bcell|seq6,0.363,0.0,0,0.363,Allergen
antigen116|P0A0I7|BX571856.1|bcell|seq3,0.363,0.0,0,0.363,Allergen
antigen10|Q2G023|BX571856.1|bcell|seq2,0.344,0.0,0,0.344,Allergen
antigen90|A5IRH5|BX571856.1|bcell|seq1,0.322,0.0,0,0.322,Allergen
antigen110|A6U0Z9|BX571856.1|bcell|seq1,0.326,0.0,0,0.326,Allergen
antigen110|A6U0Z9|BX571856.1|bcell|seq3,0.382,0.0,0,0.382,Allergen
antigen110|A6U0Z9|BX571856.1|bcell|seq4,0.314,0.0,0,0.314,Allergen
antigen110|A6U0Z9|BX571856.1|bcell|seq5,0.449,0.0,0,0.449,Allergen
antigen110|A6U0Z9|BX571856.1|bcell|seq6,0.356,0.0,0,0.356,Allergen
antigen110|A6U0Z9|BX571856.1|bcell|seq7,0.417,0.0,0,0.417,Allergen
antigen55|P65855|BX571856.1|bcell|seq2,0.352,0.0,0,0.352,Allergen
antigen55|P65855|BX571856.1|bcell|seq4,0.391,0.0,0,0.391,Allergen
antigen45|Q6GJE0|BX571856.1|bcell|seq2,0.523,0.0,0,0.523,Allergen
antigen45|Q6GJE0|BX571856.1|bcell|seq4,0.329,0.0,0,0.329,Allergen
antigen45|Q6GJE0|BX571856.1|bcell|seq5,0.317,0.0,0,0.317,Allergen
antigen45|Q6GJE0|BX571856.1|bcell|seq6,0.351,0.0,0,0.351,Allergen
antigen171|Q6GF16|BX571856.1|bcell|seq1,0.305,0.0,0,0.305,Allergen
antigen171|Q6GF16|BX571856.1|bcell|seq4,0.369,0.0,0,0.369,Allergen
antigen171|Q6GF16|BX571856.1|bcell|seq5,0.377,0.0,0,0.377,Allergen
antigen43|P06886|BX571856.1|bcell|seq1,0.421,0.0,0,0.421,Allergen
antigen43|P06886|BX571856.1|bcell|seq2,0.303,0.0,0,0.303,Allergen
antigen112|Q99V03|BX571856.1|bcell|seq1,0.319,0.0,0,0.319,Allergen
antigen112|Q99V03|BX571856.1|bcell|seq2,0.365,0.0,0,0.365,Allergen
antigen112|Q99V03|BX571856.1|bcell|seq3,0.331,0.0,0,0.331,Allergen
antigen112|Q99V03|BX571856.1|bcell|seq5,0.331,0.0,0,0.331,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq1,0.34,0.0,0,0.34,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq3,0.348,0.0,0,0.348,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq4,0.355,0.0,0,0.355,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq5,0.343,0.0,0,0.343,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq6,0.41,0.0,0,0.41,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq7,0.346,0.0,0,0.346,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq8,0.426,0.0,0,0.426,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq9,0.388,0.0,0,0.388,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq10,0.374,0.0,0,0.374,Allergen
antigen132|Q2YV11|BX571856.1|bcell|seq11,0.342,0.0,0,0.342,Allergen
antigen165|P65407|BX571856.1|bcell|seq1,0.319,0.0,0,0.319,Allergen
antigen182|Q2FFV9|BX571856.1|bcell|seq1,0.379,0.0,0,0.379,Allergen
antigen182|Q2FFV9|BX571856.1|bcell|seq2,0.395,0.0,0,0.395,Allergen
antigen100|Q5HGP6|BX571856.1|bcell|seq4,0.376,0.0,0,0.376,Allergen
antigen100|Q5HGP6|BX571856.1|bcell|seq5,0.359,0.0,0,0.359,Allergen
antigen100|Q5HGP6|BX571856.1|bcell|seq6,0.332,0.0,0,0.332,Allergen
antigen19|P68789|BX571856.1|bcell|seq1,0.401,0.0,0,0.401,Allergen
antigen19|P68789|BX571856.1|bcell|seq2,0.414,0.0,0,0.414,Allergen
antigen19|P68789|BX571856.1|bcell|seq4,0.408,0.0,0,0.408,Allergen
antigen19|P68789|BX571856.1|bcell|seq5,0.357,0.0,0,0.357,Allergen
antigen19|P68789|BX571856.1|bcell|seq7,0.303,0.0,0,0.303,Allergen
antigen19|P68789|BX571856.1|bcell|seq8,0.334,0.0,0,0.334,Allergen
antigen19|P68789|BX571856.1|bcell|seq9,0.332,0.0,0,0.332,Allergen
antigen89|Q2YU53|BX571856.1|bcell|seq1,0.33,0.0,0,0.33,Allergen
antigen89|Q2YU53|BX571856.1|bcell|seq2,0.395,0.0,0,0.395,Allergen
antigen37|Q2YY04|BX571856.1|bcell|seq1,0.338,0.0,0,0.338,Allergen
antigen37|Q2YY04|BX571856.1|bcell|seq3,0.336,0.0,0,0.336,Allergen
antigen92|A6U0U2|BX571856.1|bcell|seq1,0.304,0.0,0,0.304,Allergen
antigen92|A6U0U2|BX571856.1|bcell|seq3,0.339,0.0,0,0.339,Allergen
antigen135|Q5HFW9|BX571856.1|bcell|seq1,0.336,0.0,0,0.336,Allergen
antigen135|Q5HFW9|BX571856.1|bcell|seq2,0.348,0.0,0,0.348,Allergen
antigen135|Q5HFW9|BX571856.1|bcell|seq4,0.346,0.0,0,0.346,Allergen
antigen135|Q5HFW9|BX571856.1|bcell|seq5,0.399,0.0,0,0.399,Allergen
antigen135|Q5HFW9|BX571856.1|bcell|seq6,0.326,0.0,0,0.326,Allergen
antigen135|Q5HFW9|BX571856.1|bcell|seq7,0.373,0.0,0,0.373,Allergen
antigen135|Q5HFW9|BX571856.1|bcell|seq8,0.317,0.0,0,0.317,Allergen
antigen168|A0A0H3K6Z9|BX571856.1|bcell|seq1,0.334,0.0,0,0.334,Allergen
antigen168|A0A0H3K6Z9|BX571856.1|bcell|seq2,0.354,0.0,0,0.354,Allergen
antigen168|A0A0H3K6Z9|BX571856.1|bcell|seq3,0.321,0.0,0,0.321,Allergen
antigen168|A0A0H3K6Z9|BX571856.1|bcell|seq6,0.321,0.0,0,0.321,Allergen
antigen188|Q5HGH0|BX571856.1|bcell|seq1,0.309,0.0,0,0.309,Allergen
antigen188|Q5HGH0|BX571856.1|bcell|seq2,0.326,0.0,0,0.326,Allergen
antigen188|Q5HGH0|BX571856.1|bcell|seq5,0.311,0.0,0,0.311,Allergen
antigen80|Q5HG90|BX571856.1|bcell|seq1,0.329,0.0,0,0.329,Allergen
antigen80|Q5HG90|BX571856.1|bcell|seq2,0.369,0.0,0,0.369,Allergen
antigen80|Q5HG90|BX571856.1|bcell|seq3,0.407,0.0,0,0.407,Allergen
antigen80|Q5HG90|BX571856.1|bcell|seq4,0.347,0.0,0,0.347,Allergen
antigen80|Q5HG90|BX571856.1|bcell|seq5,0.363,0.0,0,0.363,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq1,0.391,0.0,0,0.391,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq2,0.333,0.0,0,0.333,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq3,0.341,0.0,0,0.341,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq4,0.431,0.0,0,0.431,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq6,0.35,0.0,0,0.35,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq7,0.41,0.0,0,0.41,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq8,0.307,0.0,0,0.307,Allergen
antigen113|Q2FKQ5|BX571856.1|bcell|seq9,0.313,0.0,0,0.313,Allergen
antigen148|P72358|BX571856.1|bcell|seq1,0.422,0.0,0,0.422,Allergen
antigen149|Q99QV7|BX571856.1|bcell|seq1,0.319,0.0,0,0.319,Allergen
antigen149|Q99QV7|BX571856.1|bcell|seq2,0.365,0.0,0,0.365,Allergen
antigen149|Q99QV7|BX571856.1|bcell|seq4,0.331,0.0,0,0.331,Allergen
antigen34|Q6GC27|BX571856.1|bcell|seq2,0.335,0.0,0,0.335,Allergen
antigen34|Q6GC27|BX571856.1|bcell|seq4,0.536,0.0,0,0.536,Allergen
antigen34|Q6GC27|BX571856.1|bcell|seq5,0.417,0.0,0,0.417,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq2,0.341,0.0,0,0.341,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq3,0.4,0.0,0,0.4,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq4,0.337,0.0,0,0.337,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq5,0.359,0.0,0,0.359,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq6,0.365,0.0,0,0.365,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq7,0.305,0.0,0,0.305,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq8,0.511,0.0,0,0.511,Allergen
antigen131|Q2YXC9|BX571856.1|bcell|seq9,0.313,0.0,0,0.313,Allergen
