Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen10|Q2G023|BX571857.1|bcell|seq2,0.344,0,0,0.344,Allergen
antigen80|Q5HG90|BX571857.1|bcell|seq1,0.346,0,0,0.346,Allergen
antigen80|Q5HG90|BX571857.1|bcell|seq2,0.37,0,0,0.37,Allergen
antigen80|Q5HG90|BX571857.1|bcell|seq3,0.32,0,0,0.32,Allergen
antigen80|Q5HG90|BX571857.1|bcell|seq4,0.305,0,0,0.305,Allergen
antigen80|Q5HG90|BX571857.1|bcell|seq5,0.318,0,0,0.318,Allergen
antigen89|Q2YU53|BX571857.1|bcell|seq1,0.316,0,0,0.316,Allergen
antigen89|Q2YU53|BX571857.1|bcell|seq2,0.361,0,0,0.361,Allergen
antigen89|Q2YU53|BX571857.1|bcell|seq3,0.346,0,0,0.346,Allergen
antigen89|Q2YU53|BX571857.1|bcell|seq5,0.535,0,0,0.535,Allergen
antigen89|Q2YU53|BX571857.1|bcell|seq6,0.323,0,0,0.323,Allergen
antigen89|Q2YU53|BX571857.1|bcell|seq7,0.372,0,0,0.372,Allergen
antigen89|Q2YU53|BX571857.1|bcell|seq8,0.475,0,0,0.475,Allergen
antigen21|Q6GCF3|BX571857.1|bcell|seq1,0.442,0,0,0.442,Allergen
antigen21|Q6GCF3|BX571857.1|bcell|seq3,0.326,0,0,0.326,Allergen
antigen21|Q6GCF3|BX571857.1|bcell|seq4,0.439,0,0,0.439,Allergen
antigen21|Q6GCF3|BX571857.1|bcell|seq5,0.36,0,0,0.36,Allergen
antigen21|Q6GCF3|BX571857.1|bcell|seq6,0.318,0,0,0.318,Allergen
antigen69|A5IQW9|BX571857.1|bcell|seq2,0.347,0,0,0.347,Allergen
antigen69|A5IQW9|BX571857.1|bcell|seq3,0.339,0,0,0.339,Allergen
antigen69|A5IQW9|BX571857.1|bcell|seq5,0.34,0,0,0.34,Allergen
antigen112|Q99V03|BX571857.1|bcell|seq1,0.303,0,0,0.303,Allergen
antigen112|Q99V03|BX571857.1|bcell|seq2,0.341,0,0,0.341,Allergen
antigen112|Q99V03|BX571857.1|bcell|seq3,0.336,0,0,0.336,Allergen
antigen112|Q99V03|BX571857.1|bcell|seq4,0.301,0,0,0.301,Allergen
antigen112|Q99V03|BX571857.1|bcell|seq5,0.437,0,0,0.437,Allergen
antigen112|Q99V03|BX571857.1|bcell|seq6,0.425,0,0,0.425,Allergen
antigen164|Q6GIM9|BX571857.1|bcell|seq2,0.371,0,0,0.371,Allergen
antigen164|Q6GIM9|BX571857.1|bcell|seq3,0.325,0,0,0.325,Allergen
antigen195|A7X2E3|BX571857.1|bcell|seq1,0.347,0,0,0.347,Allergen
antigen195|A7X2E3|BX571857.1|bcell|seq2,0.318,0,0,0.318,Allergen
antigen195|A7X2E3|BX571857.1|bcell|seq3,0.329,0,0,0.329,Allergen
antigen195|A7X2E3|BX571857.1|bcell|seq4,0.396,0,0,0.396,Allergen
antigen195|A7X2E3|BX571857.1|bcell|seq7,0.446,0,0,0.446,Allergen
antigen14|A5IRD0|BX571857.1|bcell|seq2,0.425,0,0,0.425,Allergen
antigen14|A5IRD0|BX571857.1|bcell|seq3,0.336,0,0,0.336,Allergen
antigen14|A5IRD0|BX571857.1|bcell|seq4,0.38,0,0,0.38,Allergen
antigen14|A5IRD0|BX571857.1|bcell|seq6,0.327,0,0,0.327,Allergen
antigen14|A5IRD0|BX571857.1|bcell|seq7,0.349,0,0,0.349,Allergen
antigen14|A5IRD0|BX571857.1|bcell|seq8,0.38,0,0,0.38,Allergen
antigen14|A5IRD0|BX571857.1|bcell|seq9,0.464,0,0,0.464,Allergen
antigen68|Q2FJK1|BX571857.1|bcell|seq2,0.318,0,0,0.318,Allergen
antigen68|Q2FJK1|BX571857.1|bcell|seq3,0.335,0,0,0.335,Allergen
antigen139|P65968|BX571857.1|bcell|seq1,0.307,0,0,0.307,Allergen
antigen139|P65968|BX571857.1|bcell|seq2,0.305,0,0,0.305,Allergen
antigen146|Q8NXW9|BX571857.1|bcell|seq1,0.469,0,0,0.469,Allergen
antigen146|Q8NXW9|BX571857.1|bcell|seq4,0.305,0,0,0.305,Allergen
antigen146|Q8NXW9|BX571857.1|bcell|seq5,0.407,0,0,0.407,Allergen
antigen146|Q8NXW9|BX571857.1|bcell|seq6,0.356,0,0,0.356,Allergen
antigen146|Q8NXW9|BX571857.1|bcell|seq7,0.349,0,0,0.349,Allergen
antigen146|Q8NXW9|BX571857.1|bcell|seq8,0.313,0,0,0.313,Allergen
antigen146|Q8NXW9|BX571857.1|bcell|seq9,0.321,0,0,0.321,Allergen
antigen12|A7X4W4|BX571857.1|bcell|seq2,0.352,0,0,0.352,Allergen
antigen12|A7X4W4|BX571857.1|bcell|seq3,0.361,0,0,0.361,Allergen
antigen12|A7X4W4|BX571857.1|bcell|seq4,0.343,0,0,0.343,Allergen
antigen12|A7X4W4|BX571857.1|bcell|seq5,0.486,0,0,0.486,Allergen
antigen12|A7X4W4|BX571857.1|bcell|seq6,0.337,0,0,0.337,Allergen
antigen26|Q5HHQ3|BX571857.1|bcell|seq2,0.347,0,0,0.347,Allergen
antigen26|Q5HHQ3|BX571857.1|bcell|seq3,0.339,0,0,0.339,Allergen
antigen26|Q5HHQ3|BX571857.1|bcell|seq5,0.34,0,0,0.34,Allergen
antigen63|P65177|BX571857.1|bcell|seq2,0.343,0,0,0.343,Allergen
antigen63|P65177|BX571857.1|bcell|seq5,0.306,0,0,0.306,Allergen
antigen193|P68821|BX571857.1|bcell|seq1,0.343,0,0,0.343,Allergen
antigen193|P68821|BX571857.1|bcell|seq2,0.375,0,0,0.375,Allergen
antigen193|P68821|BX571857.1|bcell|seq3,0.354,0,0,0.354,Allergen
antigen193|P68821|BX571857.1|bcell|seq4,0.334,0,0,0.334,Allergen
antigen193|P68821|BX571857.1|bcell|seq5,0.351,0,0,0.351,Allergen
antigen193|P68821|BX571857.1|bcell|seq6,0.325,0,0,0.325,Allergen
antigen193|P68821|BX571857.1|bcell|seq7,0.43,0,0,0.43,Allergen
antigen87|Q2FXU5|BX571857.1|bcell|seq1,0.336,0,0,0.336,Allergen
antigen87|Q2FXU5|BX571857.1|bcell|seq2,0.348,0,0,0.348,Allergen
antigen87|Q2FXU5|BX571857.1|bcell|seq4,0.346,0,0,0.346,Allergen
antigen87|Q2FXU5|BX571857.1|bcell|seq5,0.393,0,0,0.393,Allergen
antigen87|Q2FXU5|BX571857.1|bcell|seq6,0.326,0,0,0.326,Allergen
antigen87|Q2FXU5|BX571857.1|bcell|seq7,0.373,0,0,0.373,Allergen
antigen135|Q5HFW9|BX571857.1|bcell|seq1,0.336,0,0,0.336,Allergen
antigen135|Q5HFW9|BX571857.1|bcell|seq2,0.348,0,0,0.348,Allergen
antigen135|Q5HFW9|BX571857.1|bcell|seq4,0.346,0,0,0.346,Allergen
antigen135|Q5HFW9|BX571857.1|bcell|seq5,0.393,0,0,0.393,Allergen
antigen135|Q5HFW9|BX571857.1|bcell|seq6,0.326,0,0,0.326,Allergen
antigen135|Q5HFW9|BX571857.1|bcell|seq7,0.373,0,0,0.373,Allergen
antigen115|Q7A7G0|BX571857.1|bcell|seq2,0.318,0,0,0.318,Allergen
antigen115|Q7A7G0|BX571857.1|bcell|seq3,0.335,0,0,0.335,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq1,0.363,0,0,0.363,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq2,0.333,0,0,0.333,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq3,0.341,0,0,0.341,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq4,0.431,0,0,0.431,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq6,0.35,0,0,0.35,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq7,0.41,0,0,0.41,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq8,0.307,0,0,0.307,Allergen
antigen113|Q2FKQ5|BX571857.1|bcell|seq9,0.313,0,0,0.313,Allergen
antigen177|P60611|BX571857.1|bcell|seq1,0.31,0,0,0.31,Allergen
antigen177|P60611|BX571857.1|bcell|seq2,0.378,0,0,0.378,Allergen
antigen177|P60611|BX571857.1|bcell|seq3,0.353,0,0,0.353,Allergen
antigen72|P99088|BX571857.1|bcell|seq1,0.317,0,0,0.317,Allergen
antigen72|P99088|BX571857.1|bcell|seq2,0.362,0,0,0.362,Allergen
antigen72|P99088|BX571857.1|bcell|seq3,0.331,0,0,0.331,Allergen
antigen72|P99088|BX571857.1|bcell|seq4,0.449,0,0,0.449,Allergen
antigen72|P99088|BX571857.1|bcell|seq5,0.434,0,0,0.434,Allergen
antigen72|P99088|BX571857.1|bcell|seq6,0.332,0,0,0.332,Allergen
antigen72|P99088|BX571857.1|bcell|seq7,0.368,0,0,0.368,Allergen
antigen72|P99088|BX571857.1|bcell|seq8,0.348,0,0,0.348,Allergen
antigen72|P99088|BX571857.1|bcell|seq9,0.321,0,0,0.321,Allergen
antigen72|P99088|BX571857.1|bcell|seq10,0.318,0,0,0.318,Allergen
antigen45|Q6GJE0|BX571857.1|bcell|seq1,0.325,0,0,0.325,Allergen
antigen45|Q6GJE0|BX571857.1|bcell|seq2,0.345,0,0,0.345,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq1,0.315,0,0,0.315,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq4,0.332,0,0,0.332,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq5,0.41,0,0,0.41,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq6,0.36,0,0,0.36,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq7,0.355,0,0,0.355,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq9,0.575,0,0,0.575,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq10,0.305,0,0,0.305,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq11,0.346,0,0,0.346,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq12,0.322,0,0,0.322,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq13,0.306,0,0,0.306,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq14,0.324,0,0,0.324,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq15,0.345,0,0,0.345,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq16,0.48,0,0,0.48,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq18,0.385,0,0,0.385,Allergen
antigen61|Q6GIN8|BX571857.1|bcell|seq20,0.355,0,0,0.355,Allergen
antigen91|Q6GIE0|BX571857.1|bcell|seq1,0.423,0,0,0.423,Allergen
antigen91|Q6GIE0|BX571857.1|bcell|seq2,0.338,0,0,0.338,Allergen
antigen91|Q6GIE0|BX571857.1|bcell|seq4,0.336,0,0,0.336,Allergen
antigen140|Q7A417|BX571857.1|bcell|seq1,0.365,0,0,0.365,Allergen
antigen140|Q7A417|BX571857.1|bcell|seq2,0.381,0,0,0.381,Allergen
antigen140|Q7A417|BX571857.1|bcell|seq3,0.313,0,0,0.313,Allergen
antigen140|Q7A417|BX571857.1|bcell|seq4,0.336,0,0,0.336,Allergen
antigen140|Q7A417|BX571857.1|bcell|seq5,0.31,0,0,0.31,Allergen
antigen140|Q7A417|BX571857.1|bcell|seq6,0.356,0,0,0.356,Allergen
antigen140|Q7A417|BX571857.1|bcell|seq7,0.387,0,0,0.387,Allergen
antigen152|Q2FYU5|BX571857.1|bcell|seq1,0.377,0,0,0.377,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq1,0.334,0,0,0.334,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq2,0.343,0,0,0.343,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq4,0.374,0,0,0.374,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq5,0.317,0,0,0.317,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq6,0.306,0,0,0.306,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq7,0.385,0,0,0.385,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq8,0.353,0,0,0.353,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq10,0.302,0,0,0.302,Allergen
antigen119|Q99UI1|BX571857.1|bcell|seq11,0.405,0,0,0.405,Allergen
antigen182|Q2FFV9|BX571857.1|bcell|seq1,0.364,0,0,0.364,Allergen
antigen182|Q2FFV9|BX571857.1|bcell|seq2,0.381,0,0,0.381,Allergen
antigen182|Q2FFV9|BX571857.1|bcell|seq3,0.523,0,0,0.523,Allergen
antigen18|Q5HIH8|BX571857.1|bcell|seq1,0.345,0,0,0.345,Allergen
antigen18|Q5HIH8|BX571857.1|bcell|seq2,0.314,0,0,0.314,Allergen
antigen18|Q5HIH8|BX571857.1|bcell|seq3,0.341,0,0,0.341,Allergen
antigen19|P68789|BX571857.1|bcell|seq1,0.33,0,0,0.33,Allergen
antigen19|P68789|BX571857.1|bcell|seq3,0.405,0,0,0.405,Allergen
antigen19|P68789|BX571857.1|bcell|seq4,0.31,0,0,0.31,Allergen
antigen19|P68789|BX571857.1|bcell|seq5,0.406,0,0,0.406,Allergen
antigen19|P68789|BX571857.1|bcell|seq6,0.314,0,0,0.314,Allergen
antigen19|P68789|BX571857.1|bcell|seq7,0.348,0,0,0.348,Allergen
antigen19|P68789|BX571857.1|bcell|seq8,0.451,0,0,0.451,Allergen
antigen19|P68789|BX571857.1|bcell|seq9,0.341,0,0,0.341,Allergen
antigen43|P06886|BX571857.1|bcell|seq1,0.376,0,0,0.376,Allergen
antigen82|A7X4V7|BX571857.1|bcell|seq1,0.317,0,0,0.317,Allergen
antigen82|A7X4V7|BX571857.1|bcell|seq2,0.347,0,0,0.347,Allergen
antigen82|A7X4V7|BX571857.1|bcell|seq3,0.381,0,0,0.381,Allergen
antigen82|A7X4V7|BX571857.1|bcell|seq4,0.339,0,0,0.339,Allergen
antigen82|A7X4V7|BX571857.1|bcell|seq5,0.314,0,0,0.314,Allergen
antigen82|A7X4V7|BX571857.1|bcell|seq6,0.439,0,0,0.439,Allergen
antigen82|A7X4V7|BX571857.1|bcell|seq7,0.419,0,0,0.419,Allergen
antigen129|P63980|BX571857.1|bcell|seq1,0.334,0,0,0.334,Allergen
antigen129|P63980|BX571857.1|bcell|seq2,0.318,0,0,0.318,Allergen
antigen129|P63980|BX571857.1|bcell|seq3,0.375,0,0,0.375,Allergen
antigen129|P63980|BX571857.1|bcell|seq4,0.359,0,0,0.359,Allergen
antigen129|P63980|BX571857.1|bcell|seq5,0.371,0,0,0.371,Allergen
antigen129|P63980|BX571857.1|bcell|seq6,0.381,0,0,0.381,Allergen
antigen129|P63980|BX571857.1|bcell|seq7,0.349,0,0,0.349,Allergen
antigen129|P63980|BX571857.1|bcell|seq8,0.315,0,0,0.315,Allergen
antigen129|P63980|BX571857.1|bcell|seq9,0.334,0,0,0.334,Allergen
antigen49|Q6GJN0|BX571857.1|bcell|seq2,0.318,0,0,0.318,Allergen
antigen49|Q6GJN0|BX571857.1|bcell|seq3,0.335,0,0,0.335,Allergen
antigen171|Q6GF16|BX571857.1|bcell|seq1,0.305,0,0,0.305,Allergen
antigen171|Q6GF16|BX571857.1|bcell|seq4,0.369,0,0,0.369,Allergen
antigen171|Q6GF16|BX571857.1|bcell|seq5,0.377,0,0,0.377,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq1,0.33,0,0,0.33,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq3,0.405,0,0,0.405,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq4,0.31,0,0,0.31,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq5,0.406,0,0,0.406,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq6,0.314,0,0,0.314,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq7,0.348,0,0,0.348,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq8,0.451,0,0,0.451,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq9,0.389,0,0,0.389,Allergen
antigen32|Q5HFH6|BX571857.1|bcell|seq12,0.389,0,0,0.389,Allergen
antigen36|Q6GAB5|BX571857.1|bcell|seq1,0.303,0,0,0.303,Allergen
antigen36|Q6GAB5|BX571857.1|bcell|seq2,0.341,0,0,0.341,Allergen
antigen36|Q6GAB5|BX571857.1|bcell|seq3,0.336,0,0,0.336,Allergen
antigen36|Q6GAB5|BX571857.1|bcell|seq4,0.301,0,0,0.301,Allergen
antigen36|Q6GAB5|BX571857.1|bcell|seq5,0.437,0,0,0.437,Allergen
antigen36|Q6GAB5|BX571857.1|bcell|seq6,0.425,0,0,0.425,Allergen
antigen48|Q936F2|BX571857.1|bcell|seq1,0.323,0,0,0.323,Allergen
antigen48|Q936F2|BX571857.1|bcell|seq3,0.308,0,0,0.308,Allergen
antigen48|Q936F2|BX571857.1|bcell|seq5,0.317,0,0,0.317,Allergen
antigen50|P63730|BX571857.1|bcell|seq1,0.39,0,0,0.39,Allergen
antigen50|P63730|BX571857.1|bcell|seq2,0.336,0,0,0.336,Allergen
antigen50|P63730|BX571857.1|bcell|seq5,0.353,0,0,0.353,Allergen
antigen50|P63730|BX571857.1|bcell|seq6,0.354,0,0,0.354,Allergen
antigen50|P63730|BX571857.1|bcell|seq7,0.351,0,0,0.351,Allergen
antigen121|Q99U50|BX571857.1|bcell|seq1,0.441,0,0,0.441,Allergen
antigen121|Q99U50|BX571857.1|bcell|seq2,0.315,0,0,0.315,Allergen
antigen121|Q99U50|BX571857.1|bcell|seq3,0.35,0,0,0.35,Allergen
antigen121|Q99U50|BX571857.1|bcell|seq4,0.353,0,0,0.353,Allergen
antigen121|Q99U50|BX571857.1|bcell|seq5,0.365,0,0,0.365,Allergen
antigen121|Q99U50|BX571857.1|bcell|seq6,0.308,0,0,0.308,Allergen
antigen121|Q99U50|BX571857.1|bcell|seq7,0.352,0,0,0.352,Allergen
antigen149|Q99QV7|BX571857.1|bcell|seq1,0.321,0,0,0.321,Allergen
antigen149|Q99QV7|BX571857.1|bcell|seq3,0.344,0,0,0.344,Allergen
antigen149|Q99QV7|BX571857.1|bcell|seq4,0.39,0,0,0.39,Allergen
antigen13|Q6GHM6|BX571857.1|bcell|seq1,0.347,0,0,0.347,Allergen
antigen13|Q6GHM6|BX571857.1|bcell|seq3,0.337,0,0,0.337,Allergen
antigen13|Q6GHM6|BX571857.1|bcell|seq4,0.368,0,0,0.368,Allergen
antigen13|Q6GHM6|BX571857.1|bcell|seq5,0.368,0,0,0.368,Allergen
antigen13|Q6GHM6|BX571857.1|bcell|seq6,0.405,0,0,0.405,Allergen
antigen13|Q6GHM6|BX571857.1|bcell|seq7,0.357,0,0,0.357,Allergen
antigen13|Q6GHM6|BX571857.1|bcell|seq8,0.33,0,0,0.33,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq2,0.413,0,0,0.413,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq3,0.314,0,0,0.314,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq4,0.344,0,0,0.344,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq5,0.339,0,0,0.339,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq6,0.305,0,0,0.305,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq7,0.31,0,0,0.31,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq8,0.37,0,0,0.37,Allergen
antigen66|Q2FF66|BX571857.1|bcell|seq9,0.33,0,0,0.33,Allergen
