parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
UNIPROT:Q8DPU6,['Uncharacterized protein (UniProt:Q8DPU6)'],['Streptococcus pneumoniae'],['Homo sapiens (human)']
UNIPROT:Q8DQ07,['Pneumococcal histidine triad protein E (UniProt:Q8DQ07)'],['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q8DQ08,['Pneumococcal histidine triad protein D (UniProt:Q8DQ08)'],['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q8DQN5,['Zinc metalloprotease ZmpB (UniProt:Q8DQN5)'],['Streptococcus pneumoniae'],"['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:Q8DQN7,['Histidine kinase (UniProt:Q8DQN7)'],['Streptococcus pneumoniae TIGR4'],['Homo sapiens (human)']
UNIPROT:Q8DQS1,['A secreted peptide which is the signal sensed by VncR/S (UniProt:Q8DQS1)'],"['Streptococcus pneumoniae', 'Streptococcus pneumoniae R6']",['Homo sapiens (human)']
UNIPROT:Q8DQY9,['Trk transporter membrane-spanning protein-K+ transport (UniProt:Q8DQY9)'],['Streptococcus pneumoniae D39 (Streptococcus pneumoniae str. D39)'],['Homo sapiens (human)']
UNIPROT:Q8DQZ1,['6-phospho-beta-galactosidase 1 (UniProt:Q8DQZ1)'],['Streptococcus pneumoniae TIGR4'],['Homo sapiens (human)']
UNIPROT:Q8DRI0,['Surface protein pspA (UniProt:Q8DRI0)'],"['Streptococcus pneumoniae', 'Streptococcus pneumoniae D39 (Streptococcus pneumoniae str. D39)', 'Streptococcus pneumoniae R6']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6 X BALB/c', 'Mus musculus CBA', 'Mus musculus (mouse)', 'Mus musculus NMRI']"
UNIPROT:Q8DRK2,['Gram-positive cocci surface proteins LPxTG domain-containing protein (UniProt:Q8DRK2)'],['Streptococcus pneumoniae'],['Homo sapiens (human)']
UNIPROT:Q8DRM6,['Phosphoribosylformylglycinamide synthetase (UniProt:Q8DRM6)'],"['Streptococcus pneumoniae', 'Streptococcus pneumoniae R6']",['Homo sapiens (human)']
