Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_106|R4IZI5||WGK74435.1|tpos:1-607,0.156,0.5,0.0,0.656,Allergen
antigen_94|O83427|DUF3276|WGK74807.1|tpos:1-101,0.255,0.0,0.0,0.255,Non-Allergen
antigen_95|O83414|Flagellar|WGK74793.1|tpos:1-567,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_75|O83630|Tetratricopeptide|WGK75002.1|tpos:1-593,0.027,0.5,0.0,0.527,Allergen
antigen_28|O83499||WGK74877.1|tpos:1-461,0.09,0.5,0.0,0.59,Allergen
antigen_84|O83828|UPF0164|WGK75225.1|tpos:1-315,0.494,0.0,-0.5,-0.006,Non-Allergen
antigen_51|O83347||WGK74723.1|tpos:1-172,0.087,0.0,0.0,0.087,Non-Allergen
antigen_52|O83813||WGK75210.1|tpos:40-524,0.292,0.0,-0.5,-0.208,Non-Allergen
antigen_68|O83246|Chaperone|WGK74627.1|tpos:1-635,0.385,0.5,0.5,1.385,Allergen
antigen_10|O83923||WGK75319.1|tpos:1-342,0.005,0.0,0.0,0.005,Non-Allergen
antigen_134|O83930||WGK75326.1|tpos:1-235,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_66|O83581||WGK74958.1|tpos:1-221,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_67|O83275|N-acetylmuramoyl-L-alanine|WGK74656.1|tpos:1-357,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_73|O83487|Probable|WGK74866.1|tpos:1-245,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_74|O83249|Anti-sigma|WGK74631.1|tpos:1-108,0.068,0.0,0.0,0.068,Non-Allergen
antigen_126|O83769||WGK75162.1|tpos:1-888,0.019,0.0,0.0,0.019,Non-Allergen
antigen_117|O83528|LptD|WGK74904.1|tpos:1-991,0.088,0.5,0.0,0.588,Allergen
antigen_21|O83920|Tetratricopeptide|WGK75316.1|tpos:1-478,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_45|O83325|DNA|WGK74704.1|tpos:29-648,0.057,0.5,-0.5,0.057,Non-Allergen
antigen_80|O83748|Elongation|WGK75140.1|tpos:1-695,0.071,0.5,-0.5,0.071,Non-Allergen
antigen_112|O83619||WGK75392.1|tpos:46-556,0.261,0.0,0.0,0.261,Non-Allergen
antigen_22|O83413|Flagellar|WGK74792.1|tpos:1-124,0.266,0.0,0.0,0.266,Non-Allergen
antigen_72|O83164|Uncharacterized|WGK74548.1|tpos:1-110,0.402,0.0,0.0,0.402,Allergen
antigen_131|O83964|DNA|WGK75360.1|tpos:1-799,0.007,0.5,-0.5,0.007,Non-Allergen
antigen_13|O83475|Uncharacterized|WGK74856.1|tpos:33-423,0.697,0.0,-0.5,0.197,Non-Allergen
antigen_31|O83301||WGK74685.1|tpos:1-448,0.08,0.0,-0.5,-0.42,Non-Allergen
antigen_119|O83831|UPF0164|WGK75231.1|tpos:36-478,0.173,0.0,-0.5,-0.327,Non-Allergen
antigen_135|O83782||WGK75175.1|tpos:1-387,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_82|O83661||WGK75034.1|tpos:1-348,0.228,0.0,-0.5,-0.272,Non-Allergen
antigen_69|P74934|Enolase|WGK75186.1|tpos:1-432,0.264,0.5,0.5,1.264,Allergen
antigen_24|P38369|Outer|WGK74694.1|tpos:1-417,0.074,0.0,-0.5,-0.426,Non-Allergen
antigen_18|A0A2P1DUM7||WGK74722.1|tpos:443-636,0.402,0.0,0.0,0.402,Allergen
antigen_121|O83922|Uncharacterized|WGK75318.1|tpos:1-323,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_34|O83449|SPOR|WGK74827.1|tpos:470-684,0.343,0.0,0.0,0.343,Allergen
antigen_35|O83482||WGK74861.1|tpos:1-482,0.038,0.5,-0.5,0.038,Non-Allergen
antigen_100|O83383|Uncharacterized|WGK74763.1|tpos:1-111,0.043,0.0,0.0,0.043,Non-Allergen
antigen_102|P56822|Uncharacterized|WGK74999.1|tpos:9-178,0.094,0.0,0.0,0.094,Non-Allergen
antigen_123|O83933|Uncharacterized|WGK75329.1|tpos:1-521,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_70|F7IVK2||WGK74760.1|tpos:1-154,0.255,0.0,0.0,0.255,Non-Allergen
antigen_71|O83349|Serine|WGK74725.1|tpos:1-504,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_20|O83691|Uncharacterized|WGK75071.1|tpos:1-440,0.014,0.0,0.0,0.014,Non-Allergen
antigen_114|F7IWA5||WGK75001.1|tpos:1-756,0.397,0.0,0.0,0.397,Allergen
antigen_85|O83830|UPF0164|WGK75226.1|tpos:13-409,0.359,0.0,-0.5,-0.141,Non-Allergen
antigen_120|O83837|UPF0164|WGK75231.1|tpos:1-481,0.179,0.0,-0.5,-0.321,Non-Allergen
antigen_14|O06690|Flagellar|WGK74954.1|tpos:1-199,0.069,0.0,0.0,0.069,Non-Allergen
antigen_16|F7IW56||WGK74635.1|tpos:1-246,0.076,0.0,0.0,0.076,Non-Allergen
antigen_2|P07643|Treponemal|WGK75141.1|tpos:1-345,0.041,0.5,0.0,0.541,Allergen
antigen_29|O83213|Uncharacterized|WGK74593.1|tpos:1-281,0.014,0.0,0.0,0.014,Non-Allergen
antigen_86|O83268|Large|WGK74649.1|tpos:1-129,0.491,0.0,-0.5,-0.009,Non-Allergen
antigen_87|O83615|Small|WGK74988.1|tpos:1-291,0.056,0.0,-0.5,-0.444,Non-Allergen
antigen_44|O83126||WGK74509.1|tpos:1-204,0.023,0.0,0.0,0.023,Non-Allergen
antigen_132|O83296|Chromosome-partitioning|WGK74680.1|tpos:1-253,0.165,0.0,-0.5,-0.335,Non-Allergen
antigen_64|O83095||WGK74477.1|tpos:1-593,0.03,0.0,0.0,0.03,Non-Allergen
antigen_128|O83715|Uncharacterized|WGK75108.1|tpos:1-219,0.375,0.0,0.0,0.375,Allergen
antigen_127|O83163|Uncharacterized|WGK74547.1|tpos:1-223,0.64,0.0,0.0,0.64,Allergen
antigen_12|O83138||WGK74521.1|tpos:1-200,0.043,0.0,0.5,0.543,Allergen
antigen_36|O07950|Membrane|WGK75190.1|tpos:1-268,0.088,0.0,0.0,0.088,Non-Allergen
antigen_3|P16055|15|WGK74585.1|tpos:1-142,0.099,0.0,0.0,0.099,Non-Allergen
antigen_38|O83966|Uncharacterized|WGK75362.1|tpos:1-393,0.027,0.5,0.0,0.527,Allergen
antigen_47|O83448|Acidic|WGK74827.1|tpos:1-251,0.224,0.0,0.0,0.224,Non-Allergen
antigen_48|O83666|Flagellar|WGK75038.1|tpos:1-625,0.066,0.0,0.0,0.066,Non-Allergen
antigen_89|O83974|Nucleoside|WGK75371.1|tpos:1-149,0.043,0.0,0.5,0.543,Allergen
antigen_91|O83123||WGK74506.1|tpos:1-148,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_125|O83931||WGK75327.1|tpos:1-320,0.073,0.0,0.0,0.073,Non-Allergen
antigen_83|O83557||WGK74933.1|tpos:1-571,0.045,0.0,-0.5,-0.455,Non-Allergen
antigen_115|O83867||WGK75262.1|tpos:1-515,0.628,0.0,0.0,0.628,Allergen
antigen_39|O83481||WGK74861.1|tpos:476-650,0.198,0.0,-0.5,-0.302,Non-Allergen
antigen_40|O83834|Peptidyl-prolyl|WGK75228.1|tpos:1-264,0.296,0.0,0.0,0.296,Non-Allergen
antigen_5|P29723|Putative|WGK74960.1|tpos:1-434,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_26|O83967|DUF2259|WGK75363.1|tpos:30-251,0.111,0.5,0.0,0.611,Allergen
antigen_27|O83169|Uncharacterized|WGK74552.1|tpos:1-409,0.403,0.0,-0.5,-0.097,Non-Allergen
antigen_104|O84001|Adenine|WGK75400.1|tpos:1-190,0.065,0.5,-0.5,0.065,Non-Allergen
antigen_61|O83469|Uncharacterized|WGK74850.1|tpos:1-438,0.117,0.0,0.0,0.117,Non-Allergen
antigen_81|O83384|Uncharacterized|WGK74764.1|tpos:1-516,0.136,0.0,0.0,0.136,Non-Allergen
antigen_58|O83912|Uncharacterized|WGK75303.1|tpos:1-154,0.239,0.0,0.0,0.239,Non-Allergen
antigen_60|O83410|Tyrosine|WGK74789.1|tpos:1-297,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_129|O67998|Outer|WGK74846.1|tpos:1-287,0.035,0.0,0.0,0.035,Non-Allergen
antigen_15|O83751|Uncharacterized|WGK75145.1|tpos:1-274,0.188,0.0,0.0,0.188,Non-Allergen
antigen_19|P29725|Basic|WGK75377.1|tpos:1-361,0.208,0.0,0.0,0.208,Non-Allergen
antigen_108|O83055||WGK74436.1|tpos:1-660,0.108,0.5,0.0,0.608,Allergen
antigen_6|Q08255|Glucose/galactose-binding|WGK75062.1|tpos:1-403,0.541,0.0,0.0,0.541,Allergen
antigen_97|O83086|DUF327|WGK74468.1|tpos:1-173,0.026,0.0,0.0,0.026,Non-Allergen
antigen_98|O54312|UDP-N-acetylglucosamine|WGK74451.1|tpos:1-424,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_1|O83639|Protein-glutamate|WGK75011.1|tpos:1-403,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_59|Q56328|ABC|WGK74700.1|tpos:1-343,0.038,0.0,0.0,0.038,Non-Allergen
antigen_17|P19478|34|WGK75332.1|tpos:1-204,0.507,0.0,0.0,0.507,Allergen
antigen_25|P29724|Membrane|WGK74717.1|tpos:1-353,0.313,0.5,0.0,0.813,Allergen
antigen_133|F7IVD2||WGK75088.1|tpos:1-304,0.056,0.5,-0.5,0.056,Non-Allergen
antigen_116|O83994||WGK75392.1|tpos:45-556,0.257,0.0,0.0,0.257,Non-Allergen
antigen_88|O83478|Uncharacterized|WGK74858.1|tpos:1-290,0.096,0.5,0.0,0.596,Allergen
antigen_53|O83732|Uncharacterized|WGK75126.1|tpos:1-237,0.118,0.5,0.0,0.618,Allergen
antigen_124|O83935|Uncharacterized|WGK75331.1|tpos:1-539,0.094,0.0,-0.5,-0.406,Non-Allergen
antigen_96|O83548|Triosephosphate|WGK74924.1|tpos:1-249,0.05,0.0,0.5,0.55,Allergen
