Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_66|A0AAE8TKC7|5'-nucleotidase|WP_000645763.1|tpos:1-772,0.285,0.5,0.5,1.285,Allergen
antigen_36|Q2G010|Thermonuclease|WP_001670297.1|tpos:1-228,0.157,0.0,0.0,0.157,Non-Allergen
antigen_38|Q2G034|DUF4887|WP_000070826.1|tpos:1-209,0.151,0.5,0.0,0.651,Allergen
antigen_39|Q2G080|EamA|WP_001068489.1|tpos:45-288,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_41|Q2G0A2|Quinolone|WP_001041282.1|tpos:1-388,0.038,0.0,-0.5,-0.462,Non-Allergen
antigen_0|P14738|Fibronectin-binding|WP_000794647.1|tpos:1-1015,0.52,0.5,0.0,1.02,Allergen
antigen_89|A0A0H3K703|Myeloperoxidase|WP_000669523.1|tpos:1-102,0.344,0.0,0.0,0.344,Allergen
antigen_91|A0A0B6XP77|Segregation|WP_000273371.1|tpos:1-243,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_2|Q2FUY2|Clumping|WP_000745828.1|tpos:1-897,0.095,0.5,-0.5,0.095,Non-Allergen
antigen_28|Q2FY60|6-phosphogluconate|WP_000193707.1|tpos:1-468,0.259,0.0,0.0,0.259,Non-Allergen
antigen_4|Q2FV72|Ferrous|WP_000432895.1|tpos:1-664,0.034,0.0,0.0,0.034,Non-Allergen
antigen_67|A8QKE6|Neutral|WP_001225042.1|tpos:1-509,0.451,0.5,-0.5,0.451,Allergen
antigen_70|A0AAE2ZXQ7|Collagen|WP_001039379.1|tpos:1-703,0.343,0.0,0.0,0.343,Allergen
antigen_5|Q2FVH8|Membrane|WP_000483052.1|tpos:1-609,0.025,0.5,-0.5,0.025,Non-Allergen
antigen_20|Q2FWW7|ABC|WP_000991299.1|tpos:1-298,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_23|Q2FX68|Phi|WP_000429558.1|tpos:6-635,0.167,0.0,0.0,0.167,Non-Allergen
antigen_1|Q2FUX4|Neutral|WP_001225042.1|tpos:12-509,0.427,0.5,-0.5,0.427,Allergen
antigen_3|Q2FV70|SSD|WP_001051433.1|tpos:8-829,0.196,0.0,-0.5,-0.304,Non-Allergen
antigen_54|Q2G1U1|Rqc2|WP_000312772.1|tpos:1-565,0.431,0.0,0.5,0.931,Allergen
antigen_13|Q2FWC4|Peptidase|WP_001291497.1|tpos:1-394,0.361,0.5,-0.5,0.361,Allergen
antigen_15|Q2FWN4|Chaperonin|WP_000240649.1|tpos:1-538,0.202,0.0,0.0,0.202,Non-Allergen
antigen_16|Q2FWP0|Uncharacterized|WP_000595402.1|tpos:1-338,0.155,0.0,-0.5,-0.345,Non-Allergen
antigen_35|Q2FZK7|Bifunctional|WP_001074525.1|tpos:1-1257,0.379,0.5,0.0,0.879,Allergen
antigen_42|Q2G0B3|ABC|WP_000737172.1|tpos:1-543,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_63|Q2G2Q0|DNA|WP_000819064.1|tpos:1-886,0.043,0.0,-0.5,-0.457,Non-Allergen
antigen_79|Q2FJ77|Serine-aspartate|WP_000610232.1|tpos:1-1153,0.174,0.5,-0.5,0.174,Non-Allergen
antigen_25|Q2FXJ6|Serine|WP_001279338.1|tpos:1-424,0.272,0.5,-0.5,0.272,Non-Allergen
antigen_30|Q2FYV4|Homoserine|WP_000735864.1|tpos:1-426,0.18,0.0,0.0,0.18,Non-Allergen
antigen_45|Q2G122|5-methyltetrahydropteroyltriglutamate--homocysteine|WP_000207610.1|tpos:1-742,0.141,0.0,0.5,0.641,Allergen
antigen_82|A0A0H3KEE1|Staphylococcal|WP_000702717.1|tpos:1-341,0.151,0.0,0.0,0.151,Non-Allergen
antigen_84|A0A0H3KAV8|Staphylococcal|WP_000769157.1|tpos:1-227,0.201,0.0,0.0,0.201,Non-Allergen
antigen_85|A0A2S1FUJ3|Superantigen-like|WP_000769824.1|tpos:1-231,0.156,0.0,0.0,0.156,Non-Allergen
antigen_90|Q6G7Z1|Staphylokinase|WP_000919349.1|tpos:1-163,0.255,0.0,0.0,0.255,Non-Allergen
antigen_61|Q2G2G6|DUF4064|WP_000145498.1|tpos:1-339,0.056,0.5,0.0,0.556,Allergen
antigen_62|Q2G2K9|M50|WP_001108538.1|tpos:1-250,0.033,0.0,0.0,0.033,Non-Allergen
antigen_68|Q99SU8|Chemotaxis|WP_000727649.1|tpos:1-149,0.245,0.0,0.0,0.245,Non-Allergen
antigen_69|Q2UXD0|Clumping|WP_001056238.1|tpos:143-534,0.292,0.5,0.0,0.792,Allergen
antigen_71|Q2FWC7|Type|WP_000862728.1|tpos:1-267,0.277,0.5,-0.5,0.277,Non-Allergen
antigen_27|Q2FXX5|Enterotoxin|WP_000503564.1|tpos:17-250,0.392,0.0,0.5,0.892,Allergen
antigen_29|Q2FYP2|ABC|WP_000942303.1|tpos:1-533,0.086,0.0,-0.5,-0.414,Non-Allergen
antigen_59|Q2G2D8|ABC|WP_000737653.1|tpos:1-309,0.324,0.0,-0.5,-0.176,Non-Allergen
antigen_60|Q2G2G3|Divalent|WP_001060841.1|tpos:1-450,0.024,0.5,-0.5,0.024,Non-Allergen
antigen_92|O54462|Superantigen-like|WP_000669003.1|tpos:113-205,0.202,0.0,0.5,0.702,Allergen
antigen_46|Q2G155|Lipase|WP_000943811.1|tpos:1-691,0.195,0.5,0.0,0.695,Allergen
antigen_10|Q2FVV4|CAAX|WP_000426703.1|tpos:1-245,0.037,0.0,0.0,0.037,Non-Allergen
antigen_11|Q2FVX4|Molybdenum|WP_000782742.1|tpos:1-260,0.33,0.0,-0.5,-0.17,Non-Allergen
antigen_12|Q2FWC1|Pyrimidine-nucleoside|WP_001242303.1|tpos:1-433,0.384,0.5,-0.5,0.384,Allergen
antigen_14|Q2FWD6|Putative|WP_001206099.1|tpos:1-475,0.601,0.5,0.5,1.601,Allergen
antigen_19|Q2FWW3|Aminotransferase|WP_001068520.1|tpos:1-428,0.134,0.0,-0.5,-0.366,Non-Allergen
antigen_34|Q2FZF0|Iron-regulated|WP_001032763.1|tpos:320-658,0.338,0.0,0.0,0.338,Allergen
antigen_40|Q2G091|ABC|WP_075583675.1|tpos:1-627,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_43|Q2G0N9|Large|WP_001273087.1|tpos:1-166,0.19,0.5,-0.5,0.19,Non-Allergen
antigen_44|Q2G0V8|Phosphatidic|WP_000565817.1|tpos:1-224,0.039,0.0,0.0,0.039,Non-Allergen
antigen_74|A0A6A9GWB2|Fibrinogen-binding|WP_000739208.1|tpos:54-109,0.346,0.0,0.0,0.346,Allergen
antigen_78|A0AB72WB37|Serine-aspartate|WP_000934401.1|tpos:1-1375,0.227,0.5,-0.5,0.227,Non-Allergen
antigen_83|Q2G1S6|Staphylococcal|WP_000702720.1|tpos:1-234,0.159,0.5,0.0,0.659,Allergen
antigen_88|A0A0H2DUF0|Staphylococcal|WP_000702263.1|tpos:1-116,0.154,0.5,0.0,0.654,Allergen
antigen_87|A0A0H3K7M3|Superantigen-like|WP_000739555.1|tpos:1-241,0.24,0.0,0.0,0.24,Non-Allergen
antigen_93|E2FYX5|von|WP_000791703.1|tpos:1-502,0.056,0.0,0.0,0.056,Non-Allergen
antigen_26|Q2FXN2|Amino|WP_000818535.1|tpos:1-452,0.021,0.5,-0.5,0.021,Non-Allergen
antigen_24|Q2FXB0|Leucotoxin|WP_000594516.1|tpos:6-304,0.246,0.0,-0.5,-0.254,Non-Allergen
antigen_7|Q2FVK2|Gamma-hemolysin|WP_000916694.1|tpos:1-315,0.134,0.5,-0.5,0.134,Non-Allergen
antigen_81|A0A0H3KAV3|Staphylococcal|WP_000669003.1|tpos:1-226,0.267,0.0,0.5,0.767,Allergen
antigen_58|Q2G2D5|6-phospho-beta-galactosidase|WP_000169213.1|tpos:1-470,0.388,0.5,0.0,0.888,Allergen
antigen_86|A0A2S1FUJ1|Superantigen-like|WP_000769157.1|tpos:1-227,0.201,0.0,0.0,0.201,Non-Allergen
antigen_17|Q2FWS0|Phi|WP_000131377.1|tpos:2-80,0.317,0.0,0.0,0.317,Allergen
antigen_18|Q2FWV3|Staphylokinase|WP_000919349.1|tpos:1-163,0.255,0.0,0.0,0.255,Non-Allergen
antigen_8|Q2FVK3|Gamma-hemolysin|WP_000594516.1|tpos:1-309,0.22,0.0,-0.5,-0.28,Non-Allergen
antigen_9|Q2FVL8|Assimilatory|WP_001118711.1|tpos:1-801,0.305,0.5,-0.5,0.305,Allergen
antigen_21|Q2FX09|Response|WP_000153535.1|tpos:1-209,0.089,0.0,-0.5,-0.411,Non-Allergen
antigen_32|Q2FZ93|Phospho-N-acetylmuramoyl-pentapeptide-transferase|WP_000578458.1|tpos:1-321,0.028,0.5,-0.5,0.028,Non-Allergen
antigen_33|Q2FZB1|Staphylococcal/Streptococcal|WP_000739529.1|tpos:1-241,0.204,0.0,0.0,0.204,Non-Allergen
antigen_37|Q2G015|Clumping|WP_001056238.1|tpos:1-937,0.158,0.5,-0.5,0.158,Non-Allergen
antigen_75|P0A0M1|Delta-hemolysin|WP_000046022.1|tpos:1-26,0.286,0.0,0.0,0.286,Non-Allergen
antigen_77|Q5HDD7|Immunoglobulin-binding|WP_000792575.1|tpos:1-436,0.316,0.0,0.0,0.316,Allergen
antigen_80|A0A6M8B1R6|Staphylococcal|WP_000503564.1|tpos:1-250,0.314,0.0,0.5,0.814,Allergen
