Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_9|Q83A25|Transcription|BBL37829.1|tpos:1-418,0.021,0.5,0.0,0.521,Allergen
antigen_140|H7C7F5||BBL37847.1|tpos:1-243,0.311,0.0,0.0,0.311,Allergen
antigen_5|P59650|Deoxyhypusine|BBL37150.1|tpos:2-353,0.105,0.0,-0.5,-0.395,Non-Allergen
antigen_62|Q83CP8|Segregation|BBL37111.1|tpos:10-275,0.084,0.5,-0.5,0.084,Non-Allergen
antigen_63|Q83CY3|phospholipase|BBL37045.1|tpos:1-176,0.328,0.0,0.0,0.328,Allergen
antigen_110|A9KFJ2||BBL36934.1|tpos:1-366,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_39|Q83BP6||BBL36544.1|tpos:1-674,0.057,0.0,-0.5,-0.443,Non-Allergen
antigen_7|Q81ZP4||BBL36462.1|tpos:3-383,0.032,0.0,0.0,0.032,Non-Allergen
antigen_96|Q83EX8||BBL37611.1|tpos:1-452,0.13,0.0,-0.5,-0.37,Non-Allergen
antigen_70|Q83DF0||BBL36894.1|tpos:1-1612,0.019,0.5,-0.5,0.019,Non-Allergen
antigen_47|Q83C21||BBL36669.1|tpos:1-214,0.136,0.0,0.0,0.136,Non-Allergen
antigen_48|Q83C50|Carbamoyl|BBL36696.1|tpos:1-1073,0.016,0.0,0.0,0.016,Non-Allergen
antigen_49|Q83C63|Lipoyl|BBL36713.1|tpos:1-315,0.015,0.0,0.0,0.015,Non-Allergen
antigen_3|P19421|Chaperonin|BBL36326.1|tpos:1-548,0.262,0.0,0.0,0.262,Non-Allergen
antigen_89|Q83EE1|DNA-3-methyladenine|BBL37446.1|tpos:1-212,0.096,0.5,-0.5,0.096,Non-Allergen
antigen_112|Q83CK0||BBL36838.1|tpos:1-105,0.076,0.0,0.0,0.076,Non-Allergen
antigen_37|Q83BG5|F-box|BBL36472.1|tpos:1-188,0.108,0.0,0.0,0.108,Non-Allergen
antigen_54|Q83CA7||BBL36753.1|tpos:1-197,0.177,0.5,0.0,0.677,Allergen
antigen_55|Q83CG1||BBL36802.1|tpos:1-233,0.126,0.0,0.0,0.126,Non-Allergen
antigen_94|Q83ES6|Elongation|BBL37582.1|tpos:1-397,0.174,0.5,-0.5,0.174,Non-Allergen
antigen_20|Q83AF7|ATP|BBL36121.1|tpos:1-515,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_90|Q83EF6|Phosphate|BBL37457.1|tpos:1-248,0.058,0.0,-0.5,-0.442,Non-Allergen
antigen_91|Q83EK8|Outer|BBL37499.1|tpos:1-252,0.138,0.0,-0.5,-0.362,Non-Allergen
antigen_115|Q83AG0|ATP|BBL36124.1|tpos:1-100,0.119,0.0,0.0,0.119,Non-Allergen
antigen_128|Q83A87||BBL37783.1|tpos:1-476,0.012,0.0,-0.5,-0.488,Non-Allergen
antigen_133|Q83ED4|Riboflavin|BBL37437.1|tpos:1-345,0.038,0.0,-0.5,-0.462,Non-Allergen
antigen_4|P51752|Peptidyl-prolyl|BBL37229.1|tpos:1-230,0.262,0.0,-0.5,-0.238,Non-Allergen
antigen_134|Q83CP4|RNA|BBL37114.1|tpos:1-184,0.129,0.0,0.0,0.129,Non-Allergen
antigen_121|Q83DD8||BBL36903.1|tpos:1-137,0.068,0.5,0.0,0.568,Allergen
antigen_123|Q83B22|Endonuclease|BBL36346.1|tpos:1-218,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_118|Q83AL8||BBL36193.1|tpos:1-180,0.067,0.0,0.0,0.067,Non-Allergen
antigen_119|Q83CL6||BBL37145.1|tpos:1-274,0.158,0.0,0.0,0.158,Non-Allergen
antigen_34|Q83B91||BBL36415.1|tpos:1-1003,0.009,0.0,0.0,0.009,Non-Allergen
antigen_18|Q83AA5|DNA|BBL37763.1|tpos:1-765,0.192,0.5,-0.5,0.192,Non-Allergen
antigen_11|Q83A39||BBL37815.1|tpos:1-165,0.317,0.0,0.0,0.317,Allergen
antigen_86|Q83E37|3-oxoacyl-[acyl-carrier-protein]|BBL37347.1|tpos:1-414,0.233,0.0,-0.5,-0.267,Non-Allergen
antigen_64|Q83D52||BBL36981.1|tpos:1-312,0.092,0.0,0.0,0.092,Non-Allergen
antigen_74|Q83DH8||BBL36866.1|tpos:1-1022,0.087,0.5,-0.5,0.087,Non-Allergen
antigen_144|Q83DD7|[Ribosomal|BBL36904.1|tpos:1-145,0.162,0.0,-0.5,-0.338,Non-Allergen
antigen_44|Q83BY5|ATP-dependent|BBL36634.1|tpos:1-647,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_30|Q83B06|Aminomethyltransferase|BBL36329.1|tpos:29-391,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_14|Q83A56|DNA|BBL37803.1|tpos:1-723,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_35|Q83BF4||BBL36461.1|tpos:1-567,0.031,0.0,0.0,0.031,Non-Allergen
antigen_88|Q83ED8|GTPase|BBL37441.1|tpos:1-339,0.032,0.0,-0.5,-0.468,Non-Allergen
antigen_101|Q83F57|Cell|BBL37688.1|tpos:1-305,0.078,0.0,0.0,0.078,Non-Allergen
antigen_102|Q83F71||BBL37700.1|tpos:1-263,0.045,0.5,0.0,0.545,Allergen
antigen_139|Q83E81||BBL37392.1|tpos:1-184,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_84|Q83DZ3||BBL37297.1|tpos:1-215,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_85|Q83E03||BBL37308.1|tpos:1-398,0.092,0.0,0.0,0.092,Non-Allergen
antigen_138|Q83F76||BBL37705.1|tpos:1-399,0.049,0.0,0.0,0.049,Non-Allergen
antigen_50|Q83C69|Uncharacterized|BBL36718.1|tpos:1-248,0.618,0.0,0.0,0.618,Allergen
antigen_51|Q83C79||BBL36726.1|tpos:1-203,0.062,0.0,0.0,0.062,Non-Allergen
antigen_8|Q820B6||BBL37616.1|tpos:1-246,0.13,0.0,0.0,0.13,Non-Allergen
antigen_125|Q83CV0|Bifunctional|BBL37074.1|tpos:1-323,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_66|Q83D89||BBL36946.1|tpos:1-255,0.024,0.0,0.0,0.024,Non-Allergen
antigen_31|Q83B41||BBL36362.1|tpos:1-144,0.247,0.0,0.0,0.247,Non-Allergen
antigen_32|Q83B70||BBL36392.1|tpos:1-372,0.086,0.0,-0.5,-0.414,Non-Allergen
antigen_147|Q83EI5||BBL37479.1|tpos:1-221,0.192,0.0,0.0,0.192,Non-Allergen
antigen_52|Q83C94||BBL36740.1|tpos:1-428,0.044,0.5,0.0,0.544,Allergen
antigen_92|Q83EL2||BBL37501.1|tpos:1-231,0.342,0.0,0.0,0.342,Allergen
antigen_93|Q83EN6||BBL37527.1|tpos:1-275,0.194,0.0,0.0,0.194,Non-Allergen
antigen_42|Q83BU7|Dihydrolipoyllysine-residue|BBL36594.1|tpos:1-405,0.116,0.0,-0.5,-0.384,Non-Allergen
"antigen_43|Q83BV5|Ditrans,polycis-undecaprenyl-diphosphate|BBL36607.1|tpos:1-237",0.032,0.5,-0.5,0.032,Non-Allergen
antigen_104|Q9ZH99|Isocitrate|BBL36771.1|tpos:2-428,0.417,0.5,0.0,0.917,Allergen
antigen_10|Q83A33||BBL37821.1|tpos:1-348,0.029,0.0,-0.5,-0.471,Non-Allergen
antigen_24|Q83AM7|3-hydroxyisobutyryl-CoA|BBL36200.1|tpos:1-379,0.048,0.5,-0.5,0.048,Non-Allergen
antigen_0|H7C7D7||BBL36151.1|tpos:1-252,0.362,0.0,0.0,0.362,Allergen
antigen_46|Q83BZ5|Inosine-5'-monophosphate|BBL36641.1|tpos:1-489,0.069,0.5,-0.5,0.069,Non-Allergen
antigen_60|Q83CM3|Ribonuclease|BBL37138.1|tpos:1-749,0.03,0.5,-0.5,0.03,Non-Allergen
antigen_12|Q83A45||BBL37808.1|tpos:1-212,0.107,0.0,0.0,0.107,Non-Allergen
antigen_99|Q83F42|Lipoprotein|BBL37670.1|tpos:1-267,0.088,0.5,0.0,0.588,Allergen
antigen_100|Q83F50||BBL37678.1|tpos:1-159,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_76|Q83DK8||BBL37153.1|tpos:1-94,0.144,0.0,0.0,0.144,Non-Allergen
antigen_77|Q83DN3||BBL37202.1|tpos:1-328,0.013,0.0,0.0,0.013,Non-Allergen
antigen_135|A0A0M4PLT0|Large|BBL37576.1|tpos:1-126,0.515,0.0,-0.5,0.015,Non-Allergen
antigen_136|Q83CZ8|Uncharacterized|BBL37030.1|tpos:1-227,0.07,0.0,0.0,0.07,Non-Allergen
antigen_137|Q83CY8|Putative|BBL37039.1|tpos:24-174,0.512,0.0,0.5,1.012,Allergen
antigen_21|Q83AI2|Cell|BBL36157.1|tpos:1-217,0.039,0.5,-0.5,0.039,Non-Allergen
antigen_23|Q83AM5||BBL36198.1|tpos:1-465,0.006,0.5,0.0,0.506,Allergen
antigen_67|Q83DA1||BBL36933.1|tpos:1-494,0.01,0.0,0.0,0.01,Non-Allergen
antigen_122|P47846|Glutamyl-tRNA|BBL37731.1|tpos:1-413,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_29|Q83B02|Thiol:disulfide|BBL36322.1|tpos:1-367,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_80|Q83DR4|Ferritin|BBL37227.1|tpos:1-99,0.158,0.0,0.0,0.158,Non-Allergen
antigen_81|Q83DT1||BBL37247.1|tpos:1-165,0.12,0.0,0.0,0.12,Non-Allergen
antigen_82|Q83DV3||BBL37258.1|tpos:1-132,0.372,0.0,-0.5,-0.128,Non-Allergen
antigen_38|Q83BJ5||BBL36494.1|tpos:1-258,0.02,0.5,-0.5,0.02,Non-Allergen
antigen_113|Q83CD6||BBL36788.1|tpos:1-242,0.135,0.0,0.0,0.135,Non-Allergen
antigen_71|Q83DF6|Putative|BBL36889.1|tpos:1-338,0.017,0.0,0.0,0.017,Non-Allergen
antigen_73|Q83DH7||BBL36867.1|tpos:1-348,0.456,0.5,-0.5,0.456,Allergen
antigen_141|Q83A11|F-box|BBL37849.1|tpos:1-77,0.063,0.0,0.0,0.063,Non-Allergen
antigen_142|B5U8Q2||BBL37850.1|tpos:1-227,0.161,0.5,0.0,0.661,Allergen
antigen_2|P0C8S3|Large|BBL37576.1|tpos:1-126,0.515,0.0,-0.5,0.015,Non-Allergen
antigen_16|Q83A93|YqaJ|BBL37777.1|tpos:1-365,0.103,0.5,0.0,0.603,Allergen
antigen_22|Q83AL4||BBL36190.1|tpos:1-217,0.172,0.0,0.0,0.172,Non-Allergen
antigen_56|Q83CG9|Transcription-repair-coupling|BBL36808.1|tpos:1-1157,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_117|Q83D46||BBL36988.1|tpos:1-110,0.178,0.0,0.0,0.178,Non-Allergen
antigen_120|Q83DG2||BBL36883.1|tpos:1-82,0.102,0.0,0.0,0.102,Non-Allergen
antigen_45|Q83BY8||BBL36637.1|tpos:1-579,0.013,0.0,0.0,0.013,Non-Allergen
antigen_17|Q83A99||BBL37771.1|tpos:1-395,0.083,0.0,0.0,0.083,Non-Allergen
antigen_124|Q83DG0||BBL36885.1|tpos:1-283,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_116|Q83DT3|mevalonate|BBL37250.1|tpos:1-340,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_95|Q83EV3|Glutamate--tRNA|BBL37597.1|tpos:5-473,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_33|Q83B74||BBL36398.1|tpos:1-398,0.017,0.0,0.0,0.017,Non-Allergen
antigen_131|Q83FD2||BBL36073.1|tpos:1-62,0.202,0.0,0.0,0.202,Non-Allergen
antigen_132|Q83F51|nicotinate-nucleotide|BBL37681.1|tpos:1-274,0.087,0.0,-0.5,-0.413,Non-Allergen
antigen_65|Q83D57||BBL36976.1|tpos:1-384,0.048,0.5,0.0,0.548,Allergen
antigen_68|Q83DA5||BBL36929.1|tpos:1-601,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_15|Q83A58||BBL37802.1|tpos:1-303,0.062,0.0,0.0,0.062,Non-Allergen
antigen_13|Q83A52||BBL37806.1|tpos:1-443,0.048,0.5,-0.5,0.048,Non-Allergen
antigen_126|Q83EF7|histidine|BBL37458.1|tpos:1-252,0.012,0.0,-0.5,-0.488,Non-Allergen
antigen_107|B6J161|Lipid-A-disaccharide|BBL37239.1|tpos:1-376,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_108|Q93N39||BBL37163.1|tpos:1-251,0.118,0.0,-0.5,-0.382,Non-Allergen
antigen_109|A0A7G6J4B0||BBL36406.1|tpos:82-191,0.216,0.0,0.0,0.216,Non-Allergen
