antigen152|Q2FYU5|BX571857.1|mhci|seq97	antigen152|Q2FYU5|BX571857.1|mhci|seq97
antigen152|Q2FYU5|CP002114.3|mhci|seq35	antigen152|Q2FYU5|BX571857.1|mhci|seq35
antigen152|Q2FYU5|CP002114.3|mhci|seq35	antigen152|Q2FYU5|CP002114.3|mhci|seq36
antigen152|Q2FYU5|CP002114.3|mhci|seq35	antigen152|Q2FYU5|BX571857.1|mhci|seq36
antigen152|Q2FYU5|CP002114.3|mhci|seq67	antigen152|Q2FYU5|CP002114.3|mhci|seq67
antigen152|Q2FYU5|CP002114.3|mhci|seq67	antigen152|Q2FYU5|BX571857.1|mhci|seq67
antigen152|Q2FYU5|CP002114.3|mhci|seq67	antigen152|Q2FYU5|CP002114.3|mhci|seq68
antigen152|Q2FYU5|CP002114.3|mhci|seq67	antigen152|Q2FYU5|BX571857.1|mhci|seq68
antigen152|Q2FYU5|CP002114.3|mhci|seq99	antigen152|Q2FYU5|CP002114.3|mhci|seq99
antigen152|Q2FYU5|CP002114.3|mhci|seq99	antigen152|Q2FYU5|BX571857.1|mhci|seq99
antigen152|Q2FYU5|CP002114.3|mhci|seq99	antigen152|Q2FYU5|CP002114.3|mhci|seq100
antigen152|Q2FYU5|CP002114.3|mhci|seq99	antigen152|Q2FYU5|BX571857.1|mhci|seq100
antigen152|Q2FYU5|CP002114.3|mhci|seq131	antigen152|Q2FYU5|CP002114.3|mhci|seq131
antigen152|Q2FYU5|CP002114.3|mhci|seq131	antigen152|Q2FYU5|BX571857.1|mhci|seq131
antigen152|Q2FYU5|CP002114.3|mhci|seq163	antigen152|Q2FYU5|CP002114.3|mhci|seq163
antigen152|Q2FYU5|CP002114.3|mhci|seq163	antigen152|Q2FYU5|BX571857.1|mhci|seq163
antigen152|Q2FYU5|CP002114.3|mhci|seq195	antigen152|Q2FYU5|CP002114.3|mhci|seq195
antigen152|Q2FYU5|CP002114.3|mhci|seq195	antigen152|Q2FYU5|BX571857.1|mhci|seq195
antigen152|Q2FYU5|CP002114.3|mhci|seq227	antigen152|Q2FYU5|CP002114.3|mhci|seq227
antigen152|Q2FYU5|CP002114.3|mhci|seq227	antigen152|Q2FYU5|BX571857.1|mhci|seq227
antigen152|Q2FYU5|CP002114.3|mhci|seq259	antigen152|Q2FYU5|CP002114.3|mhci|seq259
antigen152|Q2FYU5|CP002114.3|mhci|seq291	antigen152|Q2FYU5|CP002114.3|mhci|seq291
antigen152|Q2FYU5|CP002114.3|mhci|seq291	antigen152|Q2FYU5|BX571857.1|mhci|seq291
antigen152|Q2FYU5|CP002114.3|mhci|seq132	antigen152|Q2FYU5|CP002114.3|mhci|seq132
antigen152|Q2FYU5|CP002114.3|mhci|seq132	antigen152|Q2FYU5|BX571857.1|mhci|seq132
antigen152|Q2FYU5|CP002114.3|mhci|seq164	antigen152|Q2FYU5|CP002114.3|mhci|seq164
antigen152|Q2FYU5|CP002114.3|mhci|seq164	antigen152|Q2FYU5|BX571857.1|mhci|seq164
antigen152|Q2FYU5|CP002114.3|mhci|seq196	antigen152|Q2FYU5|CP002114.3|mhci|seq196
antigen152|Q2FYU5|CP002114.3|mhci|seq196	antigen152|Q2FYU5|BX571857.1|mhci|seq196
antigen152|Q2FYU5|CP002114.3|mhci|seq228	antigen152|Q2FYU5|CP002114.3|mhci|seq228
antigen152|Q2FYU5|CP002114.3|mhci|seq228	antigen152|Q2FYU5|BX571857.1|mhci|seq228
antigen152|Q2FYU5|CP002114.3|mhci|seq260	antigen152|Q2FYU5|CP002114.3|mhci|seq260
antigen152|Q2FYU5|CP002114.3|mhci|seq292	antigen152|Q2FYU5|CP002114.3|mhci|seq292
antigen152|Q2FYU5|CP002114.3|mhci|seq292	antigen152|Q2FYU5|BX571857.1|mhci|seq292
antigen152|Q2FYU5|BX571857.1|mhci|seq135	antigen152|Q2FYU5|BX571857.1|mhci|seq135
antigen152|Q2FYU5|CP002114.3|mhci|seq5	antigen152|Q2FYU5|CP002114.3|mhci|seq5
antigen152|Q2FYU5|CP002114.3|mhci|seq5	antigen152|Q2FYU5|BX571857.1|mhci|seq5
antigen152|Q2FYU5|CP002114.3|mhci|seq37	antigen152|Q2FYU5|CP002114.3|mhci|seq37
antigen152|Q2FYU5|CP002114.3|mhci|seq37	antigen152|Q2FYU5|BX571857.1|mhci|seq37
antigen152|Q2FYU5|CP002114.3|mhci|seq69	antigen152|Q2FYU5|CP002114.3|mhci|seq69
antigen152|Q2FYU5|CP002114.3|mhci|seq69	antigen152|Q2FYU5|BX571857.1|mhci|seq69
antigen152|Q2FYU5|CP002114.3|mhci|seq101	antigen152|Q2FYU5|CP002114.3|mhci|seq101
antigen152|Q2FYU5|CP002114.3|mhci|seq101	antigen152|Q2FYU5|BX571857.1|mhci|seq101
antigen152|Q2FYU5|CP002114.3|mhci|seq133	antigen152|Q2FYU5|CP002114.3|mhci|seq133
antigen152|Q2FYU5|CP002114.3|mhci|seq133	antigen152|Q2FYU5|BX571857.1|mhci|seq133
antigen152|Q2FYU5|CP002114.3|mhci|seq133	antigen152|Q2FYU5|CP002114.3|mhci|seq134
antigen152|Q2FYU5|CP002114.3|mhci|seq133	antigen152|Q2FYU5|BX571857.1|mhci|seq134
antigen152|Q2FYU5|CP002114.3|mhci|seq165	antigen152|Q2FYU5|CP002114.3|mhci|seq165
antigen152|Q2FYU5|CP002114.3|mhci|seq165	antigen152|Q2FYU5|BX571857.1|mhci|seq165
antigen152|Q2FYU5|CP002114.3|mhci|seq165	antigen152|Q2FYU5|CP002114.3|mhci|seq166
antigen152|Q2FYU5|CP002114.3|mhci|seq165	antigen152|Q2FYU5|BX571857.1|mhci|seq166
antigen152|Q2FYU5|CP002114.3|mhci|seq197	antigen152|Q2FYU5|CP002114.3|mhci|seq197
antigen152|Q2FYU5|CP002114.3|mhci|seq197	antigen152|Q2FYU5|BX571857.1|mhci|seq197
antigen152|Q2FYU5|CP002114.3|mhci|seq197	antigen152|Q2FYU5|CP002114.3|mhci|seq198
antigen152|Q2FYU5|CP002114.3|mhci|seq197	antigen152|Q2FYU5|BX571857.1|mhci|seq198
antigen152|Q2FYU5|CP002114.3|mhci|seq229	antigen152|Q2FYU5|CP002114.3|mhci|seq229
antigen152|Q2FYU5|CP002114.3|mhci|seq229	antigen152|Q2FYU5|BX571857.1|mhci|seq229
antigen152|Q2FYU5|CP002114.3|mhci|seq229	antigen152|Q2FYU5|CP002114.3|mhci|seq230
antigen152|Q2FYU5|CP002114.3|mhci|seq229	antigen152|Q2FYU5|BX571857.1|mhci|seq230
antigen152|Q2FYU5|CP002114.3|mhci|seq261	antigen152|Q2FYU5|CP002114.3|mhci|seq261
antigen152|Q2FYU5|CP002114.3|mhci|seq261	antigen152|Q2FYU5|BX571857.1|mhci|seq261
antigen152|Q2FYU5|CP002114.3|mhci|seq261	antigen152|Q2FYU5|CP002114.3|mhci|seq262
antigen152|Q2FYU5|CP002114.3|mhci|seq261	antigen152|Q2FYU5|BX571857.1|mhci|seq262
antigen152|Q2FYU5|CP002114.3|mhci|seq293	antigen152|Q2FYU5|CP002114.3|mhci|seq293
antigen152|Q2FYU5|CP002114.3|mhci|seq293	antigen152|Q2FYU5|BX571857.1|mhci|seq293
antigen152|Q2FYU5|CP002114.3|mhci|seq293	antigen152|Q2FYU5|CP002114.3|mhci|seq294
antigen152|Q2FYU5|CP002114.3|mhci|seq293	antigen152|Q2FYU5|BX571857.1|mhci|seq294
antigen152|Q2FYU5|BX571857.1|mhci|seq136	antigen152|Q2FYU5|BX571857.1|mhci|seq136
antigen152|Q2FYU5|CP002114.3|mhci|seq6	antigen152|Q2FYU5|CP002114.3|mhci|seq6
antigen152|Q2FYU5|CP002114.3|mhci|seq6	antigen152|Q2FYU5|BX571857.1|mhci|seq6
antigen152|Q2FYU5|CP002114.3|mhci|seq38	antigen152|Q2FYU5|CP002114.3|mhci|seq38
antigen152|Q2FYU5|CP002114.3|mhci|seq38	antigen152|Q2FYU5|BX571857.1|mhci|seq38
antigen152|Q2FYU5|CP002114.3|mhci|seq70	antigen152|Q2FYU5|CP002114.3|mhci|seq70
antigen152|Q2FYU5|CP002114.3|mhci|seq70	antigen152|Q2FYU5|BX571857.1|mhci|seq70
antigen152|Q2FYU5|CP002114.3|mhci|seq102	antigen152|Q2FYU5|CP002114.3|mhci|seq102
antigen152|Q2FYU5|CP002114.3|mhci|seq102	antigen152|Q2FYU5|BX571857.1|mhci|seq102
antigen152|Q2FYU5|BX571857.1|mhci|seq73	antigen152|Q2FYU5|BX571857.1|mhci|seq73
antigen152|Q2FYU5|BX571857.1|mhci|seq137	antigen152|Q2FYU5|BX571857.1|mhci|seq137
antigen152|Q2FYU5|CP002114.3|mhci|seq7	antigen152|Q2FYU5|CP002114.3|mhci|seq7
antigen152|Q2FYU5|CP002114.3|mhci|seq7	antigen152|Q2FYU5|BX571857.1|mhci|seq7
antigen152|Q2FYU5|CP002114.3|mhci|seq7	antigen152|Q2FYU5|CP002114.3|mhci|seq8
antigen152|Q2FYU5|CP002114.3|mhci|seq7	antigen152|Q2FYU5|BX571857.1|mhci|seq8
antigen152|Q2FYU5|CP002114.3|mhci|seq39	antigen152|Q2FYU5|CP002114.3|mhci|seq39
antigen152|Q2FYU5|CP002114.3|mhci|seq39	antigen152|Q2FYU5|BX571857.1|mhci|seq39
antigen152|Q2FYU5|CP002114.3|mhci|seq39	antigen152|Q2FYU5|CP002114.3|mhci|seq40
antigen152|Q2FYU5|CP002114.3|mhci|seq39	antigen152|Q2FYU5|BX571857.1|mhci|seq40
antigen152|Q2FYU5|CP002114.3|mhci|seq71	antigen152|Q2FYU5|CP002114.3|mhci|seq71
antigen152|Q2FYU5|CP002114.3|mhci|seq71	antigen152|Q2FYU5|BX571857.1|mhci|seq71
antigen152|Q2FYU5|CP002114.3|mhci|seq71	antigen152|Q2FYU5|CP002114.3|mhci|seq72
antigen152|Q2FYU5|CP002114.3|mhci|seq71	antigen152|Q2FYU5|BX571857.1|mhci|seq72
antigen152|Q2FYU5|CP002114.3|mhci|seq103	antigen152|Q2FYU5|CP002114.3|mhci|seq103
antigen152|Q2FYU5|CP002114.3|mhci|seq103	antigen152|Q2FYU5|BX571857.1|mhci|seq103
antigen152|Q2FYU5|CP002114.3|mhci|seq103	antigen152|Q2FYU5|CP002114.3|mhci|seq104
antigen152|Q2FYU5|CP002114.3|mhci|seq103	antigen152|Q2FYU5|BX571857.1|mhci|seq104
antigen152|Q2FYU5|CP002114.3|mhci|seq135	antigen152|Q2FYU5|CP002114.3|mhci|seq135
antigen152|Q2FYU5|CP002114.3|mhci|seq167	antigen152|Q2FYU5|CP002114.3|mhci|seq167
antigen152|Q2FYU5|CP002114.3|mhci|seq167	antigen152|Q2FYU5|BX571857.1|mhci|seq167
antigen152|Q2FYU5|CP002114.3|mhci|seq199	antigen152|Q2FYU5|CP002114.3|mhci|seq199
antigen152|Q2FYU5|CP002114.3|mhci|seq199	antigen152|Q2FYU5|BX571857.1|mhci|seq199
antigen152|Q2FYU5|CP002114.3|mhci|seq231	antigen152|Q2FYU5|CP002114.3|mhci|seq231
antigen152|Q2FYU5|CP002114.3|mhci|seq231	antigen152|Q2FYU5|BX571857.1|mhci|seq231
antigen152|Q2FYU5|CP002114.3|mhci|seq263	antigen152|Q2FYU5|CP002114.3|mhci|seq263
antigen152|Q2FYU5|CP002114.3|mhci|seq263	antigen152|Q2FYU5|BX571857.1|mhci|seq263
antigen152|Q2FYU5|CP002114.3|mhci|seq295	antigen152|Q2FYU5|CP002114.3|mhci|seq295
antigen152|Q2FYU5|CP002114.3|mhci|seq295	antigen152|Q2FYU5|BX571857.1|mhci|seq295
antigen152|Q2FYU5|BX571857.1|mhci|seq74	antigen152|Q2FYU5|BX571857.1|mhci|seq74
antigen152|Q2FYU5|CP002114.3|mhci|seq136	antigen152|Q2FYU5|CP002114.3|mhci|seq136
antigen152|Q2FYU5|CP002114.3|mhci|seq168	antigen152|Q2FYU5|CP002114.3|mhci|seq168
antigen152|Q2FYU5|CP002114.3|mhci|seq168	antigen152|Q2FYU5|BX571857.1|mhci|seq168
antigen152|Q2FYU5|CP002114.3|mhci|seq200	antigen152|Q2FYU5|CP002114.3|mhci|seq200
antigen152|Q2FYU5|CP002114.3|mhci|seq200	antigen152|Q2FYU5|BX571857.1|mhci|seq200
antigen152|Q2FYU5|CP002114.3|mhci|seq232	antigen152|Q2FYU5|CP002114.3|mhci|seq232
antigen152|Q2FYU5|CP002114.3|mhci|seq232	antigen152|Q2FYU5|BX571857.1|mhci|seq232
antigen152|Q2FYU5|CP002114.3|mhci|seq264	antigen152|Q2FYU5|CP002114.3|mhci|seq264
antigen152|Q2FYU5|CP002114.3|mhci|seq264	antigen152|Q2FYU5|BX571857.1|mhci|seq264
antigen152|Q2FYU5|CP002114.3|mhci|seq296	antigen152|Q2FYU5|CP002114.3|mhci|seq296
antigen152|Q2FYU5|CP002114.3|mhci|seq296	antigen152|Q2FYU5|BX571857.1|mhci|seq296
antigen152|Q2FYU5|BX571857.1|mhci|seq139	antigen152|Q2FYU5|BX571857.1|mhci|seq139
antigen152|Q2FYU5|BX571857.1|mhci|seq267	antigen152|Q2FYU5|BX571857.1|mhci|seq267
antigen152|Q2FYU5|CP002114.3|mhci|seq9	antigen152|Q2FYU5|CP002114.3|mhci|seq9
antigen152|Q2FYU5|CP002114.3|mhci|seq9	antigen152|Q2FYU5|BX571857.1|mhci|seq9
antigen152|Q2FYU5|CP002114.3|mhci|seq41	antigen152|Q2FYU5|CP002114.3|mhci|seq41
antigen152|Q2FYU5|CP002114.3|mhci|seq41	antigen152|Q2FYU5|BX571857.1|mhci|seq41
antigen152|Q2FYU5|CP002114.3|mhci|seq73	antigen152|Q2FYU5|CP002114.3|mhci|seq73
antigen152|Q2FYU5|CP002114.3|mhci|seq105	antigen152|Q2FYU5|CP002114.3|mhci|seq105
antigen152|Q2FYU5|CP002114.3|mhci|seq105	antigen152|Q2FYU5|BX571857.1|mhci|seq105
antigen152|Q2FYU5|CP002114.3|mhci|seq137	antigen152|Q2FYU5|CP002114.3|mhci|seq137
antigen152|Q2FYU5|CP002114.3|mhci|seq169	antigen152|Q2FYU5|CP002114.3|mhci|seq169
antigen152|Q2FYU5|CP002114.3|mhci|seq169	antigen152|Q2FYU5|BX571857.1|mhci|seq169
antigen152|Q2FYU5|CP002114.3|mhci|seq169	antigen152|Q2FYU5|CP002114.3|mhci|seq170
antigen152|Q2FYU5|CP002114.3|mhci|seq169	antigen152|Q2FYU5|BX571857.1|mhci|seq170
antigen152|Q2FYU5|CP002114.3|mhci|seq201	antigen152|Q2FYU5|CP002114.3|mhci|seq201
antigen152|Q2FYU5|CP002114.3|mhci|seq201	antigen152|Q2FYU5|BX571857.1|mhci|seq201
antigen152|Q2FYU5|CP002114.3|mhci|seq201	antigen152|Q2FYU5|CP002114.3|mhci|seq202
antigen152|Q2FYU5|CP002114.3|mhci|seq201	antigen152|Q2FYU5|BX571857.1|mhci|seq202
antigen152|Q2FYU5|CP002114.3|mhci|seq233	antigen152|Q2FYU5|CP002114.3|mhci|seq233
antigen152|Q2FYU5|CP002114.3|mhci|seq233	antigen152|Q2FYU5|BX571857.1|mhci|seq233
antigen152|Q2FYU5|CP002114.3|mhci|seq233	antigen152|Q2FYU5|CP002114.3|mhci|seq234
antigen152|Q2FYU5|CP002114.3|mhci|seq233	antigen152|Q2FYU5|BX571857.1|mhci|seq234
antigen152|Q2FYU5|CP002114.3|mhci|seq265	antigen152|Q2FYU5|CP002114.3|mhci|seq265
antigen152|Q2FYU5|CP002114.3|mhci|seq265	antigen152|Q2FYU5|BX571857.1|mhci|seq265
antigen152|Q2FYU5|CP002114.3|mhci|seq265	antigen152|Q2FYU5|CP002114.3|mhci|seq266
antigen152|Q2FYU5|CP002114.3|mhci|seq265	antigen152|Q2FYU5|BX571857.1|mhci|seq266
antigen152|Q2FYU5|CP002114.3|mhci|seq297	antigen152|Q2FYU5|CP002114.3|mhci|seq297
antigen152|Q2FYU5|CP002114.3|mhci|seq297	antigen152|Q2FYU5|BX571857.1|mhci|seq297
antigen152|Q2FYU5|CP002114.3|mhci|seq297	antigen152|Q2FYU5|CP002114.3|mhci|seq298
antigen152|Q2FYU5|CP002114.3|mhci|seq297	antigen152|Q2FYU5|BX571857.1|mhci|seq298
antigen152|Q2FYU5|BX571857.1|mhci|seq140	antigen152|Q2FYU5|BX571857.1|mhci|seq140
antigen152|Q2FYU5|BX571857.1|mhci|seq268	antigen152|Q2FYU5|BX571857.1|mhci|seq268
antigen152|Q2FYU5|CP002114.3|mhci|seq10	antigen152|Q2FYU5|CP002114.3|mhci|seq10
antigen152|Q2FYU5|CP002114.3|mhci|seq10	antigen152|Q2FYU5|BX571857.1|mhci|seq10
antigen152|Q2FYU5|CP002114.3|mhci|seq42	antigen152|Q2FYU5|CP002114.3|mhci|seq42
antigen152|Q2FYU5|CP002114.3|mhci|seq42	antigen152|Q2FYU5|BX571857.1|mhci|seq42
antigen152|Q2FYU5|CP002114.3|mhci|seq74	antigen152|Q2FYU5|CP002114.3|mhci|seq74
antigen152|Q2FYU5|CP002114.3|mhci|seq106	antigen152|Q2FYU5|CP002114.3|mhci|seq106
antigen152|Q2FYU5|CP002114.3|mhci|seq106	antigen152|Q2FYU5|BX571857.1|mhci|seq106
antigen152|Q2FYU5|CP002114.3|mhci|seq138	antigen152|Q2FYU5|CP002114.3|mhci|seq138
antigen152|Q2FYU5|CP002114.3|mhci|seq138	antigen152|Q2FYU5|BX571857.1|mhci|seq138
antigen152|Q2FYU5|BX571857.1|mhci|seq141	antigen152|Q2FYU5|BX571857.1|mhci|seq141
antigen152|Q2FYU5|CP002114.3|mhci|seq11	antigen152|Q2FYU5|CP002114.3|mhci|seq11
antigen152|Q2FYU5|CP002114.3|mhci|seq11	antigen152|Q2FYU5|BX571857.1|mhci|seq11
antigen152|Q2FYU5|CP002114.3|mhci|seq43	antigen152|Q2FYU5|CP002114.3|mhci|seq43
antigen152|Q2FYU5|CP002114.3|mhci|seq43	antigen152|Q2FYU5|BX571857.1|mhci|seq43
antigen152|Q2FYU5|CP002114.3|mhci|seq43	antigen152|Q2FYU5|CP002114.3|mhci|seq44
antigen152|Q2FYU5|CP002114.3|mhci|seq43	antigen152|Q2FYU5|BX571857.1|mhci|seq44
antigen152|Q2FYU5|CP002114.3|mhci|seq75	antigen152|Q2FYU5|CP002114.3|mhci|seq75
antigen152|Q2FYU5|CP002114.3|mhci|seq75	antigen152|Q2FYU5|BX571857.1|mhci|seq75
antigen152|Q2FYU5|CP002114.3|mhci|seq75	antigen152|Q2FYU5|CP002114.3|mhci|seq76
antigen152|Q2FYU5|CP002114.3|mhci|seq75	antigen152|Q2FYU5|BX571857.1|mhci|seq76
antigen152|Q2FYU5|CP002114.3|mhci|seq107	antigen152|Q2FYU5|CP002114.3|mhci|seq107
antigen152|Q2FYU5|CP002114.3|mhci|seq107	antigen152|Q2FYU5|BX571857.1|mhci|seq107
antigen152|Q2FYU5|CP002114.3|mhci|seq139	antigen152|Q2FYU5|CP002114.3|mhci|seq139
antigen152|Q2FYU5|CP002114.3|mhci|seq171	antigen152|Q2FYU5|CP002114.3|mhci|seq171
antigen152|Q2FYU5|CP002114.3|mhci|seq171	antigen152|Q2FYU5|BX571857.1|mhci|seq171
antigen152|Q2FYU5|CP002114.3|mhci|seq203	antigen152|Q2FYU5|CP002114.3|mhci|seq203
antigen152|Q2FYU5|CP002114.3|mhci|seq203	antigen152|Q2FYU5|BX571857.1|mhci|seq203
antigen152|Q2FYU5|CP002114.3|mhci|seq235	antigen152|Q2FYU5|CP002114.3|mhci|seq235
antigen152|Q2FYU5|CP002114.3|mhci|seq235	antigen152|Q2FYU5|BX571857.1|mhci|seq235
antigen152|Q2FYU5|CP002114.3|mhci|seq267	antigen152|Q2FYU5|CP002114.3|mhci|seq267
antigen152|Q2FYU5|CP002114.3|mhci|seq299	antigen152|Q2FYU5|CP002114.3|mhci|seq299
antigen152|Q2FYU5|CP002114.3|mhci|seq299	antigen152|Q2FYU5|BX571857.1|mhci|seq299
antigen152|Q2FYU5|CP002114.3|mhci|seq12	antigen152|Q2FYU5|CP002114.3|mhci|seq12
antigen152|Q2FYU5|CP002114.3|mhci|seq12	antigen152|Q2FYU5|BX571857.1|mhci|seq12
antigen152|Q2FYU5|CP002114.3|mhci|seq108	antigen152|Q2FYU5|CP002114.3|mhci|seq108
antigen152|Q2FYU5|CP002114.3|mhci|seq108	antigen152|Q2FYU5|BX571857.1|mhci|seq108
antigen152|Q2FYU5|CP002114.3|mhci|seq140	antigen152|Q2FYU5|CP002114.3|mhci|seq140
antigen152|Q2FYU5|CP002114.3|mhci|seq172	antigen152|Q2FYU5|CP002114.3|mhci|seq172
antigen152|Q2FYU5|CP002114.3|mhci|seq172	antigen152|Q2FYU5|BX571857.1|mhci|seq172
antigen152|Q2FYU5|CP002114.3|mhci|seq204	antigen152|Q2FYU5|CP002114.3|mhci|seq204
antigen152|Q2FYU5|CP002114.3|mhci|seq204	antigen152|Q2FYU5|BX571857.1|mhci|seq204
antigen152|Q2FYU5|CP002114.3|mhci|seq236	antigen152|Q2FYU5|CP002114.3|mhci|seq236
antigen152|Q2FYU5|CP002114.3|mhci|seq236	antigen152|Q2FYU5|BX571857.1|mhci|seq236
antigen152|Q2FYU5|CP002114.3|mhci|seq268	antigen152|Q2FYU5|CP002114.3|mhci|seq268
antigen152|Q2FYU5|CP002114.3|mhci|seq300	antigen152|Q2FYU5|CP002114.3|mhci|seq300
antigen152|Q2FYU5|CP002114.3|mhci|seq300	antigen152|Q2FYU5|BX571857.1|mhci|seq300
antigen152|Q2FYU5|BX571857.1|mhci|seq239	antigen152|Q2FYU5|BX571857.1|mhci|seq239
antigen152|Q2FYU5|CP002114.3|mhci|seq13	antigen152|Q2FYU5|CP002114.3|mhci|seq13
