antigen137|Q5HHB7|CP002114.3|mhci|seq3981	antigen137|Q5HHB7|CP002114.3|mhci|seq3981
antigen137|Q5HHB7|CP002114.3|mhci|seq4397	antigen137|Q5HHB7|CP002114.3|mhci|seq4397
antigen137|Q5HHB7|CP002114.3|mhci|seq4397	antigen137|Q5HHB7|BA000018.3|mhci|seq4397
antigen137|Q5HHB7|CP002114.3|mhci|seq4461	antigen137|Q5HHB7|CP002114.3|mhci|seq4461
antigen137|Q5HHB7|CP002114.3|mhci|seq4493	antigen137|Q5HHB7|CP002114.3|mhci|seq4493
antigen137|Q5HHB7|CP002114.3|mhci|seq4493	antigen137|Q5HHB7|BA000018.3|mhci|seq4493
antigen137|Q5HHB7|CP002114.3|mhci|seq4525	antigen137|Q5HHB7|CP002114.3|mhci|seq4525
antigen137|Q5HHB7|CP002114.3|mhci|seq4525	antigen137|Q5HHB7|BA000018.3|mhci|seq4521
antigen137|Q5HHB7|CP002114.3|mhci|seq4557	antigen137|Q5HHB7|CP002114.3|mhci|seq4557
antigen137|Q5HHB7|CP002114.3|mhci|seq4557	antigen137|Q5HHB7|BA000018.3|mhci|seq4553
antigen137|Q5HHB7|CP002114.3|mhci|seq4589	antigen137|Q5HHB7|CP002114.3|mhci|seq4589
antigen137|Q5HHB7|CP002114.3|mhci|seq4621	antigen137|Q5HHB7|CP002114.3|mhci|seq4621
antigen137|Q5HHB7|CP002114.3|mhci|seq4621	antigen137|Q5HHB7|BA000018.3|mhci|seq4617
antigen137|Q5HHB7|CP002114.3|mhci|seq4653	antigen137|Q5HHB7|CP002114.3|mhci|seq4653
antigen137|Q5HHB7|CP002114.3|mhci|seq4653	antigen137|Q5HHB7|BA000018.3|mhci|seq4649
antigen137|Q5HHB7|CP002114.3|mhci|seq4653	antigen137|Q5HHB7|CP002114.3|mhci|seq4654
antigen137|Q5HHB7|CP002114.3|mhci|seq4653	antigen137|Q5HHB7|BA000018.3|mhci|seq4650
antigen137|Q5HHB7|CP002114.3|mhci|seq4685	antigen137|Q5HHB7|CP002114.3|mhci|seq4685
antigen137|Q5HHB7|CP002114.3|mhci|seq4685	antigen137|Q5HHB7|BA000018.3|mhci|seq4681
antigen137|Q5HHB7|CP002114.3|mhci|seq4685	antigen137|Q5HHB7|CP002114.3|mhci|seq4686
antigen137|Q5HHB7|CP002114.3|mhci|seq4685	antigen137|Q5HHB7|BA000018.3|mhci|seq4682
antigen137|Q5HHB7|CP002114.3|mhci|seq4717	antigen137|Q5HHB7|CP002114.3|mhci|seq4717
antigen137|Q5HHB7|CP002114.3|mhci|seq4717	antigen137|Q5HHB7|BA000018.3|mhci|seq4717
antigen137|Q5HHB7|CP002114.3|mhci|seq4749	antigen137|Q5HHB7|CP002114.3|mhci|seq4749
antigen137|Q5HHB7|CP002114.3|mhci|seq4749	antigen137|Q5HHB7|BA000018.3|mhci|seq4749
antigen137|Q5HHB7|CP002114.3|mhci|seq4749	antigen137|Q5HHB7|CP002114.3|mhci|seq4750
antigen137|Q5HHB7|CP002114.3|mhci|seq4749	antigen137|Q5HHB7|BA000018.3|mhci|seq4750
antigen137|Q5HHB7|CP002114.3|mhci|seq4781	antigen137|Q5HHB7|CP002114.3|mhci|seq4781
antigen137|Q5HHB7|CP002114.3|mhci|seq4781	antigen137|Q5HHB7|BA000018.3|mhci|seq4781
antigen137|Q5HHB7|CP002114.3|mhci|seq4781	antigen137|Q5HHB7|CP002114.3|mhci|seq4782
antigen137|Q5HHB7|CP002114.3|mhci|seq4781	antigen137|Q5HHB7|BA000018.3|mhci|seq4782
antigen137|Q5HHB7|CP002114.3|mhci|seq4813	antigen137|Q5HHB7|CP002114.3|mhci|seq4813
antigen137|Q5HHB7|CP002114.3|mhci|seq4813	antigen137|Q5HHB7|BA000018.3|mhci|seq4813
antigen137|Q5HHB7|CP002114.3|mhci|seq4813	antigen137|Q5HHB7|CP002114.3|mhci|seq4814
antigen137|Q5HHB7|CP002114.3|mhci|seq4813	antigen137|Q5HHB7|BA000018.3|mhci|seq4814
antigen137|Q5HHB7|BA000018.3|mhci|seq240	antigen137|Q5HHB7|BA000018.3|mhci|seq240
antigen137|Q5HHB7|BA000018.3|mhci|seq240	antigen137|Q5HHB7|CP002114.3|mhci|seq232
antigen137|Q5HHB7|BA000018.3|mhci|seq336	antigen137|Q5HHB7|BA000018.3|mhci|seq336
antigen137|Q5HHB7|BA000018.3|mhci|seq336	antigen137|Q5HHB7|CP002114.3|mhci|seq320
antigen137|Q5HHB7|BA000018.3|mhci|seq688	antigen137|Q5HHB7|BA000018.3|mhci|seq688
antigen137|Q5HHB7|BA000018.3|mhci|seq688	antigen137|Q5HHB7|CP002114.3|mhci|seq672
antigen137|Q5HHB7|BA000018.3|mhci|seq752	antigen137|Q5HHB7|BA000018.3|mhci|seq752
antigen137|Q5HHB7|BA000018.3|mhci|seq880	antigen137|Q5HHB7|BA000018.3|mhci|seq880
antigen137|Q5HHB7|BA000018.3|mhci|seq880	antigen137|Q5HHB7|CP002114.3|mhci|seq864
antigen137|Q5HHB7|BA000018.3|mhci|seq944	antigen137|Q5HHB7|BA000018.3|mhci|seq944
antigen137|Q5HHB7|BA000018.3|mhci|seq944	antigen137|Q5HHB7|CP002114.3|mhci|seq928
antigen137|Q5HHB7|BA000018.3|mhci|seq1008	antigen137|Q5HHB7|BA000018.3|mhci|seq1008
antigen137|Q5HHB7|BA000018.3|mhci|seq1008	antigen137|Q5HHB7|CP002114.3|mhci|seq1000
antigen137|Q5HHB7|BA000018.3|mhci|seq1040	antigen137|Q5HHB7|BA000018.3|mhci|seq1040
antigen137|Q5HHB7|BA000018.3|mhci|seq1040	antigen137|Q5HHB7|CP002114.3|mhci|seq1036
antigen137|Q5HHB7|BA000018.3|mhci|seq1104	antigen137|Q5HHB7|BA000018.3|mhci|seq1104
antigen137|Q5HHB7|BA000018.3|mhci|seq1104	antigen137|Q5HHB7|CP002114.3|mhci|seq1100
antigen137|Q5HHB7|BA000018.3|mhci|seq1136	antigen137|Q5HHB7|BA000018.3|mhci|seq1136
antigen137|Q5HHB7|BA000018.3|mhci|seq1136	antigen137|Q5HHB7|CP002114.3|mhci|seq1132
antigen137|Q5HHB7|BA000018.3|mhci|seq1168	antigen137|Q5HHB7|BA000018.3|mhci|seq1168
antigen137|Q5HHB7|BA000018.3|mhci|seq1168	antigen137|Q5HHB7|CP002114.3|mhci|seq1164
antigen137|Q5HHB7|BA000018.3|mhci|seq1200	antigen137|Q5HHB7|BA000018.3|mhci|seq1200
antigen137|Q5HHB7|BA000018.3|mhci|seq1360	antigen137|Q5HHB7|BA000018.3|mhci|seq1360
antigen137|Q5HHB7|BA000018.3|mhci|seq1456	antigen137|Q5HHB7|BA000018.3|mhci|seq1456
antigen137|Q5HHB7|BA000018.3|mhci|seq1488	antigen137|Q5HHB7|BA000018.3|mhci|seq1488
antigen137|Q5HHB7|BA000018.3|mhci|seq1744	antigen137|Q5HHB7|BA000018.3|mhci|seq1744
antigen137|Q5HHB7|BA000018.3|mhci|seq2480	antigen137|Q5HHB7|BA000018.3|mhci|seq2480
antigen137|Q5HHB7|BA000018.3|mhci|seq2800	antigen137|Q5HHB7|BA000018.3|mhci|seq2800
antigen137|Q5HHB7|BA000018.3|mhci|seq2992	antigen137|Q5HHB7|BA000018.3|mhci|seq2992
antigen137|Q5HHB7|BA000018.3|mhci|seq2992	antigen137|Q5HHB7|CP002114.3|mhci|seq2988
antigen137|Q5HHB7|BA000018.3|mhci|seq3024	antigen137|Q5HHB7|BA000018.3|mhci|seq3024
antigen137|Q5HHB7|BA000018.3|mhci|seq3024	antigen137|Q5HHB7|CP002114.3|mhci|seq3020
antigen137|Q5HHB7|BA000018.3|mhci|seq3056	antigen137|Q5HHB7|BA000018.3|mhci|seq3056
antigen137|Q5HHB7|BA000018.3|mhci|seq3152	antigen137|Q5HHB7|BA000018.3|mhci|seq3152
antigen137|Q5HHB7|BA000018.3|mhci|seq3184	antigen137|Q5HHB7|BA000018.3|mhci|seq3184
antigen137|Q5HHB7|BA000018.3|mhci|seq3312	antigen137|Q5HHB7|BA000018.3|mhci|seq3312
antigen137|Q5HHB7|BA000018.3|mhci|seq3344	antigen137|Q5HHB7|BA000018.3|mhci|seq3344
antigen137|Q5HHB7|BA000018.3|mhci|seq3408	antigen137|Q5HHB7|BA000018.3|mhci|seq3408
antigen137|Q5HHB7|BA000018.3|mhci|seq3440	antigen137|Q5HHB7|BA000018.3|mhci|seq3440
antigen137|Q5HHB7|BA000018.3|mhci|seq3504	antigen137|Q5HHB7|BA000018.3|mhci|seq3504
antigen137|Q5HHB7|BA000018.3|mhci|seq3504	antigen137|Q5HHB7|CP002114.3|mhci|seq3500
antigen137|Q5HHB7|BA000018.3|mhci|seq3664	antigen137|Q5HHB7|BA000018.3|mhci|seq3664
antigen137|Q5HHB7|BA000018.3|mhci|seq3856	antigen137|Q5HHB7|BA000018.3|mhci|seq3856
antigen137|Q5HHB7|BA000018.3|mhci|seq4112	antigen137|Q5HHB7|BA000018.3|mhci|seq4112
antigen137|Q5HHB7|BA000018.3|mhci|seq4176	antigen137|Q5HHB7|BA000018.3|mhci|seq4176
antigen137|Q5HHB7|BA000018.3|mhci|seq4208	antigen137|Q5HHB7|BA000018.3|mhci|seq4208
antigen137|Q5HHB7|BA000018.3|mhci|seq4336	antigen137|Q5HHB7|BA000018.3|mhci|seq4336
antigen137|Q5HHB7|BA000018.3|mhci|seq4432	antigen137|Q5HHB7|BA000018.3|mhci|seq4432
antigen137|Q5HHB7|BA000018.3|mhci|seq4432	antigen137|Q5HHB7|CP002114.3|mhci|seq4428
antigen137|Q5HHB7|BA000018.3|mhci|seq4464	antigen137|Q5HHB7|BA000018.3|mhci|seq4464
antigen137|Q5HHB7|BA000018.3|mhci|seq4624	antigen137|Q5HHB7|BA000018.3|mhci|seq4624
antigen137|Q5HHB7|BA000018.3|mhci|seq4688	antigen137|Q5HHB7|BA000018.3|mhci|seq4688
antigen137|Q5HHB7|CP002114.3|mhci|seq14	antigen137|Q5HHB7|CP002114.3|mhci|seq14
antigen137|Q5HHB7|CP002114.3|mhci|seq110	antigen137|Q5HHB7|CP002114.3|mhci|seq110
antigen137|Q5HHB7|CP002114.3|mhci|seq110	antigen137|Q5HHB7|BA000018.3|mhci|seq110
antigen137|Q5HHB7|CP002114.3|mhci|seq142	antigen137|Q5HHB7|CP002114.3|mhci|seq142
antigen137|Q5HHB7|CP002114.3|mhci|seq142	antigen137|Q5HHB7|BA000018.3|mhci|seq142
antigen137|Q5HHB7|CP002114.3|mhci|seq174	antigen137|Q5HHB7|CP002114.3|mhci|seq174
antigen137|Q5HHB7|CP002114.3|mhci|seq174	antigen137|Q5HHB7|BA000018.3|mhci|seq174
antigen137|Q5HHB7|CP002114.3|mhci|seq206	antigen137|Q5HHB7|CP002114.3|mhci|seq206
antigen137|Q5HHB7|CP002114.3|mhci|seq270	antigen137|Q5HHB7|CP002114.3|mhci|seq270
antigen137|Q5HHB7|CP002114.3|mhci|seq558	antigen137|Q5HHB7|CP002114.3|mhci|seq558
antigen137|Q5HHB7|CP002114.3|mhci|seq686	antigen137|Q5HHB7|CP002114.3|mhci|seq686
antigen137|Q5HHB7|CP002114.3|mhci|seq686	antigen137|Q5HHB7|BA000018.3|mhci|seq706
antigen137|Q5HHB7|CP002114.3|mhci|seq718	antigen137|Q5HHB7|CP002114.3|mhci|seq718
antigen137|Q5HHB7|CP002114.3|mhci|seq718	antigen137|Q5HHB7|BA000018.3|mhci|seq738
antigen137|Q5HHB7|CP002114.3|mhci|seq750	antigen137|Q5HHB7|CP002114.3|mhci|seq750
antigen137|Q5HHB7|CP002114.3|mhci|seq750	antigen137|Q5HHB7|BA000018.3|mhci|seq770
antigen137|Q5HHB7|CP002114.3|mhci|seq942	antigen137|Q5HHB7|CP002114.3|mhci|seq942
antigen137|Q5HHB7|CP002114.3|mhci|seq1198	antigen137|Q5HHB7|CP002114.3|mhci|seq1198
antigen137|Q5HHB7|CP002114.3|mhci|seq1198	antigen137|Q5HHB7|BA000018.3|mhci|seq1198
antigen137|Q5HHB7|CP002114.3|mhci|seq1230	antigen137|Q5HHB7|CP002114.3|mhci|seq1230
antigen137|Q5HHB7|CP002114.3|mhci|seq1230	antigen137|Q5HHB7|BA000018.3|mhci|seq1226
antigen137|Q5HHB7|CP002114.3|mhci|seq1230	antigen137|Q5HHB7|CP002114.3|mhci|seq1231
antigen137|Q5HHB7|CP002114.3|mhci|seq1230	antigen137|Q5HHB7|BA000018.3|mhci|seq1227
antigen137|Q5HHB7|CP002114.3|mhci|seq1262	antigen137|Q5HHB7|CP002114.3|mhci|seq1262
antigen137|Q5HHB7|CP002114.3|mhci|seq1262	antigen137|Q5HHB7|BA000018.3|mhci|seq1258
antigen137|Q5HHB7|CP002114.3|mhci|seq1262	antigen137|Q5HHB7|CP002114.3|mhci|seq1263
antigen137|Q5HHB7|CP002114.3|mhci|seq1262	antigen137|Q5HHB7|BA000018.3|mhci|seq1259
antigen137|Q5HHB7|CP002114.3|mhci|seq1294	antigen137|Q5HHB7|CP002114.3|mhci|seq1294
antigen137|Q5HHB7|CP002114.3|mhci|seq1294	antigen137|Q5HHB7|BA000018.3|mhci|seq1290
antigen137|Q5HHB7|CP002114.3|mhci|seq1294	antigen137|Q5HHB7|CP002114.3|mhci|seq1295
antigen137|Q5HHB7|CP002114.3|mhci|seq1294	antigen137|Q5HHB7|BA000018.3|mhci|seq1291
antigen137|Q5HHB7|CP002114.3|mhci|seq1326	antigen137|Q5HHB7|CP002114.3|mhci|seq1326
antigen137|Q5HHB7|CP002114.3|mhci|seq1326	antigen137|Q5HHB7|BA000018.3|mhci|seq1322
antigen137|Q5HHB7|CP002114.3|mhci|seq1326	antigen137|Q5HHB7|BA000018.3|mhci|seq1323
antigen137|Q5HHB7|CP002114.3|mhci|seq1326	antigen137|Q5HHB7|CP002114.3|mhci|seq1327
antigen137|Q5HHB7|CP002114.3|mhci|seq1358	antigen137|Q5HHB7|CP002114.3|mhci|seq1358
antigen137|Q5HHB7|CP002114.3|mhci|seq1358	antigen137|Q5HHB7|BA000018.3|mhci|seq1346
antigen137|Q5HHB7|CP002114.3|mhci|seq1358	antigen137|Q5HHB7|CP002114.3|mhci|seq1359
antigen137|Q5HHB7|CP002114.3|mhci|seq1358	antigen137|Q5HHB7|BA000018.3|mhci|seq1347
antigen137|Q5HHB7|CP002114.3|mhci|seq1390	antigen137|Q5HHB7|CP002114.3|mhci|seq1390
antigen137|Q5HHB7|CP002114.3|mhci|seq1390	antigen137|Q5HHB7|BA000018.3|mhci|seq1378
antigen137|Q5HHB7|CP002114.3|mhci|seq1390	antigen137|Q5HHB7|CP002114.3|mhci|seq1391
antigen137|Q5HHB7|CP002114.3|mhci|seq1390	antigen137|Q5HHB7|BA000018.3|mhci|seq1379
antigen137|Q5HHB7|CP002114.3|mhci|seq1422	antigen137|Q5HHB7|CP002114.3|mhci|seq1422
antigen137|Q5HHB7|CP002114.3|mhci|seq1422	antigen137|Q5HHB7|BA000018.3|mhci|seq1410
antigen137|Q5HHB7|CP002114.3|mhci|seq1422	antigen137|Q5HHB7|CP002114.3|mhci|seq1423
antigen137|Q5HHB7|CP002114.3|mhci|seq1422	antigen137|Q5HHB7|BA000018.3|mhci|seq1411
antigen137|Q5HHB7|CP002114.3|mhci|seq1486	antigen137|Q5HHB7|CP002114.3|mhci|seq1486
antigen137|Q5HHB7|CP002114.3|mhci|seq1486	antigen137|Q5HHB7|BA000018.3|mhci|seq1478
antigen137|Q5HHB7|CP002114.3|mhci|seq1486	antigen137|Q5HHB7|CP002114.3|mhci|seq1487
antigen137|Q5HHB7|CP002114.3|mhci|seq1486	antigen137|Q5HHB7|BA000018.3|mhci|seq1479
antigen137|Q5HHB7|CP002114.3|mhci|seq1518	antigen137|Q5HHB7|CP002114.3|mhci|seq1518
antigen137|Q5HHB7|CP002114.3|mhci|seq1518	antigen137|Q5HHB7|BA000018.3|mhci|seq1510
antigen137|Q5HHB7|CP002114.3|mhci|seq1518	antigen137|Q5HHB7|CP002114.3|mhci|seq1519
antigen137|Q5HHB7|CP002114.3|mhci|seq1518	antigen137|Q5HHB7|BA000018.3|mhci|seq1511
antigen137|Q5HHB7|CP002114.3|mhci|seq1550	antigen137|Q5HHB7|CP002114.3|mhci|seq1550
antigen137|Q5HHB7|CP002114.3|mhci|seq1550	antigen137|Q5HHB7|BA000018.3|mhci|seq1542
antigen137|Q5HHB7|CP002114.3|mhci|seq1550	antigen137|Q5HHB7|CP002114.3|mhci|seq1551
antigen137|Q5HHB7|CP002114.3|mhci|seq1550	antigen137|Q5HHB7|BA000018.3|mhci|seq1543
antigen137|Q5HHB7|CP002114.3|mhci|seq1582	antigen137|Q5HHB7|CP002114.3|mhci|seq1582
antigen137|Q5HHB7|CP002114.3|mhci|seq1582	antigen137|Q5HHB7|BA000018.3|mhci|seq1574
antigen137|Q5HHB7|CP002114.3|mhci|seq1582	antigen137|Q5HHB7|CP002114.3|mhci|seq1583
antigen137|Q5HHB7|CP002114.3|mhci|seq1582	antigen137|Q5HHB7|BA000018.3|mhci|seq1575
antigen137|Q5HHB7|CP002114.3|mhci|seq1614	antigen137|Q5HHB7|CP002114.3|mhci|seq1614
antigen137|Q5HHB7|CP002114.3|mhci|seq1614	antigen137|Q5HHB7|BA000018.3|mhci|seq1606
antigen137|Q5HHB7|CP002114.3|mhci|seq1646	antigen137|Q5HHB7|CP002114.3|mhci|seq1646
antigen137|Q5HHB7|CP002114.3|mhci|seq1646	antigen137|Q5HHB7|BA000018.3|mhci|seq1642
antigen137|Q5HHB7|CP002114.3|mhci|seq1678	antigen137|Q5HHB7|CP002114.3|mhci|seq1678
antigen137|Q5HHB7|CP002114.3|mhci|seq1678	antigen137|Q5HHB7|BA000018.3|mhci|seq1674
antigen137|Q5HHB7|CP002114.3|mhci|seq1710	antigen137|Q5HHB7|CP002114.3|mhci|seq1710
antigen137|Q5HHB7|CP002114.3|mhci|seq1710	antigen137|Q5HHB7|BA000018.3|mhci|seq1702
antigen137|Q5HHB7|CP002114.3|mhci|seq1710	antigen137|Q5HHB7|CP002114.3|mhci|seq1711
antigen137|Q5HHB7|CP002114.3|mhci|seq1710	antigen137|Q5HHB7|BA000018.3|mhci|seq1703
antigen137|Q5HHB7|CP002114.3|mhci|seq1742	antigen137|Q5HHB7|CP002114.3|mhci|seq1742
antigen137|Q5HHB7|CP002114.3|mhci|seq1774	antigen137|Q5HHB7|CP002114.3|mhci|seq1774
antigen137|Q5HHB7|CP002114.3|mhci|seq1774	antigen137|Q5HHB7|BA000018.3|mhci|seq1766
antigen137|Q5HHB7|CP002114.3|mhci|seq1806	antigen137|Q5HHB7|CP002114.3|mhci|seq1806
antigen137|Q5HHB7|CP002114.3|mhci|seq1806	antigen137|Q5HHB7|BA000018.3|mhci|seq1798
antigen137|Q5HHB7|CP002114.3|mhci|seq1838	antigen137|Q5HHB7|CP002114.3|mhci|seq1838
antigen137|Q5HHB7|CP002114.3|mhci|seq1838	antigen137|Q5HHB7|BA000018.3|mhci|seq1830
antigen137|Q5HHB7|CP002114.3|mhci|seq1838	antigen137|Q5HHB7|CP002114.3|mhci|seq1839
antigen137|Q5HHB7|CP002114.3|mhci|seq1838	antigen137|Q5HHB7|BA000018.3|mhci|seq1831
antigen137|Q5HHB7|CP002114.3|mhci|seq1902	antigen137|Q5HHB7|CP002114.3|mhci|seq1902
antigen137|Q5HHB7|CP002114.3|mhci|seq1902	antigen137|Q5HHB7|BA000018.3|mhci|seq1894
antigen137|Q5HHB7|CP002114.3|mhci|seq1902	antigen137|Q5HHB7|CP002114.3|mhci|seq1903
antigen137|Q5HHB7|CP002114.3|mhci|seq1902	antigen137|Q5HHB7|BA000018.3|mhci|seq1895
antigen137|Q5HHB7|CP002114.3|mhci|seq1934	antigen137|Q5HHB7|CP002114.3|mhci|seq1934
antigen137|Q5HHB7|CP002114.3|mhci|seq1934	antigen137|Q5HHB7|BA000018.3|mhci|seq1926
antigen137|Q5HHB7|CP002114.3|mhci|seq1966	antigen137|Q5HHB7|CP002114.3|mhci|seq1966
antigen137|Q5HHB7|CP002114.3|mhci|seq1966	antigen137|Q5HHB7|BA000018.3|mhci|seq1958
antigen137|Q5HHB7|CP002114.3|mhci|seq1966	antigen137|Q5HHB7|CP002114.3|mhci|seq1967
antigen137|Q5HHB7|CP002114.3|mhci|seq1966	antigen137|Q5HHB7|BA000018.3|mhci|seq1959
antigen137|Q5HHB7|CP002114.3|mhci|seq1998	antigen137|Q5HHB7|CP002114.3|mhci|seq1998
antigen137|Q5HHB7|CP002114.3|mhci|seq1998	antigen137|Q5HHB7|BA000018.3|mhci|seq1990
antigen137|Q5HHB7|CP002114.3|mhci|seq1998	antigen137|Q5HHB7|CP002114.3|mhci|seq1999
antigen137|Q5HHB7|CP002114.3|mhci|seq1998	antigen137|Q5HHB7|BA000018.3|mhci|seq1991
antigen137|Q5HHB7|CP002114.3|mhci|seq2030	antigen137|Q5HHB7|CP002114.3|mhci|seq2030
antigen137|Q5HHB7|CP002114.3|mhci|seq2030	antigen137|Q5HHB7|BA000018.3|mhci|seq2026
antigen137|Q5HHB7|CP002114.3|mhci|seq2062	antigen137|Q5HHB7|CP002114.3|mhci|seq2062
antigen137|Q5HHB7|CP002114.3|mhci|seq2062	antigen137|Q5HHB7|BA000018.3|mhci|seq2058
antigen137|Q5HHB7|CP002114.3|mhci|seq2094	antigen137|Q5HHB7|CP002114.3|mhci|seq2094
antigen137|Q5HHB7|CP002114.3|mhci|seq2094	antigen137|Q5HHB7|BA000018.3|mhci|seq2090
antigen137|Q5HHB7|CP002114.3|mhci|seq2094	antigen137|Q5HHB7|CP002114.3|mhci|seq2095
antigen137|Q5HHB7|CP002114.3|mhci|seq2094	antigen137|Q5HHB7|BA000018.3|mhci|seq2091
antigen137|Q5HHB7|CP002114.3|mhci|seq2126	antigen137|Q5HHB7|CP002114.3|mhci|seq2126
antigen137|Q5HHB7|CP002114.3|mhci|seq2158	antigen137|Q5HHB7|CP002114.3|mhci|seq2158
antigen137|Q5HHB7|CP002114.3|mhci|seq2158	antigen137|Q5HHB7|BA000018.3|mhci|seq2154
antigen137|Q5HHB7|CP002114.3|mhci|seq2190	antigen137|Q5HHB7|CP002114.3|mhci|seq2190
antigen137|Q5HHB7|CP002114.3|mhci|seq2190	antigen137|Q5HHB7|BA000018.3|mhci|seq2190
antigen137|Q5HHB7|CP002114.3|mhci|seq2190	antigen137|Q5HHB7|CP002114.3|mhci|seq2191
antigen137|Q5HHB7|CP002114.3|mhci|seq2190	antigen137|Q5HHB7|BA000018.3|mhci|seq2191
antigen137|Q5HHB7|CP002114.3|mhci|seq2222	antigen137|Q5HHB7|CP002114.3|mhci|seq2222
antigen137|Q5HHB7|CP002114.3|mhci|seq2254	antigen137|Q5HHB7|CP002114.3|mhci|seq2254
antigen137|Q5HHB7|CP002114.3|mhci|seq2254	antigen137|Q5HHB7|BA000018.3|mhci|seq2246
antigen137|Q5HHB7|CP002114.3|mhci|seq2286	antigen137|Q5HHB7|CP002114.3|mhci|seq2286
antigen137|Q5HHB7|CP002114.3|mhci|seq2286	antigen137|Q5HHB7|BA000018.3|mhci|seq2282
antigen137|Q5HHB7|CP002114.3|mhci|seq2286	antigen137|Q5HHB7|CP002114.3|mhci|seq2287
antigen137|Q5HHB7|CP002114.3|mhci|seq2286	antigen137|Q5HHB7|BA000018.3|mhci|seq2283
antigen137|Q5HHB7|CP002114.3|mhci|seq2318	antigen137|Q5HHB7|CP002114.3|mhci|seq2318
antigen137|Q5HHB7|CP002114.3|mhci|seq2350	antigen137|Q5HHB7|CP002114.3|mhci|seq2350
antigen137|Q5HHB7|CP002114.3|mhci|seq2382	antigen137|Q5HHB7|CP002114.3|mhci|seq2382
antigen137|Q5HHB7|CP002114.3|mhci|seq2382	antigen137|Q5HHB7|BA000018.3|mhci|seq2374
antigen137|Q5HHB7|CP002114.3|mhci|seq2382	antigen137|Q5HHB7|CP002114.3|mhci|seq2383
antigen137|Q5HHB7|CP002114.3|mhci|seq2382	antigen137|Q5HHB7|BA000018.3|mhci|seq2375
antigen137|Q5HHB7|CP002114.3|mhci|seq2414	antigen137|Q5HHB7|CP002114.3|mhci|seq2414
antigen137|Q5HHB7|CP002114.3|mhci|seq2414	antigen137|Q5HHB7|BA000018.3|mhci|seq2406
antigen137|Q5HHB7|CP002114.3|mhci|seq2414	antigen137|Q5HHB7|CP002114.3|mhci|seq2415
antigen137|Q5HHB7|CP002114.3|mhci|seq2414	antigen137|Q5HHB7|BA000018.3|mhci|seq2407
antigen137|Q5HHB7|CP002114.3|mhci|seq2446	antigen137|Q5HHB7|CP002114.3|mhci|seq2446
antigen137|Q5HHB7|CP002114.3|mhci|seq2446	antigen137|Q5HHB7|BA000018.3|mhci|seq2438
antigen137|Q5HHB7|CP002114.3|mhci|seq2446	antigen137|Q5HHB7|CP002114.3|mhci|seq2447
antigen137|Q5HHB7|CP002114.3|mhci|seq2446	antigen137|Q5HHB7|BA000018.3|mhci|seq2439
antigen137|Q5HHB7|CP002114.3|mhci|seq2478	antigen137|Q5HHB7|CP002114.3|mhci|seq2478
