antigen63|P65177|HE681097.1|mhci|seq669	antigen63|P65177|HE681097.1|mhci|seq669
antigen63|P65177|CP002114.3|mhci|seq689	antigen63|P65177|CP002114.3|mhci|seq689
antigen63|P65177|CP002114.3|mhci|seq689	antigen63|P65177|HE681097.1|mhci|seq689
antigen63|P65177|CP002114.3|mhci|seq689	antigen63|P65177|CP002114.3|mhci|seq690
antigen63|P65177|CP002114.3|mhci|seq689	antigen63|P65177|HE681097.1|mhci|seq690
antigen63|P65177|CP002114.3|mhci|seq785	antigen63|P65177|CP002114.3|mhci|seq785
antigen63|P65177|CP002114.3|mhci|seq785	antigen63|P65177|HE681097.1|mhci|seq785
antigen63|P65177|CP002114.3|mhci|seq849	antigen63|P65177|CP002114.3|mhci|seq849
antigen63|P65177|CP002114.3|mhci|seq849	antigen63|P65177|HE681097.1|mhci|seq849
antigen63|P65177|CP002114.3|mhci|seq849	antigen63|P65177|CP002114.3|mhci|seq850
antigen63|P65177|CP002114.3|mhci|seq849	antigen63|P65177|HE681097.1|mhci|seq850
antigen63|P65177|BX571857.1|mhci|seq52	antigen63|P65177|BX571857.1|mhci|seq52
antigen63|P65177|BX571857.1|mhci|seq52	antigen63|P65177|BA000018.3|mhci|seq56
antigen63|P65177|BX571857.1|mhci|seq116	antigen63|P65177|BX571857.1|mhci|seq116
antigen63|P65177|BX571857.1|mhci|seq180	antigen63|P65177|BX571857.1|mhci|seq180
antigen63|P65177|BX571857.1|mhci|seq180	antigen63|P65177|BA000018.3|mhci|seq184
antigen63|P65177|BX571857.1|mhci|seq212	antigen63|P65177|BX571857.1|mhci|seq212
antigen63|P65177|BX571857.1|mhci|seq244	antigen63|P65177|BX571857.1|mhci|seq244
antigen63|P65177|BX571857.1|mhci|seq244	antigen63|P65177|BA000018.3|mhci|seq252
antigen63|P65177|BX571857.1|mhci|seq276	antigen63|P65177|BX571857.1|mhci|seq276
antigen63|P65177|BX571857.1|mhci|seq308	antigen63|P65177|BX571857.1|mhci|seq308
antigen63|P65177|BX571857.1|mhci|seq308	antigen63|P65177|BA000018.3|mhci|seq316
antigen63|P65177|BX571857.1|mhci|seq340	antigen63|P65177|BX571857.1|mhci|seq340
antigen63|P65177|BX571857.1|mhci|seq340	antigen63|P65177|BA000018.3|mhci|seq348
antigen63|P65177|BX571857.1|mhci|seq340	antigen63|P65177|BX571857.1|mhci|seq341
antigen63|P65177|BX571857.1|mhci|seq340	antigen63|P65177|BA000018.3|mhci|seq349
antigen63|P65177|BX571857.1|mhci|seq372	antigen63|P65177|BX571857.1|mhci|seq372
antigen63|P65177|BX571857.1|mhci|seq372	antigen63|P65177|BA000018.3|mhci|seq380
antigen63|P65177|BX571857.1|mhci|seq404	antigen63|P65177|BX571857.1|mhci|seq404
antigen63|P65177|BX571857.1|mhci|seq404	antigen63|P65177|BA000018.3|mhci|seq412
antigen63|P65177|BX571857.1|mhci|seq436	antigen63|P65177|BX571857.1|mhci|seq436
antigen63|P65177|BX571857.1|mhci|seq436	antigen63|P65177|BA000018.3|mhci|seq444
antigen63|P65177|BX571857.1|mhci|seq468	antigen63|P65177|BX571857.1|mhci|seq468
antigen63|P65177|BX571857.1|mhci|seq468	antigen63|P65177|BA000018.3|mhci|seq476
antigen63|P65177|BA000018.3|mhci|seq101	antigen63|P65177|BA000018.3|mhci|seq101
antigen63|P65177|BA000018.3|mhci|seq133	antigen63|P65177|BA000018.3|mhci|seq133
antigen63|P65177|BA000018.3|mhci|seq133	antigen63|P65177|BX571857.1|mhci|seq129
antigen63|P65177|BA000018.3|mhci|seq165	antigen63|P65177|BA000018.3|mhci|seq165
antigen63|P65177|BA000018.3|mhci|seq261	antigen63|P65177|BA000018.3|mhci|seq261
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|BA000018.3|mhci|seq645
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|BX571857.1|mhci|seq641
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|CP002114.3|mhci|seq653
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|HE681097.1|mhci|seq653
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|CP002114.3|mhci|seq654
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|HE681097.1|mhci|seq654
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|BA000018.3|mhci|seq646
antigen63|P65177|BA000018.3|mhci|seq645	antigen63|P65177|BX571857.1|mhci|seq642
antigen63|P65177|BA000018.3|mhci|seq677	antigen63|P65177|BA000018.3|mhci|seq677
antigen63|P65177|BA000018.3|mhci|seq677	antigen63|P65177|BX571857.1|mhci|seq673
antigen63|P65177|BA000018.3|mhci|seq677	antigen63|P65177|BA000018.3|mhci|seq678
antigen63|P65177|BA000018.3|mhci|seq677	antigen63|P65177|BX571857.1|mhci|seq674
antigen63|P65177|BA000018.3|mhci|seq709	antigen63|P65177|BA000018.3|mhci|seq709
antigen63|P65177|BA000018.3|mhci|seq709	antigen63|P65177|BX571857.1|mhci|seq705
antigen63|P65177|BA000018.3|mhci|seq709	antigen63|P65177|BA000018.3|mhci|seq710
antigen63|P65177|BA000018.3|mhci|seq709	antigen63|P65177|BX571857.1|mhci|seq706
antigen63|P65177|BA000018.3|mhci|seq773	antigen63|P65177|BA000018.3|mhci|seq773
antigen63|P65177|BA000018.3|mhci|seq773	antigen63|P65177|BX571857.1|mhci|seq769
antigen63|P65177|BA000018.3|mhci|seq901	antigen63|P65177|BA000018.3|mhci|seq901
antigen63|P65177|BA000018.3|mhci|seq901	antigen63|P65177|BX571857.1|mhci|seq897
antigen63|P65177|BA000018.3|mhci|seq901	antigen63|P65177|BA000018.3|mhci|seq902
antigen63|P65177|BA000018.3|mhci|seq901	antigen63|P65177|BX571857.1|mhci|seq898
antigen63|P65177|CP002114.3|mhci|seq47	antigen63|P65177|CP002114.3|mhci|seq47
antigen63|P65177|CP002114.3|mhci|seq47	antigen63|P65177|HE681097.1|mhci|seq47
antigen63|P65177|CP002114.3|mhci|seq111	antigen63|P65177|CP002114.3|mhci|seq111
antigen63|P65177|CP002114.3|mhci|seq111	antigen63|P65177|HE681097.1|mhci|seq111
antigen63|P65177|CP002114.3|mhci|seq207	antigen63|P65177|CP002114.3|mhci|seq207
antigen63|P65177|CP002114.3|mhci|seq207	antigen63|P65177|HE681097.1|mhci|seq207
antigen63|P65177|CP002114.3|mhci|seq335	antigen63|P65177|CP002114.3|mhci|seq335
antigen63|P65177|CP002114.3|mhci|seq335	antigen63|P65177|HE681097.1|mhci|seq335
antigen63|P65177|CP002114.3|mhci|seq367	antigen63|P65177|CP002114.3|mhci|seq367
antigen63|P65177|CP002114.3|mhci|seq367	antigen63|P65177|HE681097.1|mhci|seq367
antigen63|P65177|CP002114.3|mhci|seq399	antigen63|P65177|CP002114.3|mhci|seq399
antigen63|P65177|CP002114.3|mhci|seq399	antigen63|P65177|HE681097.1|mhci|seq399
antigen63|P65177|CP002114.3|mhci|seq431	antigen63|P65177|CP002114.3|mhci|seq431
antigen63|P65177|CP002114.3|mhci|seq431	antigen63|P65177|HE681097.1|mhci|seq431
antigen63|P65177|CP002114.3|mhci|seq559	antigen63|P65177|CP002114.3|mhci|seq559
antigen63|P65177|CP002114.3|mhci|seq559	antigen63|P65177|HE681097.1|mhci|seq559
antigen63|P65177|CP002114.3|mhci|seq655	antigen63|P65177|CP002114.3|mhci|seq655
antigen63|P65177|CP002114.3|mhci|seq655	antigen63|P65177|HE681097.1|mhci|seq655
antigen63|P65177|CP002114.3|mhci|seq687	antigen63|P65177|CP002114.3|mhci|seq687
antigen63|P65177|CP002114.3|mhci|seq687	antigen63|P65177|HE681097.1|mhci|seq687
antigen63|P65177|CP002114.3|mhci|seq719	antigen63|P65177|CP002114.3|mhci|seq719
antigen63|P65177|CP002114.3|mhci|seq719	antigen63|P65177|HE681097.1|mhci|seq719
antigen63|P65177|CP002114.3|mhci|seq783	antigen63|P65177|CP002114.3|mhci|seq783
antigen63|P65177|CP002114.3|mhci|seq783	antigen63|P65177|HE681097.1|mhci|seq783
antigen63|P65177|CP002114.3|mhci|seq815	antigen63|P65177|CP002114.3|mhci|seq815
antigen63|P65177|CP002114.3|mhci|seq847	antigen63|P65177|CP002114.3|mhci|seq847
antigen63|P65177|CP002114.3|mhci|seq847	antigen63|P65177|HE681097.1|mhci|seq847
antigen63|P65177|BX571857.1|mhci|seq82	antigen63|P65177|BX571857.1|mhci|seq82
antigen63|P65177|BX571857.1|mhci|seq82	antigen63|P65177|BA000018.3|mhci|seq90
antigen63|P65177|BX571857.1|mhci|seq82	antigen63|P65177|BX571857.1|mhci|seq83
antigen63|P65177|BX571857.1|mhci|seq82	antigen63|P65177|BA000018.3|mhci|seq91
antigen63|P65177|BX571857.1|mhci|seq178	antigen63|P65177|BX571857.1|mhci|seq178
antigen63|P65177|BX571857.1|mhci|seq178	antigen63|P65177|BA000018.3|mhci|seq182
antigen63|P65177|BX571857.1|mhci|seq178	antigen63|P65177|BX571857.1|mhci|seq179
antigen63|P65177|BX571857.1|mhci|seq178	antigen63|P65177|BA000018.3|mhci|seq183
antigen63|P65177|BX571857.1|mhci|seq242	antigen63|P65177|BX571857.1|mhci|seq242
antigen63|P65177|BX571857.1|mhci|seq242	antigen63|P65177|BX571857.1|mhci|seq243
antigen63|P65177|BX571857.1|mhci|seq274	antigen63|P65177|BX571857.1|mhci|seq274
antigen63|P65177|BX571857.1|mhci|seq274	antigen63|P65177|BA000018.3|mhci|seq282
antigen63|P65177|BX571857.1|mhci|seq306	antigen63|P65177|BX571857.1|mhci|seq306
antigen63|P65177|BX571857.1|mhci|seq306	antigen63|P65177|BA000018.3|mhci|seq314
antigen63|P65177|BX571857.1|mhci|seq306	antigen63|P65177|BX571857.1|mhci|seq307
antigen63|P65177|BX571857.1|mhci|seq306	antigen63|P65177|BA000018.3|mhci|seq315
antigen63|P65177|BX571857.1|mhci|seq338	antigen63|P65177|BX571857.1|mhci|seq338
antigen63|P65177|BX571857.1|mhci|seq338	antigen63|P65177|BA000018.3|mhci|seq346
antigen63|P65177|BX571857.1|mhci|seq498	antigen63|P65177|BX571857.1|mhci|seq498
antigen63|P65177|BX571857.1|mhci|seq498	antigen63|P65177|BA000018.3|mhci|seq506
antigen63|P65177|BX571857.1|mhci|seq658	antigen63|P65177|BX571857.1|mhci|seq658
antigen63|P65177|BX571857.1|mhci|seq658	antigen63|P65177|BA000018.3|mhci|seq662
antigen63|P65177|BX571857.1|mhci|seq754	antigen63|P65177|BX571857.1|mhci|seq754
antigen63|P65177|BX571857.1|mhci|seq818	antigen63|P65177|BX571857.1|mhci|seq818
antigen63|P65177|BX571857.1|mhci|seq818	antigen63|P65177|BA000018.3|mhci|seq822
antigen63|P65177|BX571857.1|mhci|seq850	antigen63|P65177|BX571857.1|mhci|seq850
antigen63|P65177|BX571857.1|mhci|seq850	antigen63|P65177|BA000018.3|mhci|seq854
antigen63|P65177|HE681097.1|mhci|seq28	antigen63|P65177|HE681097.1|mhci|seq28
antigen63|P65177|HE681097.1|mhci|seq476	antigen63|P65177|HE681097.1|mhci|seq476
antigen63|P65177|HE681097.1|mhci|seq508	antigen63|P65177|HE681097.1|mhci|seq508
antigen63|P65177|BX571857.1|mhci|seq1	antigen63|P65177|BX571857.1|mhci|seq1
antigen63|P65177|BX571857.1|mhci|seq1	antigen63|P65177|CP002114.3|mhci|seq5
antigen63|P65177|BX571857.1|mhci|seq1	antigen63|P65177|BA000018.3|mhci|seq5
antigen63|P65177|BX571857.1|mhci|seq1	antigen63|P65177|HE681097.1|mhci|seq5
antigen63|P65177|BX571857.1|mhci|seq97	antigen63|P65177|BX571857.1|mhci|seq97
antigen63|P65177|BX571857.1|mhci|seq161	antigen63|P65177|BX571857.1|mhci|seq161
antigen63|P65177|BX571857.1|mhci|seq193	antigen63|P65177|BX571857.1|mhci|seq193
antigen63|P65177|BX571857.1|mhci|seq193	antigen63|P65177|HE681097.1|mhci|seq209
antigen63|P65177|BX571857.1|mhci|seq193	antigen63|P65177|BA000018.3|mhci|seq197
antigen63|P65177|BX571857.1|mhci|seq193	antigen63|P65177|CP002114.3|mhci|seq209
antigen63|P65177|BX571857.1|mhci|seq225	antigen63|P65177|BX571857.1|mhci|seq225
antigen63|P65177|BX571857.1|mhci|seq225	antigen63|P65177|HE681097.1|mhci|seq237
antigen63|P65177|BX571857.1|mhci|seq225	antigen63|P65177|CP002114.3|mhci|seq237
antigen63|P65177|BX571857.1|mhci|seq225	antigen63|P65177|BA000018.3|mhci|seq229
antigen63|P65177|HE681097.1|mhci|seq11	antigen63|P65177|HE681097.1|mhci|seq11
antigen63|P65177|HE681097.1|mhci|seq11	antigen63|P65177|BX571857.1|mhci|seq11
antigen63|P65177|HE681097.1|mhci|seq11	antigen63|P65177|CP002114.3|mhci|seq11
antigen63|P65177|HE681097.1|mhci|seq11	antigen63|P65177|BA000018.3|mhci|seq11
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|HE681097.1|mhci|seq235
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|CP002114.3|mhci|seq235
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|BA000018.3|mhci|seq227
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|BX571857.1|mhci|seq223
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|CP002114.3|mhci|seq234
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|BA000018.3|mhci|seq226
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|BX571857.1|mhci|seq222
antigen63|P65177|HE681097.1|mhci|seq235	antigen63|P65177|HE681097.1|mhci|seq234
antigen63|P65177|HE681097.1|mhci|seq395	antigen63|P65177|HE681097.1|mhci|seq395
antigen63|P65177|HE681097.1|mhci|seq523	antigen63|P65177|HE681097.1|mhci|seq523
antigen63|P65177|HE681097.1|mhci|seq523	antigen63|P65177|BA000018.3|mhci|seq507
antigen63|P65177|HE681097.1|mhci|seq523	antigen63|P65177|CP002114.3|mhci|seq523
antigen63|P65177|HE681097.1|mhci|seq523	antigen63|P65177|BX571857.1|mhci|seq499
antigen63|P65177|HE681097.1|mhci|seq555	antigen63|P65177|HE681097.1|mhci|seq555
antigen63|P65177|HE681097.1|mhci|seq555	antigen63|P65177|BX571857.1|mhci|seq583
antigen63|P65177|HE681097.1|mhci|seq555	antigen63|P65177|CP002114.3|mhci|seq555
antigen63|P65177|HE681097.1|mhci|seq555	antigen63|P65177|BA000018.3|mhci|seq591
antigen63|P65177|HE681097.1|mhci|seq683	antigen63|P65177|HE681097.1|mhci|seq683
antigen63|P65177|HE681097.1|mhci|seq683	antigen63|P65177|BA000018.3|mhci|seq671
antigen63|P65177|HE681097.1|mhci|seq683	antigen63|P65177|CP002114.3|mhci|seq683
antigen63|P65177|HE681097.1|mhci|seq683	antigen63|P65177|BX571857.1|mhci|seq667
antigen63|P65177|HE681097.1|mhci|seq715	antigen63|P65177|HE681097.1|mhci|seq715
antigen63|P65177|HE681097.1|mhci|seq715	antigen63|P65177|BA000018.3|mhci|seq695
antigen63|P65177|HE681097.1|mhci|seq715	antigen63|P65177|CP002114.3|mhci|seq715
antigen63|P65177|HE681097.1|mhci|seq715	antigen63|P65177|BX571857.1|mhci|seq691
antigen63|P65177|HE681097.1|mhci|seq747	antigen63|P65177|HE681097.1|mhci|seq747
antigen63|P65177|HE681097.1|mhci|seq843	antigen63|P65177|HE681097.1|mhci|seq843
antigen63|P65177|HE681097.1|mhci|seq875	antigen63|P65177|HE681097.1|mhci|seq875
antigen63|P65177|HE681097.1|mhci|seq907	antigen63|P65177|HE681097.1|mhci|seq907
antigen63|P65177|HE681097.1|mhci|seq907	antigen63|P65177|CP002114.3|mhci|seq907
antigen63|P65177|HE681097.1|mhci|seq907	antigen63|P65177|BA000018.3|mhci|seq899
antigen63|P65177|HE681097.1|mhci|seq907	antigen63|P65177|BX571857.1|mhci|seq895
antigen63|P65177|BA000018.3|mhci|seq53	antigen63|P65177|BA000018.3|mhci|seq53
antigen63|P65177|BA000018.3|mhci|seq149	antigen63|P65177|BA000018.3|mhci|seq149
antigen63|P65177|BA000018.3|mhci|seq149	antigen63|P65177|HE681097.1|mhci|seq145
antigen63|P65177|BA000018.3|mhci|seq149	antigen63|P65177|CP002114.3|mhci|seq145
antigen63|P65177|BA000018.3|mhci|seq149	antigen63|P65177|BX571857.1|mhci|seq149
antigen63|P65177|BA000018.3|mhci|seq213	antigen63|P65177|BA000018.3|mhci|seq213
antigen63|P65177|BA000018.3|mhci|seq213	antigen63|P65177|BX571857.1|mhci|seq209
antigen63|P65177|BA000018.3|mhci|seq213	antigen63|P65177|HE681097.1|mhci|seq221
antigen63|P65177|BA000018.3|mhci|seq213	antigen63|P65177|CP002114.3|mhci|seq221
antigen63|P65177|BA000018.3|mhci|seq245	antigen63|P65177|BA000018.3|mhci|seq245
antigen63|P65177|BA000018.3|mhci|seq277	antigen63|P65177|BA000018.3|mhci|seq277
antigen63|P65177|BA000018.3|mhci|seq309	antigen63|P65177|BA000018.3|mhci|seq309
antigen63|P65177|BA000018.3|mhci|seq341	antigen63|P65177|BA000018.3|mhci|seq341
antigen63|P65177|BA000018.3|mhci|seq341	antigen63|P65177|CP002114.3|mhci|seq329
antigen63|P65177|BA000018.3|mhci|seq341	antigen63|P65177|BX571857.1|mhci|seq333
antigen63|P65177|BA000018.3|mhci|seq341	antigen63|P65177|HE681097.1|mhci|seq329
antigen63|P65177|BA000018.3|mhci|seq501	antigen63|P65177|BA000018.3|mhci|seq501
antigen63|P65177|BA000018.3|mhci|seq565	antigen63|P65177|BA000018.3|mhci|seq565
antigen63|P65177|BA000018.3|mhci|seq661	antigen63|P65177|BA000018.3|mhci|seq661
antigen63|P65177|BA000018.3|mhci|seq725	antigen63|P65177|BA000018.3|mhci|seq725
antigen63|P65177|BA000018.3|mhci|seq757	antigen63|P65177|BA000018.3|mhci|seq757
antigen63|P65177|BA000018.3|mhci|seq917	antigen63|P65177|BA000018.3|mhci|seq917
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|CP002114.3|mhci|seq223
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|BA000018.3|mhci|seq215
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|BX571857.1|mhci|seq211
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|HE681097.1|mhci|seq223
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|BA000018.3|mhci|seq214
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|BX571857.1|mhci|seq210
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|HE681097.1|mhci|seq222
antigen63|P65177|CP002114.3|mhci|seq223	antigen63|P65177|CP002114.3|mhci|seq222
antigen63|P65177|CP002114.3|mhci|seq383	antigen63|P65177|CP002114.3|mhci|seq383
antigen63|P65177|CP002114.3|mhci|seq383	antigen63|P65177|BA000018.3|mhci|seq391
antigen63|P65177|CP002114.3|mhci|seq383	antigen63|P65177|HE681097.1|mhci|seq383
antigen63|P65177|CP002114.3|mhci|seq383	antigen63|P65177|BX571857.1|mhci|seq383
antigen63|P65177|CP002114.3|mhci|seq415	antigen63|P65177|CP002114.3|mhci|seq415
antigen63|P65177|CP002114.3|mhci|seq415	antigen63|P65177|BX571857.1|mhci|seq679
antigen63|P65177|CP002114.3|mhci|seq415	antigen63|P65177|HE681097.1|mhci|seq415
antigen63|P65177|CP002114.3|mhci|seq415	antigen63|P65177|BA000018.3|mhci|seq683
antigen63|P65177|CP002114.3|mhci|seq479	antigen63|P65177|CP002114.3|mhci|seq479
antigen63|P65177|CP002114.3|mhci|seq511	antigen63|P65177|CP002114.3|mhci|seq511
antigen63|P65177|CP002114.3|mhci|seq511	antigen63|P65177|BX571857.1|mhci|seq487
antigen63|P65177|CP002114.3|mhci|seq511	antigen63|P65177|HE681097.1|mhci|seq511
antigen63|P65177|CP002114.3|mhci|seq511	antigen63|P65177|BA000018.3|mhci|seq495
antigen63|P65177|CP002114.3|mhci|seq575	antigen63|P65177|CP002114.3|mhci|seq575
antigen63|P65177|CP002114.3|mhci|seq575	antigen63|P65177|BA000018.3|mhci|seq579
antigen63|P65177|CP002114.3|mhci|seq575	antigen63|P65177|HE681097.1|mhci|seq575
antigen63|P65177|CP002114.3|mhci|seq575	antigen63|P65177|BX571857.1|mhci|seq571
antigen63|P65177|CP002114.3|mhci|seq607	antigen63|P65177|CP002114.3|mhci|seq607
antigen63|P65177|CP002114.3|mhci|seq607	antigen63|P65177|BA000018.3|mhci|seq599
antigen63|P65177|CP002114.3|mhci|seq607	antigen63|P65177|BX571857.1|mhci|seq591
antigen63|P65177|CP002114.3|mhci|seq607	antigen63|P65177|HE681097.1|mhci|seq607
antigen63|P65177|CP002114.3|mhci|seq639	antigen63|P65177|CP002114.3|mhci|seq639
antigen63|P65177|CP002114.3|mhci|seq639	antigen63|P65177|BX571857.1|mhci|seq623
antigen63|P65177|CP002114.3|mhci|seq639	antigen63|P65177|HE681097.1|mhci|seq639
antigen63|P65177|CP002114.3|mhci|seq639	antigen63|P65177|BA000018.3|mhci|seq627
antigen63|P65177|CP002114.3|mhci|seq703	antigen63|P65177|CP002114.3|mhci|seq703
antigen63|P65177|CP002114.3|mhci|seq703	antigen63|P65177|BX571857.1|mhci|seq419
antigen63|P65177|CP002114.3|mhci|seq703	antigen63|P65177|HE681097.1|mhci|seq703
antigen63|P65177|CP002114.3|mhci|seq703	antigen63|P65177|BA000018.3|mhci|seq427
antigen63|P65177|CP002114.3|mhci|seq799	antigen63|P65177|CP002114.3|mhci|seq799
antigen63|P65177|CP002114.3|mhci|seq863	antigen63|P65177|CP002114.3|mhci|seq863
antigen63|P65177|CP002114.3|mhci|seq863	antigen63|P65177|BA000018.3|mhci|seq855
antigen63|P65177|CP002114.3|mhci|seq863	antigen63|P65177|BX571857.1|mhci|seq851
antigen63|P65177|CP002114.3|mhci|seq863	antigen63|P65177|HE681097.1|mhci|seq863
antigen63|P65177|CP002114.3|mhci|seq895	antigen63|P65177|CP002114.3|mhci|seq895
