antigen179|Q5HEW2|BX571856.1|mhcii|seq204	antigen179|Q5HEW2|BX571856.1|mhcii|seq204
antigen179|Q5HEW2|BX571856.1|mhcii|seq212	antigen179|Q5HEW2|BX571856.1|mhcii|seq109
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq532
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq1041
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq194
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq193
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq195
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq196
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq197
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq191
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq192
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq514
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq459
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq332
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq460
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq333
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq334
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq463
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq461
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq462
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq464
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq465
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq466
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq337
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq335
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq336
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq338
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq339
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq529
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq1038
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq530
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq1039
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq531
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq1040
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq535
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq1044
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq533
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq1042
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq534
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq1043
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq536
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq728
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq725
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq726
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq727
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq729
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq730
antigen179|Q5HEW2|BX571856.1|mhcii|seq532	antigen179|Q5HEW2|BX571856.1|mhcii|seq731
antigen179|Q5HEW2|BX571856.1|mhcii|seq724	antigen179|Q5HEW2|BX571856.1|mhcii|seq724
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq789
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq496
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq53
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq258
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq257
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq259
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq260
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq492
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq49
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq493
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq50
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq494
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq51
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq910
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq495
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq52
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq785
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq786
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq787
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq788
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq922
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq906
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq561
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq699
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq77
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq923
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq907
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq562
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq700
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq78
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq924
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq908
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq563
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq701
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq79
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq925
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq909
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq564
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq702
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq80
antigen179|Q5HEW2|BX571856.1|mhcii|seq789	antigen179|Q5HEW2|BX571856.1|mhcii|seq255
