antigen41|Q5HEC4|BA000018.3|mhcii|seq5894	antigen41|Q5HEC4|BA000018.3|mhcii|seq5894
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq405
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6421
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6422
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6934
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4823
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6423
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6935
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4824
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6936
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4825
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6937
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4826
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6938
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq4827
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq6939
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8603
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8604
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8509
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq1630
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8510
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq1631
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8511
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq1632
antigen41|Q5HEC4|BA000018.3|mhcii|seq8514	antigen41|Q5HEC4|BA000018.3|mhcii|seq8512
antigen41|Q5HEC4|BA000018.3|mhcii|seq8770	antigen41|Q5HEC4|BA000018.3|mhcii|seq8770
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8866
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8865
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8867
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8868
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8869
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq2470
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8870
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq2471
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq2890
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq2891
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq1580
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq1581
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq1582
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq1583
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq1585
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq5746
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq5747
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq5748
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq3670
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq829
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8592
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq7391
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq830
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8593
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq7392
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8863
antigen41|Q5HEC4|BA000018.3|mhcii|seq8866	antigen41|Q5HEC4|BA000018.3|mhcii|seq8864
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq8994
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq673
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6209
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq8993
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq674
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6210
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq675
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq2819
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6211
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6659
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq2820
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6212
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6628
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6660
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq2821
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6629
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6661
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq2822
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6630
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6662
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq2823
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6631
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq6663
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq104
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq2824
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq4872
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq105
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq1513
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq1514
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq1515
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq4942
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq4943
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq4944
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq4945
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq4946
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq4947
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq565
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq566
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq567
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq568
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq569
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq570
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq8989
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq8990
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq8991
antigen41|Q5HEC4|BA000018.3|mhcii|seq8994	antigen41|Q5HEC4|BA000018.3|mhcii|seq672
