antigen188|Q5HGH0|BX571856.1|mhcii|seq1126	antigen188|Q5HGH0|BX571856.1|mhcii|seq1126
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1845
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2976
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1846
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2977
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2874
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq540
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2878
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2156
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2157
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2158
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2448
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq141
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2449
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq142
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2450
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq143
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2451
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq144
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq3347
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq3348
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq3349
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq3350
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq537
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2875
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq538
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2876
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq539
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2877
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq541
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2879
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1469
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq542
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq2880
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1470
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1471
antigen188|Q5HGH0|BX571856.1|mhcii|seq2447	antigen188|Q5HGH0|BX571856.1|mhcii|seq1472
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2703
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2658
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2702
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq1053
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq1054
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq1055
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2373
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2113
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2657
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2114
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2370
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2372
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2374
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2700
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq2701
antigen188|Q5HGH0|BX571856.1|mhcii|seq2703	antigen188|Q5HGH0|BX571856.1|mhcii|seq1398
