antigen90|A5IRH5|BX571856.1|mhcii|seq225	antigen90|A5IRH5|BX571856.1|mhcii|seq225
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq673
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1665
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq3265
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1666
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq3266
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1667
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq3267
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1668
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq3268
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq3300
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1669
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2693
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq3269
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2694
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq3270
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2695
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2696
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2697
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2698
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq908
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq909
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1741
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq910
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1742
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq911
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1743
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2127
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq144
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq912
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq1744
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2128
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq145
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq913
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2129
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq146
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2130
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq147
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2131
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq148
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2132
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq149
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2235
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2619
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq668
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2236
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2620
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq669
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq2237
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq670
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq671
antigen90|A5IRH5|BX571856.1|mhcii|seq673	antigen90|A5IRH5|BX571856.1|mhcii|seq672
antigen90|A5IRH5|BX571856.1|mhcii|seq929	antigen90|A5IRH5|BX571856.1|mhcii|seq929
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1153
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2401
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2402
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2403
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1604
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1605
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1574
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1606
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq39
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1447
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1575
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1607
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq40
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1448
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1576
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1608
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq41
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1577
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1609
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq42
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1578
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq491
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1579
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq492
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2188
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq493
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2189
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2190
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2191
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2192
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2202
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq763
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2203
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2555
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1148
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2204
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2556
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1149
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2205
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2557
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1150
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2206
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2398
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2558
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1151
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2207
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2399
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2559
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq1152
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2400
antigen90|A5IRH5|BX571856.1|mhcii|seq1153	antigen90|A5IRH5|BX571856.1|mhcii|seq2560
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1249
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq417
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq865
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2529
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq3009
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq354
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq418
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq866
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2530
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq3010
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq355
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq419
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq867
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq3011
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq356
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq868
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq3012
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq357
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq3013
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq358
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq359
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq941
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2157
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq942
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2158
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq943
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2159
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2160
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2161
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2162
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2933
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2934
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2998
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2935
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2936
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2937
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2938
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1212
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1244
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1213
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1245
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1246
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2526
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq863
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1247
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2527
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq416
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq864
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq1248
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq2528
antigen90|A5IRH5|BX571856.1|mhcii|seq1249	antigen90|A5IRH5|BX571856.1|mhcii|seq3008
antigen90|A5IRH5|BX571856.1|mhcii|seq1505	antigen90|A5IRH5|BX571856.1|mhcii|seq1505
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1729
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2145
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2785
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq3073
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2146
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2786
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2147
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2787
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq804
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2788
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq805
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq806
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq838
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq807
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq808
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1679
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1680
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1681
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1682
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1619
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1683
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq52
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1620
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1684
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq53
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1621
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq54
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1622
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2262
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq55
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1623
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2263
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq56
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1624
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2264
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2296
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq57
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2265
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2297
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2266
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2267
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1724
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1725
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1726
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq1727
antigen90|A5IRH5|BX571856.1|mhcii|seq1729	antigen90|A5IRH5|BX571856.1|mhcii|seq2783
