antigen169|Q7A0H5|CP002114.3|mhcii|seq289	antigen169|Q7A0H5|CP002114.3|mhcii|seq289
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq705
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq865
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq866
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq867
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1161
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1162
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1163
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1164
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1644
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1165
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1645
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1070
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1166
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1646
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq431
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1071
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1647
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq432
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1072
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1648
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq433
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1073
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1649
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1074
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1075
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1720
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq537
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1721
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq90
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq538
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq922
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1722
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq539
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq923
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1723
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq540
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq700
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq924
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1724
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq701
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq925
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq702
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq862
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq926
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq703
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq863
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq927
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1119
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq704
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq864
antigen169|Q7A0H5|CP002114.3|mhcii|seq705	antigen169|Q7A0H5|CP002114.3|mhcii|seq1120
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq897
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq227
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq643
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq228
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq644
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq229
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq645
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq230
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq71
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq231
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1351
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq72
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq232
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1352
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq73
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1353
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq74
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1354
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2154
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq75
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1355
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2155
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq12
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1356
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq13
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq14
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq15
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq630
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1366
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1367
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1368
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2200
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1369
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2201
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq122
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1370
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2202
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq123
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq1371
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2203
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq124
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq892
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2204
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq125
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq893
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq2205
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq126
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq894
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq127
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq895
antigen169|Q7A0H5|CP002114.3|mhcii|seq897	antigen169|Q7A0H5|CP002114.3|mhcii|seq896
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1025
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq2177
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1026
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq2178
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1027
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq2179
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1028
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq2180
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq936
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1982
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq937
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1983
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq938
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1984
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1322
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq939
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1985
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1323
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq940
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1986
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq941
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1987
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1550
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1551
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1552
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1553
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1554
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1555
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq596
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1556
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq597
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq598
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq599
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq600
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1021
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1022
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1023
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1024
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq2176
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq935
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1981
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq934
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1980
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1549
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq594
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq595
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq1020
antigen169|Q7A0H5|CP002114.3|mhcii|seq1025	antigen169|Q7A0H5|CP002114.3|mhcii|seq2175
antigen169|Q7A0H5|CP002114.3|mhcii|seq1121	antigen169|Q7A0H5|CP002114.3|mhcii|seq1121
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq1153
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq1061
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq1152
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq1636
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq1635
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq1062
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq855
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq853
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq854
antigen169|Q7A0H5|CP002114.3|mhcii|seq1153	antigen169|Q7A0H5|CP002114.3|mhcii|seq858
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1281
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1506
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1507
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq484
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1820
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq804
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1508
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq485
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1821
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq805
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1509
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq2213
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq486
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1822
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq806
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1510
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq2214
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq487
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq807
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq2215
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq808
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq2216
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq2217
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq948
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq949
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq950
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq951
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1277
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1278
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1279
antigen169|Q7A0H5|CP002114.3|mhcii|seq1281	antigen169|Q7A0H5|CP002114.3|mhcii|seq1280
antigen169|Q7A0H5|CP002114.3|mhcii|seq1665	antigen169|Q7A0H5|CP002114.3|mhcii|seq1665
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq2017
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq257
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq258
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq835
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq836
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq1764
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq837
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq1029
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq1765
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq1030
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq1766
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq2182
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq1767
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq2183
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq1768
antigen169|Q7A0H5|CP002114.3|mhcii|seq2017	antigen169|Q7A0H5|CP002114.3|mhcii|seq2184
