antigen64|Q6GID8|BX571856.1|mhci|seq46	antigen64|Q6GID8|BX571856.1|mhci|seq46
antigen64|Q6GID8|CP000253.1|mhci|seq335	antigen64|Q6GID8|CP000253.1|mhci|seq335
antigen64|Q6GID8|CP000253.1|mhci|seq335	antigen64|Q6GID8|BX571856.1|mhci|seq335
antigen64|Q6GID8|CP000253.1|mhci|seq367	antigen64|Q6GID8|CP000253.1|mhci|seq367
antigen64|Q6GID8|CP000253.1|mhci|seq367	antigen64|Q6GID8|BX571856.1|mhci|seq367
antigen64|Q6GID8|CP000253.1|mhci|seq399	antigen64|Q6GID8|CP000253.1|mhci|seq399
antigen64|Q6GID8|BX571856.1|mhci|seq177	antigen64|Q6GID8|BX571856.1|mhci|seq177
antigen64|Q6GID8|BX571856.1|mhci|seq177	antigen64|Q6GID8|CP000253.1|mhci|seq173
antigen64|Q6GID8|BX571856.1|mhci|seq177	antigen64|Q6GID8|BX571856.1|mhci|seq178
antigen64|Q6GID8|BX571856.1|mhci|seq177	antigen64|Q6GID8|CP000253.1|mhci|seq174
antigen64|Q6GID8|BX571856.1|mhci|seq209	antigen64|Q6GID8|BX571856.1|mhci|seq209
antigen64|Q6GID8|BX571856.1|mhci|seq209	antigen64|Q6GID8|CP000253.1|mhci|seq205
antigen64|Q6GID8|BX571856.1|mhci|seq241	antigen64|Q6GID8|BX571856.1|mhci|seq241
antigen64|Q6GID8|BX571856.1|mhci|seq241	antigen64|Q6GID8|CP000253.1|mhci|seq237
antigen64|Q6GID8|BX571856.1|mhci|seq241	antigen64|Q6GID8|BX571856.1|mhci|seq242
antigen64|Q6GID8|BX571856.1|mhci|seq241	antigen64|Q6GID8|CP000253.1|mhci|seq238
antigen64|Q6GID8|BX571856.1|mhci|seq273	antigen64|Q6GID8|BX571856.1|mhci|seq273
antigen64|Q6GID8|BX571856.1|mhci|seq273	antigen64|Q6GID8|CP000253.1|mhci|seq265
antigen64|Q6GID8|BX571856.1|mhci|seq305	antigen64|Q6GID8|BX571856.1|mhci|seq305
antigen64|Q6GID8|BX571856.1|mhci|seq305	antigen64|Q6GID8|CP000253.1|mhci|seq301
antigen64|Q6GID8|BX571856.1|mhci|seq305	antigen64|Q6GID8|BX571856.1|mhci|seq306
antigen64|Q6GID8|BX571856.1|mhci|seq305	antigen64|Q6GID8|CP000253.1|mhci|seq302
antigen64|Q6GID8|CP000253.1|mhci|seq16	antigen64|Q6GID8|CP000253.1|mhci|seq16
antigen64|Q6GID8|CP000253.1|mhci|seq16	antigen64|Q6GID8|BX571856.1|mhci|seq16
antigen64|Q6GID8|CP000253.1|mhci|seq48	antigen64|Q6GID8|CP000253.1|mhci|seq48
antigen64|Q6GID8|CP000253.1|mhci|seq48	antigen64|Q6GID8|BX571856.1|mhci|seq48
antigen64|Q6GID8|CP000253.1|mhci|seq112	antigen64|Q6GID8|CP000253.1|mhci|seq112
antigen64|Q6GID8|CP000253.1|mhci|seq112	antigen64|Q6GID8|BX571856.1|mhci|seq112
antigen64|Q6GID8|CP000253.1|mhci|seq144	antigen64|Q6GID8|CP000253.1|mhci|seq144
antigen64|Q6GID8|CP000253.1|mhci|seq144	antigen64|Q6GID8|BX571856.1|mhci|seq144
antigen64|Q6GID8|CP000253.1|mhci|seq240	antigen64|Q6GID8|CP000253.1|mhci|seq240
antigen64|Q6GID8|CP000253.1|mhci|seq336	antigen64|Q6GID8|CP000253.1|mhci|seq336
antigen64|Q6GID8|CP000253.1|mhci|seq336	antigen64|Q6GID8|BX571856.1|mhci|seq336
antigen64|Q6GID8|CP000253.1|mhci|seq368	antigen64|Q6GID8|CP000253.1|mhci|seq368
antigen64|Q6GID8|CP000253.1|mhci|seq368	antigen64|Q6GID8|BX571856.1|mhci|seq368
antigen64|Q6GID8|CP000253.1|mhci|seq400	antigen64|Q6GID8|CP000253.1|mhci|seq400
antigen64|Q6GID8|BX571856.1|mhci|seq210	antigen64|Q6GID8|BX571856.1|mhci|seq210
antigen64|Q6GID8|BX571856.1|mhci|seq210	antigen64|Q6GID8|CP000253.1|mhci|seq206
antigen64|Q6GID8|BX571856.1|mhci|seq274	antigen64|Q6GID8|BX571856.1|mhci|seq274
antigen64|Q6GID8|BX571856.1|mhci|seq274	antigen64|Q6GID8|CP000253.1|mhci|seq266
antigen64|Q6GID8|CP000253.1|mhci|seq17	antigen64|Q6GID8|CP000253.1|mhci|seq17
antigen64|Q6GID8|CP000253.1|mhci|seq17	antigen64|Q6GID8|BX571856.1|mhci|seq17
antigen64|Q6GID8|CP000253.1|mhci|seq49	antigen64|Q6GID8|CP000253.1|mhci|seq49
antigen64|Q6GID8|CP000253.1|mhci|seq49	antigen64|Q6GID8|BX571856.1|mhci|seq49
antigen64|Q6GID8|CP000253.1|mhci|seq81	antigen64|Q6GID8|CP000253.1|mhci|seq81
antigen64|Q6GID8|CP000253.1|mhci|seq81	antigen64|Q6GID8|BX571856.1|mhci|seq81
antigen64|Q6GID8|CP000253.1|mhci|seq113	antigen64|Q6GID8|CP000253.1|mhci|seq113
antigen64|Q6GID8|CP000253.1|mhci|seq113	antigen64|Q6GID8|BX571856.1|mhci|seq113
antigen64|Q6GID8|CP000253.1|mhci|seq113	antigen64|Q6GID8|CP000253.1|mhci|seq114
antigen64|Q6GID8|CP000253.1|mhci|seq113	antigen64|Q6GID8|BX571856.1|mhci|seq114
antigen64|Q6GID8|CP000253.1|mhci|seq145	antigen64|Q6GID8|CP000253.1|mhci|seq145
antigen64|Q6GID8|CP000253.1|mhci|seq145	antigen64|Q6GID8|BX571856.1|mhci|seq145
antigen64|Q6GID8|CP000253.1|mhci|seq145	antigen64|Q6GID8|CP000253.1|mhci|seq146
antigen64|Q6GID8|CP000253.1|mhci|seq145	antigen64|Q6GID8|BX571856.1|mhci|seq146
antigen64|Q6GID8|CP000253.1|mhci|seq337	antigen64|Q6GID8|CP000253.1|mhci|seq337
antigen64|Q6GID8|CP000253.1|mhci|seq337	antigen64|Q6GID8|BX571856.1|mhci|seq337
antigen64|Q6GID8|CP000253.1|mhci|seq337	antigen64|Q6GID8|CP000253.1|mhci|seq338
antigen64|Q6GID8|CP000253.1|mhci|seq337	antigen64|Q6GID8|BX571856.1|mhci|seq338
antigen64|Q6GID8|CP000253.1|mhci|seq369	antigen64|Q6GID8|CP000253.1|mhci|seq369
antigen64|Q6GID8|CP000253.1|mhci|seq369	antigen64|Q6GID8|BX571856.1|mhci|seq369
antigen64|Q6GID8|CP000253.1|mhci|seq369	antigen64|Q6GID8|CP000253.1|mhci|seq370
antigen64|Q6GID8|CP000253.1|mhci|seq369	antigen64|Q6GID8|BX571856.1|mhci|seq370
antigen64|Q6GID8|CP000253.1|mhci|seq401	antigen64|Q6GID8|CP000253.1|mhci|seq401
antigen64|Q6GID8|CP000253.1|mhci|seq401	antigen64|Q6GID8|BX571856.1|mhci|seq401
antigen64|Q6GID8|CP000253.1|mhci|seq401	antigen64|Q6GID8|CP000253.1|mhci|seq402
antigen64|Q6GID8|CP000253.1|mhci|seq401	antigen64|Q6GID8|BX571856.1|mhci|seq402
antigen64|Q6GID8|BX571856.1|mhci|seq179	antigen64|Q6GID8|BX571856.1|mhci|seq179
antigen64|Q6GID8|BX571856.1|mhci|seq179	antigen64|Q6GID8|CP000253.1|mhci|seq175
antigen64|Q6GID8|BX571856.1|mhci|seq211	antigen64|Q6GID8|BX571856.1|mhci|seq211
antigen64|Q6GID8|BX571856.1|mhci|seq211	antigen64|Q6GID8|CP000253.1|mhci|seq207
antigen64|Q6GID8|BX571856.1|mhci|seq243	antigen64|Q6GID8|BX571856.1|mhci|seq243
antigen64|Q6GID8|BX571856.1|mhci|seq275	antigen64|Q6GID8|BX571856.1|mhci|seq275
antigen64|Q6GID8|BX571856.1|mhci|seq275	antigen64|Q6GID8|CP000253.1|mhci|seq267
antigen64|Q6GID8|BX571856.1|mhci|seq307	antigen64|Q6GID8|BX571856.1|mhci|seq307
antigen64|Q6GID8|BX571856.1|mhci|seq307	antigen64|Q6GID8|CP000253.1|mhci|seq303
antigen64|Q6GID8|BX571856.1|mhci|seq403	antigen64|Q6GID8|BX571856.1|mhci|seq403
antigen64|Q6GID8|CP000253.1|mhci|seq18	antigen64|Q6GID8|CP000253.1|mhci|seq18
antigen64|Q6GID8|CP000253.1|mhci|seq18	antigen64|Q6GID8|BX571856.1|mhci|seq18
antigen64|Q6GID8|CP000253.1|mhci|seq50	antigen64|Q6GID8|CP000253.1|mhci|seq50
antigen64|Q6GID8|CP000253.1|mhci|seq50	antigen64|Q6GID8|BX571856.1|mhci|seq50
antigen64|Q6GID8|CP000253.1|mhci|seq82	antigen64|Q6GID8|CP000253.1|mhci|seq82
antigen64|Q6GID8|CP000253.1|mhci|seq82	antigen64|Q6GID8|BX571856.1|mhci|seq82
antigen64|Q6GID8|BX571856.1|mhci|seq180	antigen64|Q6GID8|BX571856.1|mhci|seq180
antigen64|Q6GID8|BX571856.1|mhci|seq180	antigen64|Q6GID8|CP000253.1|mhci|seq176
antigen64|Q6GID8|BX571856.1|mhci|seq212	antigen64|Q6GID8|BX571856.1|mhci|seq212
antigen64|Q6GID8|BX571856.1|mhci|seq212	antigen64|Q6GID8|CP000253.1|mhci|seq208
antigen64|Q6GID8|BX571856.1|mhci|seq244	antigen64|Q6GID8|BX571856.1|mhci|seq244
antigen64|Q6GID8|BX571856.1|mhci|seq244	antigen64|Q6GID8|BX571856.1|mhci|seq321
antigen64|Q6GID8|BX571856.1|mhci|seq276	antigen64|Q6GID8|BX571856.1|mhci|seq276
antigen64|Q6GID8|BX571856.1|mhci|seq276	antigen64|Q6GID8|CP000253.1|mhci|seq268
antigen64|Q6GID8|BX571856.1|mhci|seq308	antigen64|Q6GID8|BX571856.1|mhci|seq308
antigen64|Q6GID8|BX571856.1|mhci|seq308	antigen64|Q6GID8|CP000253.1|mhci|seq304
antigen64|Q6GID8|BX571856.1|mhci|seq404	antigen64|Q6GID8|BX571856.1|mhci|seq404
antigen64|Q6GID8|CP000253.1|mhci|seq19	antigen64|Q6GID8|CP000253.1|mhci|seq19
antigen64|Q6GID8|CP000253.1|mhci|seq19	antigen64|Q6GID8|BX571856.1|mhci|seq19
antigen64|Q6GID8|CP000253.1|mhci|seq19	antigen64|Q6GID8|CP000253.1|mhci|seq20
antigen64|Q6GID8|CP000253.1|mhci|seq19	antigen64|Q6GID8|BX571856.1|mhci|seq20
antigen64|Q6GID8|CP000253.1|mhci|seq51	antigen64|Q6GID8|CP000253.1|mhci|seq51
antigen64|Q6GID8|CP000253.1|mhci|seq51	antigen64|Q6GID8|BX571856.1|mhci|seq51
antigen64|Q6GID8|CP000253.1|mhci|seq51	antigen64|Q6GID8|CP000253.1|mhci|seq52
antigen64|Q6GID8|CP000253.1|mhci|seq51	antigen64|Q6GID8|BX571856.1|mhci|seq52
antigen64|Q6GID8|CP000253.1|mhci|seq83	antigen64|Q6GID8|CP000253.1|mhci|seq83
antigen64|Q6GID8|CP000253.1|mhci|seq83	antigen64|Q6GID8|BX571856.1|mhci|seq83
antigen64|Q6GID8|CP000253.1|mhci|seq83	antigen64|Q6GID8|CP000253.1|mhci|seq84
antigen64|Q6GID8|CP000253.1|mhci|seq83	antigen64|Q6GID8|BX571856.1|mhci|seq84
antigen64|Q6GID8|CP000253.1|mhci|seq115	antigen64|Q6GID8|CP000253.1|mhci|seq115
antigen64|Q6GID8|CP000253.1|mhci|seq115	antigen64|Q6GID8|BX571856.1|mhci|seq115
antigen64|Q6GID8|CP000253.1|mhci|seq147	antigen64|Q6GID8|CP000253.1|mhci|seq147
antigen64|Q6GID8|CP000253.1|mhci|seq147	antigen64|Q6GID8|BX571856.1|mhci|seq147
antigen64|Q6GID8|CP000253.1|mhci|seq339	antigen64|Q6GID8|CP000253.1|mhci|seq339
antigen64|Q6GID8|CP000253.1|mhci|seq339	antigen64|Q6GID8|BX571856.1|mhci|seq339
antigen64|Q6GID8|CP000253.1|mhci|seq371	antigen64|Q6GID8|CP000253.1|mhci|seq371
antigen64|Q6GID8|CP000253.1|mhci|seq371	antigen64|Q6GID8|BX571856.1|mhci|seq371
antigen64|Q6GID8|CP000253.1|mhci|seq403	antigen64|Q6GID8|CP000253.1|mhci|seq403
antigen64|Q6GID8|BX571856.1|mhci|seq85	antigen64|Q6GID8|BX571856.1|mhci|seq85
antigen64|Q6GID8|BX571856.1|mhci|seq181	antigen64|Q6GID8|BX571856.1|mhci|seq181
antigen64|Q6GID8|BX571856.1|mhci|seq181	antigen64|Q6GID8|CP000253.1|mhci|seq177
antigen64|Q6GID8|BX571856.1|mhci|seq181	antigen64|Q6GID8|BX571856.1|mhci|seq182
antigen64|Q6GID8|BX571856.1|mhci|seq181	antigen64|Q6GID8|CP000253.1|mhci|seq178
antigen64|Q6GID8|BX571856.1|mhci|seq213	antigen64|Q6GID8|BX571856.1|mhci|seq213
antigen64|Q6GID8|BX571856.1|mhci|seq213	antigen64|Q6GID8|CP000253.1|mhci|seq209
antigen64|Q6GID8|BX571856.1|mhci|seq213	antigen64|Q6GID8|BX571856.1|mhci|seq214
antigen64|Q6GID8|BX571856.1|mhci|seq213	antigen64|Q6GID8|CP000253.1|mhci|seq210
antigen64|Q6GID8|BX571856.1|mhci|seq245	antigen64|Q6GID8|BX571856.1|mhci|seq245
antigen64|Q6GID8|BX571856.1|mhci|seq245	antigen64|Q6GID8|BX571856.1|mhci|seq322
antigen64|Q6GID8|BX571856.1|mhci|seq245	antigen64|Q6GID8|CP000253.1|mhci|seq241
antigen64|Q6GID8|BX571856.1|mhci|seq245	antigen64|Q6GID8|CP000253.1|mhci|seq318
antigen64|Q6GID8|BX571856.1|mhci|seq245	antigen64|Q6GID8|CP000253.1|mhci|seq242
antigen64|Q6GID8|BX571856.1|mhci|seq245	antigen64|Q6GID8|BX571856.1|mhci|seq246
antigen64|Q6GID8|BX571856.1|mhci|seq277	antigen64|Q6GID8|BX571856.1|mhci|seq277
antigen64|Q6GID8|BX571856.1|mhci|seq277	antigen64|Q6GID8|CP000253.1|mhci|seq269
antigen64|Q6GID8|BX571856.1|mhci|seq309	antigen64|Q6GID8|BX571856.1|mhci|seq309
antigen64|Q6GID8|BX571856.1|mhci|seq309	antigen64|Q6GID8|CP000253.1|mhci|seq305
antigen64|Q6GID8|BX571856.1|mhci|seq309	antigen64|Q6GID8|BX571856.1|mhci|seq310
antigen64|Q6GID8|BX571856.1|mhci|seq309	antigen64|Q6GID8|CP000253.1|mhci|seq306
antigen64|Q6GID8|CP000253.1|mhci|seq116	antigen64|Q6GID8|CP000253.1|mhci|seq116
antigen64|Q6GID8|CP000253.1|mhci|seq116	antigen64|Q6GID8|BX571856.1|mhci|seq116
antigen64|Q6GID8|CP000253.1|mhci|seq148	antigen64|Q6GID8|CP000253.1|mhci|seq148
antigen64|Q6GID8|CP000253.1|mhci|seq148	antigen64|Q6GID8|BX571856.1|mhci|seq148
antigen64|Q6GID8|CP000253.1|mhci|seq340	antigen64|Q6GID8|CP000253.1|mhci|seq340
antigen64|Q6GID8|CP000253.1|mhci|seq340	antigen64|Q6GID8|BX571856.1|mhci|seq340
antigen64|Q6GID8|CP000253.1|mhci|seq372	antigen64|Q6GID8|CP000253.1|mhci|seq372
antigen64|Q6GID8|CP000253.1|mhci|seq372	antigen64|Q6GID8|BX571856.1|mhci|seq372
antigen64|Q6GID8|CP000253.1|mhci|seq404	antigen64|Q6GID8|CP000253.1|mhci|seq404
antigen64|Q6GID8|BX571856.1|mhci|seq86	antigen64|Q6GID8|BX571856.1|mhci|seq86
antigen64|Q6GID8|BX571856.1|mhci|seq278	antigen64|Q6GID8|BX571856.1|mhci|seq278
antigen64|Q6GID8|BX571856.1|mhci|seq278	antigen64|Q6GID8|CP000253.1|mhci|seq270
antigen64|Q6GID8|CP000253.1|mhci|seq21	antigen64|Q6GID8|CP000253.1|mhci|seq21
antigen64|Q6GID8|CP000253.1|mhci|seq21	antigen64|Q6GID8|BX571856.1|mhci|seq21
antigen64|Q6GID8|CP000253.1|mhci|seq53	antigen64|Q6GID8|CP000253.1|mhci|seq53
antigen64|Q6GID8|CP000253.1|mhci|seq53	antigen64|Q6GID8|BX571856.1|mhci|seq53
antigen64|Q6GID8|CP000253.1|mhci|seq85	antigen64|Q6GID8|CP000253.1|mhci|seq85
antigen64|Q6GID8|CP000253.1|mhci|seq117	antigen64|Q6GID8|CP000253.1|mhci|seq117
antigen64|Q6GID8|CP000253.1|mhci|seq117	antigen64|Q6GID8|BX571856.1|mhci|seq117
antigen64|Q6GID8|CP000253.1|mhci|seq117	antigen64|Q6GID8|CP000253.1|mhci|seq118
antigen64|Q6GID8|CP000253.1|mhci|seq117	antigen64|Q6GID8|BX571856.1|mhci|seq118
antigen64|Q6GID8|CP000253.1|mhci|seq149	antigen64|Q6GID8|CP000253.1|mhci|seq149
antigen64|Q6GID8|CP000253.1|mhci|seq149	antigen64|Q6GID8|BX571856.1|mhci|seq149
antigen64|Q6GID8|CP000253.1|mhci|seq149	antigen64|Q6GID8|CP000253.1|mhci|seq150
antigen64|Q6GID8|CP000253.1|mhci|seq149	antigen64|Q6GID8|BX571856.1|mhci|seq150
antigen64|Q6GID8|CP000253.1|mhci|seq341	antigen64|Q6GID8|CP000253.1|mhci|seq341
antigen64|Q6GID8|CP000253.1|mhci|seq341	antigen64|Q6GID8|BX571856.1|mhci|seq341
antigen64|Q6GID8|CP000253.1|mhci|seq341	antigen64|Q6GID8|CP000253.1|mhci|seq342
antigen64|Q6GID8|CP000253.1|mhci|seq341	antigen64|Q6GID8|BX571856.1|mhci|seq342
antigen64|Q6GID8|CP000253.1|mhci|seq373	antigen64|Q6GID8|CP000253.1|mhci|seq373
antigen64|Q6GID8|CP000253.1|mhci|seq373	antigen64|Q6GID8|BX571856.1|mhci|seq373
antigen64|Q6GID8|CP000253.1|mhci|seq373	antigen64|Q6GID8|CP000253.1|mhci|seq374
antigen64|Q6GID8|CP000253.1|mhci|seq373	antigen64|Q6GID8|BX571856.1|mhci|seq374
antigen64|Q6GID8|CP000253.1|mhci|seq405	antigen64|Q6GID8|CP000253.1|mhci|seq405
antigen64|Q6GID8|CP000253.1|mhci|seq405	antigen64|Q6GID8|BX571856.1|mhci|seq405
antigen64|Q6GID8|CP000253.1|mhci|seq405	antigen64|Q6GID8|CP000253.1|mhci|seq406
antigen64|Q6GID8|CP000253.1|mhci|seq405	antigen64|Q6GID8|BX571856.1|mhci|seq406
antigen64|Q6GID8|BX571856.1|mhci|seq87	antigen64|Q6GID8|BX571856.1|mhci|seq87
antigen64|Q6GID8|BX571856.1|mhci|seq87	antigen64|Q6GID8|BX571856.1|mhci|seq88
antigen64|Q6GID8|BX571856.1|mhci|seq151	antigen64|Q6GID8|BX571856.1|mhci|seq151
antigen64|Q6GID8|BX571856.1|mhci|seq183	antigen64|Q6GID8|BX571856.1|mhci|seq183
antigen64|Q6GID8|BX571856.1|mhci|seq183	antigen64|Q6GID8|CP000253.1|mhci|seq179
antigen64|Q6GID8|BX571856.1|mhci|seq215	antigen64|Q6GID8|BX571856.1|mhci|seq215
antigen64|Q6GID8|BX571856.1|mhci|seq215	antigen64|Q6GID8|CP000253.1|mhci|seq211
antigen64|Q6GID8|BX571856.1|mhci|seq247	antigen64|Q6GID8|BX571856.1|mhci|seq247
antigen64|Q6GID8|BX571856.1|mhci|seq247	antigen64|Q6GID8|CP000253.1|mhci|seq243
antigen64|Q6GID8|BX571856.1|mhci|seq279	antigen64|Q6GID8|BX571856.1|mhci|seq279
antigen64|Q6GID8|BX571856.1|mhci|seq279	antigen64|Q6GID8|CP000253.1|mhci|seq271
antigen64|Q6GID8|BX571856.1|mhci|seq311	antigen64|Q6GID8|BX571856.1|mhci|seq311
antigen64|Q6GID8|BX571856.1|mhci|seq311	antigen64|Q6GID8|CP000253.1|mhci|seq307
antigen64|Q6GID8|CP000253.1|mhci|seq22	antigen64|Q6GID8|CP000253.1|mhci|seq22
