antigen76|Q5HGQ3|BA000018.3|mhci|seq495	antigen76|Q5HGQ3|BA000018.3|mhci|seq495
antigen76|Q5HGQ3|BA000018.3|mhci|seq80	antigen76|Q5HGQ3|BA000018.3|mhci|seq80
antigen76|Q5HGQ3|BA000018.3|mhci|seq304	antigen76|Q5HGQ3|BA000018.3|mhci|seq304
antigen76|Q5HGQ3|BA000018.3|mhci|seq496	antigen76|Q5HGQ3|BA000018.3|mhci|seq496
antigen76|Q5HGQ3|BX571856.1|mhci|seq11	antigen76|Q5HGQ3|BX571856.1|mhci|seq11
antigen76|Q5HGQ3|BX571856.1|mhci|seq11	antigen76|Q5HGQ3|BA000018.3|mhci|seq11
antigen76|Q5HGQ3|BX571856.1|mhci|seq43	antigen76|Q5HGQ3|BX571856.1|mhci|seq43
antigen76|Q5HGQ3|BX571856.1|mhci|seq43	antigen76|Q5HGQ3|BA000018.3|mhci|seq43
antigen76|Q5HGQ3|BX571856.1|mhci|seq203	antigen76|Q5HGQ3|BX571856.1|mhci|seq203
antigen76|Q5HGQ3|BX571856.1|mhci|seq203	antigen76|Q5HGQ3|BA000018.3|mhci|seq203
antigen76|Q5HGQ3|BX571856.1|mhci|seq235	antigen76|Q5HGQ3|BX571856.1|mhci|seq235
antigen76|Q5HGQ3|BX571856.1|mhci|seq235	antigen76|Q5HGQ3|BA000018.3|mhci|seq235
antigen76|Q5HGQ3|BX571856.1|mhci|seq267	antigen76|Q5HGQ3|BX571856.1|mhci|seq267
antigen76|Q5HGQ3|BX571856.1|mhci|seq267	antigen76|Q5HGQ3|BA000018.3|mhci|seq267
antigen76|Q5HGQ3|BX571856.1|mhci|seq299	antigen76|Q5HGQ3|BX571856.1|mhci|seq299
antigen76|Q5HGQ3|BX571856.1|mhci|seq299	antigen76|Q5HGQ3|BA000018.3|mhci|seq299
antigen76|Q5HGQ3|BX571856.1|mhci|seq331	antigen76|Q5HGQ3|BX571856.1|mhci|seq331
antigen76|Q5HGQ3|BX571856.1|mhci|seq331	antigen76|Q5HGQ3|BA000018.3|mhci|seq331
antigen76|Q5HGQ3|BX571856.1|mhci|seq363	antigen76|Q5HGQ3|BX571856.1|mhci|seq363
antigen76|Q5HGQ3|BX571856.1|mhci|seq395	antigen76|Q5HGQ3|BX571856.1|mhci|seq395
antigen76|Q5HGQ3|BX571856.1|mhci|seq395	antigen76|Q5HGQ3|BA000018.3|mhci|seq395
antigen76|Q5HGQ3|BX571856.1|mhci|seq427	antigen76|Q5HGQ3|BX571856.1|mhci|seq427
antigen76|Q5HGQ3|BX571856.1|mhci|seq427	antigen76|Q5HGQ3|BA000018.3|mhci|seq427
antigen76|Q5HGQ3|BX571856.1|mhci|seq459	antigen76|Q5HGQ3|BX571856.1|mhci|seq459
antigen76|Q5HGQ3|BX571856.1|mhci|seq459	antigen76|Q5HGQ3|BA000018.3|mhci|seq459
antigen76|Q5HGQ3|BX571856.1|mhci|seq491	antigen76|Q5HGQ3|BX571856.1|mhci|seq491
antigen76|Q5HGQ3|BX571856.1|mhci|seq491	antigen76|Q5HGQ3|BA000018.3|mhci|seq491
antigen76|Q5HGQ3|BX571856.1|mhci|seq523	antigen76|Q5HGQ3|BX571856.1|mhci|seq523
antigen76|Q5HGQ3|BX571856.1|mhci|seq523	antigen76|Q5HGQ3|BA000018.3|mhci|seq523
antigen76|Q5HGQ3|BA000018.3|mhci|seq81	antigen76|Q5HGQ3|BA000018.3|mhci|seq81
antigen76|Q5HGQ3|BX571856.1|mhci|seq12	antigen76|Q5HGQ3|BX571856.1|mhci|seq12
antigen76|Q5HGQ3|BX571856.1|mhci|seq12	antigen76|Q5HGQ3|BA000018.3|mhci|seq12
antigen76|Q5HGQ3|BX571856.1|mhci|seq44	antigen76|Q5HGQ3|BX571856.1|mhci|seq44
antigen76|Q5HGQ3|BX571856.1|mhci|seq44	antigen76|Q5HGQ3|BA000018.3|mhci|seq44
antigen76|Q5HGQ3|BX571856.1|mhci|seq76	antigen76|Q5HGQ3|BX571856.1|mhci|seq76
antigen76|Q5HGQ3|BX571856.1|mhci|seq76	antigen76|Q5HGQ3|BA000018.3|mhci|seq76
antigen76|Q5HGQ3|BX571856.1|mhci|seq108	antigen76|Q5HGQ3|BX571856.1|mhci|seq108
antigen76|Q5HGQ3|BX571856.1|mhci|seq108	antigen76|Q5HGQ3|BA000018.3|mhci|seq108
antigen76|Q5HGQ3|BX571856.1|mhci|seq140	antigen76|Q5HGQ3|BX571856.1|mhci|seq140
antigen76|Q5HGQ3|BX571856.1|mhci|seq140	antigen76|Q5HGQ3|BA000018.3|mhci|seq140
antigen76|Q5HGQ3|BX571856.1|mhci|seq172	antigen76|Q5HGQ3|BX571856.1|mhci|seq172
antigen76|Q5HGQ3|BX571856.1|mhci|seq172	antigen76|Q5HGQ3|BA000018.3|mhci|seq172
antigen76|Q5HGQ3|BX571856.1|mhci|seq204	antigen76|Q5HGQ3|BX571856.1|mhci|seq204
antigen76|Q5HGQ3|BX571856.1|mhci|seq204	antigen76|Q5HGQ3|BA000018.3|mhci|seq204
antigen76|Q5HGQ3|BX571856.1|mhci|seq236	antigen76|Q5HGQ3|BX571856.1|mhci|seq236
antigen76|Q5HGQ3|BX571856.1|mhci|seq236	antigen76|Q5HGQ3|BA000018.3|mhci|seq236
antigen76|Q5HGQ3|BX571856.1|mhci|seq268	antigen76|Q5HGQ3|BX571856.1|mhci|seq268
antigen76|Q5HGQ3|BX571856.1|mhci|seq268	antigen76|Q5HGQ3|BA000018.3|mhci|seq268
antigen76|Q5HGQ3|BX571856.1|mhci|seq300	antigen76|Q5HGQ3|BX571856.1|mhci|seq300
antigen76|Q5HGQ3|BX571856.1|mhci|seq300	antigen76|Q5HGQ3|BA000018.3|mhci|seq300
antigen76|Q5HGQ3|BX571856.1|mhci|seq332	antigen76|Q5HGQ3|BX571856.1|mhci|seq332
antigen76|Q5HGQ3|BX571856.1|mhci|seq332	antigen76|Q5HGQ3|BA000018.3|mhci|seq332
antigen76|Q5HGQ3|BX571856.1|mhci|seq364	antigen76|Q5HGQ3|BX571856.1|mhci|seq364
antigen76|Q5HGQ3|BX571856.1|mhci|seq396	antigen76|Q5HGQ3|BX571856.1|mhci|seq396
antigen76|Q5HGQ3|BX571856.1|mhci|seq396	antigen76|Q5HGQ3|BA000018.3|mhci|seq396
antigen76|Q5HGQ3|BX571856.1|mhci|seq428	antigen76|Q5HGQ3|BX571856.1|mhci|seq428
antigen76|Q5HGQ3|BX571856.1|mhci|seq428	antigen76|Q5HGQ3|BA000018.3|mhci|seq428
antigen76|Q5HGQ3|BX571856.1|mhci|seq460	antigen76|Q5HGQ3|BX571856.1|mhci|seq460
antigen76|Q5HGQ3|BX571856.1|mhci|seq460	antigen76|Q5HGQ3|BA000018.3|mhci|seq460
antigen76|Q5HGQ3|BX571856.1|mhci|seq492	antigen76|Q5HGQ3|BX571856.1|mhci|seq492
antigen76|Q5HGQ3|BX571856.1|mhci|seq492	antigen76|Q5HGQ3|BA000018.3|mhci|seq492
antigen76|Q5HGQ3|BX571856.1|mhci|seq524	antigen76|Q5HGQ3|BX571856.1|mhci|seq524
antigen76|Q5HGQ3|BX571856.1|mhci|seq524	antigen76|Q5HGQ3|BA000018.3|mhci|seq524
antigen76|Q5HGQ3|BA000018.3|mhci|seq228	antigen76|Q5HGQ3|BA000018.3|mhci|seq228
antigen76|Q5HGQ3|BA000018.3|mhci|seq228	antigen76|Q5HGQ3|BX571856.1|mhci|seq228
antigen76|Q5HGQ3|BA000018.3|mhci|seq260	antigen76|Q5HGQ3|BA000018.3|mhci|seq260
antigen76|Q5HGQ3|BA000018.3|mhci|seq292	antigen76|Q5HGQ3|BA000018.3|mhci|seq292
antigen76|Q5HGQ3|BA000018.3|mhci|seq292	antigen76|Q5HGQ3|BX571856.1|mhci|seq292
antigen76|Q5HGQ3|BA000018.3|mhci|seq324	antigen76|Q5HGQ3|BA000018.3|mhci|seq324
antigen76|Q5HGQ3|BA000018.3|mhci|seq324	antigen76|Q5HGQ3|BX571856.1|mhci|seq324
antigen76|Q5HGQ3|BA000018.3|mhci|seq356	antigen76|Q5HGQ3|BA000018.3|mhci|seq356
antigen76|Q5HGQ3|BA000018.3|mhci|seq356	antigen76|Q5HGQ3|BX571856.1|mhci|seq356
antigen76|Q5HGQ3|BA000018.3|mhci|seq388	antigen76|Q5HGQ3|BA000018.3|mhci|seq388
antigen76|Q5HGQ3|BA000018.3|mhci|seq388	antigen76|Q5HGQ3|BX571856.1|mhci|seq388
antigen76|Q5HGQ3|BA000018.3|mhci|seq420	antigen76|Q5HGQ3|BA000018.3|mhci|seq420
antigen76|Q5HGQ3|BA000018.3|mhci|seq452	antigen76|Q5HGQ3|BA000018.3|mhci|seq452
antigen76|Q5HGQ3|BA000018.3|mhci|seq452	antigen76|Q5HGQ3|BX571856.1|mhci|seq452
antigen76|Q5HGQ3|BA000018.3|mhci|seq484	antigen76|Q5HGQ3|BA000018.3|mhci|seq484
antigen76|Q5HGQ3|BA000018.3|mhci|seq484	antigen76|Q5HGQ3|BX571856.1|mhci|seq484
antigen76|Q5HGQ3|BA000018.3|mhci|seq516	antigen76|Q5HGQ3|BA000018.3|mhci|seq516
antigen76|Q5HGQ3|BA000018.3|mhci|seq516	antigen76|Q5HGQ3|BX571856.1|mhci|seq516
antigen76|Q5HGQ3|BX571856.1|mhci|seq31	antigen76|Q5HGQ3|BX571856.1|mhci|seq31
antigen76|Q5HGQ3|BX571856.1|mhci|seq31	antigen76|Q5HGQ3|BA000018.3|mhci|seq31
antigen76|Q5HGQ3|BX571856.1|mhci|seq63	antigen76|Q5HGQ3|BX571856.1|mhci|seq63
antigen76|Q5HGQ3|BX571856.1|mhci|seq63	antigen76|Q5HGQ3|BA000018.3|mhci|seq63
antigen76|Q5HGQ3|BX571856.1|mhci|seq223	antigen76|Q5HGQ3|BX571856.1|mhci|seq223
antigen76|Q5HGQ3|BX571856.1|mhci|seq223	antigen76|Q5HGQ3|BA000018.3|mhci|seq223
antigen76|Q5HGQ3|BX571856.1|mhci|seq255	antigen76|Q5HGQ3|BX571856.1|mhci|seq255
antigen76|Q5HGQ3|BX571856.1|mhci|seq287	antigen76|Q5HGQ3|BX571856.1|mhci|seq287
antigen76|Q5HGQ3|BX571856.1|mhci|seq287	antigen76|Q5HGQ3|BA000018.3|mhci|seq287
antigen76|Q5HGQ3|BX571856.1|mhci|seq319	antigen76|Q5HGQ3|BX571856.1|mhci|seq319
antigen76|Q5HGQ3|BX571856.1|mhci|seq319	antigen76|Q5HGQ3|BA000018.3|mhci|seq319
antigen76|Q5HGQ3|BX571856.1|mhci|seq351	antigen76|Q5HGQ3|BX571856.1|mhci|seq351
antigen76|Q5HGQ3|BX571856.1|mhci|seq351	antigen76|Q5HGQ3|BA000018.3|mhci|seq351
antigen76|Q5HGQ3|BX571856.1|mhci|seq383	antigen76|Q5HGQ3|BX571856.1|mhci|seq383
antigen76|Q5HGQ3|BX571856.1|mhci|seq383	antigen76|Q5HGQ3|BA000018.3|mhci|seq383
antigen76|Q5HGQ3|BX571856.1|mhci|seq415	antigen76|Q5HGQ3|BX571856.1|mhci|seq415
antigen76|Q5HGQ3|BX571856.1|mhci|seq415	antigen76|Q5HGQ3|BA000018.3|mhci|seq415
antigen76|Q5HGQ3|BX571856.1|mhci|seq447	antigen76|Q5HGQ3|BX571856.1|mhci|seq447
antigen76|Q5HGQ3|BX571856.1|mhci|seq447	antigen76|Q5HGQ3|BA000018.3|mhci|seq447
antigen76|Q5HGQ3|BX571856.1|mhci|seq479	antigen76|Q5HGQ3|BX571856.1|mhci|seq479
antigen76|Q5HGQ3|BX571856.1|mhci|seq479	antigen76|Q5HGQ3|BA000018.3|mhci|seq479
antigen76|Q5HGQ3|BX571856.1|mhci|seq511	antigen76|Q5HGQ3|BX571856.1|mhci|seq511
antigen76|Q5HGQ3|BA000018.3|mhci|seq5	antigen76|Q5HGQ3|BA000018.3|mhci|seq5
antigen76|Q5HGQ3|BA000018.3|mhci|seq5	antigen76|Q5HGQ3|BX571856.1|mhci|seq5
antigen76|Q5HGQ3|BA000018.3|mhci|seq5	antigen76|Q5HGQ3|BA000018.3|mhci|seq6
antigen76|Q5HGQ3|BA000018.3|mhci|seq5	antigen76|Q5HGQ3|BX571856.1|mhci|seq6
antigen76|Q5HGQ3|BA000018.3|mhci|seq37	antigen76|Q5HGQ3|BA000018.3|mhci|seq37
antigen76|Q5HGQ3|BA000018.3|mhci|seq37	antigen76|Q5HGQ3|BX571856.1|mhci|seq37
antigen76|Q5HGQ3|BA000018.3|mhci|seq37	antigen76|Q5HGQ3|BA000018.3|mhci|seq38
antigen76|Q5HGQ3|BA000018.3|mhci|seq37	antigen76|Q5HGQ3|BX571856.1|mhci|seq38
antigen76|Q5HGQ3|BA000018.3|mhci|seq69	antigen76|Q5HGQ3|BA000018.3|mhci|seq69
antigen76|Q5HGQ3|BA000018.3|mhci|seq69	antigen76|Q5HGQ3|BX571856.1|mhci|seq69
antigen76|Q5HGQ3|BA000018.3|mhci|seq69	antigen76|Q5HGQ3|BA000018.3|mhci|seq70
antigen76|Q5HGQ3|BA000018.3|mhci|seq69	antigen76|Q5HGQ3|BX571856.1|mhci|seq70
antigen76|Q5HGQ3|BA000018.3|mhci|seq101	antigen76|Q5HGQ3|BA000018.3|mhci|seq101
antigen76|Q5HGQ3|BA000018.3|mhci|seq101	antigen76|Q5HGQ3|BX571856.1|mhci|seq101
antigen76|Q5HGQ3|BA000018.3|mhci|seq133	antigen76|Q5HGQ3|BA000018.3|mhci|seq133
antigen76|Q5HGQ3|BA000018.3|mhci|seq133	antigen76|Q5HGQ3|BX571856.1|mhci|seq133
antigen76|Q5HGQ3|BA000018.3|mhci|seq165	antigen76|Q5HGQ3|BA000018.3|mhci|seq165
antigen76|Q5HGQ3|BA000018.3|mhci|seq165	antigen76|Q5HGQ3|BX571856.1|mhci|seq165
antigen76|Q5HGQ3|BA000018.3|mhci|seq197	antigen76|Q5HGQ3|BA000018.3|mhci|seq197
antigen76|Q5HGQ3|BA000018.3|mhci|seq197	antigen76|Q5HGQ3|BX571856.1|mhci|seq197
antigen76|Q5HGQ3|BA000018.3|mhci|seq197	antigen76|Q5HGQ3|BA000018.3|mhci|seq198
antigen76|Q5HGQ3|BA000018.3|mhci|seq197	antigen76|Q5HGQ3|BX571856.1|mhci|seq198
antigen76|Q5HGQ3|BA000018.3|mhci|seq229	antigen76|Q5HGQ3|BA000018.3|mhci|seq229
antigen76|Q5HGQ3|BA000018.3|mhci|seq229	antigen76|Q5HGQ3|BX571856.1|mhci|seq229
antigen76|Q5HGQ3|BA000018.3|mhci|seq229	antigen76|Q5HGQ3|BA000018.3|mhci|seq230
antigen76|Q5HGQ3|BA000018.3|mhci|seq229	antigen76|Q5HGQ3|BX571856.1|mhci|seq230
antigen76|Q5HGQ3|BA000018.3|mhci|seq261	antigen76|Q5HGQ3|BA000018.3|mhci|seq261
antigen76|Q5HGQ3|BA000018.3|mhci|seq261	antigen76|Q5HGQ3|BX571856.1|mhci|seq261
antigen76|Q5HGQ3|BA000018.3|mhci|seq261	antigen76|Q5HGQ3|BA000018.3|mhci|seq262
antigen76|Q5HGQ3|BA000018.3|mhci|seq261	antigen76|Q5HGQ3|BX571856.1|mhci|seq262
antigen76|Q5HGQ3|BA000018.3|mhci|seq293	antigen76|Q5HGQ3|BA000018.3|mhci|seq293
antigen76|Q5HGQ3|BA000018.3|mhci|seq293	antigen76|Q5HGQ3|BX571856.1|mhci|seq293
antigen76|Q5HGQ3|BA000018.3|mhci|seq293	antigen76|Q5HGQ3|BA000018.3|mhci|seq294
antigen76|Q5HGQ3|BA000018.3|mhci|seq293	antigen76|Q5HGQ3|BX571856.1|mhci|seq294
antigen76|Q5HGQ3|BA000018.3|mhci|seq325	antigen76|Q5HGQ3|BA000018.3|mhci|seq325
antigen76|Q5HGQ3|BA000018.3|mhci|seq325	antigen76|Q5HGQ3|BX571856.1|mhci|seq325
antigen76|Q5HGQ3|BA000018.3|mhci|seq325	antigen76|Q5HGQ3|BA000018.3|mhci|seq326
antigen76|Q5HGQ3|BA000018.3|mhci|seq325	antigen76|Q5HGQ3|BX571856.1|mhci|seq326
antigen76|Q5HGQ3|BA000018.3|mhci|seq357	antigen76|Q5HGQ3|BA000018.3|mhci|seq357
antigen76|Q5HGQ3|BA000018.3|mhci|seq357	antigen76|Q5HGQ3|BX571856.1|mhci|seq357
antigen76|Q5HGQ3|BA000018.3|mhci|seq357	antigen76|Q5HGQ3|BA000018.3|mhci|seq358
antigen76|Q5HGQ3|BA000018.3|mhci|seq357	antigen76|Q5HGQ3|BX571856.1|mhci|seq358
antigen76|Q5HGQ3|BA000018.3|mhci|seq389	antigen76|Q5HGQ3|BA000018.3|mhci|seq389
antigen76|Q5HGQ3|BA000018.3|mhci|seq389	antigen76|Q5HGQ3|BX571856.1|mhci|seq389
antigen76|Q5HGQ3|BA000018.3|mhci|seq389	antigen76|Q5HGQ3|BA000018.3|mhci|seq390
antigen76|Q5HGQ3|BA000018.3|mhci|seq389	antigen76|Q5HGQ3|BX571856.1|mhci|seq390
antigen76|Q5HGQ3|BA000018.3|mhci|seq421	antigen76|Q5HGQ3|BA000018.3|mhci|seq421
antigen76|Q5HGQ3|BA000018.3|mhci|seq421	antigen76|Q5HGQ3|BX571856.1|mhci|seq421
antigen76|Q5HGQ3|BA000018.3|mhci|seq421	antigen76|Q5HGQ3|BA000018.3|mhci|seq422
antigen76|Q5HGQ3|BA000018.3|mhci|seq421	antigen76|Q5HGQ3|BX571856.1|mhci|seq422
antigen76|Q5HGQ3|BA000018.3|mhci|seq453	antigen76|Q5HGQ3|BA000018.3|mhci|seq453
antigen76|Q5HGQ3|BA000018.3|mhci|seq453	antigen76|Q5HGQ3|BX571856.1|mhci|seq453
antigen76|Q5HGQ3|BA000018.3|mhci|seq453	antigen76|Q5HGQ3|BA000018.3|mhci|seq454
antigen76|Q5HGQ3|BA000018.3|mhci|seq453	antigen76|Q5HGQ3|BX571856.1|mhci|seq454
antigen76|Q5HGQ3|BA000018.3|mhci|seq485	antigen76|Q5HGQ3|BA000018.3|mhci|seq485
antigen76|Q5HGQ3|BA000018.3|mhci|seq485	antigen76|Q5HGQ3|BX571856.1|mhci|seq485
antigen76|Q5HGQ3|BA000018.3|mhci|seq485	antigen76|Q5HGQ3|BA000018.3|mhci|seq486
antigen76|Q5HGQ3|BA000018.3|mhci|seq485	antigen76|Q5HGQ3|BX571856.1|mhci|seq486
antigen76|Q5HGQ3|BA000018.3|mhci|seq517	antigen76|Q5HGQ3|BA000018.3|mhci|seq517
antigen76|Q5HGQ3|BA000018.3|mhci|seq517	antigen76|Q5HGQ3|BX571856.1|mhci|seq517
antigen76|Q5HGQ3|BA000018.3|mhci|seq517	antigen76|Q5HGQ3|BA000018.3|mhci|seq518
antigen76|Q5HGQ3|BA000018.3|mhci|seq517	antigen76|Q5HGQ3|BX571856.1|mhci|seq518
antigen76|Q5HGQ3|BX571856.1|mhci|seq32	antigen76|Q5HGQ3|BX571856.1|mhci|seq32
antigen76|Q5HGQ3|BX571856.1|mhci|seq32	antigen76|Q5HGQ3|BA000018.3|mhci|seq32
antigen76|Q5HGQ3|BX571856.1|mhci|seq64	antigen76|Q5HGQ3|BX571856.1|mhci|seq64
antigen76|Q5HGQ3|BX571856.1|mhci|seq64	antigen76|Q5HGQ3|BA000018.3|mhci|seq64
antigen76|Q5HGQ3|BX571856.1|mhci|seq96	antigen76|Q5HGQ3|BX571856.1|mhci|seq96
antigen76|Q5HGQ3|BX571856.1|mhci|seq96	antigen76|Q5HGQ3|BA000018.3|mhci|seq96
antigen76|Q5HGQ3|BX571856.1|mhci|seq128	antigen76|Q5HGQ3|BX571856.1|mhci|seq128
antigen76|Q5HGQ3|BX571856.1|mhci|seq128	antigen76|Q5HGQ3|BA000018.3|mhci|seq128
antigen76|Q5HGQ3|BX571856.1|mhci|seq160	antigen76|Q5HGQ3|BX571856.1|mhci|seq160
antigen76|Q5HGQ3|BX571856.1|mhci|seq192	antigen76|Q5HGQ3|BX571856.1|mhci|seq192
antigen76|Q5HGQ3|BX571856.1|mhci|seq192	antigen76|Q5HGQ3|BA000018.3|mhci|seq192
antigen76|Q5HGQ3|BX571856.1|mhci|seq224	antigen76|Q5HGQ3|BX571856.1|mhci|seq224
antigen76|Q5HGQ3|BX571856.1|mhci|seq224	antigen76|Q5HGQ3|BA000018.3|mhci|seq224
antigen76|Q5HGQ3|BX571856.1|mhci|seq256	antigen76|Q5HGQ3|BX571856.1|mhci|seq256
antigen76|Q5HGQ3|BX571856.1|mhci|seq288	antigen76|Q5HGQ3|BX571856.1|mhci|seq288
antigen76|Q5HGQ3|BX571856.1|mhci|seq288	antigen76|Q5HGQ3|BA000018.3|mhci|seq288
antigen76|Q5HGQ3|BX571856.1|mhci|seq320	antigen76|Q5HGQ3|BX571856.1|mhci|seq320
antigen76|Q5HGQ3|BX571856.1|mhci|seq320	antigen76|Q5HGQ3|BA000018.3|mhci|seq320
antigen76|Q5HGQ3|BX571856.1|mhci|seq352	antigen76|Q5HGQ3|BX571856.1|mhci|seq352
antigen76|Q5HGQ3|BX571856.1|mhci|seq352	antigen76|Q5HGQ3|BA000018.3|mhci|seq352
antigen76|Q5HGQ3|BX571856.1|mhci|seq384	antigen76|Q5HGQ3|BX571856.1|mhci|seq384
antigen76|Q5HGQ3|BX571856.1|mhci|seq384	antigen76|Q5HGQ3|BA000018.3|mhci|seq384
antigen76|Q5HGQ3|BX571856.1|mhci|seq416	antigen76|Q5HGQ3|BX571856.1|mhci|seq416
antigen76|Q5HGQ3|BX571856.1|mhci|seq416	antigen76|Q5HGQ3|BA000018.3|mhci|seq416
antigen76|Q5HGQ3|BX571856.1|mhci|seq448	antigen76|Q5HGQ3|BX571856.1|mhci|seq448
antigen76|Q5HGQ3|BX571856.1|mhci|seq448	antigen76|Q5HGQ3|BA000018.3|mhci|seq448
antigen76|Q5HGQ3|BX571856.1|mhci|seq480	antigen76|Q5HGQ3|BX571856.1|mhci|seq480
antigen76|Q5HGQ3|BX571856.1|mhci|seq480	antigen76|Q5HGQ3|BA000018.3|mhci|seq480
antigen76|Q5HGQ3|BX571856.1|mhci|seq512	antigen76|Q5HGQ3|BX571856.1|mhci|seq512
antigen76|Q5HGQ3|BA000018.3|mhci|seq102	antigen76|Q5HGQ3|BA000018.3|mhci|seq102
antigen76|Q5HGQ3|BA000018.3|mhci|seq102	antigen76|Q5HGQ3|BX571856.1|mhci|seq102
antigen76|Q5HGQ3|BA000018.3|mhci|seq134	antigen76|Q5HGQ3|BA000018.3|mhci|seq134
antigen76|Q5HGQ3|BA000018.3|mhci|seq134	antigen76|Q5HGQ3|BX571856.1|mhci|seq134
antigen76|Q5HGQ3|BA000018.3|mhci|seq134	antigen76|Q5HGQ3|BX571856.1|mhci|seq135
antigen76|Q5HGQ3|BA000018.3|mhci|seq134	antigen76|Q5HGQ3|BA000018.3|mhci|seq135
antigen76|Q5HGQ3|BA000018.3|mhci|seq166	antigen76|Q5HGQ3|BA000018.3|mhci|seq166
antigen76|Q5HGQ3|BA000018.3|mhci|seq166	antigen76|Q5HGQ3|BX571856.1|mhci|seq166
antigen76|Q5HGQ3|BA000018.3|mhci|seq166	antigen76|Q5HGQ3|BX571856.1|mhci|seq167
antigen76|Q5HGQ3|BA000018.3|mhci|seq166	antigen76|Q5HGQ3|BA000018.3|mhci|seq167
antigen76|Q5HGQ3|BA000018.3|mhci|seq251	antigen76|Q5HGQ3|BA000018.3|mhci|seq251
antigen76|Q5HGQ3|BX571856.1|mhci|seq86	antigen76|Q5HGQ3|BX571856.1|mhci|seq86
antigen76|Q5HGQ3|BX571856.1|mhci|seq86	antigen76|Q5HGQ3|BA000018.3|mhci|seq86
antigen76|Q5HGQ3|BX571856.1|mhci|seq86	antigen76|Q5HGQ3|BX571856.1|mhci|seq87
antigen76|Q5HGQ3|BX571856.1|mhci|seq86	antigen76|Q5HGQ3|BA000018.3|mhci|seq87
antigen76|Q5HGQ3|BX571856.1|mhci|seq118	antigen76|Q5HGQ3|BX571856.1|mhci|seq118
antigen76|Q5HGQ3|BX571856.1|mhci|seq118	antigen76|Q5HGQ3|BA000018.3|mhci|seq118
antigen76|Q5HGQ3|BX571856.1|mhci|seq118	antigen76|Q5HGQ3|BX571856.1|mhci|seq119
antigen76|Q5HGQ3|BX571856.1|mhci|seq118	antigen76|Q5HGQ3|BA000018.3|mhci|seq119
antigen76|Q5HGQ3|BX571856.1|mhci|seq150	antigen76|Q5HGQ3|BX571856.1|mhci|seq150
antigen76|Q5HGQ3|BX571856.1|mhci|seq150	antigen76|Q5HGQ3|BA000018.3|mhci|seq150
antigen76|Q5HGQ3|BX571856.1|mhci|seq150	antigen76|Q5HGQ3|BX571856.1|mhci|seq151
antigen76|Q5HGQ3|BX571856.1|mhci|seq150	antigen76|Q5HGQ3|BA000018.3|mhci|seq151
antigen76|Q5HGQ3|BX571856.1|mhci|seq182	antigen76|Q5HGQ3|BX571856.1|mhci|seq182
antigen76|Q5HGQ3|BX571856.1|mhci|seq182	antigen76|Q5HGQ3|BA000018.3|mhci|seq182
antigen76|Q5HGQ3|BX571856.1|mhci|seq182	antigen76|Q5HGQ3|BX571856.1|mhci|seq183
antigen76|Q5HGQ3|BX571856.1|mhci|seq182	antigen76|Q5HGQ3|BA000018.3|mhci|seq183
antigen76|Q5HGQ3|BX571856.1|mhci|seq502	antigen76|Q5HGQ3|BX571856.1|mhci|seq502
antigen76|Q5HGQ3|BX571856.1|mhci|seq502	antigen76|Q5HGQ3|BA000018.3|mhci|seq502
antigen76|Q5HGQ3|BX571856.1|mhci|seq502	antigen76|Q5HGQ3|BA000018.3|mhci|seq501
