antigen46|Q2YWH4|BX571856.1|mhci|seq709	antigen46|Q2YWH4|BX571856.1|mhci|seq709
antigen46|Q2YWH4|CP000253.1|mhci|seq682	antigen46|Q2YWH4|BX571856.1|mhci|seq678
antigen46|Q2YWH4|CP000253.1|mhci|seq682	antigen46|Q2YWH4|CP002114.3|mhci|seq678
antigen46|Q2YWH4|CP000253.1|mhci|seq714	antigen46|Q2YWH4|CP000253.1|mhci|seq714
antigen46|Q2YWH4|CP000253.1|mhci|seq714	antigen46|Q2YWH4|BX571856.1|mhci|seq710
antigen46|Q2YWH4|CP000253.1|mhci|seq714	antigen46|Q2YWH4|CP002114.3|mhci|seq710
antigen46|Q2YWH4|CP000253.1|mhci|seq938	antigen46|Q2YWH4|CP000253.1|mhci|seq938
antigen46|Q2YWH4|CP000253.1|mhci|seq938	antigen46|Q2YWH4|BX571856.1|mhci|seq934
antigen46|Q2YWH4|CP000253.1|mhci|seq938	antigen46|Q2YWH4|CP002114.3|mhci|seq934
antigen46|Q2YWH4|CP000253.1|mhci|seq1034	antigen46|Q2YWH4|CP000253.1|mhci|seq1034
antigen46|Q2YWH4|CP000253.1|mhci|seq1034	antigen46|Q2YWH4|BX571856.1|mhci|seq1030
antigen46|Q2YWH4|CP000253.1|mhci|seq1034	antigen46|Q2YWH4|CP002114.3|mhci|seq1034
antigen46|Q2YWH4|CP000253.1|mhci|seq1066	antigen46|Q2YWH4|CP000253.1|mhci|seq1066
antigen46|Q2YWH4|CP000253.1|mhci|seq1066	antigen46|Q2YWH4|BX571856.1|mhci|seq1066
antigen46|Q2YWH4|CP000253.1|mhci|seq1066	antigen46|Q2YWH4|CP002114.3|mhci|seq1066
antigen46|Q2YWH4|CP000253.1|mhci|seq1162	antigen46|Q2YWH4|CP000253.1|mhci|seq1162
antigen46|Q2YWH4|CP000253.1|mhci|seq1162	antigen46|Q2YWH4|BX571856.1|mhci|seq1162
antigen46|Q2YWH4|CP000253.1|mhci|seq1162	antigen46|Q2YWH4|CP002114.3|mhci|seq1162
antigen46|Q2YWH4|CP002114.3|mhci|seq24	antigen46|Q2YWH4|CP002114.3|mhci|seq24
antigen46|Q2YWH4|CP002114.3|mhci|seq24	antigen46|Q2YWH4|CP000253.1|mhci|seq24
antigen46|Q2YWH4|CP002114.3|mhci|seq24	antigen46|Q2YWH4|BX571856.1|mhci|seq24
antigen46|Q2YWH4|CP002114.3|mhci|seq24	antigen46|Q2YWH4|CP002114.3|mhci|seq183
antigen46|Q2YWH4|CP002114.3|mhci|seq24	antigen46|Q2YWH4|CP000253.1|mhci|seq183
antigen46|Q2YWH4|CP002114.3|mhci|seq24	antigen46|Q2YWH4|BX571856.1|mhci|seq183
antigen46|Q2YWH4|CP002114.3|mhci|seq88	antigen46|Q2YWH4|CP002114.3|mhci|seq88
antigen46|Q2YWH4|CP002114.3|mhci|seq88	antigen46|Q2YWH4|CP000253.1|mhci|seq92
antigen46|Q2YWH4|CP002114.3|mhci|seq88	antigen46|Q2YWH4|BX571856.1|mhci|seq92
antigen46|Q2YWH4|CP002114.3|mhci|seq120	antigen46|Q2YWH4|CP002114.3|mhci|seq120
antigen46|Q2YWH4|CP002114.3|mhci|seq120	antigen46|Q2YWH4|CP000253.1|mhci|seq124
antigen46|Q2YWH4|CP002114.3|mhci|seq120	antigen46|Q2YWH4|BX571856.1|mhci|seq124
antigen46|Q2YWH4|CP002114.3|mhci|seq152	antigen46|Q2YWH4|CP002114.3|mhci|seq152
antigen46|Q2YWH4|CP002114.3|mhci|seq152	antigen46|Q2YWH4|CP000253.1|mhci|seq152
antigen46|Q2YWH4|CP002114.3|mhci|seq152	antigen46|Q2YWH4|BX571856.1|mhci|seq152
antigen46|Q2YWH4|CP002114.3|mhci|seq184	antigen46|Q2YWH4|CP002114.3|mhci|seq184
antigen46|Q2YWH4|CP002114.3|mhci|seq184	antigen46|Q2YWH4|CP000253.1|mhci|seq184
antigen46|Q2YWH4|CP002114.3|mhci|seq184	antigen46|Q2YWH4|BX571856.1|mhci|seq184
antigen46|Q2YWH4|CP002114.3|mhci|seq440	antigen46|Q2YWH4|CP002114.3|mhci|seq440
antigen46|Q2YWH4|CP002114.3|mhci|seq440	antigen46|Q2YWH4|CP000253.1|mhci|seq444
antigen46|Q2YWH4|CP002114.3|mhci|seq440	antigen46|Q2YWH4|BX571856.1|mhci|seq440
antigen46|Q2YWH4|CP002114.3|mhci|seq472	antigen46|Q2YWH4|CP002114.3|mhci|seq472
antigen46|Q2YWH4|CP002114.3|mhci|seq472	antigen46|Q2YWH4|BX571856.1|mhci|seq468
antigen46|Q2YWH4|CP002114.3|mhci|seq472	antigen46|Q2YWH4|CP000253.1|mhci|seq476
antigen46|Q2YWH4|CP002114.3|mhci|seq568	antigen46|Q2YWH4|CP002114.3|mhci|seq568
antigen46|Q2YWH4|CP002114.3|mhci|seq568	antigen46|Q2YWH4|BX571856.1|mhci|seq564
antigen46|Q2YWH4|CP002114.3|mhci|seq568	antigen46|Q2YWH4|CP000253.1|mhci|seq572
antigen46|Q2YWH4|CP002114.3|mhci|seq632	antigen46|Q2YWH4|CP002114.3|mhci|seq632
antigen46|Q2YWH4|CP002114.3|mhci|seq632	antigen46|Q2YWH4|BX571856.1|mhci|seq628
antigen46|Q2YWH4|CP002114.3|mhci|seq632	antigen46|Q2YWH4|CP000253.1|mhci|seq636
antigen46|Q2YWH4|CP002114.3|mhci|seq664	antigen46|Q2YWH4|CP002114.3|mhci|seq664
antigen46|Q2YWH4|CP002114.3|mhci|seq664	antigen46|Q2YWH4|BX571856.1|mhci|seq660
antigen46|Q2YWH4|CP002114.3|mhci|seq664	antigen46|Q2YWH4|CP000253.1|mhci|seq668
antigen46|Q2YWH4|CP002114.3|mhci|seq696	antigen46|Q2YWH4|CP002114.3|mhci|seq696
antigen46|Q2YWH4|CP002114.3|mhci|seq728	antigen46|Q2YWH4|CP002114.3|mhci|seq728
antigen46|Q2YWH4|CP002114.3|mhci|seq760	antigen46|Q2YWH4|CP002114.3|mhci|seq760
antigen46|Q2YWH4|CP002114.3|mhci|seq760	antigen46|Q2YWH4|CP000253.1|mhci|seq764
antigen46|Q2YWH4|CP002114.3|mhci|seq760	antigen46|Q2YWH4|BX571856.1|mhci|seq760
antigen46|Q2YWH4|CP002114.3|mhci|seq792	antigen46|Q2YWH4|CP002114.3|mhci|seq792
antigen46|Q2YWH4|CP002114.3|mhci|seq792	antigen46|Q2YWH4|CP000253.1|mhci|seq796
antigen46|Q2YWH4|CP002114.3|mhci|seq792	antigen46|Q2YWH4|BX571856.1|mhci|seq792
antigen46|Q2YWH4|CP002114.3|mhci|seq824	antigen46|Q2YWH4|CP002114.3|mhci|seq824
antigen46|Q2YWH4|CP002114.3|mhci|seq824	antigen46|Q2YWH4|CP000253.1|mhci|seq828
antigen46|Q2YWH4|CP002114.3|mhci|seq824	antigen46|Q2YWH4|BX571856.1|mhci|seq824
antigen46|Q2YWH4|CP002114.3|mhci|seq856	antigen46|Q2YWH4|CP002114.3|mhci|seq856
antigen46|Q2YWH4|CP002114.3|mhci|seq920	antigen46|Q2YWH4|CP002114.3|mhci|seq920
antigen46|Q2YWH4|CP002114.3|mhci|seq920	antigen46|Q2YWH4|BX571856.1|mhci|seq916
antigen46|Q2YWH4|CP002114.3|mhci|seq920	antigen46|Q2YWH4|CP000253.1|mhci|seq924
antigen46|Q2YWH4|CP002114.3|mhci|seq952	antigen46|Q2YWH4|CP002114.3|mhci|seq952
antigen46|Q2YWH4|CP002114.3|mhci|seq952	antigen46|Q2YWH4|CP000253.1|mhci|seq956
antigen46|Q2YWH4|CP002114.3|mhci|seq952	antigen46|Q2YWH4|BX571856.1|mhci|seq952
antigen46|Q2YWH4|CP002114.3|mhci|seq1016	antigen46|Q2YWH4|CP002114.3|mhci|seq1016
antigen46|Q2YWH4|CP002114.3|mhci|seq1016	antigen46|Q2YWH4|CP000253.1|mhci|seq1016
antigen46|Q2YWH4|CP002114.3|mhci|seq1016	antigen46|Q2YWH4|BX571856.1|mhci|seq1012
antigen46|Q2YWH4|CP002114.3|mhci|seq1048	antigen46|Q2YWH4|CP002114.3|mhci|seq1048
antigen46|Q2YWH4|CP002114.3|mhci|seq1048	antigen46|Q2YWH4|CP000253.1|mhci|seq1048
antigen46|Q2YWH4|CP002114.3|mhci|seq1048	antigen46|Q2YWH4|BX571856.1|mhci|seq1044
antigen46|Q2YWH4|CP002114.3|mhci|seq1080	antigen46|Q2YWH4|CP002114.3|mhci|seq1080
antigen46|Q2YWH4|CP002114.3|mhci|seq1080	antigen46|Q2YWH4|CP000253.1|mhci|seq1080
antigen46|Q2YWH4|CP002114.3|mhci|seq1080	antigen46|Q2YWH4|BX571856.1|mhci|seq1080
antigen46|Q2YWH4|CP002114.3|mhci|seq1112	antigen46|Q2YWH4|CP002114.3|mhci|seq1112
antigen46|Q2YWH4|CP002114.3|mhci|seq1112	antigen46|Q2YWH4|CP000253.1|mhci|seq1112
antigen46|Q2YWH4|CP002114.3|mhci|seq1112	antigen46|Q2YWH4|BX571856.1|mhci|seq1112
antigen46|Q2YWH4|CP002114.3|mhci|seq1144	antigen46|Q2YWH4|CP002114.3|mhci|seq1144
antigen46|Q2YWH4|CP002114.3|mhci|seq1144	antigen46|Q2YWH4|CP000253.1|mhci|seq1144
antigen46|Q2YWH4|CP002114.3|mhci|seq1144	antigen46|Q2YWH4|BX571856.1|mhci|seq1144
antigen46|Q2YWH4|CP002114.3|mhci|seq1176	antigen46|Q2YWH4|CP002114.3|mhci|seq1176
antigen46|Q2YWH4|CP002114.3|mhci|seq1176	antigen46|Q2YWH4|CP000253.1|mhci|seq1176
antigen46|Q2YWH4|CP002114.3|mhci|seq1176	antigen46|Q2YWH4|BX571856.1|mhci|seq1176
antigen46|Q2YWH4|BX571856.1|mhci|seq38	antigen46|Q2YWH4|BX571856.1|mhci|seq38
antigen46|Q2YWH4|BX571856.1|mhci|seq166	antigen46|Q2YWH4|BX571856.1|mhci|seq166
antigen46|Q2YWH4|BX571856.1|mhci|seq166	antigen46|Q2YWH4|CP000253.1|mhci|seq166
antigen46|Q2YWH4|BX571856.1|mhci|seq230	antigen46|Q2YWH4|BX571856.1|mhci|seq230
antigen46|Q2YWH4|CP002114.3|mhci|seq666	antigen46|Q2YWH4|CP002114.3|mhci|seq666
antigen46|Q2YWH4|CP002114.3|mhci|seq666	antigen46|Q2YWH4|BX571856.1|mhci|seq662
antigen46|Q2YWH4|CP002114.3|mhci|seq666	antigen46|Q2YWH4|CP000253.1|mhci|seq670
antigen46|Q2YWH4|CP002114.3|mhci|seq730	antigen46|Q2YWH4|CP002114.3|mhci|seq730
antigen46|Q2YWH4|CP002114.3|mhci|seq730	antigen46|Q2YWH4|CP000253.1|mhci|seq734
antigen46|Q2YWH4|CP002114.3|mhci|seq730	antigen46|Q2YWH4|BX571856.1|mhci|seq730
antigen46|Q2YWH4|CP002114.3|mhci|seq922	antigen46|Q2YWH4|CP002114.3|mhci|seq922
antigen46|Q2YWH4|CP002114.3|mhci|seq922	antigen46|Q2YWH4|BX571856.1|mhci|seq918
antigen46|Q2YWH4|CP002114.3|mhci|seq922	antigen46|Q2YWH4|CP000253.1|mhci|seq926
antigen46|Q2YWH4|CP002114.3|mhci|seq954	antigen46|Q2YWH4|CP002114.3|mhci|seq954
antigen46|Q2YWH4|CP002114.3|mhci|seq954	antigen46|Q2YWH4|CP000253.1|mhci|seq958
antigen46|Q2YWH4|CP002114.3|mhci|seq954	antigen46|Q2YWH4|BX571856.1|mhci|seq954
antigen46|Q2YWH4|CP002114.3|mhci|seq1050	antigen46|Q2YWH4|CP002114.3|mhci|seq1050
antigen46|Q2YWH4|CP002114.3|mhci|seq1050	antigen46|Q2YWH4|CP000253.1|mhci|seq1050
antigen46|Q2YWH4|CP002114.3|mhci|seq1050	antigen46|Q2YWH4|BX571856.1|mhci|seq1046
antigen46|Q2YWH4|CP002114.3|mhci|seq1082	antigen46|Q2YWH4|CP002114.3|mhci|seq1082
antigen46|Q2YWH4|CP002114.3|mhci|seq1082	antigen46|Q2YWH4|CP000253.1|mhci|seq1082
antigen46|Q2YWH4|CP002114.3|mhci|seq1082	antigen46|Q2YWH4|BX571856.1|mhci|seq1082
antigen46|Q2YWH4|CP002114.3|mhci|seq1082	antigen46|Q2YWH4|CP002114.3|mhci|seq977
antigen46|Q2YWH4|CP002114.3|mhci|seq1082	antigen46|Q2YWH4|CP000253.1|mhci|seq981
antigen46|Q2YWH4|CP002114.3|mhci|seq1082	antigen46|Q2YWH4|BX571856.1|mhci|seq977
antigen46|Q2YWH4|BX571856.1|mhci|seq168	antigen46|Q2YWH4|BX571856.1|mhci|seq168
antigen46|Q2YWH4|BX571856.1|mhci|seq520	antigen46|Q2YWH4|BX571856.1|mhci|seq520
antigen46|Q2YWH4|BX571856.1|mhci|seq520	antigen46|Q2YWH4|CP000253.1|mhci|seq528
antigen46|Q2YWH4|BX571856.1|mhci|seq520	antigen46|Q2YWH4|CP002114.3|mhci|seq524
antigen46|Q2YWH4|BX571856.1|mhci|seq648	antigen46|Q2YWH4|BX571856.1|mhci|seq648
antigen46|Q2YWH4|BX571856.1|mhci|seq648	antigen46|Q2YWH4|CP000253.1|mhci|seq656
antigen46|Q2YWH4|BX571856.1|mhci|seq648	antigen46|Q2YWH4|CP002114.3|mhci|seq652
antigen46|Q2YWH4|BX571856.1|mhci|seq680	antigen46|Q2YWH4|BX571856.1|mhci|seq680
antigen46|Q2YWH4|CP000253.1|mhci|seq13	antigen46|Q2YWH4|CP000253.1|mhci|seq13
antigen46|Q2YWH4|CP000253.1|mhci|seq13	antigen46|Q2YWH4|BX571856.1|mhci|seq13
antigen46|Q2YWH4|CP000253.1|mhci|seq13	antigen46|Q2YWH4|CP002114.3|mhci|seq13
antigen46|Q2YWH4|CP000253.1|mhci|seq45	antigen46|Q2YWH4|CP000253.1|mhci|seq45
antigen46|Q2YWH4|CP000253.1|mhci|seq77	antigen46|Q2YWH4|CP000253.1|mhci|seq77
antigen46|Q2YWH4|CP000253.1|mhci|seq109	antigen46|Q2YWH4|CP000253.1|mhci|seq109
antigen46|Q2YWH4|CP000253.1|mhci|seq109	antigen46|Q2YWH4|BX571856.1|mhci|seq109
antigen46|Q2YWH4|CP000253.1|mhci|seq109	antigen46|Q2YWH4|CP002114.3|mhci|seq105
antigen46|Q2YWH4|CP000253.1|mhci|seq141	antigen46|Q2YWH4|CP000253.1|mhci|seq141
antigen46|Q2YWH4|CP000253.1|mhci|seq141	antigen46|Q2YWH4|BX571856.1|mhci|seq141
antigen46|Q2YWH4|CP000253.1|mhci|seq141	antigen46|Q2YWH4|CP002114.3|mhci|seq141
antigen46|Q2YWH4|CP000253.1|mhci|seq173	antigen46|Q2YWH4|CP000253.1|mhci|seq173
antigen46|Q2YWH4|CP000253.1|mhci|seq173	antigen46|Q2YWH4|BX571856.1|mhci|seq173
antigen46|Q2YWH4|CP000253.1|mhci|seq173	antigen46|Q2YWH4|CP002114.3|mhci|seq173
antigen46|Q2YWH4|CP000253.1|mhci|seq205	antigen46|Q2YWH4|CP000253.1|mhci|seq205
antigen46|Q2YWH4|CP000253.1|mhci|seq205	antigen46|Q2YWH4|BX571856.1|mhci|seq205
antigen46|Q2YWH4|CP000253.1|mhci|seq205	antigen46|Q2YWH4|CP002114.3|mhci|seq201
antigen46|Q2YWH4|CP000253.1|mhci|seq333	antigen46|Q2YWH4|CP000253.1|mhci|seq333
antigen46|Q2YWH4|CP000253.1|mhci|seq333	antigen46|Q2YWH4|BX571856.1|mhci|seq329
antigen46|Q2YWH4|CP000253.1|mhci|seq333	antigen46|Q2YWH4|CP002114.3|mhci|seq329
antigen46|Q2YWH4|CP000253.1|mhci|seq365	antigen46|Q2YWH4|CP000253.1|mhci|seq365
antigen46|Q2YWH4|CP000253.1|mhci|seq365	antigen46|Q2YWH4|BX571856.1|mhci|seq361
antigen46|Q2YWH4|CP000253.1|mhci|seq365	antigen46|Q2YWH4|CP002114.3|mhci|seq365
antigen46|Q2YWH4|CP000253.1|mhci|seq397	antigen46|Q2YWH4|CP000253.1|mhci|seq397
antigen46|Q2YWH4|CP000253.1|mhci|seq397	antigen46|Q2YWH4|BX571856.1|mhci|seq393
antigen46|Q2YWH4|CP000253.1|mhci|seq397	antigen46|Q2YWH4|CP002114.3|mhci|seq393
antigen46|Q2YWH4|CP000253.1|mhci|seq429	antigen46|Q2YWH4|CP000253.1|mhci|seq429
antigen46|Q2YWH4|CP000253.1|mhci|seq429	antigen46|Q2YWH4|BX571856.1|mhci|seq425
antigen46|Q2YWH4|CP000253.1|mhci|seq429	antigen46|Q2YWH4|CP002114.3|mhci|seq425
antigen46|Q2YWH4|CP000253.1|mhci|seq589	antigen46|Q2YWH4|CP000253.1|mhci|seq589
antigen46|Q2YWH4|CP000253.1|mhci|seq589	antigen46|Q2YWH4|BX571856.1|mhci|seq585
antigen46|Q2YWH4|CP000253.1|mhci|seq589	antigen46|Q2YWH4|CP002114.3|mhci|seq585
antigen46|Q2YWH4|CP000253.1|mhci|seq621	antigen46|Q2YWH4|CP000253.1|mhci|seq621
antigen46|Q2YWH4|CP000253.1|mhci|seq717	antigen46|Q2YWH4|CP000253.1|mhci|seq717
antigen46|Q2YWH4|CP000253.1|mhci|seq717	antigen46|Q2YWH4|BX571856.1|mhci|seq713
antigen46|Q2YWH4|CP000253.1|mhci|seq717	antigen46|Q2YWH4|CP002114.3|mhci|seq713
antigen46|Q2YWH4|CP000253.1|mhci|seq749	antigen46|Q2YWH4|CP000253.1|mhci|seq749
antigen46|Q2YWH4|CP000253.1|mhci|seq749	antigen46|Q2YWH4|BX571856.1|mhci|seq745
antigen46|Q2YWH4|CP000253.1|mhci|seq749	antigen46|Q2YWH4|CP002114.3|mhci|seq745
antigen46|Q2YWH4|CP000253.1|mhci|seq749	antigen46|Q2YWH4|CP000253.1|mhci|seq750
antigen46|Q2YWH4|CP000253.1|mhci|seq749	antigen46|Q2YWH4|BX571856.1|mhci|seq746
antigen46|Q2YWH4|CP000253.1|mhci|seq749	antigen46|Q2YWH4|CP002114.3|mhci|seq746
antigen46|Q2YWH4|CP000253.1|mhci|seq781	antigen46|Q2YWH4|CP000253.1|mhci|seq781
antigen46|Q2YWH4|CP000253.1|mhci|seq781	antigen46|Q2YWH4|BX571856.1|mhci|seq777
antigen46|Q2YWH4|CP000253.1|mhci|seq781	antigen46|Q2YWH4|CP002114.3|mhci|seq777
antigen46|Q2YWH4|CP000253.1|mhci|seq781	antigen46|Q2YWH4|CP000253.1|mhci|seq782
antigen46|Q2YWH4|CP000253.1|mhci|seq781	antigen46|Q2YWH4|BX571856.1|mhci|seq778
antigen46|Q2YWH4|CP000253.1|mhci|seq781	antigen46|Q2YWH4|CP002114.3|mhci|seq778
antigen46|Q2YWH4|CP000253.1|mhci|seq813	antigen46|Q2YWH4|CP000253.1|mhci|seq813
antigen46|Q2YWH4|CP000253.1|mhci|seq813	antigen46|Q2YWH4|BX571856.1|mhci|seq809
antigen46|Q2YWH4|CP000253.1|mhci|seq813	antigen46|Q2YWH4|CP002114.3|mhci|seq809
antigen46|Q2YWH4|CP000253.1|mhci|seq845	antigen46|Q2YWH4|CP000253.1|mhci|seq845
antigen46|Q2YWH4|CP000253.1|mhci|seq845	antigen46|Q2YWH4|BX571856.1|mhci|seq841
antigen46|Q2YWH4|CP000253.1|mhci|seq845	antigen46|Q2YWH4|CP002114.3|mhci|seq837
antigen46|Q2YWH4|CP000253.1|mhci|seq877	antigen46|Q2YWH4|CP000253.1|mhci|seq877
antigen46|Q2YWH4|CP000253.1|mhci|seq877	antigen46|Q2YWH4|BX571856.1|mhci|seq873
antigen46|Q2YWH4|CP000253.1|mhci|seq877	antigen46|Q2YWH4|CP002114.3|mhci|seq873
antigen46|Q2YWH4|CP000253.1|mhci|seq877	antigen46|Q2YWH4|CP000253.1|mhci|seq878
antigen46|Q2YWH4|CP000253.1|mhci|seq877	antigen46|Q2YWH4|BX571856.1|mhci|seq874
antigen46|Q2YWH4|CP000253.1|mhci|seq877	antigen46|Q2YWH4|CP002114.3|mhci|seq874
antigen46|Q2YWH4|CP000253.1|mhci|seq909	antigen46|Q2YWH4|CP000253.1|mhci|seq909
antigen46|Q2YWH4|CP000253.1|mhci|seq909	antigen46|Q2YWH4|BX571856.1|mhci|seq905
antigen46|Q2YWH4|CP000253.1|mhci|seq909	antigen46|Q2YWH4|CP002114.3|mhci|seq905
antigen46|Q2YWH4|CP000253.1|mhci|seq909	antigen46|Q2YWH4|CP000253.1|mhci|seq910
antigen46|Q2YWH4|CP000253.1|mhci|seq909	antigen46|Q2YWH4|BX571856.1|mhci|seq906
antigen46|Q2YWH4|CP000253.1|mhci|seq909	antigen46|Q2YWH4|CP002114.3|mhci|seq906
antigen46|Q2YWH4|CP000253.1|mhci|seq941	antigen46|Q2YWH4|CP000253.1|mhci|seq941
antigen46|Q2YWH4|CP000253.1|mhci|seq941	antigen46|Q2YWH4|BX571856.1|mhci|seq937
antigen46|Q2YWH4|CP000253.1|mhci|seq941	antigen46|Q2YWH4|CP002114.3|mhci|seq937
antigen46|Q2YWH4|CP000253.1|mhci|seq941	antigen46|Q2YWH4|CP000253.1|mhci|seq942
antigen46|Q2YWH4|CP000253.1|mhci|seq941	antigen46|Q2YWH4|BX571856.1|mhci|seq938
antigen46|Q2YWH4|CP000253.1|mhci|seq941	antigen46|Q2YWH4|CP002114.3|mhci|seq938
antigen46|Q2YWH4|CP000253.1|mhci|seq973	antigen46|Q2YWH4|CP000253.1|mhci|seq973
antigen46|Q2YWH4|CP000253.1|mhci|seq973	antigen46|Q2YWH4|BX571856.1|mhci|seq969
antigen46|Q2YWH4|CP000253.1|mhci|seq973	antigen46|Q2YWH4|CP002114.3|mhci|seq969
antigen46|Q2YWH4|CP000253.1|mhci|seq973	antigen46|Q2YWH4|CP000253.1|mhci|seq974
antigen46|Q2YWH4|CP000253.1|mhci|seq973	antigen46|Q2YWH4|BX571856.1|mhci|seq970
antigen46|Q2YWH4|CP000253.1|mhci|seq973	antigen46|Q2YWH4|CP002114.3|mhci|seq970
antigen46|Q2YWH4|CP000253.1|mhci|seq1005	antigen46|Q2YWH4|CP000253.1|mhci|seq1005
antigen46|Q2YWH4|CP000253.1|mhci|seq1005	antigen46|Q2YWH4|BX571856.1|mhci|seq1001
antigen46|Q2YWH4|CP000253.1|mhci|seq1005	antigen46|Q2YWH4|CP002114.3|mhci|seq1005
