Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_149|B5E6K6|Ferredoxin--NADP|WP_000080996.1|tpos:1-322,0.398,0.5,-0.5,0.398,Allergen
antigen_24|B8ZLB0|ATP|WP_000301210.1|tpos:1-292,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_42|B8ZNW6|DNA-directed|WP_000228766.1|tpos:1-1225,0.033,0.5,-0.5,0.033,Non-Allergen
antigen_3|B5E515|Bifunctional|WP_000850024.1|tpos:1-173,0.118,0.0,0.0,0.118,Non-Allergen
antigen_1|C1CI34|DNA-directed|WP_050111935.1|tpos:1-77,0.148,0.0,0.0,0.148,Non-Allergen
antigen_111|B5E677|ATP|WP_001054562.1|tpos:1-66,0.151,0.0,0.0,0.151,Non-Allergen
antigen_112|C1CEF3|Galactose-6-phosphate|WP_001216910.1|tpos:1-171,0.505,0.5,-0.5,0.505,Allergen
antigen_126|B5E4K3|UPF0758|WP_000286922.1|tpos:1-226,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_127|C1CBG2|Glycerol|WP_000076776.1|tpos:1-502,0.38,0.0,-0.5,-0.12,Non-Allergen
antigen_186|Q8DQZ7|DNA|WP_025173681.1|tpos:1-353,0.024,0.5,-0.5,0.024,Non-Allergen
antigen_189|Q8DR26|Endonuclease|WP_050148426.1|tpos:1-778,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_44|B5E714|Cell|WP_000053388.1|tpos:1-179,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_45|Q8DQS8|Cysteine--tRNA|WP_001864971.1|tpos:1-447,0.236,0.0,-0.5,-0.264,Non-Allergen
antigen_46|Q04JN6|Pyridoxal|WP_000689945.1|tpos:1-193,0.038,0.0,-0.5,-0.462,Non-Allergen
antigen_47|Q97QW0|UPF0758|WP_000286922.1|tpos:1-226,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_48|C1CIB5|Large|WP_000057240.1|tpos:1-60,0.121,0.0,-0.5,-0.379,Non-Allergen
antigen_49|C1CIA3|Small|WP_000529936.1|tpos:1-217,0.116,0.0,-0.5,-0.384,Non-Allergen
"antigen_50|Q8DPS6|1,4-alpha-glucan|WP_050199095.1|tpos:1-642",0.221,0.0,-0.5,-0.279,Non-Allergen
antigen_106|B8ZMG1|Alanine|WP_001865005.1|tpos:1-367,0.064,0.5,-0.5,0.064,Non-Allergen
antigen_107|C1CIX7|UPF0397|WP_000403162.1|tpos:1-182,0.107,0.0,-0.5,-0.393,Non-Allergen
antigen_110|C1CK48|Endoribonuclease|WP_000275156.1|tpos:1-165,0.305,0.0,-0.5,-0.195,Non-Allergen
antigen_135|Q97T09|Methionine|WP_000085677.1|tpos:1-353,0.109,0.5,-0.5,0.109,Non-Allergen
antigen_187|Q97PT5|ATP|WP_000301210.1|tpos:1-292,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_188|Q97R94|Gamma-glutamyl|WP_050199075.1|tpos:1-420,0.078,0.5,0.0,0.578,Allergen
antigen_190|Q04I44|Dihydroxy-acid|WP_000137358.1|tpos:1-567,0.387,0.0,-0.5,-0.113,Non-Allergen
antigen_51|C1CTL4|DNA-directed|WP_054385052.1|tpos:1-1203,0.053,0.5,-0.5,0.053,Non-Allergen
antigen_104|C1CSF9|Small|WP_001151785.1|tpos:1-96,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_105|Q8CYC9|Plasmin|WP_078130710.1|tpos:1-719,0.169,0.5,0.5,1.169,Allergen
antigen_108|P0A4A7|Small|WP_001142332.1|tpos:1-137,0.211,0.0,0.0,0.211,Non-Allergen
antigen_109|C1CLQ6|4-hydroxy-tetrahydrodipicolinate|WP_000027902.1|tpos:1-255,0.16,0.0,-0.5,-0.34,Non-Allergen
antigen_113|Q04IY8|N-(5'-phosphoribosyl)anthranilate|WP_001865225.1|tpos:1-199,0.584,0.0,-0.5,0.084,Non-Allergen
antigen_115|B2IS28|Putative|WP_001808830.1|tpos:1-139,0.132,0.0,-0.5,-0.368,Non-Allergen
antigen_116|Q97T34|DNA-directed|WP_050111935.1|tpos:1-77,0.148,0.0,0.0,0.148,Non-Allergen
antigen_117|Q54796|Glucan|WP_050201606.1|tpos:1-534,0.159,0.0,0.5,0.659,Allergen
antigen_122|B1I8M2|Small|WP_000090781.1|tpos:1-121,0.178,0.5,0.0,0.678,Allergen
antigen_123|C1C5V9|Polyribonucleotide|WP_001864974.1|tpos:1-737,0.109,0.5,0.0,0.609,Allergen
antigen_155|C1CRW1|Gamma-glutamyl|WP_050199075.1|tpos:1-420,0.078,0.5,0.0,0.578,Allergen
antigen_156|B2ING0|Small|WP_000268761.1|tpos:1-82,0.124,0.0,0.0,0.124,Non-Allergen
antigen_157|C1CCG7|Trigger|WP_000116465.1|tpos:1-427,0.342,0.0,-0.5,-0.158,Non-Allergen
antigen_55|B1ICA2|UPF0122|WP_000402071.1|tpos:1-110,0.203,0.0,-0.5,-0.297,Non-Allergen
antigen_56|B1I8Q1|Protein|WP_001085463.1|tpos:1-388,0.334,0.0,-0.5,-0.166,Non-Allergen
antigen_57|Q04KB1|Exodeoxyribonuclease|WP_000043230.1|tpos:1-70,0.508,0.0,-0.5,0.008,Non-Allergen
antigen_58|B2IP51|Xaa-Pro|WP_001865360.1|tpos:1-757,0.163,0.0,0.0,0.163,Non-Allergen
antigen_197|B5E3R6|D-alanyl|WP_000351967.1|tpos:1-79,0.225,0.0,0.0,0.225,Non-Allergen
antigen_198|C1C9H7|Co-chaperonin|WP_000917304.1|tpos:1-94,0.284,0.0,0.0,0.284,Non-Allergen
antigen_199|B2INH7|L-fucose|WP_001864677.1|tpos:1-588,0.1,0.0,0.0,0.1,Non-Allergen
antigen_185|P64063|GTPase|WP_050198906.1|tpos:1-436,0.113,0.5,-0.5,0.113,Non-Allergen
antigen_167|Q03727|Transport/processing|WP_000668283.1|tpos:1-717,0.045,0.0,-0.5,-0.455,Non-Allergen
antigen_61|P67506|tRNA|WP_001266083.1|tpos:1-211,0.231,0.5,-0.5,0.231,Non-Allergen
antigen_70|P65887|Adenylosuccinate|WP_000205044.1|tpos:1-428,0.127,0.0,-0.5,-0.373,Non-Allergen
antigen_79|P65537|Nucleoside|WP_000438289.1|tpos:1-137,0.197,0.0,0.5,0.697,Allergen
antigen_147|Q97PS1|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine|WP_050198894.1|tpos:1-481,0.17,0.0,0.0,0.17,Non-Allergen
antigen_148|C1CB34|Holliday|WP_001809468.1|tpos:1-332,0.038,0.0,0.0,0.038,Non-Allergen
antigen_163|C1CT54|Anthranilate|WP_000658684.1|tpos:1-334,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_164|C1CK18|Gamma-glutamyl|WP_050199075.1|tpos:1-420,0.078,0.5,0.0,0.578,Allergen
antigen_165|C1CTL2|Nucleoside|WP_000438289.1|tpos:1-137,0.197,0.0,0.5,0.697,Allergen
antigen_160|B1I8L1|Small|WP_001085703.1|tpos:1-89,0.142,0.0,-0.5,-0.358,Non-Allergen
antigen_161|Q04HT8|ATP|WP_000301210.1|tpos:1-292,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_162|C1CQY0|3-dehydroquinate|WP_000702164.1|tpos:1-355,0.311,0.0,-0.5,-0.189,Non-Allergen
antigen_143|Q8DRN4|DNA|WP_000616164.1|tpos:1-256,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_144|B8ZKX3|Small|WP_000048055.1|tpos:1-58,0.186,0.0,0.0,0.186,Non-Allergen
antigen_145|C1CL09|Carbamoyl|WP_001864723.1|tpos:1-1058,0.071,0.0,0.0,0.071,Non-Allergen
antigen_4|C1CUF5|Ribosomal|WP_000695929.1|tpos:1-159,0.093,0.0,-0.5,-0.407,Non-Allergen
antigen_63|C1CNE7|D-alanyl|WP_000351967.1|tpos:1-79,0.225,0.0,0.0,0.225,Non-Allergen
antigen_64|Q97RB5|Protein|WP_000778587.1|tpos:1-149,0.235,0.0,0.0,0.235,Non-Allergen
antigen_66|P66908|Queuine|WP_001285241.1|tpos:1-380,0.099,0.0,-0.5,-0.401,Non-Allergen
antigen_125|Q8DPR6|ATP-dependent|WP_050198982.1|tpos:1-1216,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_128|C1CC06|Large|WP_000160197.1|tpos:1-208,0.3,0.5,0.0,0.8,Allergen
antigen_129|Q04MI9|Holliday|WP_001809468.1|tpos:1-332,0.038,0.0,0.0,0.038,Non-Allergen
antigen_130|B5E6G2|Large|WP_000960946.1|tpos:1-137,0.165,0.0,-0.5,-0.335,Non-Allergen
antigen_131|C1CRT3|Endoribonuclease|WP_000275156.1|tpos:1-165,0.305,0.0,-0.5,-0.195,Non-Allergen
antigen_103|B5E2W4|Acetate|WP_001864575.1|tpos:1-396,0.135,0.0,-0.5,-0.365,Non-Allergen
antigen_59|P0A4N1|Maltodextrin|WP_000414968.1|tpos:1-430,0.059,0.0,0.0,0.059,Non-Allergen
antigen_60|C1CIY6|Probable|WP_000764654.1|tpos:1-195,0.24,0.0,0.0,0.24,Non-Allergen
antigen_141|Q04N53|tRNA(Ile)-lysidine|WP_130886891.1|tpos:1-425,0.059,0.0,-0.5,-0.441,Non-Allergen
antigen_154|C1C631|Thymidylate|WP_000158639.1|tpos:1-279,0.101,0.5,-0.5,0.101,Non-Allergen
antigen_36|C1CQX8|3-dehydroquinate|WP_000767754.1|tpos:1-225,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_37|Q97TD1|Peptidyl-tRNA|WP_000163932.1|tpos:1-189,0.214,0.0,-0.5,-0.286,Non-Allergen
antigen_38|C1CN60|Aspartate--tRNA|WP_000830869.1|tpos:1-587,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_151|C1CGP2|Nucleoside|WP_000438289.1|tpos:1-137,0.197,0.0,0.5,0.697,Allergen
antigen_84|B8ZL30|Small|WP_000075973.1|tpos:1-130,0.203,0.0,-0.5,-0.297,Non-Allergen
antigen_85|Q04KB7|Elongation|WP_001047216.1|tpos:1-607,0.16,0.5,-0.5,0.16,Non-Allergen
antigen_86|Q04IA3|Glutamate--tRNA|WP_050199084.1|tpos:1-486,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_158|B5E5S4|S-adenosylmethionine:tRNA|WP_001090154.1|tpos:1-342,0.113,0.0,-0.5,-0.387,Non-Allergen
antigen_159|C1CN42|N-acetyldiaminopimelate|WP_000885098.1|tpos:1-376,0.132,0.5,-0.5,0.132,Non-Allergen
antigen_146|C1CI85|UPF0473|WP_000017620.1|tpos:1-101,0.228,0.0,-0.5,-0.272,Non-Allergen
antigen_76|C1CLY4|D-aminoacyl-tRNA|WP_000691400.1|tpos:1-147,0.264,0.0,0.0,0.264,Non-Allergen
antigen_77|B8ZJJ5|Adenylosuccinate|WP_000205044.1|tpos:1-428,0.127,0.0,-0.5,-0.373,Non-Allergen
antigen_78|Q9EUQ7|Segregation|WP_000351907.1|tpos:1-242,0.176,0.0,-0.5,-0.324,Non-Allergen
antigen_12|C1CQY3|UPF0342|WP_000065988.1|tpos:1-112,0.33,0.0,-0.5,-0.17,Non-Allergen
"antigen_13|B1I8F3|6,7-dimethyl-8-ribityllumazine|WP_001099505.1|tpos:1-155",0.171,0.0,-0.5,-0.329,Non-Allergen
antigen_15|C1CIA9|Large|WP_000013542.1|tpos:1-180,0.146,0.0,-0.5,-0.354,Non-Allergen
antigen_17|B2IRR9|Cell|WP_000053388.1|tpos:1-179,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_18|B5E5N3|3-dehydroquinate|WP_000702164.1|tpos:1-355,0.311,0.0,-0.5,-0.189,Non-Allergen
antigen_32|C1CQI9|Hydroxyethylthiazole|WP_001155175.1|tpos:1-267,0.147,0.0,-0.5,-0.353,Non-Allergen
antigen_33|Q97SC7|DNA|WP_025173681.1|tpos:1-353,0.024,0.5,-0.5,0.024,Non-Allergen
antigen_10|B2IME4|Translation|WP_000039206.1|tpos:1-930,0.096,0.0,-0.5,-0.404,Non-Allergen
antigen_11|P21236|rRNA|WP_001038795.1|tpos:1-245,0.066,0.0,-0.5,-0.434,Non-Allergen
antigen_177|Q97QF9|Putative|WP_050198977.1|tpos:1-119,0.159,0.0,0.0,0.159,Non-Allergen
antigen_89|B2IPT6|Galactose-6-phosphate|WP_001216910.1|tpos:1-171,0.505,0.5,-0.5,0.505,Allergen
antigen_90|C1CE94|Large|WP_000916509.1|tpos:1-97,0.193,0.0,0.0,0.193,Non-Allergen
antigen_119|B8ZN60|N-(5'-phosphoribosyl)anthranilate|WP_001865225.1|tpos:1-199,0.584,0.0,-0.5,0.084,Non-Allergen
antigen_120|C1CSV9|Alanine|WP_001865005.1|tpos:1-367,0.064,0.5,-0.5,0.064,Non-Allergen
antigen_153|B1I7P5|Ribosomal|WP_001864904.1|tpos:1-316,0.292,0.0,-0.5,-0.208,Non-Allergen
antigen_196|C1CLZ8|Isoleucine--tRNA|WP_050198900.1|tpos:1-930,0.132,0.0,-0.5,-0.368,Non-Allergen
antigen_172|B5E6L9|Homoserine|WP_001864548.1|tpos:1-314,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_16|B5E4T0|Tagatose-6-phosphate|WP_001864819.1|tpos:1-309,0.26,0.0,0.0,0.26,Non-Allergen
antigen_19|B1ICB3|Large|WP_000710764.1|tpos:1-80,0.23,0.0,0.0,0.23,Non-Allergen
antigen_21|C1CL81|UPF0342|WP_000065988.1|tpos:1-112,0.33,0.0,-0.5,-0.17,Non-Allergen
antigen_22|C1CBX8|DNA|WP_001864523.1|tpos:1-649,0.025,0.0,-0.5,-0.475,Non-Allergen
antigen_68|B8ZKF8|Large|WP_000024543.1|tpos:1-207,0.232,0.0,-0.5,-0.268,Non-Allergen
antigen_52|Q8CWR9|Small|WP_001001623.1|tpos:1-400,0.136,0.0,0.0,0.136,Non-Allergen
antigen_53|C1CGA0|Segregation|WP_000351907.1|tpos:1-242,0.176,0.0,-0.5,-0.324,Non-Allergen
antigen_54|Q8DRH8|tRNA|WP_000220955.1|tpos:1-637,0.052,0.5,0.0,0.552,Allergen
antigen_6|C1CQV3|UPF0223|WP_001041974.1|tpos:1-92,0.325,0.0,0.0,0.325,Allergen
antigen_7|B5E216|Regulatory|WP_001864083.1|tpos:1-258,0.192,0.0,-0.5,-0.308,Non-Allergen
antigen_8|Q8CWR2|tRNA|WP_001013256.1|tpos:1-292,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_139|C1CSS4|Isoleucine--tRNA|WP_050198900.1|tpos:1-930,0.132,0.0,-0.5,-0.368,Non-Allergen
antigen_87|B1I9J5|Trigger|WP_000116465.1|tpos:1-427,0.342,0.0,-0.5,-0.158,Non-Allergen
antigen_88|Q04KI2|Large|WP_000916509.1|tpos:1-97,0.193,0.0,0.0,0.193,Non-Allergen
antigen_43|Q04ML5|Adenylate|WP_001864509.1|tpos:1-212,0.173,0.0,-0.5,-0.327,Non-Allergen
antigen_25|C1CFJ7|Small|WP_001018251.1|tpos:1-89,0.107,0.0,-0.5,-0.393,Non-Allergen
antigen_26|C1CP88|Large|WP_000160197.1|tpos:1-208,0.3,0.5,0.0,0.8,Allergen
antigen_142|C1CKT9|Galactose-6-phosphate|WP_001018895.1|tpos:1-141,0.336,0.0,-0.5,-0.164,Non-Allergen
antigen_152|Q8DRD2|UPF0210|WP_000354917.1|tpos:1-445,0.323,0.5,-0.5,0.323,Allergen
antigen_41|Q97PN7|Nucleotide-binding|WP_000163031.1|tpos:1-296,0.055,0.0,-0.5,-0.445,Non-Allergen
antigen_114|B8ZKX1|Phosphatidylglycerol--prolipoprotein|WP_000886663.1|tpos:1-261,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_171|Q04IT1|Tyrosine|WP_001843562.1|tpos:1-244,0.079,0.0,-0.5,-0.421,Non-Allergen
antigen_173|C1CC33|Large|WP_000331493.1|tpos:1-128,0.097,0.0,-0.5,-0.403,Non-Allergen
antigen_174|B8ZLK0|Aspartyl/glutamyl-tRNA(Asn/Gln)|WP_001008652.1|tpos:1-480,0.154,0.0,-0.5,-0.346,Non-Allergen
antigen_118|Q97S36|Phenylalanine--tRNA|WP_001813261.1|tpos:1-348,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_176|C1C7X6|3-dehydroquinate|WP_000702164.1|tpos:1-355,0.311,0.0,-0.5,-0.189,Non-Allergen
antigen_121|B2IS93|tRNA(Met)|WP_001864735.1|tpos:1-365,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_124|Q97PL0|tRNA|WP_001864554.1|tpos:1-249,0.142,0.0,-0.5,-0.358,Non-Allergen
antigen_191|C1C9E8|UPF0154|WP_000364990.1|tpos:1-82,0.14,0.0,0.0,0.14,Non-Allergen
antigen_192|C1CTP8|Large|WP_000831905.1|tpos:1-44,0.137,0.0,0.0,0.137,Non-Allergen
antigen_193|Q97Q19|Phosphatidylglycerol--prolipoprotein|WP_000886663.1|tpos:1-262,0.086,0.0,-0.5,-0.414,Non-Allergen
antigen_194|B8ZKG0|Large|WP_000512911.1|tpos:1-277,0.232,0.0,-0.5,-0.268,Non-Allergen
antigen_195|C1CN66|Chromosomal|WP_000660615.1|tpos:1-453,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_82|A0A0H2ZQB9|Ergothioneine|WP_001864868.1|tpos:1-506,0.128,0.5,-0.5,0.128,Non-Allergen
antigen_83|B1ICM9|GMP|WP_000065723.1|tpos:1-520,0.148,0.0,-0.5,-0.352,Non-Allergen
"antigen_91|B8ZPL9|2,3,4,5-tetrahydropyridine-2,6-dicarboxylate|WP_000127466.1|tpos:1-232",0.294,0.0,-0.5,-0.206,Non-Allergen
antigen_92|Q04M45|Transcription|WP_000203663.1|tpos:1-140,0.087,0.0,-0.5,-0.413,Non-Allergen
antigen_93|B2ISI0|Leucine--tRNA|WP_050198916.1|tpos:1-833,0.205,0.0,-0.5,-0.295,Non-Allergen
antigen_69|C1CEN2|Bifunctional|WP_000850024.1|tpos:1-173,0.118,0.0,0.0,0.118,Non-Allergen
antigen_14|C1CTD1|Regulatory|WP_001864083.1|tpos:1-258,0.192,0.0,-0.5,-0.308,Non-Allergen
antigen_27|Q04J70|Protein|WP_001274093.1|tpos:1-837,0.051,0.5,-0.5,0.051,Non-Allergen
antigen_140|P0A2Y7|Chorismate|WP_001865056.1|tpos:1-388,0.059,0.0,-0.5,-0.441,Non-Allergen
"antigen_181|B2IS11|6,7-dimethyl-8-ribityllumazine|WP_001099505.1|tpos:1-155",0.171,0.0,-0.5,-0.329,Non-Allergen
antigen_184|B5E6G7|Large|WP_000013542.1|tpos:1-180,0.146,0.0,-0.5,-0.354,Non-Allergen
antigen_20|C1CMI3|Putative|WP_000821640.1|tpos:1-80,0.21,0.0,-0.5,-0.29,Non-Allergen
antigen_71|C1CDC3|Small|WP_000268761.1|tpos:1-90,0.058,0.0,0.0,0.058,Non-Allergen
antigen_72|B5E699|Probable|WP_000036043.1|tpos:1-311,0.234,0.0,-0.5,-0.266,Non-Allergen
antigen_73|Q04J98|D-alanine--D-alanine|WP_000814629.1|tpos:1-347,0.134,0.5,-0.5,0.134,Non-Allergen
antigen_74|C1CI98|Large|WP_000024543.1|tpos:1-207,0.232,0.0,-0.5,-0.268,Non-Allergen
antigen_75|P22976|Probable|WP_001864578.1|tpos:1-658,0.297,0.5,-0.5,0.297,Non-Allergen
