Gene,Description
pfk,"6-phosphofructokinase"
pgi,"glucose-6-phosphate isomerase A"
phdB,"pyruvate dehydrogenase E1 component beta subunit"
pheS,"Phe-tRNA synthetase alpha chain"
pheT,"Phe-tRNA synthetase beta chain"
polC,"DNA polymerase III, alpha chain PolC-type"
prfA,"peptide chain release factor 1"
pta,"phosphotransacetylase"
ptsH,"phosphocarrier protein HPR"
ptsI,"phosphoenolpyruvate-protein phosphatase"
pykA,"pyruvate kinase"
pyrC,"dihydroorotase"
rplA,"50S ribosomal protein L1"
rplB,"50S ribosomal protein L2"
rplC,"50S ribosomal protein L3"
rplD,"50S ribosomal protein L4"
rplE,"50S ribosomal protein L5"
rplF,"50S ribosomal protein L6"
rplI,"50S ribosomal protein L9"
rplJ,"50S ribosomal protein L10"
rplK,"50S ribosomal protein L11"
rplL,"50S ribosomal protein L7/L12"
rplM,"50S ribosomal protein L13"
rplN,"50S ribosomal protein L14"
rplO,"50S ribosomal protein L15"
rplP,"50S ribosomal protein L16"
rplQ,"50S ribosomal protein L17"
rplR,"50S ribosomal protein L18"
rplS,"50S ribosomal protein L19"
rplT,"50S ribosomal protein L20"
rplU,"50S ribosomal protein L21"
rplV,"50S ribosomal protein L22"
rplW,"50S ribosomal protein L23"
rplX,"50S ribosomal protein L24"
rpmH,"50S ribosomal protein L34"
rpmJ,"50S ribosomal protein L36"
rpoA,"DNA-directed RNA polymerase alpha chain"
rpoC,"RNA polymerase beta-prime chain"
rpsB,"30S ribosomal protein S2"
rpsC,"30S ribosomal protein S3"
rpsD,"30S ribosomal protein S4"
rpsE,"30S ribosomal protein S5"
rpsG,"30S ribosomal protein S7"
rpsH,"30S ribosomal protein S8"
rpsI,"30S ribosomal protein S9"
rpsJ,"30S ribosomal protein S10"
rpsK,"30S ribosomal protein S11"
rpsL,"30S ribosomal protein S12"
rpsM,"30S ribosomal protein S13"
rpsN,"30S ribosomal protein S14"
rpsP,"30S ribosomal protein S16"
rpsQ,"30S ribosomal protein S17"
rpsR,"30S ribosomal protein S18"
rpsS,"30S ribosomal protein S19"
SA0272,"similar to transmembrane protein Tmp7"
SA0351,"hypothetical protein, similar to GTP-binding protein"
SA0437,"conserved hypothetical protein"
SA0447,"conserved hypothetical protein"
SA0449,"conserved hypothetical protein"
SA0464,"conserved hypothetical protein"
SA0467,"conserved hypothetical protein"
SA0675,"similar to ABC transporter ATP-binding protein"
SA0722,"conserved hypothetical protein"
SA0732,"hypothetical protein"
SA0772,"conserved hypothetical protein"
SA0774,"ABC transporter ATP-binding protein homologue"
SA0940,"conserved hypothetical protein"
SA0959,"GTP-binding elongation factor"
SA1031,"conserved hypothetical protein"
SA1063,"protein kinase"
SA1078,"signal recognition particle"
SA1086,"conserved hypothetical protein"
SA1100,"homolog elongation factor TS"
SA1118,"conserved hypothetical protein"
SA1187,"conserved hypothetical protein"
SA1252,"conserved hypothetical protein"
SA1307,"hypothetical protein, similar to GTP binding protein"
SA1349,"dihydrolipoamide dehydrogenase"
SA1445,"conserved hypothetical protein"
SA1449,"(5-methylaminomethyl-2-thiouridylate)-methyltransferase"
SA1523,"acetyl-CoA carboxylase transferase beta subunit"
SA1563,"phenylalanyl-tRNA synthetase (beta subunit) homolog"
SA1715,"glutamyl-tRNAGln amidotransferase subunit B"
SA1716,"glutamyl-tRNAGln amidotransferase subunit A"
SA1747,"similar to ABC transporter, ATP-binding protein"
SA1854,"similar to O-sialoglycoprotein"
SA1885,"hypothetical protein, similar to ATP-dependent RNA helicase"
SA1939,"deoxyribose-phosphate aldolase"
SA1957,"conserved hypothetical protein"
SA1966,"conserved hypothetical protein"
SA2279,"hypothetical protein, similar to phosphomannomutase"
SA2434,"fructose phosphotransferase system enzyme fruA homolog"
SA2442,"preprotein translocase SecA homolog"
SA5049,"hypothetical protein"
secA,"preprotein translocase subunit"
secY,"preprotein translocase SecY subunit"
smc,"chromosome segregation SMC protein"
ssrP,"ssrA-binding protein"
tdk,"thymidine kinase"
thrS,"threonyl-tRNA synthetase 1"
tkt,"transketolase"
trmD,"tRNA"
trpS,"tryptophanyl-tRNA synthetase"
tufA,"translational elongation factor TU"
tyrS,"tyrosyl-tRNA synthetase"
upp,"uracil phosphoribosyl transferase"
uvrA,"exinuclease ABC subunit A"
valS,"valine-tRNA ligase"
vraD,"hypothetical protein, similar to ABC transporter"
vraS,"two-component sensor histidine kinase"
SAOUHSC_00001,"chromosomal replication initiator protein DnaA"
SAOUHSC_00002,"DNA polymerase III, beta subunit"
SAOUHSC_00018,"replicative DNA helicase"
SAOUHSC_00349,"bacteriophage L54a, single-stranded DNA binding protein"
SAOUHSC_00442,"DNA polymerase III, gamma and tau subunits, putative"
SAOUHSC_00454,"DNA polymerase III, delta prime subunit, putative"
SAOUHSC_01179,"primosomal protein N"
SAOUHSC_01241,"DNA polymerase III, alpha subunit, Gram-positive type"
SAOUHSC_01470,"conserved hypothetical protein"
SAOUHSC_01663,"DNA primase, putative"
SAOUHSC_01690,"conserved hypothetical protein"
SAOUHSC_01791,"conserved hypothetical protein"
SAOUHSC_01792,"conserved hypothetical protein"
SAOUHSC_01811,"DNA polymerase III, alpha subunit superfamily"
SAOUHSC_02122,"DNA ligase, NAD-dependent"
SAOUHSC_02123,"ATP-dependent DNA helicase PcrA"
SAOUHSC_00005,"DNA gyrase, B subunit"
SAOUHSC_00006,"DNA gyrase, A subunit"
SAOUHSC_01222,"DNA topoisomerase I"
SAOUHSC_01351,"DNA topoisomerase IV, B subunit"
SAOUHSC_01352,"DNA topoisomerase IV, A subunit"
SAOUHSC_01490,"DNA-binding protein HU, putative"
SAOUHSC_01750,"Holliday junction DNA helicase RuvB"
SAOUHSC_01751,"Holliday junction DNA helicase RuvA"
SAOUHSC_01466,"conserved hypothetical protein"
SAOUHSC_01720,"conserved hypothetical protein"
SAOUHSC_02791,"pyrophosphohydrolase, putative"
SAOUHSC_00524,"RNA polymerase beta chain, putative"
SAOUHSC_00525,"DNA directed RNA polymerase beta-prime chain, putative"
SAOUHSC_01662,"RNA polymerase sigma factor, putative"
SAOUHSC_02485,"DNA-directed RNA polymerase alpha chain, putative"
SAOUHSC_01035,"conserved hypothetical protein"
SAOUHSC_01209,"conserved hypothetical protein"
SAOUHSC_01210,"tRNA (guanine-N1)-methyltransferase"
SAOUHSC_01252,"conserved hypothetical protein"
SAOUHSC_01474,"conserved hypothetical protein"
SAOUHSC_01598,"AtsA/ElaC family protein"
SAOUHSC_01725,"tRNA methyl transferase, putative"
SAOUHSC_01726,"(5-methylaminomethyl-2-thiouridylate)- methyltransferase"
SAOUHSC_03053,"tRNA modification GTPase TrmE"
SAOUHSC_03054,"ribonuclease P protein component"
SAOUHSC_00020,"two-component response regulator, putative"
SAOUHSC_00021,"sensory box histidine kinase VicK, putative"
SAOUHSC_01243,"transcription termination-antitermination factor, putative"
SAOUHSC_01592,"transcriptional regulator, Fur, putative"
SAOUHSC_00620,"staphylococcal accessory regulator T, putative"
SAOUHSC_00803,"ribonuclease R, putative"
SAOUHSC_00934,"conserved hypothetical protein"
SAOUHSC_01285,"conserved hypothetical protein"
SAOUHSC_01361,"transcriptional regulator, putative"
SAOUHSC_01333,"LexA repressor"
SAOUHSC_01714,"transcription elongation factor GreA"
SAOUHSC_00348,"ribosomal protein S6"
SAOUHSC_00350,"ribosomal protein S18"
SAOUHSC_00518,"ribosomal protein L11"
SAOUHSC_00519,"ribosomal protein L1"
SAOUHSC_00520,"ribosomal protein L10"
SAOUHSC_00521,"ribosomal protein L7/L12"
SAOUHSC_00527,"ribosomal protein S12"
SAOUHSC_00528,"ribosomal protein S7"
SAOUHSC_01078,"ribosomal protein L32"
SAOUHSC_01191,"ribosomal protein L28"
SAOUHSC_01208,"ribosomal protein S16"
SAOUHSC_01211,"ribosomal protein L19"
SAOUHSC_01232,"ribosomal protein S2"
SAOUHSC_01250,"ribosomal protein S15"
SAOUHSC_01678,"ribosomal protein S21"
SAOUHSC_01755,"ribosomal protein L27"
SAOUHSC_01757,"ribosomal protein L21"
SAOUHSC_01784,"ribosomal protein L20"
SAOUHSC_01785,"ribosomal protein L35"
SAOUHSC_01829,"ribosomal protein S4"
SAOUHSC_02361,"ribosomal protein L31"
SAOUHSC_02477,"ribosomal protein S9, putative"
SAOUHSC_02478,"ribosomal protein L13"
SAOUHSC_02484,"ribosomal protein L17"
SAOUHSC_02486,"ribosomal protein S11, putative"
SAOUHSC_02487,"conserved hypothetical protein"
SAOUHSC_02488,"ribosomal protein L36"
SAOUHSC_02492,"ribosomal protein L15"
SAOUHSC_02493,"ribosomal protein L30"
SAOUHSC_02494,"ribosomal protein S5"
SAOUHSC_02495,"ribosomal protein L18"
SAOUHSC_02496,"ribosomal protein L6, putative"
SAOUHSC_02498,"ribosomal protein S8, putative"
SAOUHSC_02499,"ribosomal protein S14p/S29e, putative"
SAOUHSC_02500,"50S ribosomal protein L5, putative"
SAOUHSC_02501,"ribosomal protein L24"
SAOUHSC_02502,"ribosomal protein L14"
SAOUHSC_02503,"30S ribosomal protein S17, putative"
SAOUHSC_02504,"ribosomal protein L29"
SAOUHSC_02505,"ribosomal protein L16"
SAOUHSC_02506,"ribosomal protein S3"
SAOUHSC_02507,"ribosomal protein L22"
SAOUHSC_02508,"ribosomal protein S19"
SAOUHSC_02509,"ribosomal protein L2"
SAOUHSC_02510,"ribosomal protein L23, putative"
SAOUHSC_02511,"conserved hypothetical protein"
SAOUHSC_02512,"ribosomal protein L3, putative"
SAOUHSC_03055,"ribosomal protein L34"
SAOUHSC_00474,"ribosomal 5S rRNA E-loop binding protein Ctc/L25/TL5"
SAOUHSC_00009,"seryl-tRNA synthetase"
SAOUHSC_00461,"methionyl-tRNA synthetase, putative"
SAOUHSC_00493,"lysyl-tRNA synthetase"
SAOUHSC_00509,"glutamyl-tRNA synthetase"
SAOUHSC_00511,"cysteinyl-tRNA synthetase"
SAOUHSC_00611,"arginyl-tRNA synthetase"
SAOUHSC_00933,"tryptophanyl-tRNA synthetase"
SAOUHSC_01092,"phenylalanyl-tRNA synthetase, alpha subunit"
SAOUHSC_01093,"phenylalanyl-tRNA synthetase, beta subunit"
SAOUHSC_01159,"isoleucyl-tRNA synthetase"
SAOUHSC_01240,"prolyl-tRNA synthetase"
SAOUHSC_01722,"alanyl-tRNA synthetase"
SAOUHSC_01737,"aspartyl-tRNA synthetase"
SAOUHSC_01738,"histidyl-tRNA synthetase"
SAOUHSC_01767,"valyl-tRNA synthetase"
SAOUHSC_01788,"threonyl-tRNA synthetase"
SAOUHSC_01839,"tyrosyl-tRNA synthetase"
SAOUHSC_01875,"leucyl-tRNA synthetase"
SAOUHSC_02116,"glutamyl-tRNA(Gln) amidotransferase, B subunit"
SAOUHSC_02117,"glutamyl-tRNA(Gln) amidotransferase, A subunit"
SAOUHSC_02118,"glutamyl-tRNA(Gln) amidotransferase, C subunit"
SAOUHSC_00484,"conserved hypothetical protein"
SAOUHSC_00475,"peptidyl-tRNA hydrolase"
SAOUHSC_00530,"translation elongation factor Tu"
SAOUHSC_01234,"translation elongation factor Ts"
SAOUHSC_01236,"ribosome recycling factor"
SAOUHSC_01246,"translation initiation factor IF-2"
SAOUHSC_01625,"translation elongation factor P"
SAOUHSC_01741,"D-tyrosyl-tRNA(Tyr) deacylase"
SAOUHSC_01786,"translation initiation factor IF-3"
SAOUHSC_02359,"peptide chain release factor 1"
SAOUHSC_02489,"translation initiation factor IF-1"
SAOUHSC_01682,"DnaJ protein"
SAOUHSC_01683,"DNAk protein, putative"
SAOUHSC_01684,"co-chaperone GrpE"
SAOUHSC_02254,"chaperonin, 60 kDa, GroEL, putative"
SAOUHSC_02255,"chaperonin, 10 kDa, GroES, putative"
SAOUHSC_02102,"methionine aminopeptidase, type I"
SAOUHSC_01038,"polypeptide deformylase"
SAOUHSC_00516,"preprotein translocase SecE subunit"
SAOUHSC_00769,"preprotein translocase, SecA subunit"
SAOUHSC_00903,"Signal peptidase IB, putative"
SAOUHSC_01207,"signal recognition particle protein"
SAOUHSC_01746,"protein-export membrane protein SecDF"
SAOUHSC_02327,"conserved hypothetical protein"
SAOUHSC_00920,"conserved hypothetical protein"
SAOUHSC_00921,"3-oxoacyl- synthase, putative"
SAOUHSC_00947,"enoyl-(acyl-carrier-protein) reductase"
SAOUHSC_01197,"fatty acid/phospholipid synthesis protein PlsX"
SAOUHSC_01198,"malonyl CoA-acyl carrier protein transacylase"
SAOUHSC_01201,"acyl carrier protein"
SAOUHSC_01473,"BirA bifunctional protein, putative"
SAOUHSC_01808,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit"
SAOUHSC_01809,"acetyl-CoA carboxylase, carboxyl transferase, beta subunit"
SAOUHSC_02306,"holo-(acyl-carrier-protein) synthase"
SAOUHSC_02336,"beta-hydroxyacyl-ACP dehydratase, putative"
SAOUHSC_00881,"conserved hypothetical protein"
SAOUHSC_01238,"conserved hypothetical protein"
SAOUHSC_01260,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"
SAOUHSC_01837,"1-acyl-sn-glycerol-3-phosphate acyltransferases domain protein"
SAOUHSC_02114,"conserved hypothetical protein"
SAOUHSC_00471,"UDP-N-acetylglucosamine pyrophosphorylase"
SAOUHSC_02399,"glucosamine--fructose-6-phosphate aminotransferase, isomerizing"
SAOUHSC_02405,"phosphoglucosamine mutase"
SAOUHSC_00752,"UDP-N-acetylenolpyruvoylglucosamine reductase, putative"
SAOUHSC_00954,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase"
SAOUHSC_01106,"glutamate racemase"
SAOUHSC_01146,"phospho-N-acetylmuramoyl-pentapeptide- transferase"
SAOUHSC_01147,"UDP-N-acetylmuramoylalanine--D-glutamate ligase"
SAOUHSC_01237,"undecaprenyl diphosphate synthase"
SAOUHSC_01424,"UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase"
SAOUHSC_01467,"penicillin-binding protein 2"
SAOUHSC_01739,"conserved hypothetical protein"
SAOUHSC_01856,"UDP-N-acetylmuramate--alanine ligase"
SAOUHSC_02107,"UDP-N-acetylmuramyl tripeptide synthetase, putative"
SAOUHSC_02317,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase"
SAOUHSC_02318,"D-alanine--D-alanine ligase"
SAOUHSC_02337,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
SAOUHSC_02527,"FmhB protein, putative"
SAOUHSC_01373,"methicillin resistance factor, FemA, putative"
SAOUHSC_01374,"methicillin resistance factor, putative"
SAOUHSC_00223,"teichoic acid biosynthesis protein F, putative"
SAOUHSC_00227,"conserved hypothetical protein"
SAOUHSC_00640,"conserved hypothetical protein"
SAOUHSC_00641,"teichoic acid translocation ATP-binding protein, putative"
SAOUHSC_00642,"teichoic acid biosynthesis protein, putative"
SAOUHSC_00643,"tagB protein, putative"
SAOUHSC_00645,"glycerol-3-phosphate cytidylyltransferase"
SAOUHSC_00762,"conserved hypothetical protein"
SAOUHSC_00869,"D-alanine-activating enzyme"
SAOUHSC_00870,"dltB protein, putative"
SAOUHSC_00871,"D-alanyl carrier protein"
SAOUHSC_00872,"extramembranal protein"
SAOUHSC_00482,"conserved hypothetical protein"
SAOUHSC_01144,"conserved hypothetical protein"
SAOUHSC_01154,"conserved hypothetical protein"
SAOUHSC_01149,"cell division protein, putative"
SAOUHSC_01150,"cell division protein FtsZ"
SAOUHSC_01827,"conserved hypothetical protein"
SAOUHSC_03049,"conserved hypothetical protein"
SAOUHSC_01148,"cell division protein, putative"
SAOUHSC_01462,"conserved hypothetical protein"
SAOUHSC_01063,"conserved hypothetical protein"
SAOUHSC_01145,"penicillin-binding protein 1"
SAOUHSC_03052,"glucose inhibited division protein A, putative"
SAOUHSC_00998,"fmt protein, putative"
SAOUHSC_01359,"conserved hypothetical protein"
SAOUHSC_01501,"elastin binding protein"
SAOUHSC_00472,"ribose-phosphate pyrophosphokinase, putative"
SAOUHSC_00796,"phosphoglycerate kinase, putative"
SAOUHSC_00797,"triosephosphate isomerase"
SAOUHSC_00798,"phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent"
SAOUHSC_00799,"enolase"
SAOUHSC_00900,"glucose-6-phosphate isomerase"
SAOUHSC_01337,"transketolase"
SAOUHSC_01806,"pyruvate kinase"
SAOUHSC_01807,"6-phosphofructokinase, putative"
SAOUHSC_02366,"conserved hypothetical protein"
SAOUHSC_00795,"glyceraldehyde-3-phosphate dehydrogenase, type I"
SAOUHSC_01189,"ribulose-phosphate 3-epimerase"
SAOUHSC_01599,"glucose-6-phosphate 1-dehydrogenase"
SAOUHSC_01605,"6-phosphogluconate dehydrogenase, decarboxylating"
SAOUHSC_02612,"ribose 5-phosphate isomerase, putative"
SAOUHSC_01216,"succinyl-CoA synthetase, beta subunit, putative"
SAOUHSC_01287,"glutamine synthetase, type I"
SAOUHSC_00788,"conserved hypothetical protein"
SAOUHSC_00781,"HPr(Ser) kinase/phosphatase"
SAOUHSC_01028,"phosphocarrier protein hpr, putative"
SAOUHSC_00225,"conserved hypothetical protein"
SAOUHSC_00336,"acetyl-CoA acetyltransferase, putative"
SAOUHSC_00577,"mevalonate kinase, putative"
SAOUHSC_00578,"diphosphomevalonate decarboxylase"
SAOUHSC_00579,"phosphomevalonate kinase"
SAOUHSC_02623,"conserved hypothetical protein"
SAOUHSC_02859,"hydroxymethylglutaryl-CoA reductase, degradative"
SAOUHSC_02860,"HMG-CoA synthase, putative"
SAOUHSC_00980,"conserved hypothetical protein"
SAOUHSC_00785,"thioredoxin reductase"
SAOUHSC_01100,"thioredoxin"
SAOUHSC_00375,"GMP synthase, putative"
SAOUHSC_01176,"guanylate kinase"
SAOUHSC_02490,"adenylate kinase, putative"
SAOUHSC_01742,"GTP pyrophosphokinase"
SAOUHSC_00741,"ribonucleoside-diphosphate reductase 2, putative"
SAOUHSC_00742,"ribonucleotide-diphosphate reductase alpha chain, putative"
SAOUHSC_00743,"ribonucleotide-disphosphate reductase beta chain, putative"
SAOUHSC_00451,"thymidylate kinase"
SAOUHSC_01235,"uridylate kinase, putative"
SAOUHSC_01435,"thymidylate synthase, putative"
SAOUHSC_01496,"cytidylate kinase"
SAOUHSC_02368,"CTP synthase"
SAOUHSC_00574,"phosphate acetyltransferase"
SAOUHSC_01075,"pantetheine-phosphate adenylyltransferase"
SAOUHSC_01178,"phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase"
SAOUHSC_01795,"dephospho-CoA kinase"
SAOUHSC_02371,"conserved hypothetical protein"
SAOUHSC_00490,"dihydroneopterin aldolase"
SAOUHSC_00549,"conserved hypothetical protein"
SAOUHSC_01434,"dihydrofolate reductase"
SAOUHSC_01766,"folylpolyglutamate synthase/dihydrofolate synthase, putative"
SAOUHSC_00491,"2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase"
SAOUHSC_00489,"dihydropteroate synthase"
SAOUHSC_00943,"ATP-NAD kinase, putative"
SAOUHSC_01697,"nicotinate (nicotinamide) nucleotide adenylyltransferase"
SAOUHSC_02132,"NAD+ synthetase"
SAOUHSC_02133,"nicotinate phosphoribosyltransferase, putative"
SAOUHSC_01909,"S-adenosylmethionine synthetase"
SAOUHSC_00847,"ABC transporter, ATP-binding protein, putative"
SAOUHSC_00848,"conserved hypothetical protein"
SAOUHSC_00849,"aminotransferase, class V superfamily, putative"
SAOUHSC_00850,"conserved hypothetical protein"
SAOUHSC_00851,"conserved hypothetical protein"
SAOUHSC_01727,"conserved hypothetical protein"
SAOUHSC_01504,"ferredoxin, putative"
SAOUHSC_01249,"riboflavin biosynthesis protein RibF"
SAOUHSC_01787,"conserved hypothetical protein"
SAOUHSC_01214,"conserved hypothetical protein"
SAOUHSC_01668,"GTP-binding protein Era"
SAOUHSC_01753,"GTP-binding protein"
SAOUHSC_01777,"GTP-binding protein"
SAOUHSC_01700,"conserved hypothetical protein"
SAOUHSC_01492,"conserved hypothetical protein"
SAOUHSC_00510,"serine acetyltransferase, putative"
SAOUHSC_02140,"conserved hypothetical protein"
SAOUHSC_01040,"pyruvate dehydrogenase complex, E1 component, alpha subunit, putative"
SAOUHSC_02277,"O-sialoglycoprotein endopeptidase, putative"
SAOUHSC_00015,"conserved hypothetical protein"
SAOUHSC_00226,"conserved hypothetical protein"
SAOUHSC_00728,"conserved hypothetical protein"
SAOUHSC_00760,"conserved hypothetical protein"
SAOUHSC_A01041,"hypothetical protein"
SAOUHSC_01188,"conserved hypothetical protein"
SAOUHSC_01350,"conserved hypothetical protein"
SAOUHSC_01477,"conserved hypothetical protein"
SAOUHSC_01661,"conserved hypothetical protein"
SAOUHSC_01701,"conserved hypothetical protein"
SAOUHSC_01782,"conserved hypothetical protein"
SAOUHSC_01871,"polysaccharide biosynthesis protein, putative"
SAOUHSC_01908,"conserved hypothetical protein"
SAOUHSC_01979,"conserved hypothetical protein"
SAOUHSC_02106,"conserved hypothetical protein"
SAOUHSC_02151,"conserved hypothetical protein"
SAOUHSC_02152,"ABC transporter, ATP-binding protein, putative"
SAOUHSC_02279,"conserved hypothetical protein"
SAOUHSC_02280,"conserved hypothetical protein"
SAOUHSC_02357,"conserved hypothetical protein"
SAOUHSC_02407,"conserved hypothetical protein"
SAOUHSC_02571,"secretory antigen precursor, putative"
SAOUHSC_00003,"conserved hypothetical protein"
SAOUHSC_00444,"conserved hypothetical protein"
SAOUHSC_00575,"conserved hypothetical protein"
SAOUHSC_00793,"conserved hypothetical protein"
SAOUHSC_00868,"conserved hypothetical protein"
SAOUHSC_00892,"conserved hypothetical protein"
SAOUHSC_00922,"conserved hypothetical protein"
SAOUHSC_00957,"conserved hypothetical protein"
SAOUHSC_01036,"conserved hypothetical protein"
SAOUHSC_01050,"conserved hypothetical protein"
SAOUHSC_01077,"conserved hypothetical protein"
SAOUHSC_01119,"conserved hypothetical protein"
SAOUHSC_01190,"conserved hypothetical protein"
SAOUHSC_01244,"conserved hypothetical protein"
SAOUHSC_01245,"conserved hypothetical protein"
SAOUHSC_01627,"conserved hypothetical protein"
SAOUHSC_01672,"conserved hypothetical protein"
SAOUHSC_01721,"conserved hypothetical protein"
SAOUHSC_01756,"conserved hypothetical protein"
SAOUHSC_01770,"conserved hypothetical protein"
SAOUHSC_01866,"conserved hypothetical protein"
SAOUHSC_01928,"transposase family protein, putative"
SAOUHSC_01930,"conserved hypothetical protein"
SAOUHSC_02757,"conserved hypothetical protein"
SAOUHSC_02805,"conserved hypothetical protein"
SAOUHSC_00345,"conserved hypothetical protein"
SAOUHSC_01362,"4-oxalocrotonate tautomerase, putative"
SAOUHSC_02260,"delta-hemolysin precursor"
SAOUHSC_02572,"conserved hypothetical protein"
SAOUHSC_02575,"conserved hypothetical protein"
SAOUHSC_02720,"conserved hypothetical protein"
dnaA,
dnaN,
dnaC,
ssb,
dnaX,
holB,
priA,
polC,
MW1343,
dnaG,
MW1538,
dnaI,
dnaB,
dnaE,
lig,
pcrA,
gyrB,
gyrA,
MW1133,
parE,
parC,
hu,
ruvB,
ruvA,
recU,
MW1566,
MW2410,
rpoB,
rpoC,
sigA,
rpoA,
MW0972,
rimM,
trmD,
MW1158,
MW1347,
MW1458,
MW1571,
MW1571,
thdF,
rnpA,
vicR,
vicK,
nusA,
MW1452,
sarA,
rnr,
MW0879,
glnR,
msrR,
lexA,
greA,
rpsF,
rpsR,
rplK,
rplA,
rplJ,
rplL,
rpsL,
rpsG,
rpmF,
rpmB,
rpsP,
rplS,
rpsB,
rpsO,
rpsU,
rpmA,
rplU,
rplT,
rpmI,
rpsD,
rpmE,
rpsI,
rplM,
rplQ,
rpsK,
rpsM,
rpmJ,
rplO,
rpmD,
rpsE,
rplR,
rplF,
rpsH,
rpsN,
rplE,
rplX,
rplN,
rpsQ,
rpmC,
rplP,
rpsC,
rplV,
rpsS,
rplB,
rplW,
rplD,
rplC,
rpmH,
rplY,
serS,
metS,
lysS,
gltX,
cysS,
argS,
trpS,
pheS,
pheT,
ileS,
proS,
alaS,
aspS,
hisS,
valS,
thrS,
tyrS,
leuS,
MW1840,
MW1841,
MW1842,
MW0464,
pth,
tufA,
MW1140,
frr,
infB,
MW1481,
MW1583,
infC,
prfA,
infA,
dnaJ,
dnaK,
grpE,
groEL,
groES,
map,
pdf1,
secE,
secA,
spsB,
ffh,
secF,
MW2013,
FabH,
fab,
fabI,
plsX,
fabD,
hmrB,
MW1346,
accA,
MW1644,
dpj,
MW2023,
MW0826,
cdsA,
pgsA,
MW1669,
MW1839,
gcaD,
glmS,
glmM,
MW0700,
murE,
murI,
mraY,
murD,
uppS,
murG,
pbp2,
MW1582,
murC,
MW1833,
murF,
ddlA,
murA,
fmhB,
femA,
femB,
MW0230,
MW0233,
tagA,
tagH,
tagG,
tagB,
tagD,
llm,
dltA,
dltB,
dltC,
dltD,
MW0462,
ftsL,
MW1072,
ftsA,
ftsZ,
MW1660,
MW2627,
div1b,
MW1335,
MW0996,
pbpA,
gidA,
fmt,
fmtC,
ebpS,
prs,
pgk,
tpi,
pgm,
eno,
pgi,
tkt,
pykA,
pfk,
fbaA,
gap,
cfxE,
MW1459,
gnd,
MW2256,
sucC,
glnA,
MW0728,
hprK,
ptsH,
MW0231,
MW0330,
mvaK1,
mvaD,
mvaK2,
fni,
