,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_12|O83737|Methionyl-tRNA|WP_010882201.1|tpos:1-319,Cytoplasmic,0.0000,0.0008,0.9910,0.0007,0.0072,0.0003
20,antigen_66|O83714|Bifunctional|WP_010882177.1|tpos:1-315,Cytoplasmic,0.0000,0.0253,0.9713,0.0028,0.0004,0.0002
21,antigen_68|O83425|Protein|WP_010881858.1|tpos:1-583,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9966,0.0034,0.0000
22,antigen_20|O83640|Tryptophan--tRNA|WP_010882078.1|tpos:1-337,Cytoplasmic,0.0000,0.0001,0.9997,0.0000,0.0001,0.0000
23,antigen_22|O83861|Translation|WP_010882334.1|tpos:1-842,Cytoplasmic,0.0000,0.0008,0.9495,0.0012,0.0481,0.0004
24,antigen_165|O83266|Large|WP_010881686.1|tpos:1-226,Cytoplasmic,0.0000,0.0015,0.5591,0.0005,0.4372,0.0018
25,antigen_156|O83047|Chromosomal|WP_010881451.1|tpos:1-464,Cytoplasmic,0.0008,0.0011,0.9540,0.0085,0.0350,0.0006
26,antigen_157|O83848|Uncharacterized|WP_039487409.1|tpos:1-316,Cytoplasmic Membrane,0.0003,0.0207,0.0032,0.9595,0.0153,0.0011
27,antigen_16|O83723|Probable|WP_108738964.1|tpos:1-204,Cytoplasmic,0.0000,0.0019,0.9923,0.0032,0.0021,0.0005
28,antigen_18|O83530|Crossover|WP_010881966.1|tpos:1-196,Cytoplasmic,0.0005,0.0245,0.9526,0.0123,0.0092,0.0009
29,antigen_19|O83324|Probable|WP_010881751.1|tpos:1-313,Cytoplasmic Membrane,0.0000,0.0001,0.0001,0.9964,0.0033,0.0001
30,antigen_130|O66075|Large|WP_010881704.1|tpos:1-67,Cytoplasmic,0.0013,0.0335,0.9270,0.0164,0.0187,0.0031
31,antigen_141|O83817|UPF0178|WP_014342608.1|tpos:1-177,Cytoplasmic,0.0000,0.0007,0.9981,0.0002,0.0007,0.0003
32,antigen_154|O83344|Uncharacterized|WP_014342370.1|tpos:1-477,Cytoplasmic Membrane,0.0016,0.0146,0.0130,0.7631,0.1965,0.0112
33,antigen_112|O83388|tRNA(Ile)-lysidine|WP_010881821.1|tpos:1-477,Cytoplasmic,0.0003,0.0294,0.9370,0.0164,0.0141,0.0028
34,antigen_113|O83625|Ribose-5-phosphate|WP_010882062.1|tpos:1-254,Cytoplasmic,0.0000,0.0019,0.9975,0.0001,0.0004,0.0001
35,antigen_114|O83214|SsrA-binding|WP_010881631.1|tpos:1-154,Cytoplasmic,0.0000,0.0007,0.9211,0.0001,0.0640,0.0141
36,antigen_186|O83949|Chaperone|WP_014342677.1|tpos:1-639,Cytoplasmic,0.0029,0.0231,0.7051,0.0642,0.1974,0.0073
37,antigen_4|O83586|Uncharacterized|WP_014342495.1|tpos:1-618,Cytoplasmic Membrane,0.0165,0.3062,0.0204,0.5071,0.1466,0.0032
38,antigen_63|O83284|Uncharacterized|WP_014342343.1|tpos:1-448,Outer Membrane,0.0017,0.0253,0.0525,0.3676,0.5402,0.0127
39,antigen_190|O83720|Ribosomal|WP_014342558.1|tpos:1-111,Cytoplasmic,0.0000,0.0422,0.9471,0.0049,0.0047,0.0011
40,antigen_24|O83493|Uncharacterized|WP_010881929.1|tpos:1-162,Cytoplasmic Membrane,0.0001,0.0017,0.0312,0.9453,0.0209,0.0008
41,antigen_25|O83952|Uncharacterized|WP_172841369.1|tpos:72-127,Outer Membrane,0.0001,0.2835,0.1916,0.1310,0.3931,0.0007
42,antigen_26|O83058|Uncharacterized|WP_014342231.1|tpos:219-410,Cytoplasmic,0.0017,0.0556,0.3214,0.1623,0.2142,0.2447
43,antigen_27|O83219|Large|WP_010881636.1|tpos:1-208,Cytoplasmic,0.0000,0.0001,0.6046,0.0000,0.3952,0.0000
44,antigen_95|O83550|Uncharacterized|WP_010881986.1|tpos:1-73,Extracellular,0.0001,0.3119,0.2975,0.2104,0.1795,0.0005
45,antigen_96|O83650|Lysine--tRNA|WP_010882089.1|tpos:1-528,Cytoplasmic,0.0000,0.0004,0.9978,0.0001,0.0016,0.0001
46,antigen_48|O83870|Uncharacterized|WP_014342635.1|tpos:1-797,Cytoplasmic,0.0011,0.0612,0.6926,0.2324,0.0113,0.0014
47,antigen_21|O83610|1-deoxy-D-xylulose|WP_013945233.1|tpos:1-376,Cytoplasmic,0.0001,0.0252,0.9426,0.0237,0.0069,0.0015
48,antigen_23|O83975|Peptidyl-tRNA|WP_010882455.1|tpos:1-202,Cytoplasmic,0.0000,0.0037,0.9944,0.0013,0.0002,0.0003
49,antigen_59|O83452|dITP/XTP|WP_010881886.1|tpos:1-269,Cytoplasmic,0.0007,0.2695,0.6701,0.0354,0.0238,0.0006
50,antigen_60|O83218|Small|WP_010881635.1|tpos:1-102,Cytoplasmic,0.0002,0.0018,0.9558,0.0123,0.0293,0.0006
51,antigen_61|O83336|Uncharacterized|WP_172841376.1|tpos:188-235,Outer Membrane,0.0004,0.0002,0.0012,0.2448,0.7446,0.0089
52,antigen_62|O83992|Uncharacterized|WP_010882473.1|tpos:1-228,Cytoplasmic,0.0002,0.0042,0.9775,0.0104,0.0066,0.0011
53,antigen_108|O83262|Large|WP_010881682.1|tpos:1-56,Cytoplasmic,0.0014,0.0028,0.6172,0.0007,0.3603,0.0176
54,antigen_109|O83696|Uncharacterized|WP_014342545.1|tpos:1-181,Outer Membrane,0.0001,0.0003,0.0002,0.3347,0.6640,0.0007
55,antigen_110|O83464|Elongation|WP_010881898.1|tpos:1-683,Cytoplasmic,0.0001,0.0020,0.9651,0.0053,0.0273,0.0002
56,antigen_178|O83129|Cysteine--tRNA|WP_010881540.1|tpos:1-520,Cytoplasmic,0.0000,0.0022,0.9958,0.0001,0.0018,0.0001
57,antigen_199|O83683|Uncharacterized|WP_010882122.1|tpos:1-202,Extracellular,0.0006,0.7308,0.0878,0.0936,0.0653,0.0218
58,antigen_120|O07896|Ribonuclease|WP_014342594.1|tpos:1-308,Cytoplasmic,0.0000,0.0004,0.9859,0.0118,0.0017,0.0002
59,antigen_121|O83258|Replication|WP_108738934.1|tpos:1-657,Cytoplasmic,0.0001,0.0006,0.9412,0.0358,0.0215,0.0009
60,antigen_15|O83279|Apolipoprotein|WP_014342340.1|tpos:1-546,Cytoplasmic Membrane,0.0002,0.0020,0.0088,0.9396,0.0476,0.0019
61,antigen_91|B2S2J8|Small|WP_010881699.1|tpos:1-95,Cytoplasmic,0.0003,0.0080,0.7079,0.0004,0.2717,0.0117
62,antigen_92|P18193|Flagellar|WP_108738935.1|tpos:1-350,Periplasmic,0.0001,0.0205,0.0019,0.0026,0.2239,0.7510
63,antigen_137|O83348|DNA|WP_010881776.1|tpos:1-900,Cytoplasmic,0.0004,0.0099,0.9750,0.0135,0.0008,0.0005
64,antigen_14|O83101|Single-stranded|WP_010881511.1|tpos:1-176,Cytoplasmic,0.0001,0.0127,0.8422,0.0165,0.1283,0.0002
65,antigen_99|P96130|ATP-dependent|WP_010882132.1|tpos:1-686,Cytoplasmic,0.0004,0.0021,0.9520,0.0224,0.0229,0.0002
66,antigen_134|O83739|Small|WP_108738967.1|tpos:1-69,Cytoplasmic,0.0000,0.0000,0.8292,0.0012,0.1695,0.0000
67,antigen_135|O83575|Uncharacterized|WP_014342487.1|tpos:1-678,Cytoplasmic Membrane,0.0000,0.0019,0.0008,0.9913,0.0060,0.0000
68,antigen_187|O83077|Putative|WP_010881483.1|tpos:1-316,Outer Membrane,0.0310,0.1021,0.0357,0.1947,0.5787,0.0579
69,antigen_55|O83231|Large|WP_014342323.1|tpos:1-185,Cytoplasmic,0.0002,0.0016,0.5036,0.0059,0.4870,0.0018
70,antigen_97|O83390|Uncharacterized|WP_010881823.1|tpos:1-69,Cytoplasmic Membrane,0.0013,0.3875,0.1367,0.4182,0.0157,0.0406
71,antigen_98|O83809|Threonine--tRNA|WP_010882281.1|tpos:1-592,Cytoplasmic,0.0000,0.0000,0.9998,0.0000,0.0001,0.0001
72,antigen_169|O83272|Small|WP_010881692.1|tpos:1-156,Outer Membrane,0.0003,0.0007,0.4271,0.0073,0.5635,0.0012
73,antigen_170|O83085|Putative|WP_010881494.1|tpos:1-299,Cytoplasmic,0.0000,0.0003,0.9957,0.0003,0.0035,0.0001
74,antigen_184|O83546|Uncharacterized|WP_010881982.1|tpos:1-70,Cytoplasmic,0.0001,0.1017,0.8658,0.0050,0.0253,0.0021
75,antigen_185|O83653|Serine--tRNA|WP_010882092.1|tpos:1-426,Cytoplasmic,0.0000,0.0001,0.9991,0.0000,0.0007,0.0001
76,antigen_131|B2S321|V-type|WP_014342419.1|tpos:27-197,Cytoplasmic,0.0001,0.0115,0.8550,0.0942,0.0352,0.0039
77,antigen_132|O83225|Small|WP_010881642.1|tpos:1-247,Outer Membrane,0.0015,0.0045,0.4508,0.0035,0.5353,0.0044
78,antigen_133|O83776|Methionine--tRNA|WP_010882243.1|tpos:1-811,Cytoplasmic,0.0000,0.0007,0.9983,0.0001,0.0008,0.0002
79,antigen_65|O83097|Replicative|WP_010881507.1|tpos:1-438,Cytoplasmic,0.0003,0.0130,0.8841,0.0783,0.0226,0.0017
80,antigen_67|O83785|Large|WP_010882252.1|tpos:1-62,Cytoplasmic,0.0000,0.0002,0.7931,0.0000,0.2004,0.0063
81,antigen_69|O83822|Translation|WP_010882294.1|tpos:1-179,Cytoplasmic,0.0000,0.0001,0.9985,0.0000,0.0013,0.0001
82,antigen_70|O83903|UDP-N-acetylmuramyl-tripeptide|WP_010882376.1|tpos:1-540,Cytoplasmic,0.0003,0.0095,0.9220,0.0527,0.0134,0.0021
83,antigen_107|O83066|Uncharacterized|WP_010881471.1|tpos:1-722,Cytoplasmic,0.0023,0.1065,0.6111,0.2522,0.0270,0.0009
84,antigen_10|O83195|Proline--tRNA|WP_010881607.1|tpos:1-617,Cytoplasmic,0.0000,0.0001,0.9995,0.0000,0.0000,0.0003
85,antigen_42|O83100|Small|WP_010881510.1|tpos:1-99,Cytoplasmic,0.0001,0.0002,0.8712,0.0129,0.1149,0.0006
86,antigen_43|O83048|Beta|WP_010881452.1|tpos:1-371,Cytoplasmic,0.0032,0.0693,0.6450,0.0385,0.2436,0.0004
87,antigen_44|O83690|Protein|WP_014342541.1|tpos:1-407,Cytoplasmic,0.0002,0.0004,0.9084,0.0409,0.0496,0.0004
88,antigen_28|O83857|Small|WP_010882330.1|tpos:1-89,Cytoplasmic,0.0009,0.1034,0.5825,0.0019,0.2887,0.0227
89,antigen_30|O83724|GTPase|WP_010882187.1|tpos:1-376,Cytoplasmic,0.0000,0.0011,0.9947,0.0016,0.0018,0.0008
90,antigen_0|O83679|Glutamate--tRNA|WP_010882118.1|tpos:1-537,Cytoplasmic,0.0000,0.0001,0.9992,0.0000,0.0006,0.0001
91,antigen_32|O83539|V-type|WP_010881975.1|tpos:1-209,Cytoplasmic,0.0001,0.0816,0.8919,0.0174,0.0016,0.0074
92,antigen_33|O83358|Uncharacterized|WP_010881786.1|tpos:1-162,Cytoplasmic Membrane,0.0016,0.0383,0.0023,0.8233,0.1331,0.0014
93,antigen_34|O83110|Chaperone|WP_010881520.1|tpos:1-878,Cytoplasmic,0.0002,0.0017,0.9794,0.0045,0.0138,0.0003
94,antigen_90|O83536|Lon|WP_010881972.1|tpos:1-881,Cytoplasmic,0.0011,0.0016,0.8974,0.0377,0.0606,0.0016
95,antigen_149|O83956|Rubredoxin|WP_010882435.1|tpos:1-52,Cytoplasmic,0.0000,0.0257,0.8462,0.0031,0.0122,0.1128
96,antigen_152|O83977|Co-chaperonin|WP_014342692.1|tpos:1-88,Cytoplasmic,0.0000,0.0000,0.9862,0.0074,0.0062,0.0002
97,antigen_153|O83774|FAD:protein|WP_108738970.1|tpos:1-362,Outer Membrane,0.0016,0.0152,0.0295,0.3770,0.5084,0.0684
98,antigen_188|O83496|Uncharacterized|WP_252507750.1|tpos:1-374,Outer Membrane,0.0004,0.0026,0.0009,0.3739,0.6186,0.0037
99,antigen_195|O83456|DNA|WP_010881890.1|tpos:1-573,Cytoplasmic,0.0000,0.0009,0.9550,0.0369,0.0031,0.0041
100,antigen_74|O83990|Uridine|WP_010882471.1|tpos:1-258,Cytoplasmic,0.0000,0.0037,0.9886,0.0031,0.0027,0.0018
101,antigen_75|O83979|Transcription|WP_010882459.1|tpos:1-141,Cytoplasmic,0.0000,0.0015,0.9910,0.0052,0.0014,0.0008
102,antigen_76|O83229|Large|WP_010881646.1|tpos:1-122,Outer Membrane,0.0000,0.0002,0.0369,0.0004,0.9624,0.0001
103,antigen_111|O83103|Uncharacterized|WP_010881513.1|tpos:1-191,Extracellular,0.0005,0.4622,0.1620,0.2360,0.1379,0.0014
104,antigen_125|O83204|Uncharacterized|WP_014342313.1|tpos:280-506,Cytoplasmic,0.0008,0.0708,0.8018,0.0791,0.0440,0.0034
105,antigen_127|O83786|Acyl|WP_010882253.1|tpos:1-78,Cytoplasmic,0.0001,0.0025,0.9848,0.0030,0.0090,0.0006
106,antigen_128|O83649|DNA|WP_010882088.1|tpos:1-215,Cytoplasmic,0.0008,0.0092,0.9855,0.0013,0.0030,0.0002
107,antigen_143|O83183|Uncharacterized|WP_014342299.1|tpos:1-192,Cytoplasmic Membrane,0.0000,0.0026,0.0035,0.9866,0.0072,0.0000
108,antigen_29|O83052|Uncharacterized|WP_014342231.1|tpos:96-301,Cytoplasmic,0.0004,0.0039,0.6220,0.1607,0.1396,0.0735
109,antigen_31|O83945|Probable|WP_010882424.1|tpos:1-340,Cytoplasmic,0.0001,0.0046,0.9746,0.0077,0.0099,0.0031
110,antigen_45|O83230|Large|WP_010881647.1|tpos:1-103,Cytoplasmic,0.0000,0.0000,0.8740,0.0001,0.1241,0.0017
111,antigen_46|B2S369|Probable|WP_010881923.1|tpos:1-245,Cytoplasmic,0.0000,0.0007,0.9955,0.0004,0.0030,0.0003
112,antigen_122|O83109|Uncharacterized|WP_010881519.1|tpos:1-128,Cytoplasmic Membrane,0.0001,0.0786,0.0010,0.9078,0.0124,0.0001
113,antigen_160|B2S2F4|Large|WP_010881654.1|tpos:1-61,Cytoplasmic,0.0064,0.0199,0.7588,0.0060,0.1974,0.0115
114,antigen_161|O83131|Uncharacterized|WP_237249922.1|tpos:1-202,Cytoplasmic Membrane,0.0057,0.0901,0.0033,0.8197,0.0438,0.0374
115,antigen_53|O83281|Transcription|WP_010881703.1|tpos:1-519,Cytoplasmic,0.0005,0.0017,0.8688,0.0203,0.1082,0.0004
116,antigen_54|O83241|Small|WP_010881659.1|tpos:1-126,Cytoplasmic,0.0014,0.0043,0.8331,0.0208,0.1360,0.0045
117,antigen_191|O83667|Uncharacterized|WP_010882106.1|tpos:1-170,Cytoplasmic,0.0002,0.0339,0.8997,0.0368,0.0273,0.0022
118,antigen_192|Q56338|Flagellar|WP_010882159.1|tpos:1-707,Cytoplasmic Membrane,0.0000,0.0002,0.0002,0.9928,0.0068,0.0001
119,antigen_39|O83792|Uncharacterized|WP_010882260.1|tpos:1-221,Cytoplasmic,0.0001,0.0443,0.6096,0.2300,0.0871,0.0290
120,antigen_40|O83236|Small|WP_010881653.1|tpos:1-172,Cytoplasmic,0.0002,0.0002,0.8094,0.0009,0.1889,0.0006
121,antigen_41|O83500|Uncharacterized|WP_237260094.1|tpos:143-592,Extracellular,0.0038,0.6447,0.1826,0.0785,0.0785,0.0120
122,antigen_88|O83968|Uncharacterized|WP_010882447.1|tpos:1-345,Cytoplasmic Membrane,0.0001,0.0037,0.0008,0.9901,0.0053,0.0001
123,antigen_89|O83767|Uncharacterized|WP_235214032.1|tpos:1-259,Cytoplasmic,0.0003,0.0955,0.4970,0.3904,0.0161,0.0006
124,antigen_129|O83489|Acetate|WP_010881925.1|tpos:1-448,Cytoplasmic,0.0007,0.0414,0.8299,0.0263,0.0984,0.0032
125,antigen_193|O83824|Phosphatidylglycerol--prolipoprotein|WP_014342613.1|tpos:1-332,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9996,0.0003,0.0000
126,antigen_100|O83668|Fructose-bisphosphate|WP_010882107.1|tpos:1-332,Cytoplasmic,0.0002,0.0025,0.8886,0.0020,0.1044,0.0023
127,antigen_101|O83766|Uncharacterized|WP_235214031.1|tpos:1-115,Cytoplasmic Membrane,0.0001,0.0074,0.0003,0.8885,0.1032,0.0005
128,antigen_102|O83228|Small|WP_014342322.1|tpos:1-84,Cytoplasmic,0.0000,0.0000,0.8217,0.0003,0.1776,0.0004
129,antigen_103|O83845|tRNA|WP_010882318.1|tpos:1-135,Cytoplasmic,0.0000,0.0024,0.9971,0.0001,0.0004,0.0000
130,antigen_139|O08399|DNA|WP_010882450.1|tpos:1-637,Cytoplasmic,0.0005,0.0017,0.8680,0.0087,0.1202,0.0009
131,antigen_194|O83485|UvrABC|WP_010881921.1|tpos:1-691,Cytoplasmic,0.0005,0.0034,0.9503,0.0436,0.0023,0.0000
132,antigen_35|O83727|Large|WP_010882190.1|tpos:1-105,Cytoplasmic,0.0000,0.0000,0.7360,0.0000,0.2640,0.0000
133,antigen_36|O83074|Uncharacterized|WP_014342237.1|tpos:1-92,Cytoplasmic Membrane,0.0004,0.2183,0.1471,0.4765,0.1566,0.0012
134,antigen_37|O83537|Elongation|WP_010881973.1|tpos:1-187,Cytoplasmic,0.0000,0.0000,0.9987,0.0001,0.0012,0.0000
135,antigen_38|O83209|Uncharacterized|WP_014342717.1|tpos:23-649,Cytoplasmic,0.0002,0.0148,0.7119,0.2182,0.0460,0.0089
136,antigen_150|O83878|tRNA|WP_010882351.1|tpos:1-250,Cytoplasmic,0.0001,0.0040,0.9783,0.0006,0.0159,0.0011
137,antigen_151|O83442|V-type|WP_010881875.1|tpos:1-430,Cytoplasmic,0.0002,0.0007,0.4817,0.2728,0.2379,0.0067
138,antigen_17|O83859|tRNA|WP_014342630.1|tpos:1-366,Cytoplasmic,0.0002,0.0298,0.9082,0.0019,0.0597,0.0002
139,antigen_1|O83460|4-hydroxy-3-methylbut-2-en-1-yl|WP_172841382.1|tpos:1-404,Cytoplasmic,0.0002,0.0063,0.9743,0.0034,0.0150,0.0007
140,antigen_104|P96122|5'-methylthioadenosine/S-adenosylhomocysteine|WP_010881617.1|tpos:1-269,Cytoplasmic,0.0013,0.0578,0.8657,0.0031,0.0696,0.0025
141,antigen_105|O83373|Putative|WP_010881802.1|tpos:1-208,Cytoplasmic,0.0002,0.0009,0.9896,0.0028,0.0062,0.0002
142,antigen_106|O83554|Holliday|WP_010881990.1|tpos:1-227,Cytoplasmic,0.0002,0.0550,0.8672,0.0378,0.0392,0.0005
143,antigen_123|O83982|Glutamyl-tRNA(Gln)|WP_014505682.1|tpos:1-114,Cytoplasmic,0.0000,0.0088,0.9739,0.0102,0.0048,0.0023
144,antigen_167|O83433|Putative|WP_010881866.1|tpos:1-397,Cytoplasmic,0.0014,0.0083,0.8004,0.1582,0.0307,0.0010
145,antigen_5|O83490|6-phosphogluconolactonase|WP_014342443.1|tpos:1-212,Cytoplasmic,0.0000,0.0004,0.9982,0.0003,0.0008,0.0002
146,antigen_77|P74935|Gamma-glutamyl|WP_014342384.1|tpos:1-428,Cytoplasmic,0.0001,0.0072,0.9862,0.0017,0.0044,0.0003
147,antigen_78|O83797|Uncharacterized|WP_010882269.1|tpos:1-61,Cytoplasmic,0.0003,0.2580,0.4799,0.2472,0.0144,0.0002
148,antigen_80|O83969|Recombination|WP_010882448.1|tpos:1-201,Cytoplasmic,0.0000,0.0002,0.9984,0.0010,0.0003,0.0002
149,antigen_145|O83658|Spermidine/putrescine|WP_280143128.1|tpos:1-379,Cytoplasmic Membrane,0.0001,0.0004,0.1884,0.8066,0.0042,0.0003
150,antigen_116|O83099|Large|WP_010881509.1|tpos:1-156,Cytoplasmic,0.0000,0.0004,0.9872,0.0048,0.0073,0.0002
151,antigen_117|O83170|Uncharacterized|WP_172841373.1|tpos:1-409,Extracellular,0.0021,0.8438,0.0004,0.0055,0.0835,0.0646
152,antigen_119|O83142|Probable|WP_010881553.1|tpos:1-593,Outer Membrane,0.0118,0.0334,0.1472,0.0626,0.7031,0.0419
153,antigen_115|O83264|Transcription|WP_010881684.1|tpos:1-185,Cytoplasmic,0.0000,0.0003,0.9722,0.0094,0.0178,0.0003
154,antigen_166|O83444|V-type|WP_237260088.1|tpos:1-618,Cytoplasmic Membrane,0.0000,0.0002,0.0019,0.9878,0.0099,0.0001
155,antigen_6|O83806|Tyrosine--tRNA|WP_014342602.1|tpos:1-409,Cytoplasmic,0.0000,0.0002,0.9988,0.0002,0.0005,0.0002
156,antigen_56|O83386|4-diphosphocytidyl-2-C-methyl-D-erythritol|WP_014342400.1|tpos:1-291,Cytoplasmic,0.0006,0.0802,0.7453,0.1381,0.0304,0.0054
157,antigen_57|O83819|Uncharacterized|WP_014342609.1|tpos:1-111,Cytoplasmic,0.0001,0.0044,0.9891,0.0033,0.0030,0.0002
158,antigen_58|O66107|Ribulose-phosphate|WP_010882388.1|tpos:1-218,Cytoplasmic,0.0001,0.0041,0.9717,0.0061,0.0113,0.0068
159,antigen_124|O83132|Phosphate|WP_010881543.1|tpos:1-336,Cytoplasmic,0.0003,0.0043,0.9696,0.0092,0.0159,0.0007
160,antigen_163|O84003|ATP-dependent|WP_014342706.1|tpos:1-199,Cytoplasmic,0.0030,0.0275,0.7342,0.1041,0.1161,0.0150
161,antigen_164|P74930|Flagellar|WP_010882163.1|tpos:1-271,Cytoplasmic Membrane,0.0005,0.0020,0.0015,0.9746,0.0201,0.0013
162,antigen_171|O83369|FKBP-type|WP_010881797.1|tpos:1-176,Cytoplasmic,0.0000,0.0004,0.9965,0.0001,0.0029,0.0001
163,antigen_172|O83747|Uncharacterized|WP_014342567.1|tpos:1-293,Extracellular,0.0001,0.6028,0.2141,0.1734,0.0094,0.0002
164,antigen_174|O83564|Putative|WP_010882000.1|tpos:1-403,Cytoplasmic Membrane,0.0000,0.0001,0.0001,0.9972,0.0026,0.0000
165,antigen_175|O83237|Large|WP_010881655.1|tpos:1-153,Outer Membrane,0.0001,0.0004,0.2446,0.0023,0.7513,0.0012
166,antigen_176|O83220|Large|WP_014342319.1|tpos:1-216,Outer Membrane,0.0004,0.0004,0.3349,0.0141,0.6487,0.0015
167,antigen_177|O66106|Ribosomal|WP_010882389.1|tpos:1-222,Cytoplasmic,0.0001,0.0117,0.9842,0.0037,0.0002,0.0002
168,antigen_49|O83463|Uncharacterized|WP_010881897.1|tpos:1-196,Outer Membrane,0.0038,0.0723,0.0484,0.3403,0.4839,0.0513
169,antigen_51|O83593|Uncharacterized|WP_012460576.1|tpos:1-469,Cytoplasmic,0.0020,0.1231,0.3998,0.2092,0.2642,0.0016
170,antigen_136|O83808|Uncharacterized|WP_014342603.1|tpos:1-274,Extracellular,0.0002,0.5470,0.4443,0.0029,0.0036,0.0020
171,antigen_162|O83710|Flagellar|WP_013945319.1|tpos:1-376,Cytoplasmic Membrane,0.0000,0.0000,0.0001,0.9974,0.0025,0.0000
172,antigen_85|O83480|Uncharacterized|WP_010881916.1|tpos:1-82,Cytoplasmic,0.0002,0.3364,0.4856,0.0141,0.1617,0.0021
173,antigen_86|O83152|Protein|WP_010881563.1|tpos:1-331,Cytoplasmic Membrane,0.0080,0.0469,0.0146,0.6611,0.2578,0.0115
174,antigen_87|O83671|Uncharacterized|WP_014342528.1|tpos:1-251,Cytoplasmic,0.0004,0.0096,0.9814,0.0021,0.0037,0.0028
175,antigen_158|O83770|Uncharacterized|WP_010882236.1|tpos:1-81,Cytoplasmic Membrane,0.0003,0.2798,0.1354,0.4897,0.0937,0.0010
176,antigen_159|O83185|Uncharacterized|WP_010881597.1|tpos:1-155,Cytoplasmic Membrane,0.0022,0.2954,0.0084,0.6052,0.0256,0.0632
177,antigen_180|O83672|Uncharacterized|WP_014342529.1|tpos:1-97,Cytoplasmic,0.0001,0.0313,0.8893,0.0634,0.0147,0.0012
178,antigen_181|O83590|Lipoprotein-releasing|WP_010882027.1|tpos:1-226,Cytoplasmic Membrane,0.0001,0.0007,0.3206,0.6744,0.0034,0.0008
179,antigen_182|O83435|Uncharacterized|WP_014342417.1|tpos:184-256,Cytoplasmic Membrane,0.0008,0.2386,0.0864,0.4833,0.1191,0.0718
180,antigen_183|O83585|Peptide|WP_099156385.1|tpos:22-373,Cytoplasmic,0.0000,0.0019,0.9867,0.0022,0.0088,0.0004
181,antigen_11|O83876|RNA-binding|WP_010882349.1|tpos:1-80,Cytoplasmic,0.0008,0.1464,0.7933,0.0160,0.0354,0.0081
