Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_53|Q06282|Glycerophosphodiester|VTP70100.1|tpos:1-364,0.342,0.0,0.0,0.342,Allergen
antigen_19|P44318|Exodeoxyribonuclease|VTP73598.1|tpos:1-267,0.113,0.0,-0.5,-0.387,Non-Allergen
antigen_24|P44447|Putative|VTP74290.1|tpos:1-261,0.12,0.5,0.0,0.62,Allergen
antigen_25|P44504|Homoserine|VTP77912.1|tpos:1-314,0.087,0.0,-0.5,-0.413,Non-Allergen
antigen_6|P43767|DNA|VTP69536.1|tpos:10-368,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_2|P43008|Biopolymer|VTP72389.1|tpos:1-150,0.074,0.0,-0.5,-0.426,Non-Allergen
antigen_63|P45996|Outer|VTP74052.1|tpos:1-358,0.474,0.5,-0.5,0.474,Allergen
antigen_50|P71392|Protein|VTP76762.1|tpos:80-346,0.065,0.5,0.0,0.565,Allergen
antigen_54|Q48214|Uncharacterized|VTP77154.1|tpos:1-291,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_64|A0AB37B1K1||VTP74684.1|tpos:1-284,0.422,0.0,-0.5,-0.078,Non-Allergen
antigen_67|P46027|Outer|VTP73144.1|tpos:1-361,0.515,0.0,-0.5,0.015,Non-Allergen
antigen_68|P10641|Outer|VTP72878.1|tpos:1-449,0.312,0.5,0.0,0.812,Allergen
antigen_71|A0A2S9RZ43|Molybdopterin-synthase|VTP75953.1|tpos:1-243,0.058,0.5,-0.5,0.058,Non-Allergen
antigen_8|P43839|Outer|VTP73144.1|tpos:1-361,0.515,0.0,-0.5,0.015,Non-Allergen
antigen_10|P43847|Phosphoribosylformylglycinamidine|VTP70050.1|tpos:1-1297,0.043,0.0,-0.5,-0.457,Non-Allergen
antigen_30|P44620|Prepilin|VTP72643.1|tpos:1-230,0.027,0.0,0.0,0.027,Non-Allergen
antigen_34|P44769|Carbamate|VTP70742.1|tpos:1-310,0.324,0.5,-0.5,0.324,Allergen
antigen_59|Q57427|Putative|VTP77771.1|tpos:1-260,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_22|P44407|ATP-dependent|VTP73476.1|tpos:1-587,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_26|P44536|GTPase|VTP73167.1|tpos:1-504,0.041,0.5,-0.5,0.041,Non-Allergen
antigen_61|Q8GM74||VTP74384.1|tpos:1294-2797,0.455,0.5,-0.5,0.455,Allergen
antigen_76|Q71BF9||VTP72450.1|tpos:1-918,0.28,0.5,0.0,0.78,Allergen
antigen_3|P43738|DNA-directed|VTP70329.1|tpos:1-1343,0.068,0.5,-0.5,0.068,Non-Allergen
antigen_28|P44606|tRNA-dihydrouridine(16)|VTP72493.1|tpos:1-310,0.117,0.0,-0.5,-0.383,Non-Allergen
antigen_33|P44766|Peptidase|VTP70707.1|tpos:1-210,0.119,0.5,0.0,0.619,Allergen
antigen_60|Q8KHG5||VTP72358.1|tpos:70-596,0.391,0.0,0.0,0.391,Allergen
antigen_39|P44987|Biotin|VTP79082.1|tpos:1-333,0.124,0.0,0.0,0.124,Non-Allergen
antigen_41|P45042|Lipooligosaccharide|VTP78296.1|tpos:1-346,0.048,0.0,0.0,0.048,Non-Allergen
antigen_36|P44836|Probable|VTP70206.1|tpos:1-64,0.359,0.0,0.0,0.359,Allergen
antigen_44|P45090|Arginine|VTP74234.1|tpos:1-221,0.003,0.0,-0.5,-0.497,Non-Allergen
antigen_29|P44608|UPF0761|VTP72526.1|tpos:1-269,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_31|P44680|ATP-dependent|VTP72972.1|tpos:1-640,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_38|P44976|4-hydroxy-3-methylbut-2-enyl|VTP79113.1|tpos:1-314,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_40|P45018|ATP-dependent|VTP78499.1|tpos:1-1303,0.018,0.5,-0.5,0.018,Non-Allergen
antigen_51|P71398|Lsg|VTP77160.1|tpos:1-257,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_14|P44003|Uncharacterized|VTP71644.1|tpos:1-125,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_17|P44233|Mu-like|VTP78646.1|tpos:4-471,0.209,0.0,0.0,0.209,Non-Allergen
antigen_23|P44408|Recombination|VTP73470.1|tpos:1-788,0.041,0.5,-0.5,0.041,Non-Allergen
antigen_7|P43838|Outer|VTP72878.1|tpos:1-449,0.312,0.5,0.0,0.812,Allergen
antigen_56|Q57243|Uncharacterized|VTP76836.1|tpos:5-220,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_58|Q57362|Uncharacterized|VTP77753.1|tpos:1-1107,0.051,0.5,-0.5,0.051,Non-Allergen
antigen_35|P44821|HTH-type|VTP70075.1|tpos:1-292,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_0|O05087|Uncharacterized|VTP74408.1|tpos:1-397,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_20|P44324|Aspartate|VTP70405.1|tpos:1-472,0.22,0.0,0.0,0.22,Non-Allergen
antigen_37|P44969|Immunoglobulin|VTP69538.1|tpos:1-1685,0.377,0.5,-0.5,0.377,Allergen
antigen_43|P45053|Oligopeptide|VTP78244.1|tpos:1-311,0.024,0.0,0.0,0.024,Non-Allergen
antigen_45|P45103|Uncharacterized|VTP77638.1|tpos:1-207,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_48|P46448|Formate|VTP78926.1|tpos:6-412,0.228,0.0,-0.5,-0.272,Non-Allergen
antigen_57|Q57288|Ion-translocating|VTP74660.1|tpos:1-358,0.051,0.5,0.0,0.551,Allergen
antigen_27|P44602|Heme/hemopexin-binding|VTP72450.1|tpos:1-918,0.28,0.5,0.0,0.78,Allergen
antigen_5|P43757|Transketolase|VTP79076.1|tpos:1-665,0.234,0.5,-0.5,0.234,Non-Allergen
antigen_16|P44136|Putative|VTP77317.1|tpos:1-322,0.112,0.0,0.0,0.112,Non-Allergen
antigen_21|P44402|Ribosomal|VTP69562.1|tpos:1-295,0.144,0.5,-0.5,0.144,Non-Allergen
antigen_55|Q57180|Uncharacterized|VTP78576.1|tpos:1-614,0.028,0.5,-0.5,0.028,Non-Allergen
antigen_1|P10324|Peptidoglycan-associated|VTP73010.1|tpos:1-153,0.707,0.0,-0.5,0.207,Non-Allergen
antigen_12|P43929|Uncharacterized|VTP73604.1|tpos:1-258,0.112,0.0,0.0,0.112,Non-Allergen
