parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
UNIPROT:Q9KLT2,['Protein F-related protein (UniProt:Q9KLT2)'],"['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KLV3,"['Transporter, AcrB/D/F family (UniProt:Q9KLV3)']",['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KLW0,['N-acetyltransferase domain-containing protein (UniProt:Q9KLW0)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KM30,['Solitary outer membrane autotransporter beta-barrel domain-containing protein (UniProt:Q9KM30)'],"['Vibrio cholerae', 'Vibrio cholerae MZO-2 (Vibrio cholerae str. MZO-2)']",['Homo sapiens (human)']
UNIPROT:Q9KM51,"['Cytochrome b561, putative (UniProt:Q9KM51)']",['Vibrio cholerae O395 (Vibrio cholerae str. O395)'],['Homo sapiens (human)']
UNIPROT:Q9KMH5,['Uncharacterized protein (UniProt:Q9KMH5)'],['Vibrio cholerae B33 (Vibrio cholerae str. B33)'],['Homo sapiens (human)']
UNIPROT:Q9KMI6,['SMODS and SLOG-associating 2TM effector domain-containing protein (UniProt:Q9KMI6)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KMJ6,['Outer membrane lipoprotein Blc (UniProt:Q9KMJ6)'],['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KML5,['Uncharacterized protein (UniProt:Q9KML5)'],"['Vibrio cholerae', 'Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)']",['Homo sapiens (human)']
UNIPROT:Q9KMN1,['Chloramphenicol acetyltransferase (UniProt:Q9KMN1)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KMS1,"['Cytochrome b561, putative (UniProt:Q9KMS1)']","['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KMV8,"[""3'3'-cGAMP-specific phosphodiesterase 2 (UniProt:Q9KMV8)""]","['Vibrio cholerae', 'Vibrio cholerae 1587 (Vibrio cholerae str. 1587)']",['Homo sapiens (human)']
UNIPROT:Q9KMW0,['nicotinate-nucleotide adenylyltransferase (UniProt:Q9KMW0)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KMZ0,['Methyl-accepting chemotaxis protein (UniProt:Q9KMZ0)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KMZ9,['Periplasmic protein (UniProt:Q9KMZ9)'],"['Vibrio cholerae', 'Vibrio cholerae MZO-2 (Vibrio cholerae str. MZO-2)']",['Homo sapiens (human)']
UNIPROT:Q9KN06,['Aromatic amino acid permease (UniProt:Q9KN06)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KN42,['Type VI secretion system spike protein VgrG3 (UniProt:Q9KN42)'],"['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KNB7,['GTPase (UniProt:Q9KNB7)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KNC1,['Peptidase S41 (UniProt:Q9KNC1)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KNJ2,['Glutamine synthetase (UniProt:Q9KNJ2)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KNL9,['histidine kinase (UniProt:Q9KNL9)'],['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KNS5,['Fumarate reductase flavoprotein subunit (UniProt:Q9KNS5)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KP19,['Sulfate adenylyltransferase subunit 2 (UniProt:Q9KP19)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KPE4,['Type IV pilus assembly protein PilB (UniProt:Q9KPE4)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KPG1,"['Peptidoglycan D,D-transpeptidase FtsI (UniProt:Q9KPG1)']","['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KPH9,['Carbamoyl phosphate synthase large chain (UniProt:Q9KPH9)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KPJ7,['diguanylate cyclase (UniProt:Q9KPJ7)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KPQ7,['Probable cysteine desulfurase (UniProt:Q9KPQ7)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KPS2,['Na(+)-translocating NADH-quinone reductase subunit B (UniProt:Q9KPS2)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KPW0,['Outer membrane protein assembly factor BamA (UniProt:Q9KPW0)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KPX5,['Membrane-bound lytic murein transglycosylase D (UniProt:Q9KPX5)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KPX9,['DNA polymerase III subunit epsilon (UniProt:Q9KPX9)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KQ23,['4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (UniProt:Q9KQ23)'],['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KQ28,['UPF0162 protein VC_2176 (UniProt:Q9KQ28)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KQA0,['LrgB family protein (UniProt:Q9KQA0)'],"['Vibrio cholerae', 'Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)', 'Vibrio cholerae O395 (Vibrio cholerae str. O395)']",['Homo sapiens (human)']
UNIPROT:Q9KQH9,['3-oxoacyl-[acyl-carrier-protein] synthase 2 (UniProt:Q9KQH9)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KQI9,['PNPLA domain-containing protein (UniProt:Q9KQI9)'],"['Vibrio cholerae', 'Vibrio cholerae V51 (Vibrio cholerae str. V51)']",['Homo sapiens (human)']
UNIPROT:Q9KQJ0,['Pyruvate kinase (UniProt:Q9KQJ0)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KQJ2,['Chemotaxis protein CheV (UniProt:Q9KQJ2)'],['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KQN2,['Phospholipid/glycerol acyltransferase domain-containing protein (UniProt:Q9KQN2)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KQQ4,['PvcB protein (UniProt:Q9KQQ4)'],"['Vibrio cholerae', 'Vibrio cholerae 1587 (Vibrio cholerae str. 1587)']",['Homo sapiens (human)']
UNIPROT:Q9KQW8,['Rec2-related protein (UniProt:Q9KQW8)'],"['Vibrio cholerae', 'Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)']",['Homo sapiens (human)']
UNIPROT:Q9KR41,['DUF2787 domain-containing protein (UniProt:Q9KR41)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KR70,['Kelch domain-containing protein VC_1773 (UniProt:Q9KR70)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KR71,['WYL domain-containing protein (UniProt:Q9KR71)'],"['Vibrio cholerae', 'Vibrio cholerae RC385 (Vibrio cholerae str. RC385)']",['Homo sapiens (human)']
UNIPROT:Q9KR74,['site-specific DNA-methyltransferase (adenine-specific) (UniProt:Q9KR74)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KR83,"['Helicase, putative (UniProt:Q9KR83)']","['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KR89,['Paraquat-inducible protein A (UniProt:Q9KR89)'],"['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae RC385 (Vibrio cholerae str. RC385)']",['Homo sapiens (human)']
UNIPROT:Q9KRB9,['TVP38/TMEM64 family membrane protein (UniProt:Q9KRB9)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KRK5,['Ribosomal small subunit pseudouridine synthase A (UniProt:Q9KRK5)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KRL2,['AttH domain-containing protein (UniProt:Q9KRL2)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae RC385 (Vibrio cholerae str. RC385)']","['Homo sapiens (human)', 'Sus scrofa (pig)']"
UNIPROT:Q9KRS6,['Catalase-peroxidase (UniProt:Q9KRS6)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KRT6,['sn-glycerol-3-phosphate transport system permease protein UgpA (UniProt:Q9KRT6)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KRU2,['DNA ligase (UniProt:Q9KRU2)'],['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KRZ1,['Uncharacterized protein (UniProt:Q9KRZ1)'],['Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)'],['Homo sapiens (human)']
UNIPROT:Q9KS01,['endopeptidase La (UniProt:Q9KS01)'],"['Vibrio cholerae', 'Vibrio cholerae V51 (Vibrio cholerae str. V51)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KS50,['Multidrug resistance protein VceA (UniProt:Q9KS50)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KS86,['DnaK-related protein (UniProt:Q9KS86)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KS97,"['Amino acid ABC transporter, periplasmic amino acid-binding protein (UniProt:Q9KS97)']","['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KSB0,['histidine kinase (UniProt:Q9KSB0)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KSC6,['DUF112 domain-containing protein (UniProt:Q9KSC6)'],"['Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KSU2,['Carboxy-S-adenosyl-L-methionine synthase (UniProt:Q9KSU2)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KT01,['diguanylate cyclase (UniProt:Q9KT01)'],['Vibrio cholerae MAK 757 (Vibrio cholerae str. MAK 757)'],['Homo sapiens (human)']
UNIPROT:Q9KT56,"['Transcriptional regulator, LysR family (UniProt:Q9KT56)']",['Vibrio cholerae 12129(1) (Vibrio cholerae str. 12129(1))'],['Homo sapiens (human)']
UNIPROT:Q9KT74,['Inosine monophosphate dehydrogenase-related protein (UniProt:Q9KT74)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KT88,['Ion-translocating oxidoreductase complex subunit C (UniProt:Q9KT88)'],"['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KTB0,['N-acetylglucosamine repressor (UniProt:Q9KTB0)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KTD7,['Phosphoenolpyruvate-protein phosphotransferase (UniProt:Q9KTD7)'],['Vibrio cholerae B33 (Vibrio cholerae str. B33)'],['Homo sapiens (human)']
UNIPROT:Q9KTH6,['Aspartate-semialdehyde dehydrogenase (UniProt:Q9KTH6)'],"['Vibrio cholerae B33 (Vibrio cholerae str. B33)', 'Vibrio cholerae V51 (Vibrio cholerae str. V51)']",['Homo sapiens (human)']
UNIPROT:Q9KTN2,['Phosphoribosylformylglycinamidine synthase (UniProt:Q9KTN2)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KTR8,"['Inner membrane protein, putative (UniProt:Q9KTR8)']","['Vibrio cholerae', 'Vibrio cholerae O1 biovar El Tor str. N16961 (Vibrio cholerae El Tor N16961)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KTW2,['GMP synthase [glutamine-hydrolyzing] (UniProt:Q9KTW2)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KTW3,"[""Inosine-5'-monophosphate dehydrogenase (UniProt:Q9KTW3)""]",['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KTW7,['GTPase Der (UniProt:Q9KTW7)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KU42,"['Carbon starvation protein A, putative (UniProt:Q9KU42)']",['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KU47,['Isoleucine--tRNA ligase (UniProt:Q9KU47)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KU65,['C-di-GMP phosphodiesterase A-related protein (UniProt:Q9KU65)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KU94,"['Multidrug resistance protein, putative (UniProt:Q9KU94)']","['Vibrio cholerae', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KUB0,['beta-N-acetylhexosaminidase (UniProt:Q9KUB0)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KUF3,['Cell division protein ZapE (UniProt:Q9KUF3)'],['Vibrio cholerae O395 (Vibrio cholerae str. O395)'],['Homo sapiens (human)']
UNIPROT:Q9KUG5,['Glutamate--cysteine ligase (UniProt:Q9KUG5)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KUG7,"['Protease, insulinase family/protease, insulinase family (UniProt:Q9KUG7)']","['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KUJ8,"['Beta-ketoadipate enol-lactone hydrolase, putative (UniProt:Q9KUJ8)']",['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KUK6,['Methyl-accepting chemotaxis protein (UniProt:Q9KUK6)'],"['Vibrio cholerae', 'Vibrio cholerae MZO-3 (Vibrio cholerae str. MZO-3)']",['Homo sapiens (human)']
UNIPROT:Q9KUM8,['Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (UniProt:Q9KUM8)'],['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KUV6,['MSHA biogenesis protein MshG (UniProt:Q9KUV6)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KUV8,['MSHA biogenesis protein MshN (UniProt:Q9KUV8)'],"['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KUY4,['Glucose-6-phosphate isomerase (UniProt:Q9KUY4)'],['Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)'],['Homo sapiens (human)']
UNIPROT:Q9KV52,['ATP-dependent RNA helicase RhlB (UniProt:Q9KV52)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KV53,"[""Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (UniProt:Q9KV53)""]",['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KV54,['histidine kinase (UniProt:Q9KV54)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KV71,"['Gluconate permease, putative (UniProt:Q9KV71)']","['Vibrio cholerae', 'Vibrio cholerae AM-19226 (Vibrio cholerae str. AM-19226)']",['Homo sapiens (human)']
UNIPROT:Q9KV92,['Metallo-beta-lactamase family protein RNA-specific (UniProt:Q9KV92)'],"['Vibrio cholerae', 'Vibrio cholerae MO10 (Vibrio cholerae str. MO10)', 'Vibrio cholerae V52 (Vibrio cholerae str. V52)']",['Homo sapiens (human)']
UNIPROT:Q9KVB5,['Capsular polysaccharide biosynthesis protein (UniProt:Q9KVB5)'],['Vibrio cholerae O395 (Vibrio cholerae str. O395)'],['Homo sapiens (human)']
UNIPROT:Q9KVC7,['Large ribosomal subunit protein bL33 (UniProt:Q9KVC7)'],['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KVD0,['Methyl-accepting chemotaxis protein (UniProt:Q9KVD0)'],['Vibrio cholerae 1587 (Vibrio cholerae str. 1587)'],['Homo sapiens (human)']
UNIPROT:Q9KVD3,['Lipid A biosynthesis acyltransferase (UniProt:Q9KVD3)'],['Vibrio cholerae V52 (Vibrio cholerae str. V52)'],['Homo sapiens (human)']
UNIPROT:Q9KVD4,['Lipid A biosynthesis acyltransferase (UniProt:Q9KVD4)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KVI0,"['Transcriptional regulator, TetR family (UniProt:Q9KVI0)']",['Vibrio cholerae'],['Homo sapiens (human)']
UNIPROT:Q9KVN7,['Uncharacterized protein (UniProt:Q9KVN7)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KVY0,"['Amino acid ABC transporter, ATP-binding protein (UniProt:Q9KVY0)']","['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9KVY4,['Membrane protein insertase YidC (UniProt:Q9KVY4)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
UNIPROT:Q9X4W3,['Lysine-acyltransferase RtxC (UniProt:Q9X4W3)'],"['Vibrio cholerae', 'Vibrio cholerae 2740-80 (Vibrio cholerae str. 2740-80)']",['Homo sapiens (human)']
