,FEL_mean_beta,FUBAR_mean_alpha,FUBAR_mean_beta,ProtLearn_length,allergenicity_blast_score,allergenicity_hybrid_score,bcell_avg_peptide_length,bcell_num_peptides,cluster_percent_identity/num_strain,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_extracellular,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,deeptmhmm_proportion_outside,discotope_max_calibrated_score,discotope_mean_calibrated_score,discotope_median_discotope_score,discotope_min_discotope_score,discotope_num_epitope_peptides,mhci_num_peptides,mhci_num_strong_binders,mhci_num_weak_binders,mhcii_num_peptides,mhcii_num_strong_binders,mhcii_num_weak_binders,signalp_prob_other,signalp_prob_signalp,targetp_prob_SP,targetp_prob_noTP
deeplocpro_prob_cytoplasmic,-0.0007926596253152634,-0.008989838629957012,-0.0053303997654982746,-0.05571895847310737,-0.2656575419308672,-0.2795458487841625,-0.26306151452439414,-0.2865018475315946,-0.007511564855752462,-0.24898476810005496,1.0,-0.5784149903784508,-0.24760256802903985,-0.4241545702863709,-0.13078979716539096,-0.7314283131730885,-0.08331327812931197,-0.10267354019761288,-0.008352761705904245,0.0013166903056588907,-0.05132823515757815,-0.06386570415156294,-0.05529813932243739,-0.06686241784399415,0.011377101665175558,0.004766825702286573,0.012691016921624066,0.43395506959873315,-0.4308640300437218,-0.35872186225691166,0.3788780339421397
deeplocpro_prob_cytoplasmic_membrane,-0.07030515879423244,-0.06802384271040303,-0.06166230329898393,0.019852729000844536,0.11348137601381078,0.016903345195009613,0.080672537989523,0.06517946351038867,-0.053703268684214635,0.3027038292517695,-0.5784149903784508,1.0,0.20512588236399054,0.14279649386080231,0.10803252379852382,0.39092672918562127,0.04204509004552369,0.05422936229866152,-0.041922916981131035,-0.039940744713546125,0.00226446083096225,0.1288289759071263,0.12472357160434637,0.1295681197304736,-0.010323804534611914,-0.03277824042073552,-0.004036734246717335,-0.216334261161278,0.21944630671191429,0.1897325769409034,-0.1473489678997668
deeplocpro_prob_extracellular,0.23192981736390283,0.22077047838986705,0.2363776306480978,-0.1392532932778111,0.2772328364376663,0.28722013545236375,0.23617995019516028,0.2635151784796896,0.032871279117219626,0.6714268972014423,-0.24760256802903982,0.20512588236399054,1.0,0.16259132033003992,0.2762472811665726,0.15719190834127492,-0.18064474569527317,-0.20183470820192015,-0.14095810605642978,-0.13396969066140188,-0.1513576037861166,-0.06435779355180898,-0.0562132713706651,-0.06727713707393967,-0.017997017435334706,-0.017601146085857694,-0.01700330091844228,-0.0799059148037298,0.08284370107126975,0.11811277864385959,-0.1029575441828992
deeplocpro_prob_outer_membrane,-0.16838303910457111,-0.1803052128524497,-0.193779236494567,0.1389239991202806,0.18401577070097708,0.23183343235857212,0.21454054999988834,0.22268833774260693,-0.17615306666036062,0.3207908858276753,-0.4241545702863709,0.14279649386080231,0.1625913203300399,1.0,0.5431830517091664,0.19254433809060806,0.1531383049683579,0.14963276599239356,0.19443097004535714,0.19336000457828556,0.16172012858407708,-0.06758791537434244,-0.0632113245051186,-0.06910238339124074,0.001314027369865551,0.0272106055210333,-0.006186481612268715,-0.15362474455088476,0.15669832651585863,0.16781725646632495,-0.21788168594629762
deeplocpro_prob_periplasmic,-0.2597558910053949,-0.23745059390338316,-0.2638157399619757,0.13438415381801402,0.11788969864245395,0.11361138555840605,0.08578280572280163,0.10873987496580335,-0.09817161201365869,0.2526827166600342,-0.13078979716539096,0.10803252379852384,0.2762472811665726,0.5431830517091663,1.0,0.09395764138176509,0.12519599273255144,0.1186581511047914,0.17059606563573054,0.177361056370033,0.13651055427374054,-0.07899754044008303,-0.07841574533525648,-0.07882722918666338,-0.0156922667357104,-0.011686945362705361,-0.017750630335306113,-0.17627602662898142,0.17893302590885962,0.23625613785173485,-0.21814495633744743
deeptmhmm_proportion_outside,0.005212304252291602,0.008257386485165876,0.020060557127256556,0.1038622932031756,0.24486254333351515,0.2708399708697062,0.26706148152434983,0.315347017030243,0.05856957249428994,0.16512197133376666,-0.7314283131730885,0.39092672918562127,0.1571919083412749,0.19254433809060806,0.09395764138176509,1.0,0.12407085393630071,0.14294585751669203,-0.010861520697469504,-0.021707863370314502,0.09550422670490255,0.14500900398103173,0.13578262829966126,0.14774953778618888,0.09369713153216774,0.09179704365300846,0.09210308731649455,-0.5931147463829322,0.5943244648613516,0.5241024744537454,-0.47927654084476257
discotope_max_calibrated_score,-0.505646456171281,-0.5018775838761005,-0.5084058480420183,0.9302660530094151,-0.032586952444087394,-0.02854294565012682,0.06360403919288535,0.10879340994232459,-0.1826895112650329,-0.06427314857648918,-0.08331327812931197,0.04204509004552369,-0.18064474569527317,0.1531383049683579,0.12519599273255141,0.12407085393630071,0.9999999999999999,0.9638063804880933,0.4548394832441188,0.4412566646148169,0.9382106616650264,0.3505612538056809,0.3461030658235932,0.3496644339758754,0.3208052913590967,0.2849480082719316,0.32317582019192037,-0.13783387199665012,0.14008525595172625,0.12161774428950481,-0.08197605561623444
discotope_mean_calibrated_score,-0.5098946854219529,-0.5065227115604148,-0.5127475502516741,0.8944969019402692,-0.021182631050579753,-0.020076374346443628,0.05623251791346849,0.09437865885314582,-0.18642013615230038,-0.08613411466961521,-0.10267354019761288,0.05422936229866152,-0.20183470820192015,0.14963276599239356,0.1186581511047914,0.14294585751669203,0.9638063804880933,1.0,0.49393888279565484,0.4703680822419016,0.9035464545787044,0.3179334648412491,0.3131554961362581,0.3173705407483827,0.2786479577669863,0.2454568324322395,0.28102654861953336,-0.15477010068209365,0.15702178216044255,0.13530073313290533,-0.0922211243523781
discotope_median_discotope_score,-0.5264607146468626,-0.5241685366563045,-0.5337119364225589,0.42595446927281866,0.09217323799540979,0.05202304768623171,-0.033633085922704295,-0.06739116280445263,-0.22254657445917006,-0.11946685499643968,-0.008352761705904243,-0.041922916981131035,-0.14095810605642978,0.19443097004535714,0.17059606563573054,-0.010861520697469504,0.45483948324411877,0.4939388827956549,0.9999999999999999,0.996188175008678,0.46683246091811686,-0.41115995971019453,-0.40052181579707485,-0.41300173602549334,-0.3824878485699915,-0.34042994743202254,-0.38614564138965407,0.0004345698786777509,0.0018177273840962052,0.07416398352729867,-0.0791946927860377
discotope_min_discotope_score,-0.5306744506680912,-0.5294290092299667,-0.5379710791885246,0.41924231029559617,0.08715342408971127,0.04528170435860923,-0.03846531222821626,-0.07302666474900699,-0.22511257730828116,-0.11358277673407445,0.0013166903056588907,-0.039940744713546125,-0.13396969066140185,0.19336000457828556,0.177361056370033,-0.021707863370314502,0.44125666461481683,0.47036808224190163,0.996188175008678,0.9999999999999999,0.45457608090592244,-0.41896238438518535,-0.40810913881480976,-0.4207959931903233,-0.38717159612388663,-0.344924406391852,-0.39071708812002437,0.011848635376849687,-0.009596497561484138,0.06581172309929162,-0.07288528582506698
discotope_num_epitope_peptides,-0.47087365911315376,-0.4679044010051631,-0.4760847167338803,0.9658844563926852,-0.03461704388275465,-0.02125548015175996,0.0738613988613861,0.12417399598549539,-0.18488884726916394,-0.040999646692557054,-0.05132823515757815,0.0022644608309622502,-0.1513576037861166,0.16172012858407708,0.13651055427374056,0.09550422670490255,0.9382106616650265,0.9035464545787044,0.46683246091811686,0.45457608090592244,0.9999999999999999,0.3373954644667065,0.3338543588692832,0.33622281366978246,0.3261881436428859,0.2953059023371189,0.32747083348310657,-0.11381185552823876,0.11606223419149944,0.10235699305280233,-0.06244734327938485
mhci_num_peptides,0.08259599336003852,0.04609077771767609,0.09838450306211016,0.35942138425629605,-0.17909874272823084,-0.12710364144217803,0.06613666658139811,0.18704788640506465,0.04192226202362159,0.09753241324808139,-0.06386570415156292,0.1288289759071263,-0.06435779355180898,-0.06758791537434246,-0.07899754044008302,0.1450090039810317,0.3505612538056809,0.3179334648412491,-0.4111599597101946,-0.41896238438518535,0.3373954644667065,0.9999999999999998,0.9881317629891458,0.997619380994186,0.9008929805920884,0.807354315716091,0.907370868786173,-0.12111955491388522,0.12445316091769733,0.02085310807130645,0.03309002403178035
mhci_num_strong_binders,0.08770206571657647,0.04874905332832904,0.10119354414723843,0.3543936210841094,-0.17494439896777864,-0.12002438070515736,0.06710279366479098,0.18717208671160462,0.03752398755755304,0.10592168981393345,-0.05529813932243739,0.12472357160434636,-0.0562132713706651,-0.0632113245051186,-0.07841574533525648,0.13578262829966126,0.3461030658235932,0.3131554961362581,-0.40052181579707485,-0.40810913881480976,0.3338543588692833,0.988131762989146,1.0,0.9754097431890392,0.8931084169844404,0.8033877478778343,0.8986289941739918,-0.1105141788170665,0.11384857056408179,0.015487409061618206,0.037271731233286656
mhci_num_weak_binders,0.07991451396359332,0.04477537929413924,0.09662591665394736,0.3585778521422523,-0.1796494582871475,-0.12910930580365312,0.0651726560201129,0.18583935230716778,0.04298234753567711,0.09334996465866982,-0.06686241784399415,0.1295681197304736,-0.06727713707393967,-0.06910238339124074,-0.07882722918666338,0.14774953778618888,0.34966443397587543,0.31737054074838267,-0.4130017360254933,-0.42079599319032324,0.3362228136697824,0.9976193809941862,0.9754097431890393,1.0,0.8976517976860999,0.8031786455978132,0.9045284540923667,-0.1246530994483421,0.12798639808310866,0.02274595662170058,0.03143731499910173
mhcii_num_peptides,0.08466813139537864,0.05074571535017408,0.10139311501416202,0.34715975311854835,-0.16320559434386975,-0.06189284441917108,0.12090243054610147,0.25321139990046226,0.0710680698860925,0.1449663286245881,0.01137710166517556,-0.010323804534611914,-0.017997017435334706,0.0013140273698655511,-0.0156922667357104,0.09369713153216773,0.3208052913590967,0.2786479577669863,-0.3824878485699915,-0.38717159612388663,0.3261881436428859,0.9008929805920884,0.8931084169844404,0.8976517976861,1.0,0.9361120348709387,0.994998357575522,-0.08828086823041323,0.09160074607792751,0.02837175300184729,0.0124559524698635
mhcii_num_strong_binders,0.08324011483272437,0.056588573423362674,0.10081205961305306,0.31405873163663484,-0.13544472745898908,-0.03552687293982024,0.13427675280275772,0.25802094729083336,0.06790181831804977,0.13488268362739678,0.004766825702286573,-0.03277824042073552,-0.017601146085857694,0.0272106055210333,-0.01168694536270536,0.09179704365300848,0.2849480082719316,0.24545683243223948,-0.3404299474320226,-0.34492440639185207,0.2953059023371189,0.807354315716091,0.8033877478778343,0.8031786455978132,0.9361120348709387,1.0,0.8976974588198238,-0.07575826775248455,0.07902193919469304,0.0217272569247915,0.01078252001826951
mhcii_num_weak_binders,0.08390093291932557,0.04909039337294099,0.10050776351206088,0.3484191563308516,-0.16801352779449022,-0.06775370735219038,0.11604695227018552,0.2484111130296717,0.07008906948663364,0.14632103475676259,0.012691016921624066,-0.004036734246717334,-0.017003300918442283,-0.0061864816122687155,-0.017750630335306113,0.09210308731649455,0.32317582019192037,0.28102654861953336,-0.38614564138965407,-0.39071708812002437,0.32747083348310657,0.9073708687861731,0.8986289941739917,0.9045284540923667,0.9949983575755219,0.8976974588198238,0.9999999999999998,-0.08869163454869768,0.09201216695849895,0.02843718673495253,0.013432892287150075
signalp_prob_other,0.0738008160387361,0.06689301367434942,0.06309798102698862,-0.1155467626263352,-0.14119136907072724,-0.1812466785172959,-0.1219068135466593,-0.1597098487128209,-0.009646939620532723,-0.059645205565402155,0.4339550695987331,-0.21633426116127796,-0.0799059148037298,-0.15362474455088476,-0.17627602662898145,-0.5931147463829322,-0.13783387199665012,-0.15477010068209365,0.00043456987867775083,0.011848635376849688,-0.11381185552823876,-0.12111955491388524,-0.1105141788170665,-0.12465309944834212,-0.08828086823041324,-0.07575826775248456,-0.08869163454869768,0.9999999999999998,-0.9966629324406004,-0.8097891265231907,0.7141841441884921
signalp_prob_signalp,-0.07536444544524264,-0.0693543269353275,-0.06449017602125846,0.11780764818922947,0.13895409463342415,0.18156917843831788,0.12424809695906505,0.16206700140855307,0.012967761468007087,0.061578630468327414,-0.43086403004372176,0.21944630671191426,0.08284370107126973,0.15669832651585863,0.17893302590885962,0.5943244648613516,0.14008525595172625,0.15702178216044255,0.0018177273840962052,-0.009596497561484138,0.11606223419149946,0.12445316091769734,0.11384857056408179,0.12798639808310866,0.09160074607792751,0.07902193919469305,0.09201216695849897,-0.9966629324406007,1.0,0.813120965390678,-0.7108519365168491
targetp_prob_SP,-0.10139326191933073,-0.09084967226875963,-0.09147270504566449,0.1064694039828097,0.14854341792814985,0.20273623687827944,0.09092248470624546,0.13188711367778752,0.011096258793479608,0.08477313757529556,-0.35872186225691166,0.18973257694090342,0.11811277864385958,0.16781725646632495,0.23625613785173485,0.5241024744537454,0.12161774428950481,0.13530073313290533,0.07416398352729867,0.06581172309929163,0.10235699305280233,0.02085310807130645,0.015487409061618204,0.022745956621700585,0.028371753001847286,0.021727256924791504,0.02843718673495253,-0.8097891265231907,0.813120965390678,1.0,-0.8946002990471218
targetp_prob_noTP,0.09918433475717399,0.08036385077623404,0.08855655248598805,-0.06478805382813456,-0.14279107373006997,-0.18018443649156707,-0.08531388308793085,-0.11698179422049841,0.008352139707262713,-0.08864806910701198,0.37887803394213976,-0.1473489678997668,-0.1029575441828992,-0.21788168594629764,-0.21814495633744743,-0.47927654084476257,-0.08197605561623444,-0.0922211243523781,-0.0791946927860377,-0.07288528582506698,-0.062447343279384844,0.03309002403178035,0.037271731233286656,0.03143731499910173,0.0124559524698635,0.010782520018269508,0.013432892287150075,0.714184144188492,-0.710851936516849,-0.8946002990471218,0.9999999999999998
