accession,label
B0B815,positive
B0B816,random
B0B825,random
B0B846,random
B0B874,random
B0B875,random
B0B876,random
B0B880,random
B0B887,random
B0B891,random
B0B894,random
B0B896,random
B0B897,random
B0B899,random
B0B8A2,random
B0B8D2,random
B0B8E9,random
B0B8I2,random
B0B8T3,random
B0B8U0,random
B0B8V8,random
B0B8X5,random
B0B8Y3,random
B0B8Y7,random
B0B910,random
B0B918,random
B0B950,random
B0B960,random
B0B961,random
B0B964,random
B0B971,random
B0B999,random
B0B9B0,random
B0B9C6,random
B0B9J4,random
B0B9K4,random
B0B9T4,random
B0B9T8,random
B0B9U3,random
B0B9W3,random
B0B9Y6,random
B0BA28,random
B0BA81,random
B0BAB7,random
B0BAF3,random
B0BAF8,random
B0BAG2,random
B0BAH7,random
B0BAI4,random
B0BAL3,random
B0BAL6,random
B0BAP7,random
B0BAQ6,random
B0BAU3,random
B0BAX0,random
B0BAZ0,random
B0BB05,random
B0BB18,random
B0BB32,random
B0BB65,random
B0BBB5,random
B0BBD3,random
B0BBJ1,random
B0BBT7,random
B0BBT8,random
B0BBU1,random
B0BBU7,random
B0BBV0,random
B0BC28,random
B0BC30,positive
B0BC41,random
B0BCA8,random
B0BCE1,random
B0BCE7,random
B0BCG3,random
B0LGY7,positive
B0LVE7,positive
B1I7P5,random
B1I8F3,random
B1I8L1,random
B1I8M2,random
B1I8Q1,random
B1I9J5,random
B1IBP0,random
B1ICA2,random
B1ICB3,random
B1ICM9,random
B1ICV9,random
B1N654,positive
B1NWV1,positive
B2ILZ6,random
B2IME4,random
B2IMN3,random
B2IMT4,random
B2ING0,random
B2INH7,random
B2IP51,random
B2IPT6,random
B2IRR9,random
B2IS11,random
B2IS28,random
B2IS65,random
B2IS93,random
B2ISI0,random
B2S2F4,random
B2S2J8,random
B2S321,random
B2S369,random
B2US06,random
B2USD7,random
B2USG1,random
B2USG3,random
B2USN5,random
B2USY3,random
B2UT98,random
B2UTC1,random
B2UTK9,random
B2UTQ6,random
B2UTX4,random
B2UU37,random
B2UU74,random
B2UU76,random
B2UUR0,random
B2UUU1,random
B2UUV8,random
B2UUW2,random
B2UV20,random
B2UV21,random
B2UV70,random
B2UV74,random
B2UV81,random
B2UVC1,random
B2UVE0,random
B2UW06,random
B4RIW3,random
B4RIW5,random
B4RIY7,random
B4RJ05,random
B4RJ69,random
B4RJF6,random
B4RJG2,random
B4RJH7,random
B4RJI1,random
B4RJI8,random
B4RJL0,random
B4RJN3,random
B4RJN4,random
B4RJR8,random
B4RJT3,random
B4RJY6,random
B4RK03,random
B4RK11,random
B4RK78,random
B4RK79,random
B4RK82,random
B4RK98,random
B4RKA0,random
B4RKC9,random
B4RKF0,random
B4RKY2,random
B4RL16,random
B4RL22,random
B4RL28,random
B4RL47,random
B4RL51,random
B4RL58,random
B4RL77,random
B4RLE6,random
B4RLE8,random
B4RLK3,random
B4RLK9,random
B4RLL1,random
B4RLL6,random
B4RLV5,random
B4RLX4,random
B4RLX9,random
B4RM65,random
B4RM87,random
B4RM90,random
B4RMI6,random
B4RMM2,random
B4RN40,random
B4RN50,random
B4RN63,random
B4RNG2,random
B4RNL5,random
B4RNT1,random
B4RNW8,random
B4RNX2,random
B4RP13,random
B4RP57,random
B4RP71,random
B4RP98,random
B4RPA1,random
B4RPI1,random
B4RPI3,random
B4RPQ3,random
B4RPR1,random
B4RPR2,random
B4RQ33,random
B4RQ36,random
B4RQ61,random
B4RQ67,random
B4RQ92,random
B4RQ94,random
B4RQC6,random
B4RQC7,random
B4RQE0,random
B4RQI7,random
B4RQK5,random
B4RQL3,random
B4RQN5,random
B4RQQ5,random
B4RQS8,random
B4RQW1,random
B4RQW3,random
B4RQY1,positive
B4RQY6,random
B4RQY7,random
B4RR07,random
B4RR10,random
B4RR25,random
B4RR62,random
B4RRB6,positive
B5E216,random
B5E2W4,random
B5E3C1,random
B5E3R6,random
B5E4K3,random
B5E4T0,random
B5E515,random
B5E5N3,random
B5E5S4,random
B5E677,random
B5E699,random
B5E6G2,random
B5E6G7,random
B5E6K6,random
B5E6L9,random
B5E714,random
B5QTF3,random
B5QTG6,random
B5QTH9,random
B5QTI0,random
B5QTJ6,random
B5QTV6,random
B5QU78,random
B5QU79,random
B5QUF5,random
B5QUG0,random
B5QUN9,random
B5QUP8,random
B5QUQ2,random
B5QUS6,random
B5QV34,random
B5QV71,random
B5QV72,random
B5QVD8,random
B5QVE1,random
B5QVE6,random
B5QVE7,random
B5QVG7,random
B5QVH1,random
B5QVS9,random
B5QW16,random
B5QW18,random
B5QW23,random
B5QW75,random
B5QW86,random
B5QWC8,random
B5QWF8,random
B5QWH4,random
B5QWI3,random
B5QWI7,random
B5QWM0,random
B5QWR0,random
B5QWT6,random
B5QWT7,random
B5QWW2,random
B5QWX9,random
B5QWY5,random
B5QWY6,random
B5QWZ4,random
B5QX24,random
B5QX56,random
B5QX59,random
B5QX61,random
B5QX75,random
B5QXE0,random
B5QXE5,random
B5QXG6,random
B5QXI2,random
B5QXI6,random
B5QXJ0,random
B5QXJ1,random
B5QXM1,random
B5QXP2,random
B5QXT6,random
B5QY09,random
B5QY15,random
B5QY87,random
B5QYB0,random
B5QYD4,random
B5QYF2,random
B5QYG3,random
B5QYI9,random
B5QYK4,random
B5QYN6,random
B5QYX3,random
B5QYX4,random
B5QYY9,random
B5QZ33,random
B5QZ36,random
B5QZ40,random
B5QZ45,random
B5QZ53,random
B5QZ97,random
B5QZB4,random
B5QZB6,random
B5QZC2,random
B5QZH0,random
B5QZL3,random
B5QZL6,random
B5QZR6,random
B5QZS9,random
B5QZT7,random
B5QZV5,random
B5QZW4,random
B5R004,random
B5R016,random
B5R019,random
B5R023,random
B5R0A0,random
B5R0D9,random
B5R0F4,random
B5R0H4,random
B5R0H6,random
B5R0H7,random
B5R0I0,random
B5R0J6,random
B5R0N2,random
B5R0N8,random
B5R0N9,random
B5R0P4,random
B5R0R4,random
B5R0R8,random
B5R0R9,random
B5R0S8,random
B5R0U4,random
B5R0U6,random
B5R142,random
B5R146,random
B5R163,random
B5R181,random
B5R194,random
B5R1D8,random
B5R1E4,random
B5R1G1,random
B5R1G2,random
B5R1N9,random
B5R1Q9,random
B5R1S4,random
B5R1T9,random
B5R1V5,random
B5R274,random
B5R279,random
B5R283,random
B5R284,random
B5R290,random
B5R298,random
B5R2A8,random
B5R2C3,random
B5R2I6,random
B5R2L6,random
B5R2M5,random
B5R2N0,random
B5R2N7,random
B5R2N9,random
B5R2S5,random
B5R2S7,random
B5R2U7,random
B5R2W7,random
B5R2W9,random
B5R316,random
B5R317,random
B5R347,random
B5R349,random
B5R371,random
B5R384,random
B5R394,random
B5R395,random
B5R3B6,random
B5R3G8,random
B5R3H1,random
B5R3H2,random
B5R3I3,random
B5R3I5,random
B5R3J6,random
B5R3J8,random
B5R3J9,random
B5R3N1,random
B5R3P3,random
B5R3R7,random
B5R3S0,random
B5R3U1,random
B5R3V4,random
B5R3X9,random
B5R3Y5,random
B5R424,random
B5R434,random
B5R447,random
B5R449,random
B5R490,random
B5R4D6,random
B5R4G0,random
B5R4G5,random
B5R4J4,random
B5R4S1,random
B5R4S5,random
B5R4S6,random
B5R541,random
B5R571,random
B5R582,random
B5R5B9,random
B5R5E1,random
B5R5G1,random
B5R5G4,random
B5R5G5,random
B5R5G6,random
B5R5H7,random
B5R5I1,random
B5R5I2,random
B5U8Q2,positive
B5XHV2,random
B5XJ51,random
B5XJ57,random
B5XK49,random
B5XK66,random
B5XK72,random
B5XKP9,random
B5XKQ2,random
B5XKU0,random
B5XL39,random
B5XLM6,random
B5XM46,random
B5XMF0,random
B5XMM1,random
B5Z6E8,random
B5Z6Y9,random
B5Z7I8,random
B5Z7V8,random
B5Z8J7,random
B5Z8N3,random
B5Z8P5,random
B5Z8S5,random
B5Z9Q3,random
B5Z9V7,random
B5Z9W8,random
B5ZAB8,random
B6IYU2,random
B6IYU5,random
B6IYZ2,random
B6IZ00,random
B6IZ24,random
B6IZ52,random
B6IZ55,random
B6IZ81,random
B6IZ97,random
B6IZD5,random
B6IZD8,random
B6IZE4,random
B6IZF7,random
B6IZF9,random
B6IZI4,random
B6IZM3,random
B6IZM7,random
B6IZT4,random
B6J016,random
B6J031,random
B6J0G0,random
B6J0H4,random
B6J0J1,random
B6J0J6,random
B6J0K5,random
B6J0K9,random
B6J0V9,random
B6J134,random
B6J161,positive
B6J185,random
B6J1A4,random
B6J1A6,random
B6J1C6,random
B6J1E0,random
B6J1I7,random
B6J1I8,random
B6J1K0,random
B6J1M3,random
B6J1S7,random
B6J1Y7,random
B6J202,random
B6J216,random
B6J238,random
B6J247,random
B6J255,random
B6J256,random
B6J259,random
B6J260,random
B6J267,random
B6J289,random
B6J2D7,random
B6J2E2,random
B6J2H8,random
B6J2J3,random
B6J2R9,random
B6J2U5,random
B6J316,random
B6J395,random
B6J3N7,random
B6J3P6,random
B6J3V5,random
B6J4A3,random
B6J4A4,random
B6J4E1,random
B6J4L3,random
B6J4Q5,random
B6J4R1,random
B6J4T8,random
B6J4X6,random
B6J503,random
B6J517,random
B6J5B9,random
B6J5D8,random
B6J5E4,random
B6J5E7,random
B6J5F0,random
B6J5F5,random
B6J5K9,random
B6J5L7,random
B6J5L9,random
B6J5R6,random
B6J5S7,random
B6J5W3,random
B6J5W6,random
B6J625,random
B6J655,random
B6J6A9,random
B6J6S6,random
B6J734,random
B6J7Q5,random
B6J7V9,random
B6J7W1,random
B6J7X7,random
B6J8F9,random
B6J8K9,random
B6J8M6,random
B6J8V2,random
B6J929,random
B6J957,random
B6J9C8,random
B6J9K3,random
B6JKG3,random
B6JKG9,random
B6JKX5,random
B6JL99,random
B6JLE8,random
B6JLG3,random
B6JLM6,random
B6JLX1,random
B6JM54,random
B6JM59,random
B6JM61,random
B6JMI1,random
B6JMX4,random
B6JN17,random
B6JN25,random
B6JN65,random
B6JNE2,random
B6JNE5,random
B6JNF0,random
B6JNX2,random
B6JPI5,random
B6JPT1,random
B7SC61,positive
B7SC76,positive
B7SCF6,positive
B7SCG3,positive
B7SCH9,positive
B7UV38,random
B7UV40,random
B7UV86,random
B7UVI9,random
B7UVR5,random
B7UVX0,random
B7UW34,random
B7UWI8,random
B7UXJ1,random
B7UXW8,random
B7UY90,random
B7V0F9,random
B7V1S8,random
B7V2R6,random
B7V3C7,random
B7V3U0,random
B7V3Y9,random
B7V5B5,random
B7V5F0,random
B7V612,random
B7V613,random
B7V667,random
B7V790,random
B7V792,random
B7V797,random
B7V7U2,random
B7V9S6,random
B7VAP9,random
B7VAR4,random
B7VBA7,random
B7VBM8,random
B8ZJJ5,random
B8ZKF6,random
B8ZKF8,random
B8ZKG0,random
B8ZKQ1,random
B8ZKQ6,random
B8ZKX1,random
B8ZKX3,random
B8ZL30,random
B8ZLB0,random
B8ZLK0,random
B8ZMG1,random
B8ZN60,random
B8ZN62,random
B8ZNB1,random
B8ZNW6,random
B8ZPL9,random
B8ZPW3,random
B9XXL6,random
C0RE23,random
C0RE73,random
C0REB5,random
C0REC2,random
C0REH1,random
C0REH2,random
C0REI6,random
C0REM2,random
C0RES0,random
C0RF32,random
C0RF49,random
C0RF56,random
C0RF62,random
C0RF67,random
C0RF89,random
C0RF97,random
C0RFB8,random
C0RFD1,random
C0RFD3,random
C0RFF2,random
C0RFI0,random
C0RFI1,random
C0RFJ0,random
C0RFS0,random
C0RFV5,random
C0RFX2,random
C0RFX4,random
C0RFX5,random
C0RFZ1,random
C0RFZ4,random
C0RG38,random
C0RG44,random
C0RG67,random
C0RG90,random
C0RG97,random
C0RGK0,random
C0RGM7,random
C0RGN1,random
C0RGP5,random
C0RH21,random
C0RH28,random
C0RH97,random
C0RHG2,random
C0RHG7,random
C0RHI7,random
C0RHQ0,random
C0RI01,random
C0RI03,random
C0RI35,random
C0RI52,random
C0RI93,random
C0RIA3,random
C0RIB2,random
C0RIB4,random
C0RIC5,random
C0RIC6,random
C0RIH1,random
C0RIH6,random
C0RIL0,random
C0RIN8,random
C0RIP1,random
C0RIT3,random
C0RIT4,random
C0RIW8,random
C0RJ44,random
C0RJ73,random
C0RJ80,random
C0RJA4,random
C0RJA5,random
C0RJB1,random
C0RJC2,random
C0RJH5,random
C0RJH7,random
C0RJH8,random
C0RJI2,random
C0RJI3,random
C0RJI6,random
C0RJJ0,random
C0RJJ3,random
C0RJJ5,random
C0RJK2,random
C0RJL5,random
C0RJP6,random
C0RK96,random
C0RKF6,random
C0RKP8,random
C0RKS9,random
C0RL20,random
C0RLB0,random
C0RLB6,random
C0RLB8,random
C0RLC0,random
C0RLC2,random
C0RLN1,random
C0RMD3,random
C0RMG8,random
C0RMH2,random
C0RMH3,random
C0RMH8,random
C0RMK5,random
C0RMK6,random
C0RMP1,positive
C1C5V9,random
C1C5Z8,random
C1C631,random
C1C7X6,random
C1C8F7,random
C1C9E8,random
C1C9H7,random
C1CA16,random
C1CB34,random
C1CBC0,random
C1CBG2,random
C1CBX8,random
C1CC06,random
C1CC33,random
C1CCB4,random
C1CCG7,random
C1CDC3,random
C1CE94,random
C1CEC5,random
C1CEF3,random
C1CEH8,random
C1CEN2,random
C1CFJ7,random
C1CG97,random
C1CGA0,random
C1CGP2,random
C1CI34,random
C1CI85,random
C1CI98,random
C1CIA0,random
C1CIA3,random
C1CIA9,random
C1CIB5,random
C1CIU2,random
C1CIX7,random
C1CIY6,random
C1CK18,random
C1CK48,random
C1CKG4,random
C1CKT9,random
C1CL09,random
C1CL81,random
C1CL83,random
C1CLK6,random
C1CLL2,random
C1CLQ6,random
C1CLY4,random
C1CLZ8,random
C1CMI3,random
C1CN42,random
C1CN60,random
C1CN66,random
C1CNE7,random
C1CP88,random
C1CP95,random
C1CQI9,random
C1CQV3,random
C1CQX8,random
C1CQY0,random
C1CQY3,random
C1CR07,random
C1CRT3,random
C1CRW1,random
C1CSF9,random
C1CSS4,random
C1CSV9,random
C1CT54,random
C1CTD1,random
C1CTL2,random
C1CTL4,random
C1CTP8,random
C1CTZ5,random
C1CUF5,random
C3LLI5,random
C3LLJ0,random
C3LLL2,random
C3LLP9,random
C3LLS4,random
C3LLV3,random
C3LLY1,random
C3LMI0,random
C3LN49,random
C3LN58,random
C3LNA0,random
C3LND9,random
C3LNL8,random
C3LNM5,random
C3LNU9,random
C3LP35,random
C3LP97,random
C3LPB8,random
C3LPJ7,random
C3LPP2,random
C3LPP8,random
C3LPR5,random
C3LPV3,random
C3LPZ8,random
C3LQ18,random
C3LQ39,random
C3LQ53,random
C3LQ59,random
C3LQD1,random
C3LQU1,random
C3LQX1,random
C3LQX2,random
C3LQZ1,random
C3LQZ5,random
C3LR00,random
C3LR02,random
C3LR06,random
C3LR57,random
C3LR58,random
C3LR63,random
C3LR98,random
C3LRA0,random
C3LRN2,random
C3LRP2,random
C3LRP3,random
C3LRS3,random
C3LRV2,random
C3LS10,random
C3LS16,random
C3LS21,random
C3LS25,random
C3LS60,random
C3LS71,random
C3LSA4,random
C3LSB1,random
C3LSG5,random
C3LSG8,random
C3LSI9,random
C3LSJ0,random
C3LSN2,random
C3LSP1,random
C3LSP4,random
C3LSP6,random
C3LSR6,random
C3LSZ2,random
C3LT10,random
C3LT39,random
C3LTC2,random
C3LTC5,random
C3LTC8,random
C3LTV0,random
C3LUC2,random
C3LUM7,random
C3LVF6,random
C3LVI8,random
C3LVM7,random
C3LW07,random
C3LW14,random
C3LWP7,random
C3LWT7,random
C4PQQ9,random
C6ZG64,positive
C7B1E8,positive
D3XDZ5,positive
D3XDZ9,positive
E0WDF8,positive
E0WDG1,positive
F7IVD2,positive
F7IVK2,positive
F7IW56,positive
F7IWA5,positive
F8THZ1,positive
F8WJP6,random
F8WJX2,positive
F8WJX4,positive
G1EFQ2,positive
G1UIZ3,positive
G3XD23,positive
G3XD49,positive
G3XD87,positive
H7C7D7,positive
H7C7E4,positive
H7C7F5,positive
H9L4P1,positive
H9L4Q6,positive
H9L4R0,positive
I7H0I4,random
J0IQC3,positive
K0G1Q6,positive
K0GHP7,positive
K0GHV4,positive
M4PH69,positive
O05087,positive
O05131,random
O05168,positive
O06432,random
O06690,positive
O07813,random
O07817,random
O07884,positive
O07887,random
O07896,random
O07899,random
O07950,positive
O08399,random
O24855,random
O24926,random
O25008,random
O25028,random
O25088,random
O25099,random
O25157,random
O25204,positive
O25233,positive
O25249,positive
O25291,random
O25474,random
O25516,random
O25522,positive
O25531,random
O25532,positive
O25537,positive
O25571,positive
O25578,positive
O25595,random
O25606,positive
O25608,random
O25610,random
O25617,positive
O25658,positive
O25679,random
O25688,random
O25703,random
O25766,random
O25769,random
O25794,positive
O25827,random
O25851,random
O25889,random
O25963,random
O25970,random
O25971,random
O26009,random
O26043,random
O26106,random
O30405,positive
O31209,positive
O33372,positive
O50174,positive
O50274,positive
O52044,random
O52760,random
O54312,positive
O66075,random
O66106,random
O66107,random
O67998,positive
O68282,positive
O69077,random
O83047,random
O83048,random
O83052,random
O83055,positive
O83058,random
O83066,random
O83074,random
O83077,random
O83080,positive
O83085,random
O83086,positive
O83095,positive
O83097,random
O83099,random
O83100,random
O83101,random
O83103,random
O83109,random
O83110,random
O83111,positive
O83123,positive
O83126,positive
O83129,random
O83131,random
O83132,random
O83138,positive
O83142,random
O83152,random
O83154,random
O83159,positive
O83163,positive
O83164,positive
O83168,random
O83169,positive
O83170,random
O83183,random
O83185,random
O83195,random
O83204,random
O83209,random
O83213,positive
O83214,random
O83217,random
O83218,random
O83219,random
O83220,random
O83223,random
O83225,random
O83228,random
O83229,random
O83230,random
O83231,random
O83236,random
O83237,random
O83241,random
O83246,positive
O83249,positive
O83251,positive
O83253,random
O83254,random
O83258,random
O83262,random
O83264,random
O83266,random
O83268,positive
O83272,random
O83275,positive
O83277,random
O83278,random
O83279,random
O83281,random
O83284,random
O83295,random
O83296,positive
O83301,positive
O83319,random
O83324,random
O83325,positive
O83329,positive
O83335,positive
O83336,random
O83337,positive
O83344,random
O83346,positive
O83347,positive
O83348,random
O83349,positive
O83358,random
O83369,random
O83373,random
O83383,positive
O83384,positive
O83386,random
O83388,random
O83390,random
O83401,random
O83410,positive
O83413,positive
O83414,positive
O83425,random
O83427,positive
O83433,random
O83435,random
O83442,random
O83444,random
O83448,positive
O83449,positive
O83451,positive
O83452,random
O83456,random
O83458,positive
O83460,random
O83463,random
O83464,random
O83469,positive
O83475,positive
O83478,positive
O83480,random
O83481,positive
O83482,positive
O83483,positive
O83485,random
O83487,positive
O83489,random
O83490,random
O83493,random
O83496,random
O83499,positive
O83500,random
O83503,positive
O83505,random
O83507,positive
O83520,positive
O83522,positive
O83528,positive
O83530,random
O83536,random
O83537,random
O83539,random
O83541,random
O83546,random
O83548,positive
O83550,random
O83554,random
O83557,positive
O83564,random
O83575,random
O83581,positive
O83585,random
O83586,random
O83590,random
O83593,random
O83608,random
O83610,random
O83613,positive
O83615,positive
O83619,positive
O83625,random
O83627,positive
O83629,positive
O83630,positive
O83633,positive
O83639,positive
O83640,random
O83641,positive
O83649,random
O83650,random
O83651,random
O83653,random
O83658,random
O83661,positive
O83664,random
O83666,positive
O83667,random
O83668,random
O83669,positive
O83671,random
O83672,random
O83679,random
O83683,random
O83690,random
O83691,positive
O83696,random
O83705,random
O83710,random
