Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_47|Q8DQ24|Foldase|WP_000727935.1|tpos:1-313,0.344,0.0,0.0,0.344,Allergen
antigen_34|A0A098ZLB0|ABC|WP_127245095.1|tpos:1-501,0.44,0.0,-0.5,-0.06,Non-Allergen
antigen_7|Q8DPI5|Homologous|WP_000837609.1|tpos:1-292,0.019,0.0,0.0,0.019,Non-Allergen
antigen_8|Q8DPK5|ABC|WP_000726258.1|tpos:1-721,0.313,0.5,-0.5,0.313,Allergen
antigen_66|A0A062WSP2|Elongation|WP_001040724.1|tpos:1-398,0.177,0.0,-0.5,-0.323,Non-Allergen
antigen_1|Q59947|Immunoglobulin|WP_050244769.1|tpos:1-1892,0.242,0.5,0.0,0.742,Allergen
antigen_67|A0A0H2UNY9|Pep27|WP_199862660.1|tpos:1-27,0.086,0.0,0.0,0.086,Non-Allergen
antigen_30|A0AAP5J5G2|ZmpA/ZmpB/ZmpC|WP_050244769.1|tpos:993-1462,0.2,0.0,0.0,0.2,Non-Allergen
antigen_31|A0A064C176|Zinc|WP_000473006.1|tpos:1-1900,0.217,0.5,0.0,0.717,Allergen
antigen_55|A0A0B7LWN8|Oligopeptide-binding|WP_000742233.1|tpos:1-659,0.525,0.5,0.0,1.025,Allergen
antigen_50|A0A062WSR0|Manganese|WP_000559784.1|tpos:1-282,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_59|Q8DRN0|Amphipathic|WP_050243503.1|tpos:1-75,0.483,0.0,0.0,0.483,Allergen
antigen_21|A0A0H2ZNF5|D-alanyl-lipoteichoic|WP_000813667.1|tpos:1-43,0.242,0.0,0.0,0.242,Non-Allergen
antigen_22|A0A064C0M1|PspC|WP_001085044.1|tpos:1-90,0.196,0.0,0.0,0.196,Non-Allergen
antigen_23|A0A6I3UXD9|Choline|WP_000698571.1|tpos:283-448,0.287,0.0,0.0,0.287,Non-Allergen
antigen_2|Q7ZAK5|Pneumolysin|WP_001284361.1|tpos:1-471,0.185,0.5,0.0,0.685,Allergen
antigen_35|A0A064C4V0|Adhesion|WP_000744528.1|tpos:1-305,0.25,0.0,-0.5,-0.25,Non-Allergen
antigen_58|B1N654|CbpA|WP_127245096.1|tpos:1-172,0.225,0.0,0.0,0.225,Non-Allergen
antigen_46|A0A0T8T3N8|Endo-beta-N-acetylglucosaminidase|WP_078134949.1|tpos:20-677,0.47,0.0,0.0,0.47,Allergen
antigen_16|Q8DQZ1|6-phospho-beta-galactosidase|WP_000169247.1|tpos:3-459,0.437,0.0,0.0,0.437,Allergen
antigen_49|A0A822QE61|NADH|WP_000036793.1|tpos:1-459,0.368,0.0,-0.5,-0.132,Non-Allergen
antigen_19|Q8DRM6|Phosphoribosylformylglycinamide|WP_127244969.1|tpos:1-1241,0.441,0.0,-0.5,-0.059,Non-Allergen
antigen_51|Q8DNW8|ABC|WP_000619143.1|tpos:1-240,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_0|P0A336|Chaperonin|WP_000031573.1|tpos:1-540,0.149,0.5,0.0,0.649,Allergen
antigen_52|P0A4G3|Manganese|WP_000733056.1|tpos:1-309,0.26,0.0,-0.5,-0.24,Non-Allergen
antigen_17|Q8DRI0|Surface|WP_000753908.1|tpos:464-620,0.306,0.0,-0.5,-0.194,Non-Allergen
antigen_18|Q8DRK2|Gram-positive|WP_127244971.1|tpos:1-1161,0.508,0.5,0.0,1.008,Allergen
antigen_37|A0A5C5EC23|Pneumococcal|WP_127245047.1|tpos:1-315,0.377,0.0,0.0,0.377,Allergen
antigen_48|A0A0B7M798|Surface|WP_055350949.1|tpos:1-96,0.34,0.0,0.0,0.34,Allergen
antigen_54|A0A0T8BMK3|N-acetylneuraminate|WP_001281529.1|tpos:1-305,0.098,0.5,-0.5,0.098,Non-Allergen
antigen_12|Q8DQN5|Zinc|WP_000473006.1|tpos:1-1900,0.217,0.5,0.0,0.717,Allergen
antigen_36|A0A0E7XNV3|Pneumococcal|WP_050114021.1|tpos:1-1039,0.399,0.5,0.0,0.899,Allergen
antigen_60|A0A4J1ZDL7|Beta-galactosidase|WP_000196553.1|tpos:1-595,0.181,0.0,-0.5,-0.319,Non-Allergen
antigen_53|A0A4J2EQE8|exo-alpha-sialidase|WP_127245072.1|tpos:1-697,0.197,0.5,0.0,0.697,Allergen
antigen_40|A0A6G2D0Z1|Fibronectin-binding|WP_127244971.1|tpos:1-499,0.565,0.0,0.0,0.565,Allergen
antigen_41|Q8DQ36|Rqc2|WP_000141827.1|tpos:1-551,0.074,0.0,0.5,0.574,Allergen
