Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_4|B0BAL3|UDP-N-acetylmuramoylalanine--D-glutamate|CAX11217.1|tpos:1-416,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_177|P10560|Virulence|CAX11040.1|tpos:76-190,0.232,0.0,0.0,0.232,Non-Allergen
antigen_112|B0B7S3|Ribosomal|CAX10806.1|tpos:1-277,0.032,0.0,-0.5,-0.468,Non-Allergen
antigen_113|B0B8A2|Large|CAX10985.1|tpos:1-221,0.238,0.0,0.0,0.238,Non-Allergen
antigen_114|O84543|Uncharacterized|CAX10995.1|tpos:1-238,0.068,0.0,0.0,0.068,Non-Allergen
antigen_169|Q3KMC6|Acyl|CAX10685.1|tpos:1-77,0.225,0.0,-0.5,-0.275,Non-Allergen
antigen_170|B0B816|Small|CAX10899.1|tpos:1-88,0.565,0.0,0.0,0.565,Allergen
antigen_26|B0BBU7|Large|CAX10765.1|tpos:1-130,0.466,0.5,-0.5,0.466,Allergen
antigen_27|Q3KMV9|Tyrosine--tRNA|CAX10509.1|tpos:1-412,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_82|O84719|Glycerol-3-phosphate|CAX11173.1|tpos:1-334,0.016,0.5,-0.5,0.016,Non-Allergen
antigen_83|B0B887|Large|CAX10970.1|tpos:1-123,0.143,0.0,0.0,0.143,Non-Allergen
antigen_84|C4PQQ9|Deubiquitinase|CAX11331.1|tpos:1-339,0.097,0.5,0.0,0.597,Allergen
"antigen_161|B0BAH7|2,3-bisphosphoglycerate-dependent|CAX11181.1|tpos:1-226",0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_162|O84734|Serine--tRNA|CAX11188.1|tpos:1-428,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_133|B0B810|Small|CAX10893.1|tpos:1-157,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_134|P0DPS8|Serine/threonine-protein|CAX10750.1|tpos:1-934,0.007,0.0,-0.5,-0.493,Non-Allergen
antigen_31|P0A4C8|Small|CAX10969.1|tpos:1-165,0.126,0.0,-0.5,-0.374,Non-Allergen
antigen_24|B0B9C6|Isoleucine--tRNA|CAX10465.1|tpos:1-1036,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_139|Q3KMP3|Small|CAX10573.1|tpos:1-129,0.123,0.5,-0.5,0.123,Non-Allergen
antigen_140|O84312|V-type|CAX10759.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_141|Q3KKW5|Serine--tRNA|CAX11188.1|tpos:1-428,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_160|Q3KN20|Aspartyl/glutamyl-tRNA(Asn/Gln)|CAX10448.1|tpos:1-100,0.271,0.0,0.0,0.271,Non-Allergen
antigen_132|O84304|Valine--tRNA|CAX10751.1|tpos:1-939,0.029,0.5,-0.5,0.029,Non-Allergen
antigen_147|B0B8D2|Lipoyl|CAX11015.1|tpos:1-311,0.014,0.0,0.0,0.014,Non-Allergen
antigen_148|Q3KKJ9|tRNA(Ile)-lysidine|CAX11302.1|tpos:1-321,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_57|P13467|Major|CAX11140.1|tpos:1-394,0.296,0.0,0.0,0.296,Non-Allergen
antigen_58|B0BAG2|Trigger|CAX11166.1|tpos:1-442,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_108|B0B7X8|Lipoprotein|CAX10861.1|tpos:1-167,0.116,0.0,-0.5,-0.384,Non-Allergen
antigen_109|O84420|Putative|CAX10868.1|tpos:1-276,0.012,0.5,-0.5,0.012,Non-Allergen
antigen_110|O84381|Malate|CAX10828.1|tpos:1-326,0.008,0.0,0.5,0.508,Allergen
antigen_22|O84128|Small|CAX10573.1|tpos:1-129,0.123,0.5,-0.5,0.123,Non-Allergen
antigen_23|Q3KMZ6|Small|CAX10472.1|tpos:1-116,0.116,0.0,0.0,0.116,Non-Allergen
"antigen_81|O84874|1,4-alpha-glucan|CAX11330.1|tpos:1-738",0.174,0.0,-0.5,-0.326,Non-Allergen
antigen_191|B0BB65|Bifunctional|CAX10525.1|tpos:1-287,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_192|O84033|Guanylate|CAX10476.1|tpos:1-205,0.159,0.0,-0.5,-0.341,Non-Allergen
antigen_193|O84188|Glucose-6-phosphate|CAX10633.1|tpos:69-507,0.037,0.0,0.0,0.037,Non-Allergen
"antigen_92|O84727|2,3-bisphosphoglycerate-dependent|CAX11181.1|tpos:1-226",0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_52|B0BB05|Isoleucine--tRNA|CAX10465.1|tpos:1-1036,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_135|O84632|tRNA|CAX11085.1|tpos:1-327,0.551,0.5,-0.5,0.551,Allergen
antigen_163|O84544|Thioredoxin|CAX10996.1|tpos:1-102,0.135,0.0,0.5,0.635,Allergen
antigen_164|Q3KKK4|Large|CAX11297.1|tpos:1-123,0.139,0.0,0.0,0.139,Non-Allergen
antigen_165|B0BBJ1|UPF0301|CAX10659.1|tpos:1-189,0.135,0.0,-0.5,-0.365,Non-Allergen
antigen_75|O84533|Large|CAX10985.1|tpos:1-221,0.238,0.0,0.0,0.238,Non-Allergen
antigen_136|B0B7N3|Large|CAX10766.1|tpos:1-172,0.176,0.0,-0.5,-0.324,Non-Allergen
antigen_137|O84637|UPF0159|CAX11090.1|tpos:1-529,0.058,0.0,-0.5,-0.442,Non-Allergen
antigen_99|O84694|Probable|CAX11147.1|tpos:1-281,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_100|P0CD72|Glucose-6-phosphate|CAX10830.1|tpos:1-525,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_118|P17451|Major|CAX11140.1|tpos:1-394,0.296,0.0,0.0,0.296,Non-Allergen
antigen_119|O84369|4-hydroxy-tetrahydrodipicolinate|CAX10816.1|tpos:8-253,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_5|B0B8X5|Alanine--tRNA|CAX11208.1|tpos:1-875,0.106,0.5,-0.5,0.106,Non-Allergen
antigen_138|B0BAZ0|Aspartyl/glutamyl-tRNA(Asn/Gln)|CAX10450.1|tpos:1-488,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_49|O84836|tRNA|CAX11291.1|tpos:1-224,0.403,0.0,-0.5,-0.097,Non-Allergen
antigen_15|O84075|Putative|CAX10519.1|tpos:1-619,0.029,0.0,-0.5,-0.471,Non-Allergen
antigen_122|B0B7Y8|GTPase|CAX10871.1|tpos:1-335,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_123|P0DPS7|Serine/threonine-protein|CAX10592.1|tpos:1-614,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_130|B0B9B0|Glutamyl-tRNA(Gln)|CAX10449.1|tpos:1-491,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_131|B0BBD3|DNA|CAX10593.1|tpos:1-663,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_106|O84762|Phospho-N-acetylmuramoyl-pentapeptide-transferase|CAX11216.1|tpos:1-336,0.096,0.5,-0.5,0.096,Non-Allergen
antigen_107|B0B9W3|Ribose-5-phosphate|CAX10661.1|tpos:1-242,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_29|O84239|Acyl|CAX10685.1|tpos:1-77,0.225,0.0,-0.5,-0.275,Non-Allergen
antigen_30|O84744|DNA|CAX11198.1|tpos:1-799,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_19|P23421|Major|CAX11140.1|tpos:1-394,0.296,0.0,0.0,0.296,Non-Allergen
antigen_35|Q3KL32|Glutamyl-tRNA|CAX11121.1|tpos:1-335,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_36|B0BAP7|DNA|CAX11251.1|tpos:1-820,0.039,0.5,-0.5,0.039,Non-Allergen
antigen_183|O84130|Adenylate|CAX10575.1|tpos:1-245,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_184|Q3KMH4|Thymidylate|CAX10636.1|tpos:1-203,0.251,0.0,-0.5,-0.249,Non-Allergen
antigen_185|O84549|DNA|CAX11002.1|tpos:1-1237,0.049,0.5,-0.5,0.049,Non-Allergen
antigen_0|B0BBB5|Adenylate|CAX10575.1|tpos:1-245,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_125|B0BA81|tRNA|CAX11085.1|tpos:1-327,0.551,0.5,-0.5,0.551,Allergen
antigen_96|O84509|Holliday|CAX10958.1|tpos:1-200,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_97|B0BBV0|Large|CAX10768.1|tpos:1-141,0.311,0.0,-0.5,-0.189,Non-Allergen
