Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_155|Q3KL90|dITP/XTP|WP_009871973.1|tpos:1-209,0.186,0.0,-0.5,-0.314,Non-Allergen
antigen_5|B0B8X5|Alanine--tRNA|WP_069568626.1|tpos:1-875,0.103,0.5,-0.5,0.103,Non-Allergen
antigen_23|Q3KMZ6|Small|WP_011324527.1|tpos:1-116,0.116,0.0,0.0,0.116,Non-Allergen
antigen_17|O84077|DNA|WP_011324552.1|tpos:1-365,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_18|Q3KMF3|Leucine--tRNA|WP_069568381.1|tpos:1-819,0.084,0.0,-0.5,-0.416,Non-Allergen
"antigen_92|O84727|2,3-bisphosphoglycerate-dependent|WP_009872098.1|tpos:1-226",0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_93|O84096|tRNA|WP_009872371.1|tpos:1-241,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_125|B0BA81|tRNA|WP_009871996.1|tpos:1-327,0.551,0.5,-0.5,0.551,Allergen
"antigen_81|O84874|1,4-alpha-glucan|WP_009872256.1|tpos:1-738",0.172,0.0,-0.5,-0.328,Non-Allergen
antigen_127|Q3KM52|V-type|WP_010725155.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_128|B0B7M6|V-type|WP_010725155.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_129|O84253|Membrane|WP_011324665.1|tpos:1-787,0.1,0.5,-0.5,0.1,Non-Allergen
antigen_177|P10560|Virulence|WP_011324781.1|tpos:76-190,0.232,0.0,0.0,0.232,Non-Allergen
antigen_178|O84413|Lipoprotein|WP_009871760.1|tpos:1-167,0.121,0.0,-0.5,-0.379,Non-Allergen
antigen_179|O84860|UPF0056|WP_011324897.1|tpos:1-204,0.1,0.0,0.0,0.1,Non-Allergen
antigen_185|O84549|DNA|WP_011324766.1|tpos:1-1237,0.053,0.5,-0.5,0.053,Non-Allergen
antigen_131|B0BBD3|DNA|WP_069568354.1|tpos:1-663,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_126|B0BAL6|UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)|WP_009872141.1|tpos:1-352,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_24|B0B9C6|Isoleucine--tRNA|WP_069568310.1|tpos:1-1036,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_15|O84075|Putative|WP_009872359.1|tpos:1-619,0.029,0.0,-0.5,-0.471,Non-Allergen
antigen_99|O84694|Probable|WP_011324828.1|tpos:1-281,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_100|P0CD72|Glucose-6-phosphate|WP_069568443.1|tpos:1-525,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_105|Q3KLY3|Pyruvoyl-dependent|WP_011324706.1|tpos:1-195,0.532,0.5,0.0,1.032,Allergen
antigen_147|B0B8D2|Lipoyl|WP_009871922.1|tpos:1-311,0.014,0.0,0.0,0.014,Non-Allergen
antigen_149|Q3KM44|Large|WP_009872555.1|tpos:1-232,0.278,0.0,0.0,0.278,Non-Allergen
antigen_150|Q3KM39|Translation|WP_009871670.1|tpos:1-73,0.101,0.0,0.0,0.101,Non-Allergen
antigen_151|O84098|Translation|WP_414038917.1|tpos:1-892,0.076,0.5,-0.5,0.076,Non-Allergen
antigen_188|O84299|Ribonuclease|WP_009871645.1|tpos:1-231,0.095,0.0,-0.5,-0.405,Non-Allergen
antigen_189|B0B874|Nucleoside|WP_009871864.1|tpos:1-141,0.372,0.0,0.5,0.872,Allergen
antigen_198|B0B896|Small|WP_009871886.1|tpos:1-224,0.13,0.0,-0.5,-0.37,Non-Allergen
antigen_90|B0B876|Crossover|WP_011324756.1|tpos:1-170,0.335,0.0,-0.5,-0.165,Non-Allergen
antigen_91|B0B9U3|Queuine|WP_011324629.1|tpos:1-372,0.093,0.0,-0.5,-0.407,Non-Allergen
antigen_134|P0DPS8|Serine/threonine-protein|WP_015506387.1|tpos:1-934,0.007,0.0,-0.5,-0.493,Non-Allergen
antigen_118|P17451|Major|WP_414038899.1|tpos:1-394,0.287,0.0,0.0,0.287,Non-Allergen
"antigen_11|B0B8V8|6,7-dimethyl-8-ribityllumazine|WP_009872109.1|tpos:1-157",0.102,0.0,-0.5,-0.398,Non-Allergen
antigen_12|B0B7S2|Peptide|WP_009871704.1|tpos:1-181,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_14|P0CE08|DNA-directed|WP_009871871.1|tpos:1-377,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_31|P0A4C8|Small|WP_009871876.1|tpos:1-165,0.135,0.0,-0.5,-0.365,Non-Allergen
antigen_94|B0B897|Large|WP_010725239.1|tpos:1-111,0.107,0.0,-0.5,-0.393,Non-Allergen
antigen_95|O84289|tRNA-specific|WP_009872281.1|tpos:1-358,0.219,0.0,-0.5,-0.281,Non-Allergen
antigen_144|Q3KKK3|Phenylalanine--tRNA|WP_011324887.1|tpos:1-342,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_169|Q3KMC6|Acyl|WP_009871583.1|tpos:1-77,0.225,0.0,-0.5,-0.275,Non-Allergen
antigen_170|B0B816|Small|WP_009871799.1|tpos:1-88,0.565,0.0,0.0,0.565,Allergen
antigen_171|O84834|Ribonucleoside-diphosphate|WP_009872213.1|tpos:1-1047,0.019,0.5,-0.5,0.019,Non-Allergen
antigen_71|Q3KN19|Glutamyl-tRNA(Gln)|WP_009871349.1|tpos:1-491,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_64|B0B960|UDP-N-acetylenolpyruvoylglucosamine|WP_009872217.1|tpos:1-291,0.193,0.0,-0.5,-0.307,Non-Allergen
antigen_65|O84842|Large|WP_009872966.1|tpos:1-123,0.129,0.0,0.0,0.129,Non-Allergen
antigen_28|B0B999|Deubiquitinase|WP_011324910.1|tpos:1-339,0.103,0.5,0.0,0.603,Allergen
antigen_3|B0B8U0|Glycerol-3-phosphate|WP_010725315.1|tpos:1-334,0.016,0.5,-0.5,0.016,Non-Allergen
antigen_49|O84836|tRNA|WP_009872215.1|tpos:1-224,0.403,0.0,-0.5,-0.097,Non-Allergen
antigen_53|B0B9J4|Large|WP_011324560.1|tpos:1-89,0.133,0.0,-0.5,-0.367,Non-Allergen
antigen_117|O84350|Ribonuclease|WP_069568437.1|tpos:1-304,0.056,0.5,-0.5,0.056,Non-Allergen
antigen_69|B0BAU3|Large|WP_009872966.1|tpos:1-123,0.129,0.0,0.0,0.129,Non-Allergen
antigen_70|Q3KKL0|tRNA|WP_009872215.1|tpos:6-224,0.428,0.0,-0.5,-0.072,Non-Allergen
antigen_57|P13467|Major|WP_414038899.1|tpos:1-394,0.287,0.0,0.0,0.287,Non-Allergen
antigen_58|B0BAG2|Trigger|WP_009872082.1|tpos:1-442,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_44|O84296|Superoxide|WP_009871642.1|tpos:1-206,0.253,0.0,0.5,0.753,Allergen
antigen_45|B0B894|Large|WP_009871884.1|tpos:1-72,0.401,0.0,0.0,0.401,Allergen
antigen_46|O84172|Tryptophan|WP_069568364.1|tpos:1-392,0.105,0.5,0.0,0.605,Allergen
antigen_47|B0B964|Large|WP_009872966.1|tpos:1-123,0.129,0.0,0.0,0.129,Non-Allergen
antigen_48|B0BB18|Methionine--tRNA|WP_011324529.1|tpos:1-550,0.098,0.0,-0.5,-0.402,Non-Allergen
antigen_29|O84239|Acyl|WP_009871583.1|tpos:1-77,0.225,0.0,-0.5,-0.275,Non-Allergen
antigen_30|O84744|DNA|WP_414038903.1|tpos:1-812,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_120|B0B8Y7|UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)|WP_009872141.1|tpos:1-352,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_102|B0BCE7|Small|WP_011324759.1|tpos:1-132,0.199,0.0,0.0,0.199,Non-Allergen
antigen_141|Q3KKW5|Serine--tRNA|WP_009872106.1|tpos:1-428,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_101|Q3KKR1|Lysine--tRNA|WP_069568572.1|tpos:1-526,0.079,0.0,-0.5,-0.421,Non-Allergen
antigen_51|O84192|DNA|WP_069568374.1|tpos:1-836,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_109|O84420|Putative|WP_009871767.1|tpos:1-276,0.012,0.5,-0.5,0.012,Non-Allergen
antigen_110|O84381|Malate|WP_009871729.1|tpos:1-326,0.008,0.0,0.5,0.508,Allergen
antigen_111|O84796|UvrABC|WP_010725346.1|tpos:1-598,0.045,0.0,-0.5,-0.455,Non-Allergen
antigen_138|B0BAZ0|Aspartyl/glutamyl-tRNA(Asn/Gln)|WP_009871350.1|tpos:1-488,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_148|Q3KKJ9|tRNA(Ile)-lysidine|WP_009872227.1|tpos:1-321,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_196|O84508|Nucleoside|WP_009871864.1|tpos:1-141,0.372,0.0,0.5,0.872,Allergen
antigen_19|P23421|Major|WP_414038899.1|tpos:1-394,0.287,0.0,0.0,0.287,Non-Allergen
antigen_40|Q3KM31|Exodeoxyribonuclease|WP_009872565.1|tpos:1-516,0.112,0.0,-0.5,-0.388,Non-Allergen
antigen_63|B0B8E9|DNA|WP_069568487.1|tpos:1-576,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_7|Q3KM75|tRNA-specific|WP_009872281.1|tpos:1-358,0.219,0.0,-0.5,-0.281,Non-Allergen
antigen_10|B0B9T8|Thymidylate|WP_009871534.1|tpos:1-203,0.251,0.0,-0.5,-0.249,Non-Allergen
antigen_75|O84533|Large|WP_069568464.1|tpos:1-221,0.226,0.0,0.0,0.226,Non-Allergen
antigen_122|B0B7Y8|GTPase|WP_011324729.1|tpos:1-335,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_32|B0BCA8|DNA|WP_069568457.1|tpos:1-243,0.067,0.5,0.0,0.567,Allergen
antigen_33|Q3KKP0|Small|WP_009872183.1|tpos:1-112,0.143,0.0,-0.5,-0.357,Non-Allergen
antigen_34|O84530|Large|WP_009871889.1|tpos:1-284,0.173,0.0,-0.5,-0.327,Non-Allergen
antigen_0|B0BBB5|Adenylate|WP_069568347.1|tpos:1-245,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_6|B0BAQ6|Peptidyl-tRNA|WP_009873224.1|tpos:1-179,0.074,0.0,-0.5,-0.426,Non-Allergen
antigen_8|B0B8I2|Uracil-DNA|WP_009871975.1|tpos:1-229,0.177,0.0,-0.5,-0.323,Non-Allergen
antigen_9|B0BAI4|Serine--tRNA|WP_009872106.1|tpos:1-428,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_13|B0BC41|Transcriptional|WP_009871758.1|tpos:1-154,0.058,0.0,0.0,0.058,Non-Allergen
antigen_103|O84512|Uncharacterized|WP_011324757.1|tpos:1-288,0.086,0.0,0.0,0.086,Non-Allergen
antigen_104|B0B891|Large|WP_009871881.1|tpos:1-111,0.213,0.0,-0.5,-0.287,Non-Allergen
antigen_106|O84762|Phospho-N-acetylmuramoyl-pentapeptide-transferase|WP_009872137.1|tpos:1-336,0.096,0.5,-0.5,0.096,Non-Allergen
antigen_113|B0B8A2|Large|WP_069568464.1|tpos:1-221,0.226,0.0,0.0,0.226,Non-Allergen
antigen_114|O84543|Uncharacterized|WP_009871902.1|tpos:1-238,0.076,0.0,0.0,0.076,Non-Allergen
antigen_136|B0B7N3|Large|WP_009871664.1|tpos:1-172,0.176,0.0,-0.5,-0.324,Non-Allergen
antigen_137|O84637|UPF0159|WP_009872805.1|tpos:1-529,0.058,0.0,-0.5,-0.442,Non-Allergen
antigen_135|O84632|tRNA|WP_009871996.1|tpos:1-327,0.551,0.5,-0.5,0.551,Allergen
antigen_142|O84222|Flavin|WP_009873649.1|tpos:1-192,0.051,0.0,0.0,0.051,Non-Allergen
antigen_143|O84179|Probable|WP_009871522.1|tpos:1-135,0.183,0.0,-0.5,-0.317,Non-Allergen
antigen_146|O84847|tRNA(Ile)-lysidine|WP_009872227.1|tpos:1-321,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_158|B0BBU1|V-type|WP_010725155.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_159|Q3KL16|Uridylate|WP_011324820.1|tpos:1-245,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_194|B0BAB7|Glutamyl-tRNA|WP_010725294.1|tpos:1-335,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_199|B0BB32|Probable|WP_069568323.1|tpos:1-499,0.307,0.0,-0.5,-0.193,Non-Allergen
antigen_107|B0B9W3|Ribose-5-phosphate|WP_011324643.1|tpos:1-242,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_108|B0B7X8|Lipoprotein|WP_009871760.1|tpos:1-167,0.121,0.0,-0.5,-0.379,Non-Allergen
antigen_133|B0B810|Small|WP_009871793.1|tpos:1-157,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_152|B0BBT7|V-type|WP_009871653.1|tpos:1-203,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_153|B0B9T4|Putative|WP_009871530.1|tpos:1-148,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_164|Q3KKK4|Large|WP_009872966.1|tpos:1-123,0.129,0.0,0.0,0.129,Non-Allergen
antigen_165|B0BBJ1|UPF0301|WP_012727843.1|tpos:1-189,0.135,0.0,-0.5,-0.365,Non-Allergen
antigen_187|B0B8T3|Trigger|WP_009872082.1|tpos:1-442,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_112|B0B7S3|Ribosomal|WP_009873749.1|tpos:1-277,0.03,0.0,-0.5,-0.47,Non-Allergen
antigen_115|B0BC28|Proline--tRNA|WP_012727903.1|tpos:1-581,0.135,0.5,-0.5,0.135,Non-Allergen
antigen_166|B0B9Y6|UDP-3-O-acyl-N-acetylglucosamine|WP_009871897.1|tpos:1-286,0.075,0.0,0.0,0.075,Non-Allergen
antigen_167|B0BA28|DNA|WP_069568487.1|tpos:1-576,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_35|Q3KL32|Glutamyl-tRNA|WP_010725294.1|tpos:1-335,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_36|B0BAP7|DNA|WP_011324868.1|tpos:1-820,0.039,0.5,-0.5,0.039,Non-Allergen
antigen_85|O84589|Tryptophan--tRNA|WP_009871951.1|tpos:1-346,0.014,0.5,-0.5,0.014,Non-Allergen
antigen_86|O84672|Uncharacterized|WP_009872037.1|tpos:1-83,0.177,0.0,0.0,0.177,Non-Allergen
antigen_37|B0B8Y3|Phospho-N-acetylmuramoyl-pentapeptide-transferase|WP_009872137.1|tpos:1-336,0.096,0.5,-0.5,0.096,Non-Allergen
antigen_72|O84005|Glutamyl-tRNA(Gln)|WP_009871348.1|tpos:1-100,0.271,0.0,0.0,0.271,Non-Allergen
antigen_73|B0B950|Succinate--CoA|WP_024067285.1|tpos:1-386,0.118,0.0,0.0,0.118,Non-Allergen
antigen_74|O84127|Large|WP_009871472.1|tpos:1-150,0.158,0.0,-0.5,-0.342,Non-Allergen
antigen_160|Q3KN20|Aspartyl/glutamyl-tRNA(Asn/Gln)|WP_009871348.1|tpos:1-100,0.271,0.0,0.0,0.271,Non-Allergen
"antigen_161|B0BAH7|2,3-bisphosphoglycerate-dependent|WP_009872098.1|tpos:1-226",0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_162|O84734|Serine--tRNA|WP_009872106.1|tpos:1-428,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_173|Q3KLU5|Lipoprotein|WP_009871760.1|tpos:1-167,0.121,0.0,-0.5,-0.379,Non-Allergen
antigen_174|B0B825|Cytidylate|WP_011324740.1|tpos:1-216,0.057,0.0,-0.5,-0.443,Non-Allergen
antigen_191|B0BB65|Bifunctional|WP_009871427.1|tpos:1-287,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_192|O84033|Guanylate|WP_009871377.1|tpos:1-205,0.146,0.0,-0.5,-0.354,Non-Allergen
antigen_193|O84188|Glucose-6-phosphate|WP_011324625.1|tpos:69-507,0.042,0.0,0.0,0.042,Non-Allergen
antigen_60|B0B9K4|Translation|WP_414038917.1|tpos:1-892,0.076,0.5,-0.5,0.076,Non-Allergen
antigen_62|P08780|Major|WP_414038899.1|tpos:1-394,0.287,0.0,0.0,0.287,Non-Allergen
antigen_16|B0B7R5|Ribonuclease|WP_069568437.1|tpos:1-304,0.056,0.5,-0.5,0.056,Non-Allergen
antigen_41|B0B7P9|1-deoxy-D-xylulose-5-phosphate|WP_414038928.1|tpos:1-640,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_20|O84421|Probable|WP_009871768.1|tpos:1-236,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_21|B0B918|DNA|WP_011324868.1|tpos:1-820,0.039,0.5,-0.5,0.039,Non-Allergen
antigen_26|B0BBU7|Large|WP_009872553.1|tpos:1-130,0.466,0.5,-0.5,0.466,Allergen
antigen_27|Q3KMV9|Tyrosine--tRNA|WP_009873530.1|tpos:1-412,0.037,0.5,-0.5,0.037,Non-Allergen
"antigen_2|O84737|6,7-dimethyl-8-ribityllumazine|WP_009872109.1|tpos:1-157",0.102,0.0,-0.5,-0.398,Non-Allergen
antigen_1|Q3KLP6|Cytidylate|WP_011324740.1|tpos:1-216,0.057,0.0,-0.5,-0.443,Non-Allergen
antigen_22|O84128|Small|WP_009872271.1|tpos:1-129,0.114,0.5,-0.5,0.114,Non-Allergen
antigen_139|Q3KMP3|Small|WP_009872271.1|tpos:1-129,0.114,0.5,-0.5,0.114,Non-Allergen
antigen_140|O84312|V-type|WP_010725155.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_163|O84544|Thioredoxin|WP_009871903.1|tpos:1-102,0.156,0.0,0.5,0.656,Allergen
antigen_184|Q3KMH4|Thymidylate|WP_009871534.1|tpos:1-203,0.251,0.0,-0.5,-0.249,Non-Allergen
antigen_186|B0B961|Transcription|WP_414038929.1|tpos:1-168,0.07,0.0,-0.5,-0.43,Non-Allergen
antigen_197|Q3KMH8|Putative|WP_009871530.1|tpos:1-148,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_78|O84294|Deoxyuridine|WP_009871640.1|tpos:1-145,0.191,0.0,-0.5,-0.309,Non-Allergen
antigen_79|Q3KM40|Elongation|WP_009871669.1|tpos:1-394,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_80|B0BAF3|tRNA|WP_069568554.1|tpos:1-444,0.038,0.5,-0.5,0.038,Non-Allergen
antigen_66|B0B910|Ribonuclease|WP_011324867.1|tpos:1-120,0.143,0.0,0.0,0.143,Non-Allergen
antigen_67|B0B875|Holliday|WP_012727931.1|tpos:1-200,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_68|Q3KLT5|GTPase|WP_011324729.1|tpos:1-335,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_175|B0B846|Putative|WP_009871832.1|tpos:1-104,0.056,0.0,-0.5,-0.444,Non-Allergen
antigen_180|P66123|Large|WP_009871771.1|tpos:1-83,0.218,0.0,0.0,0.218,Non-Allergen
antigen_181|O84532|Large|WP_010725242.1|tpos:1-222,0.216,0.0,-0.5,-0.284,Non-Allergen
antigen_182|B0BBT8|V-type|WP_009871654.1|tpos:1-438,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_77|Q3KM46|Large|WP_009872553.1|tpos:1-130,0.466,0.5,-0.5,0.466,Allergen
antigen_132|O84304|Valine--tRNA|WP_069568420.1|tpos:1-939,0.027,0.5,-0.5,0.027,Non-Allergen
antigen_61|P0CE22|Glycine--tRNA|WP_414038906.1|tpos:1-1003,0.013,0.5,-0.5,0.013,Non-Allergen
antigen_42|O84404|Uncharacterized|WP_009871751.1|tpos:1-328,0.143,0.0,0.0,0.143,Non-Allergen
antigen_43|Q3KLN6|2-C-methyl-D-erythritol|WP_009871820.1|tpos:1-219,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_50|B0B880|Large|WP_009871870.1|tpos:1-141,0.186,0.0,-0.5,-0.314,Non-Allergen
