Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_149|O83956|Rubredoxin|AHN67633.1|tpos:1-52,0.588,0.0,0.0,0.588,Allergen
antigen_180|O83672|Uncharacterized|AHN67329.1|tpos:1-58,0.117,0.0,0.0,0.117,Non-Allergen
antigen_189|O83541|V-type|AHN67200.1|tpos:1-605,0.059,0.0,-0.5,-0.441,Non-Allergen
antigen_70|O83903|UDP-N-acetylmuramyl-tripeptide|AHN67573.1|tpos:10-510,0.016,0.0,0.0,0.016,Non-Allergen
antigen_164|P74930|Flagellar|AHN67376.1|tpos:1-271,0.045,0.0,0.0,0.045,Non-Allergen
antigen_166|O83444|V-type|AHN67109.1|tpos:1-622,0.001,0.0,-0.5,-0.499,Non-Allergen
antigen_54|O83241|Small|AHN66911.1|tpos:1-126,0.208,0.0,0.0,0.208,Non-Allergen
antigen_55|O83231|Large|AHN66900.1|tpos:1-185,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_50|O83805|Uncharacterized|AHN67487.1|tpos:1-238,0.013,0.5,0.0,0.513,Allergen
antigen_51|O83593|Uncharacterized|AHN67255.1|tpos:1-469,0.053,0.5,0.0,0.553,Allergen
antigen_113|O83625|Ribose-5-phosphate|AHN67285.1|tpos:9-262,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_114|O83214|SsrA-binding|AHN66883.1|tpos:1-154,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_115|O83264|Transcription|AHN66935.1|tpos:1-185,0.163,0.0,0.0,0.163,Non-Allergen
antigen_127|O83786|Acyl|AHN67463.1|tpos:1-78,0.345,0.0,-0.5,-0.155,Non-Allergen
antigen_128|O83649|DNA|AHN67310.1|tpos:1-215,0.237,0.0,0.0,0.237,Non-Allergen
antigen_195|O83456|DNA|AHN67122.1|tpos:1-573,0.037,0.0,0.0,0.037,Non-Allergen
antigen_62|O83992|Uncharacterized|AHN67673.1|tpos:1-228,0.09,0.0,0.0,0.09,Non-Allergen
antigen_63|O83284|Uncharacterized|AHN66959.1|tpos:1-442,0.041,0.0,0.0,0.041,Non-Allergen
antigen_3|O83971|Flavin-dependent|AHN67649.1|tpos:1-305,0.108,0.0,-0.5,-0.392,Non-Allergen
antigen_4|O83586|Uncharacterized|AHN67249.1|tpos:1-579,0.118,0.0,0.0,0.118,Non-Allergen
antigen_27|O83219|Large|AHN66888.1|tpos:1-208,0.223,0.0,0.0,0.223,Non-Allergen
antigen_28|O83857|Small|AHN67536.1|tpos:1-89,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_29|O83052|Uncharacterized|AHN66714.1|tpos:53-265,0.228,0.0,0.0,0.228,Non-Allergen
antigen_31|O83945|Probable|AHN67621.1|tpos:12-351,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_32|O83539|V-type|AHN67198.1|tpos:14-222,0.075,0.0,0.0,0.075,Non-Allergen
antigen_147|O83319|Dephospho-CoA|AHN66987.1|tpos:1-192,0.045,0.0,0.0,0.045,Non-Allergen
antigen_131|B2S321|V-type|AHN67104.1|tpos:27-197,0.16,0.0,0.0,0.16,Non-Allergen
antigen_52|O83802|tRNA|AHN67483.1|tpos:1-244,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_53|O83281|Transcription|AHN66953.1|tpos:1-519,0.02,0.5,0.0,0.52,Allergen
antigen_104|P96122|5'-methylthioadenosine/S-adenosylhomocysteine|AHN66873.1|tpos:1-269,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_105|O83373|Putative|AHN67038.1|tpos:1-208,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_106|O83554|Holliday|AHN67214.1|tpos:1-227,0.036,0.5,-0.5,0.036,Non-Allergen
antigen_108|O83262|Large|AHN66933.1|tpos:1-56,0.353,0.0,0.0,0.353,Allergen
antigen_109|O83696|Uncharacterized|AHN67360.1|tpos:3-183,0.186,0.0,0.0,0.186,Non-Allergen
antigen_151|O83442|V-type|AHN67107.1|tpos:1-430,0.038,0.5,-0.5,0.038,Non-Allergen
antigen_169|O83272|Small|AHN66943.1|tpos:1-156,0.094,0.0,-0.5,-0.406,Non-Allergen
antigen_171|O83369|FKBP-type|AHN67032.1|tpos:1-176,0.255,0.0,0.0,0.255,Non-Allergen
antigen_172|O83747|Uncharacterized|AHN67424.1|tpos:1-293,0.025,0.0,0.0,0.025,Non-Allergen
antigen_139|O08399|DNA|AHN67648.1|tpos:1-637,0.08,0.5,-0.5,0.08,Non-Allergen
antigen_187|O83077|Putative|AHN66736.1|tpos:1-316,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_188|O83496|Uncharacterized|AHN67160.1|tpos:1-374,0.186,0.0,0.0,0.186,Non-Allergen
antigen_21|O83610|1-deoxy-D-xylulose|AHN67270.1|tpos:1-376,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_22|O83861|Translation|AHN67540.1|tpos:57-898,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_64|O83217|Elongation|AHN66886.1|tpos:1-395,0.153,0.0,-0.5,-0.347,Non-Allergen
antigen_65|O83097|Replicative|AHN66762.1|tpos:1-438,0.013,0.5,-0.5,0.013,Non-Allergen
antigen_111|O83103|Uncharacterized|AHN66767.1|tpos:1-145,0.217,0.0,0.0,0.217,Non-Allergen
antigen_112|O83388|tRNA(Ile)-lysidine|AHN67058.1|tpos:1-477,0.108,0.0,-0.5,-0.392,Non-Allergen
antigen_82|O83278|DNA-binding|AHN66950.1|tpos:50-154,0.257,0.0,-0.5,-0.243,Non-Allergen
antigen_83|P74931|Flagellar|AHN67375.1|tpos:1-93,0.155,0.0,0.0,0.155,Non-Allergen
antigen_84|O83401|UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine|AHN67069.1|tpos:1-459,0.042,0.0,0.0,0.042,Non-Allergen
antigen_129|O83489|Acetate|AHN67154.1|tpos:1-448,0.154,0.5,-0.5,0.154,Non-Allergen
antigen_130|O66075|Large|AHN66954.1|tpos:1-67,0.329,0.0,0.0,0.329,Allergen
antigen_199|O83683|Uncharacterized|AHN67340.1|tpos:1-202,0.075,0.0,0.0,0.075,Non-Allergen
antigen_159|O83185|Uncharacterized|AHN66853.1|tpos:1-155,0.062,0.0,0.0,0.062,Non-Allergen
antigen_160|B2S2F4|Large|AHN66906.1|tpos:5-65,0.158,0.0,-0.5,-0.342,Non-Allergen
antigen_152|O83977|Co-chaperonin|AHN67655.1|tpos:1-88,0.334,0.0,0.0,0.334,Allergen
antigen_153|O83774|FAD:protein|AHN67452.1|tpos:1-362,0.038,0.0,-0.5,-0.462,Non-Allergen
antigen_154|O83344|Uncharacterized|AHN67010.1|tpos:1-477,0.055,0.0,0.0,0.055,Non-Allergen
antigen_91|B2S2J8|Small|AHN66949.1|tpos:1-95,0.153,0.0,-0.5,-0.347,Non-Allergen
antigen_92|P18193|Flagellar|AHN66948.1|tpos:1-350,0.08,0.0,0.0,0.08,Non-Allergen
antigen_132|O83225|Small|AHN66894.1|tpos:1-206,0.123,0.0,-0.5,-0.377,Non-Allergen
antigen_133|O83776|Methionine--tRNA|AHN67257.1|tpos:51-182,0.401,0.0,-0.5,-0.099,Non-Allergen
antigen_88|O83968|Uncharacterized|AHN67645.1|tpos:1-345,0.055,0.5,0.0,0.555,Allergen
antigen_89|O83767|Uncharacterized|AHN67446.1|tpos:1-296,0.015,0.5,0.0,0.515,Allergen
antigen_90|O83536|Lon|AHN67194.1|tpos:1-881,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_110|O83464|Elongation|AHN67131.1|tpos:16-698,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_157|O83848|Uncharacterized|AHN67527.1|tpos:4-319,0.16,0.0,0.0,0.16,Non-Allergen
antigen_136|O83808|Uncharacterized|AHN67490.1|tpos:1-274,0.087,0.0,0.0,0.087,Non-Allergen
antigen_137|O83348|DNA|AHN67013.1|tpos:1-900,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_141|O83817|UPF0178|AHN67499.1|tpos:20-196,0.123,0.0,-0.5,-0.377,Non-Allergen
antigen_143|O83183|Uncharacterized|AHN66851.1|tpos:1-192,0.148,0.0,0.0,0.148,Non-Allergen
antigen_191|O83667|Uncharacterized|AHN67324.1|tpos:1-170,0.128,0.0,0.0,0.128,Non-Allergen
antigen_192|Q56338|Flagellar|AHN67373.1|tpos:1-707,0.044,0.5,-0.5,0.044,Non-Allergen
antigen_40|O83236|Small|AHN66905.1|tpos:1-172,0.179,0.0,-0.5,-0.321,Non-Allergen
antigen_145|O83658|Spermidine/putrescine|AHN67316.1|tpos:1-375,0.117,0.0,-0.5,-0.383,Non-Allergen
antigen_146|O83295|Probable|AHN66968.1|tpos:1-324,0.015,0.0,0.0,0.015,Non-Allergen
antigen_60|O83218|Small|AHN66887.1|tpos:1-102,0.073,0.0,0.0,0.073,Non-Allergen
antigen_61|O83336|Uncharacterized|AHN67288.1|tpos:218-265,0.395,0.0,0.0,0.395,Allergen
antigen_38|O83209|Uncharacterized|AHN66879.1|tpos:1-627,0.068,0.0,0.0,0.068,Non-Allergen
antigen_42|O83100|Small|AHN66764.1|tpos:1-99,0.099,0.0,-0.5,-0.401,Non-Allergen
antigen_43|O83048|Beta|AHN66709.1|tpos:1-371,0.147,0.0,-0.5,-0.353,Non-Allergen
antigen_24|O83493|Uncharacterized|AHN67158.1|tpos:1-162,0.085,0.0,0.0,0.085,Non-Allergen
antigen_25|O83952|Uncharacterized|AHN67629.1|tpos:108-163,0.31,0.0,0.0,0.31,Allergen
antigen_26|O83058|Uncharacterized|AHN66717.1|tpos:219-410,0.099,0.0,0.0,0.099,Non-Allergen
antigen_193|O83824|Phosphatidylglycerol--prolipoprotein|AHN67506.1|tpos:28-359,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_77|P74935|Gamma-glutamyl|AHN67033.1|tpos:1-428,0.024,0.0,0.0,0.024,Non-Allergen
antigen_1|O83460|4-hydroxy-3-methylbut-2-en-1-yl|AHN67126.1|tpos:16-385,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_96|O83650|Lysine--tRNA|AHN67311.1|tpos:1-528,0.059,0.5,-0.5,0.059,Non-Allergen
antigen_99|P96130|ATP-dependent|AHN67350.1|tpos:1-686,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_125|O83204|Uncharacterized|AHN66876.1|tpos:280-506,0.2,0.0,0.0,0.2,Non-Allergen
antigen_126|O83936|Uncharacterized|AHN67610.1|tpos:1-38,0.244,0.0,0.0,0.244,Non-Allergen
antigen_30|O83724|GTPase|AHN67400.1|tpos:1-376,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_167|O83433|Putative|AHN67098.1|tpos:1-397,0.042,0.0,-0.5,-0.458,Non-Allergen
antigen_0|O83679|Glutamate--tRNA|AHN67336.1|tpos:1-537,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_98|O83809|Threonine--tRNA|AHN67491.1|tpos:1-582,0.012,0.5,-0.5,0.012,Non-Allergen
antigen_12|O83737|Methionyl-tRNA|AHN67414.1|tpos:1-319,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_13|O83154|UvrABC|AHN66819.1|tpos:1-668,0.033,0.0,0.0,0.033,Non-Allergen
antigen_86|O83152|Protein|AHN66817.1|tpos:1-331,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_122|O83109|Uncharacterized|AHN66773.1|tpos:1-128,0.292,0.0,0.0,0.292,Non-Allergen
antigen_123|O83982|Glutamyl-tRNA(Gln)|AHN67662.1|tpos:34-147,0.077,0.0,0.0,0.077,Non-Allergen
antigen_124|O83132|Phosphate|AHN66798.1|tpos:1-336,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_196|O83223|Small|AHN66892.1|tpos:1-95,0.172,0.0,0.0,0.172,Non-Allergen
antigen_197|O83664|Flagellar|AHN67321.1|tpos:1-150,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_198|O83890|TPR|AHN67563.1|tpos:1-807,0.019,0.5,0.0,0.519,Allergen
antigen_182|O83435|Uncharacterized|AHN67099.1|tpos:184-256,0.401,0.0,0.0,0.401,Allergen
antigen_183|O83585|Peptide|AHN67248.1|tpos:1-368,0.014,0.5,-0.5,0.014,Non-Allergen
antigen_186|O83949|Chaperone|AHN67625.1|tpos:1-639,0.037,0.0,0.5,0.537,Allergen
antigen_33|O83358|Uncharacterized|AHN67021.1|tpos:1-162,0.139,0.0,0.0,0.139,Non-Allergen
antigen_34|O83110|Chaperone|AHN66774.1|tpos:1-878,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_66|O83714|Bifunctional|AHN67390.1|tpos:27-341,0.117,0.0,-0.5,-0.383,Non-Allergen
antigen_67|O83785|Large|AHN67462.1|tpos:1-62,0.546,0.0,-0.5,0.046,Non-Allergen
antigen_68|O83425|Protein|AHN67090.1|tpos:1-583,0.006,0.5,-0.5,0.006,Non-Allergen
