Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_12|O83737|Methionyl-tRNA|WP_010882201.1|tpos:1-319,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_153|O83774|FAD:protein|WP_108738970.1|tpos:1-362,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_188|O83496|Uncharacterized|WP_252507750.1|tpos:1-374,0.193,0.0,0.0,0.193,Non-Allergen
antigen_195|O83456|DNA|WP_010881890.1|tpos:1-573,0.037,0.0,0.0,0.037,Non-Allergen
antigen_74|O83990|Uridine|WP_010882471.1|tpos:1-258,0.281,0.5,-0.5,0.281,Non-Allergen
antigen_75|O83979|Transcription|WP_010882459.1|tpos:1-141,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_76|O83229|Large|WP_010881646.1|tpos:1-122,0.243,0.0,0.0,0.243,Non-Allergen
antigen_111|O83103|Uncharacterized|WP_010881513.1|tpos:1-191,0.139,0.0,0.0,0.139,Non-Allergen
antigen_125|O83204|Uncharacterized|WP_014342313.1|tpos:280-506,0.2,0.0,0.0,0.2,Non-Allergen
antigen_127|O83786|Acyl|WP_010882253.1|tpos:1-78,0.345,0.0,-0.5,-0.155,Non-Allergen
antigen_128|O83649|DNA|WP_010882088.1|tpos:1-215,0.237,0.0,0.0,0.237,Non-Allergen
antigen_143|O83183|Uncharacterized|WP_014342299.1|tpos:1-192,0.146,0.0,0.0,0.146,Non-Allergen
antigen_29|O83052|Uncharacterized|WP_014342231.1|tpos:96-301,0.183,0.0,0.0,0.183,Non-Allergen
antigen_31|O83945|Probable|WP_010882424.1|tpos:1-340,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_45|O83230|Large|WP_010881647.1|tpos:1-103,0.223,0.5,-0.5,0.223,Non-Allergen
antigen_46|B2S369|Probable|WP_010881923.1|tpos:1-245,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_122|O83109|Uncharacterized|WP_010881519.1|tpos:1-128,0.292,0.0,0.0,0.292,Non-Allergen
antigen_160|B2S2F4|Large|WP_010881654.1|tpos:1-61,0.158,0.0,-0.5,-0.342,Non-Allergen
antigen_161|O83131|Uncharacterized|WP_237249922.1|tpos:1-202,0.215,0.0,0.0,0.215,Non-Allergen
antigen_53|O83281|Transcription|WP_010881703.1|tpos:1-519,0.02,0.5,0.0,0.52,Allergen
antigen_54|O83241|Small|WP_010881659.1|tpos:1-126,0.208,0.0,0.0,0.208,Non-Allergen
antigen_191|O83667|Uncharacterized|WP_010882106.1|tpos:1-170,0.128,0.0,0.0,0.128,Non-Allergen
antigen_192|Q56338|Flagellar|WP_010882159.1|tpos:1-707,0.044,0.5,-0.5,0.044,Non-Allergen
antigen_39|O83792|Uncharacterized|WP_010882260.1|tpos:1-221,0.009,0.5,-0.5,0.009,Non-Allergen
antigen_40|O83236|Small|WP_010881653.1|tpos:1-172,0.172,0.0,-0.5,-0.328,Non-Allergen
antigen_41|O83500|Uncharacterized|WP_237260094.1|tpos:143-592,0.06,0.0,0.0,0.06,Non-Allergen
antigen_88|O83968|Uncharacterized|WP_010882447.1|tpos:1-345,0.055,0.5,0.0,0.555,Allergen
antigen_89|O83767|Uncharacterized|WP_235214032.1|tpos:1-259,0.022,0.5,0.0,0.522,Allergen
antigen_129|O83489|Acetate|WP_010881925.1|tpos:1-448,0.154,0.5,-0.5,0.154,Non-Allergen
antigen_193|O83824|Phosphatidylglycerol--prolipoprotein|WP_014342613.1|tpos:1-332,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_100|O83668|Fructose-bisphosphate|WP_010882107.1|tpos:1-332,0.055,0.0,0.5,0.555,Allergen
antigen_101|O83766|Uncharacterized|WP_235214031.1|tpos:1-115,0.272,0.0,0.0,0.272,Non-Allergen
antigen_102|O83228|Small|WP_014342322.1|tpos:1-84,0.147,0.0,0.0,0.147,Non-Allergen
antigen_103|O83845|tRNA|WP_010882318.1|tpos:1-135,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_139|O08399|DNA|WP_010882450.1|tpos:1-637,0.08,0.5,-0.5,0.08,Non-Allergen
antigen_194|O83485|UvrABC|WP_010881921.1|tpos:1-691,0.036,0.5,-0.5,0.036,Non-Allergen
antigen_35|O83727|Large|WP_010882190.1|tpos:1-105,0.2,0.0,-0.5,-0.3,Non-Allergen
antigen_36|O83074|Uncharacterized|WP_014342237.1|tpos:1-92,0.153,0.0,0.0,0.153,Non-Allergen
antigen_37|O83537|Elongation|WP_010881973.1|tpos:1-187,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_38|O83209|Uncharacterized|WP_014342717.1|tpos:23-649,0.068,0.0,0.0,0.068,Non-Allergen
antigen_150|O83878|tRNA|WP_010882351.1|tpos:1-250,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_151|O83442|V-type|WP_010881875.1|tpos:1-430,0.038,0.5,-0.5,0.038,Non-Allergen
antigen_17|O83859|tRNA|WP_014342630.1|tpos:1-366,0.262,0.0,-0.5,-0.238,Non-Allergen
antigen_1|O83460|4-hydroxy-3-methylbut-2-en-1-yl|WP_172841382.1|tpos:1-404,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_104|P96122|5'-methylthioadenosine/S-adenosylhomocysteine|WP_010881617.1|tpos:1-269,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_105|O83373|Putative|WP_010881802.1|tpos:1-208,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_106|O83554|Holliday|WP_010881990.1|tpos:1-227,0.036,0.5,-0.5,0.036,Non-Allergen
antigen_123|O83982|Glutamyl-tRNA(Gln)|WP_014505682.1|tpos:1-114,0.077,0.0,0.0,0.077,Non-Allergen
antigen_167|O83433|Putative|WP_010881866.1|tpos:1-397,0.042,0.0,-0.5,-0.458,Non-Allergen
antigen_5|O83490|6-phosphogluconolactonase|WP_014342443.1|tpos:1-212,0.114,0.5,-0.5,0.114,Non-Allergen
antigen_77|P74935|Gamma-glutamyl|WP_014342384.1|tpos:1-428,0.025,0.0,0.0,0.025,Non-Allergen
antigen_78|O83797|Uncharacterized|WP_010882269.1|tpos:1-61,0.202,0.0,0.0,0.202,Non-Allergen
antigen_80|O83969|Recombination|WP_010882448.1|tpos:1-201,0.21,0.0,0.0,0.21,Non-Allergen
antigen_145|O83658|Spermidine/putrescine|WP_280143128.1|tpos:1-379,0.098,0.0,-0.5,-0.402,Non-Allergen
antigen_116|O83099|Large|WP_010881509.1|tpos:1-156,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_117|O83170|Uncharacterized|WP_172841373.1|tpos:1-409,0.403,0.0,-0.5,-0.097,Non-Allergen
antigen_119|O83142|Probable|WP_010881553.1|tpos:1-593,0.03,0.0,0.5,0.53,Allergen
antigen_115|O83264|Transcription|WP_010881684.1|tpos:1-185,0.163,0.0,0.0,0.163,Non-Allergen
antigen_166|O83444|V-type|WP_237260088.1|tpos:1-618,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_6|O83806|Tyrosine--tRNA|WP_014342602.1|tpos:1-409,0.055,0.0,-0.5,-0.445,Non-Allergen
antigen_56|O83386|4-diphosphocytidyl-2-C-methyl-D-erythritol|WP_014342400.1|tpos:1-291,0.177,0.0,-0.5,-0.323,Non-Allergen
antigen_57|O83819|Uncharacterized|WP_014342609.1|tpos:1-111,0.518,0.5,0.0,1.018,Allergen
antigen_58|O66107|Ribulose-phosphate|WP_010882388.1|tpos:1-218,0.06,0.0,0.0,0.06,Non-Allergen
antigen_124|O83132|Phosphate|WP_010881543.1|tpos:1-336,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_163|O84003|ATP-dependent|WP_014342706.1|tpos:1-199,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_164|P74930|Flagellar|WP_010882163.1|tpos:1-271,0.045,0.0,0.0,0.045,Non-Allergen
antigen_171|O83369|FKBP-type|WP_010881797.1|tpos:1-176,0.255,0.0,0.0,0.255,Non-Allergen
antigen_172|O83747|Uncharacterized|WP_014342567.1|tpos:1-293,0.024,0.0,0.0,0.024,Non-Allergen
antigen_174|O83564|Putative|WP_010882000.1|tpos:1-403,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_175|O83237|Large|WP_010881655.1|tpos:1-153,0.202,0.5,-0.5,0.202,Non-Allergen
antigen_176|O83220|Large|WP_014342319.1|tpos:1-216,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_177|O66106|Ribosomal|WP_010882389.1|tpos:1-222,0.058,0.0,-0.5,-0.442,Non-Allergen
antigen_49|O83463|Uncharacterized|WP_010881897.1|tpos:1-196,0.197,0.0,0.0,0.197,Non-Allergen
antigen_51|O83593|Uncharacterized|WP_012460576.1|tpos:1-469,0.053,0.5,0.0,0.553,Allergen
antigen_136|O83808|Uncharacterized|WP_014342603.1|tpos:1-274,0.076,0.0,0.0,0.076,Non-Allergen
antigen_162|O83710|Flagellar|WP_013945319.1|tpos:1-376,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_85|O83480|Uncharacterized|WP_010881916.1|tpos:1-82,0.04,0.5,-0.5,0.04,Non-Allergen
antigen_86|O83152|Protein|WP_010881563.1|tpos:1-331,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_87|O83671|Uncharacterized|WP_014342528.1|tpos:1-251,0.049,0.0,0.0,0.049,Non-Allergen
antigen_158|O83770|Uncharacterized|WP_010882236.1|tpos:1-81,0.151,0.0,0.0,0.151,Non-Allergen
antigen_159|O83185|Uncharacterized|WP_010881597.1|tpos:1-155,0.062,0.0,0.0,0.062,Non-Allergen
antigen_180|O83672|Uncharacterized|WP_014342529.1|tpos:1-97,0.086,0.0,0.0,0.086,Non-Allergen
antigen_181|O83590|Lipoprotein-releasing|WP_010882027.1|tpos:1-226,0.018,0.0,-0.5,-0.482,Non-Allergen
antigen_182|O83435|Uncharacterized|WP_014342417.1|tpos:184-256,0.401,0.0,0.0,0.401,Allergen
antigen_183|O83585|Peptide|WP_099156385.1|tpos:22-373,0.015,0.5,-0.5,0.015,Non-Allergen
antigen_11|O83876|RNA-binding|WP_010882349.1|tpos:1-80,0.044,0.0,0.0,0.044,Non-Allergen
