Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_100|O83668|Fructose-bisphosphate|UOY12839.1|tpos:1-332,0.055,0.0,0.5,0.555,Allergen
antigen_56|O83386|4-diphosphocytidyl-2-C-methyl-D-erythritol|UOY13490.1|tpos:1-278,0.22,0.0,-0.5,-0.28,Non-Allergen
antigen_62|O83992|Uncharacterized|UOY13160.1|tpos:1-228,0.09,0.0,0.0,0.09,Non-Allergen
antigen_64|O83217|Elongation|UOY13332.1|tpos:1-395,0.153,0.0,-0.5,-0.347,Non-Allergen
antigen_18|O83530|Crossover|UOY13622.1|tpos:1-196,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_19|O83324|Probable|UOY13430.1|tpos:1-313,0.143,0.0,0.0,0.143,Non-Allergen
antigen_20|O83640|Tryptophan--tRNA|UOY12813.1|tpos:1-337,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_92|P18193|Flagellar|UOY13389.1|tpos:1-350,0.08,0.0,0.0,0.08,Non-Allergen
antigen_49|O83463|Uncharacterized|UOY13562.1|tpos:1-196,0.197,0.0,0.0,0.197,Non-Allergen
antigen_50|O83805|Uncharacterized|UOY12990.1|tpos:1-238,0.013,0.5,0.0,0.513,Allergen
antigen_51|O83593|Uncharacterized|UOY12777.1|tpos:1-469,0.056,0.5,0.0,0.556,Allergen
antigen_111|O83103|Uncharacterized|UOY13634.1|tpos:1-191,0.139,0.0,0.0,0.139,Non-Allergen
antigen_112|O83388|tRNA(Ile)-lysidine|UOY13492.1|tpos:1-477,0.108,0.0,-0.5,-0.392,Non-Allergen
antigen_134|O83739|Small|UOY12925.1|tpos:1-69,0.072,0.0,0.0,0.072,Non-Allergen
antigen_135|O83575|Uncharacterized|UOY12759.1|tpos:1-678,0.014,0.0,0.0,0.014,Non-Allergen
antigen_61|O83336|Uncharacterized|UOY13441.1|tpos:1-46,0.311,0.0,0.0,0.311,Allergen
antigen_39|O83792|Uncharacterized|UOY12974.1|tpos:1-221,0.009,0.5,-0.5,0.009,Non-Allergen
antigen_40|O83236|Small|UOY13348.1|tpos:1-172,0.172,0.0,-0.5,-0.328,Non-Allergen
antigen_41|O83500|Uncharacterized|UOY13596.1|tpos:143-592,0.06,0.0,0.0,0.06,Non-Allergen
antigen_176|O83220|Large|UOY13642.1|tpos:1-216,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_177|O66106|Ribosomal|UOY13086.1|tpos:1-222,0.058,0.0,-0.5,-0.442,Non-Allergen
antigen_178|O83129|Cysteine--tRNA|UOY13247.1|tpos:1-520,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_184|O83546|Uncharacterized|UOY13661.1|tpos:1-70,0.29,0.0,0.0,0.29,Non-Allergen
antigen_130|O66075|Large|UOY13393.1|tpos:1-67,0.329,0.0,0.0,0.329,Allergen
antigen_131|B2S321|V-type|UOY13540.1|tpos:27-197,0.16,0.0,0.0,0.16,Non-Allergen
antigen_132|O83225|Small|UOY13338.1|tpos:1-247,0.097,0.0,-0.5,-0.403,Non-Allergen
antigen_133|O83776|Methionine--tRNA|UOY12961.1|tpos:1-811,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_27|O83219|Large|UOY13641.1|tpos:1-208,0.223,0.0,0.0,0.223,Non-Allergen
antigen_28|O83857|Small|UOY13037.1|tpos:1-89,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_29|O83052|Uncharacterized|UOY13697.1|tpos:21-233,0.228,0.0,0.0,0.228,Non-Allergen
antigen_30|O83724|GTPase|UOY12910.1|tpos:1-376,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_143|O83183|Uncharacterized|UOY13300.1|tpos:1-192,0.148,0.0,0.0,0.148,Non-Allergen
antigen_23|O83975|Peptidyl-tRNA|UOY13144.1|tpos:1-202,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_24|O83493|Uncharacterized|UOY13590.1|tpos:1-162,0.085,0.0,0.0,0.085,Non-Allergen
antigen_25|O83952|Uncharacterized|UOY13700.1|tpos:72-127,0.31,0.0,0.0,0.31,Allergen
antigen_26|O83058|Uncharacterized|UOY13179.1|tpos:219-410,0.099,0.0,0.0,0.099,Non-Allergen
antigen_75|O83979|Transcription|UOY13146.1|tpos:1-141,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_76|O83229|Large|UOY13341.1|tpos:1-122,0.243,0.0,0.0,0.243,Non-Allergen
antigen_77|P74935|Gamma-glutamyl|UOY13471.1|tpos:1-428,0.024,0.0,0.0,0.024,Non-Allergen
antigen_78|O83797|Uncharacterized|UOY12982.1|tpos:1-61,0.202,0.0,0.0,0.202,Non-Allergen
antigen_65|O83097|Replicative|UOY13218.1|tpos:1-438,0.013,0.5,-0.5,0.013,Non-Allergen
antigen_66|O83714|Bifunctional|UOY13674.1|tpos:1-315,0.119,0.0,-0.5,-0.381,Non-Allergen
antigen_67|O83785|Large|UOY12967.1|tpos:1-62,0.546,0.0,-0.5,0.046,Non-Allergen
antigen_98|O83809|Threonine--tRNA|UOY12993.1|tpos:1-592,0.016,0.5,-0.5,0.016,Non-Allergen
antigen_199|O83683|Uncharacterized|UOY12852.1|tpos:1-202,0.075,0.0,0.0,0.075,Non-Allergen
antigen_70|O83903|UDP-N-acetylmuramyl-tripeptide|UOY13074.1|tpos:1-540,0.031,0.0,0.0,0.031,Non-Allergen
antigen_71|O07887|Motility|UOY12894.1|tpos:1-238,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_95|O83550|Uncharacterized|UOY12735.1|tpos:1-73,0.225,0.0,0.0,0.225,Non-Allergen
antigen_96|O83650|Lysine--tRNA|UOY12823.1|tpos:1-528,0.059,0.5,-0.5,0.059,Non-Allergen
antigen_119|O83142|Probable|UOY13258.1|tpos:1-593,0.03,0.0,0.5,0.53,Allergen
antigen_34|O83110|Chaperone|UOY13229.1|tpos:1-878,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_139|O08399|DNA|UOY13139.1|tpos:1-637,0.08,0.5,-0.5,0.08,Non-Allergen
antigen_80|O83969|Recombination|UOY13693.1|tpos:1-201,0.21,0.0,0.0,0.21,Non-Allergen
antigen_82|O83278|DNA-binding|UOY13645.1|tpos:1-105,0.185,0.0,-0.5,-0.315,Non-Allergen
antigen_83|P74931|Flagellar|UOY12888.1|tpos:1-94,0.16,0.0,0.0,0.16,Non-Allergen
antigen_84|O83401|UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine|UOY13504.1|tpos:1-459,0.042,0.0,0.0,0.042,Non-Allergen
antigen_195|O83456|DNA|UOY13556.1|tpos:1-573,0.037,0.0,0.0,0.037,Non-Allergen
antigen_21|O83610|1-deoxy-D-xylulose|UOY12789.1|tpos:1-376,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_22|O83861|Translation|UOY13683.1|tpos:1-842,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_16|O83723|Probable|UOY12909.1|tpos:1-204,0.037,0.0,-0.5,-0.463,Non-Allergen
antigen_17|O83859|tRNA|UOY13039.1|tpos:1-361,0.229,0.0,-0.5,-0.271,Non-Allergen
antigen_47|O83254|Uncharacterized|UOY13368.1|tpos:1-228,0.046,0.0,0.0,0.046,Non-Allergen
antigen_48|O83870|Uncharacterized|UOY13047.1|tpos:1-797,0.088,0.0,0.0,0.088,Non-Allergen
antigen_169|O83272|Small|UOY13385.1|tpos:1-156,0.094,0.0,-0.5,-0.406,Non-Allergen
antigen_170|O83085|Putative|UOY13205.1|tpos:1-299,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_171|O83369|FKBP-type|UOY13470.1|tpos:1-176,0.255,0.0,0.0,0.255,Non-Allergen
antigen_122|O83109|Uncharacterized|UOY13228.1|tpos:1-128,0.292,0.0,0.0,0.292,Non-Allergen
antigen_123|O83982|Glutamyl-tRNA(Gln)|UOY13150.1|tpos:1-114,0.077,0.0,0.0,0.077,Non-Allergen
antigen_124|O83132|Phosphate|UOY13249.1|tpos:1-336,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_125|O83204|Uncharacterized|UOY13323.1|tpos:280-506,0.2,0.0,0.0,0.2,Non-Allergen
antigen_164|P74930|Flagellar|UOY12889.1|tpos:1-271,0.045,0.0,0.0,0.045,Non-Allergen
antigen_165|O83266|Large|UOY13379.1|tpos:1-226,0.151,0.0,0.0,0.151,Non-Allergen
antigen_166|O83444|V-type|UOY13545.1|tpos:1-618,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_172|O83747|Uncharacterized|UOY12931.1|tpos:1-293,0.025,0.0,0.0,0.025,Non-Allergen
antigen_174|O83564|Putative|UOY12748.1|tpos:1-403,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_175|O83237|Large|UOY13350.1|tpos:1-153,0.202,0.5,-0.5,0.202,Non-Allergen
antigen_157|O83848|Uncharacterized|UOY13028.1|tpos:1-316,0.16,0.0,0.0,0.16,Non-Allergen
antigen_158|O83770|Uncharacterized|UOY12955.1|tpos:1-81,0.151,0.0,0.0,0.151,Non-Allergen
antigen_159|O83185|Uncharacterized|UOY13302.1|tpos:1-155,0.062,0.0,0.0,0.062,Non-Allergen
antigen_186|O83949|Chaperone|UOY13120.1|tpos:1-639,0.037,0.0,0.5,0.537,Allergen
antigen_11|O83876|RNA-binding|UOY13051.1|tpos:1-80,0.044,0.0,0.0,0.044,Non-Allergen
antigen_12|O83737|Methionyl-tRNA|UOY12923.1|tpos:1-319,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_86|O83152|Protein|UOY13268.1|tpos:1-331,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_88|O83968|Uncharacterized|UOY13137.1|tpos:1-345,0.055,0.5,0.0,0.555,Allergen
antigen_90|O83536|Lon|UOY13630.1|tpos:1-881,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_187|O83077|Putative|UOY13197.1|tpos:1-316,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_57|O83819|Uncharacterized|UOY13003.1|tpos:1-111,0.518,0.5,0.0,1.018,Allergen
antigen_58|O66107|Ribulose-phosphate|UOY13085.1|tpos:1-218,0.06,0.0,0.0,0.06,Non-Allergen
antigen_59|O83452|dITP/XTP|UOY13552.1|tpos:1-254,0.051,0.5,-0.5,0.051,Non-Allergen
antigen_60|O83218|Small|UOY13333.1|tpos:1-102,0.073,0.0,0.0,0.073,Non-Allergen
antigen_104|P96122|5'-methylthioadenosine/S-adenosylhomocysteine|UOY13320.1|tpos:1-269,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_85|O83480|Uncharacterized|UOY13579.1|tpos:1-82,0.04,0.5,-0.5,0.04,Non-Allergen
antigen_87|O83671|Uncharacterized|UOY12842.1|tpos:1-251,0.049,0.0,0.0,0.049,Non-Allergen
antigen_89|O83767|Uncharacterized|UOY12952.1|tpos:1-259,0.022,0.5,0.0,0.522,Allergen
antigen_107|O83066|Uncharacterized|UOY13185.1|tpos:1-722,0.008,0.0,0.0,0.008,Non-Allergen
antigen_42|O83100|Small|UOY13221.1|tpos:1-99,0.099,0.0,-0.5,-0.401,Non-Allergen
antigen_43|O83048|Beta|UOY13173.1|tpos:1-371,0.147,0.0,-0.5,-0.353,Non-Allergen
antigen_44|O83690|Protein|UOY13672.1|tpos:1-389,0.03,0.0,-0.5,-0.47,Non-Allergen
antigen_116|O83099|Large|UOY13220.1|tpos:1-156,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_117|O83170|Uncharacterized|UOY13286.1|tpos:1-376,0.727,0.5,-0.5,0.727,Allergen
