Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_76|P0C0J1|Streptopain|WP_031488619.1|tpos:1-398,0.586,0.0,0.0,0.586,Allergen
antigen_87|Q99Z68|Deacetylase|WP_020837316.1|tpos:1-424,0.151,0.0,-0.5,-0.349,Non-Allergen
antigen_88|P0C0D0|Ornithine|WP_002983808.1|tpos:1-337,0.237,0.0,-0.5,-0.263,Non-Allergen
antigen_48|P0C0G6|Glyceraldehyde-3-phosphate|WP_014635277.1|tpos:1-336,0.44,0.0,0.5,0.94,Allergen
antigen_49|Q5XD01|Enolase|WP_002985288.1|tpos:1-435,0.323,0.0,0.5,0.823,Allergen
antigen_36|A2T8Y9|Cpa|WP_031488653.1|tpos:279-753,0.501,0.0,0.0,0.501,Allergen
antigen_2|P0C0E1|Trigger|WP_031488689.1|tpos:1-427,0.332,0.0,-0.5,-0.168,Non-Allergen
antigen_1|P0C0E0|DNA-directed|WP_031488660.1|tpos:1-1213,0.013,0.5,-0.5,0.013,Non-Allergen
antigen_3|P0C0E3|Lantibiotic|WP_021775230.1|tpos:1-229,0.053,0.0,-0.5,-0.447,Non-Allergen
antigen_59|Q7DAL3|Collagen-like|WP_053039071.1|tpos:1-411,0.322,0.0,-0.5,-0.178,Non-Allergen
antigen_14|Q99ZW2|CRISPR-associated|WP_031488318.1|tpos:1-1368,0.066,0.0,0.0,0.066,Non-Allergen
antigen_107|P0C0B4|Arginine|WP_002983803.1|tpos:1-411,0.039,0.5,-0.5,0.039,Non-Allergen
antigen_108|Q99YE6|PTS|WP_002983363.1|tpos:1-330,0.26,0.5,0.0,0.76,Allergen
antigen_131|Q99XH9|DUF4115|WP_011285332.1|tpos:1-341,0.09,0.5,0.0,0.59,Allergen
antigen_13|Q99ZH4|Lipoprotein|WP_002989701.1|tpos:1-350,0.566,0.5,0.0,1.066,Allergen
antigen_72|Q9A1G0|serine-type|WP_002992223.1|tpos:1-410,0.112,0.5,0.0,0.612,Allergen
antigen_6|Q99XU9|M|WP_023610725.1|tpos:1-496,0.017,0.0,0.0,0.017,Non-Allergen
antigen_120|Q7DAM9|Signal|WP_002991036.1|tpos:1-500,0.025,0.0,-0.5,-0.475,Non-Allergen
antigen_54|Q9A1S0|Streptococcal|WP_148561362.1|tpos:23-193,0.35,0.0,0.0,0.35,Allergen
antigen_55|Q9A0J7|Endonuclease/exonuclease/phosphatase|WP_031488388.1|tpos:1-910,0.133,0.0,0.0,0.133,Non-Allergen
antigen_98|Q99XG9|Serine|WP_002994926.1|tpos:1-407,0.438,0.0,-0.5,-0.062,Non-Allergen
antigen_99|P0C0G7|Glyceraldehyde-3-phosphate|WP_014635277.1|tpos:1-336,0.44,0.0,0.5,0.94,Allergen
antigen_100|P69952|Elongation|WP_002990541.1|tpos:1-398,0.183,0.0,-0.5,-0.317,Non-Allergen
antigen_75|Q99YF1|Transcription|WP_031488469.1|tpos:1-427,0.129,0.5,0.0,0.629,Allergen
antigen_86|Q99ZA4|ABC|WP_031488239.1|tpos:1-724,0.319,0.5,-0.5,0.319,Allergen
antigen_121|Q9A0X2|Phosphate|WP_021340593.1|tpos:1-271,0.253,0.0,-0.5,-0.247,Non-Allergen
antigen_122|Q99ZX2|Lipid|WP_014635430.1|tpos:1-263,0.293,0.0,0.0,0.293,Non-Allergen
antigen_123|Q99Z98|Outer|WP_031488235.1|tpos:1-364,0.023,0.0,0.0,0.023,Non-Allergen
antigen_111|P69883|Chaperonin|WP_002982320.1|tpos:1-543,0.196,0.0,0.0,0.196,Non-Allergen
antigen_58|Q99XX8|pullulanase|WP_031488730.1|tpos:1-1165,0.335,0.5,-0.5,0.335,Allergen
antigen_112|P63770|Co-chaperonin|WP_002991292.1|tpos:1-96,0.352,0.0,0.0,0.352,Allergen
antigen_113|Q9A1W2|Large|WP_002986634.1|tpos:1-180,0.153,0.0,-0.5,-0.347,Non-Allergen
antigen_114|P66634|Small|WP_002987748.1|tpos:1-132,0.107,0.0,-0.5,-0.393,Non-Allergen
antigen_46|F8THZ1|Leucine|WP_020905277.1|tpos:1-792,0.205,0.5,-0.5,0.205,Non-Allergen
antigen_71|P0C0I3|Streptolysin|WP_080367205.1|tpos:1-571,0.228,0.5,0.0,0.728,Allergen
antigen_0|P0C0D1|DNA|WP_053039079.1|tpos:1-368,0.05,0.5,-0.5,0.05,Non-Allergen
antigen_24|A0A0H2UUQ6|Putative|WP_002984246.1|tpos:1-415,0.493,0.0,0.0,0.493,Allergen
antigen_25|A0A0H3BWS8|Oligopeptide|WP_024623426.1|tpos:1-656,0.488,0.0,0.0,0.488,Allergen
antigen_66|Q99ZT1|NodB|WP_002995687.1|tpos:1-320,0.124,0.0,0.0,0.124,Non-Allergen
antigen_67|Q99ZD7|Amino|WP_031488247.1|tpos:1-278,0.2,0.0,-0.5,-0.3,Non-Allergen
antigen_21|Q9A1H3|Surface|WP_031488672.1|tpos:1-873,0.119,0.5,0.0,0.619,Allergen
antigen_22|Q9A1Z8|Secreted|WP_010921769.1|tpos:1-398,0.261,0.0,-0.5,-0.239,Non-Allergen
antigen_23|A0A4U7H0F4|Chaperone|WP_010922599.1|tpos:1-608,0.415,0.0,0.5,0.915,Allergen
antigen_128|P60812|Foldase|WP_002993567.1|tpos:1-309,0.281,0.5,0.0,0.781,Allergen
antigen_129|Q99XL2|DUF2179|WP_021299113.1|tpos:1-292,0.061,0.0,0.0,0.061,Non-Allergen
antigen_43|A0A0H3BZD9|Protein|WP_002983313.1|tpos:1-190,0.218,0.0,-0.5,-0.282,Non-Allergen
antigen_44|A0A4U7GVK4|Glycine|WP_002984553.1|tpos:1-110,0.27,0.0,0.0,0.27,Non-Allergen
antigen_45|Q9XDB6|Surface|WP_031488772.1|tpos:209-241,0.286,0.0,0.0,0.286,Non-Allergen
antigen_12|Q99Z76|Internalin|WP_020905277.1|tpos:1-792,0.205,0.5,-0.5,0.205,Non-Allergen
antigen_4|P10520|Streptokinase|WP_031488733.1|tpos:1-440,0.501,0.0,0.5,1.001,Allergen
antigen_15|Q9A080|Histidine|WP_002994010.1|tpos:1-262,0.039,0.0,0.0,0.039,Non-Allergen
antigen_16|Q9A0B0|Fructose-specific|WP_031488359.1|tpos:1-648,0.317,0.0,-0.5,-0.183,Non-Allergen
antigen_5|Q7DAL7|Protein|WP_031488772.1|tpos:1-245,0.364,0.0,0.0,0.364,Allergen
antigen_94|Q99XV4|Histidine|WP_031488609.1|tpos:1-823,0.309,0.5,0.0,0.809,Allergen
antigen_63|Q9A1E5|Solute-binding|WP_009880638.1|tpos:1-280,0.323,0.0,-0.5,-0.177,Non-Allergen
antigen_64|P0A4G4|Iron|WP_004218965.1|tpos:1-310,0.368,0.0,-0.5,-0.132,Non-Allergen
antigen_65|Q9A156|Peptidyl-prolyl|WP_002990808.1|tpos:1-268,0.478,0.0,-0.5,-0.022,Non-Allergen
antigen_17|Q9A0Z2|DUF2326|WP_031488427.1|tpos:272-552,0.077,0.0,0.0,0.077,Non-Allergen
antigen_18|Q9A147|42|WP_031488445.1|tpos:1-389,0.249,0.0,0.0,0.249,Non-Allergen
antigen_56|Q9A0C0|Gram-positive|WP_412771319.1|tpos:1-967,0.106,0.0,0.0,0.106,Non-Allergen
antigen_81|Q9A1S3|Signal|WP_031488652.1|tpos:42-171,0.183,0.0,-0.5,-0.317,Non-Allergen
antigen_82|P69887|Triosephosphate|WP_002990539.1|tpos:1-252,0.65,0.0,0.5,1.15,Allergen
antigen_34|A0A059T9M1|M|WP_031577371.1|tpos:60-283,0.536,0.0,0.0,0.536,Allergen
antigen_35|A2T8Z5|PrtF2|WP_031577561.1|tpos:863-1125,0.337,0.5,0.0,0.837,Allergen
antigen_130|Q99XJ6|ABC-2|WP_031488752.1|tpos:1-757,0.154,0.0,-0.5,-0.346,Non-Allergen
antigen_105|Q99Z67|NADP-dependent|WP_011284931.1|tpos:1-475,0.297,0.0,0.5,0.797,Allergen
antigen_106|Q99Z66|Phosphoenolpyruvate-protein|WP_002984033.1|tpos:1-577,0.106,0.0,-0.5,-0.394,Non-Allergen
antigen_50|A0A0H2UUI7|Capsule|WP_015446137.1|tpos:5-397,0.267,0.5,0.0,0.767,Allergen
antigen_11|Q99YL6|Mid-cell-anchored|WP_023079255.1|tpos:1-489,0.351,0.0,0.0,0.351,Allergen
antigen_73|Q9A0L9|Zinc-binding|WP_031488393.1|tpos:1-515,0.43,0.5,-0.5,0.43,Allergen
antigen_74|Q99ZW9|YbbR-like|WP_002984857.1|tpos:1-318,0.156,0.0,0.0,0.156,Non-Allergen
antigen_90|Q99YI6|PepSY|WP_011054910.1|tpos:1-130,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_91|Q99YH8|Lipoprotein|WP_002994282.1|tpos:1-240,0.134,0.0,0.0,0.134,Non-Allergen
antigen_92|Q99Y34|Serine|WP_031488691.1|tpos:1-308,0.179,0.0,0.0,0.179,Non-Allergen
antigen_93|Q99XY4|Proline--tRNA|WP_011055021.1|tpos:1-618,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_124|P0C0H5|Uncharacterized|WP_011284964.1|tpos:1-142,0.38,0.0,0.0,0.38,Allergen
antigen_125|Q99YQ3|ABC|WP_031488778.1|tpos:1-481,0.288,0.0,0.0,0.288,Non-Allergen
antigen_89|Q99YL1|Penicillin-binding|WP_031488498.1|tpos:1-721,0.246,0.5,-0.5,0.246,Non-Allergen
antigen_51|A0A0H2UW86|Probable|WP_011054957.1|tpos:1-340,0.113,0.0,-0.5,-0.387,Non-Allergen
antigen_53|Q9A1S2|Pilin|WP_031488651.1|tpos:1-349,0.372,0.0,0.0,0.372,Allergen
antigen_109|P68897|Phosphoglycerate|WP_002982888.1|tpos:1-398,0.507,0.0,0.0,0.507,Allergen
antigen_110|P68905|Fructose-bisphosphate|WP_002982850.1|tpos:1-293,0.544,0.0,0.5,1.044,Allergen
antigen_101|P66063|Large|WP_002984819.1|tpos:1-121,0.615,0.0,-0.5,0.115,Non-Allergen
antigen_102|P69949|Enolase|WP_002985288.1|tpos:1-435,0.323,0.0,0.5,0.823,Allergen
antigen_103|Q99ZE5|Stress|WP_002984475.1|tpos:1-179,0.283,0.0,0.0,0.283,Non-Allergen
antigen_104|Q99ZD1|Pyruvate|WP_002984447.1|tpos:1-500,0.199,0.5,-0.5,0.199,Non-Allergen
antigen_30|A0ABD7US16|Thiol-activated|WP_080367205.1|tpos:1-571,0.228,0.5,0.0,0.728,Allergen
antigen_31|P0DD26|Probable|WP_031488626.1|tpos:1-499,0.32,0.0,0.0,0.32,Allergen
antigen_116|Q9A066|Ribosomal|WP_002984905.1|tpos:1-401,0.187,0.0,0.0,0.187,Non-Allergen
antigen_117|P0C0H3|DNA-binding|WP_002983920.1|tpos:1-91,0.561,0.0,-0.5,0.061,Non-Allergen
antigen_118|Q99Y65|Formate|WP_002988233.1|tpos:1-775,0.285,0.5,0.0,0.785,Allergen
