Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_0|Q45321|25|NC_017246.1|tpos:230217-230429,0.44,0.0,0.0,0.44,Allergen
antigen_66|Q8YI00|Urease|NC_017246.1|tpos:97268-97479,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_127|C0RKP1|Protein|NC_017247.1|tpos:96893-97027,0.417,0.0,0.0,0.417,Allergen
antigen_131|C0RJ47|GTP|NC_017246.1|tpos:345736-345948,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_120|Q8YIR8|Ferric|NC_017246.1|tpos:688016-688092,0.026,0.5,0.0,0.526,Allergen
antigen_156|Q8YED5|Chromosomal|NC_017246.1|tpos:256-751,0.002,0.5,-0.5,0.002,Non-Allergen
antigen_121|Q8YEK2|Error-prone|NC_017246.1|tpos:267748-268803,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_71|Q8YG99|Probable|NC_017246.1|tpos:226476-226935,0.117,0.0,-0.5,-0.383,Non-Allergen
antigen_96|C0RJF0|NADPH-dependent|NC_017246.1|tpos:382785-382939,0.13,0.0,0.0,0.13,Non-Allergen
antigen_107|C0RFX5|Pantothenate|NC_017246.1|tpos:659222-659543,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_35|Q8YJ03|Thiamine|NC_017246.1|tpos:81294-81499,0.066,0.5,-0.5,0.066,Non-Allergen
antigen_195|C0RG90|3-phosphoshikimate|NC_017246.1|tpos:9597-10046,0.115,0.0,-0.5,-0.385,Non-Allergen
antigen_170|Q8YCA7|sn-glycerol-3-phosphate-binding|NC_017247.1|tpos:154816-155054,0.617,0.0,-0.5,0.117,Non-Allergen
antigen_145|Q8YCB0|sn-glycerol-3-phosphate|NC_017246.1|tpos:81236-81507,0.025,0.0,-0.5,-0.475,Non-Allergen
