Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_145|Q8YCB0|sn-glycerol-3-phosphate|NZ_CP018479.1|tpos:200927-201208,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_24|C0RGM7|Ribonuclease|NZ_CP018478.1|tpos:60351-60588,0.098,0.0,0.0,0.098,Non-Allergen
antigen_96|C0RJF0|NADPH-dependent|NZ_CP018478.1|tpos:382270-382424,0.13,0.0,0.0,0.13,Non-Allergen
antigen_132|C0RKF4|Tetraacyldisaccharide|NZ_CP018479.1|tpos:65602-65942,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_54|C0RJK4|Elongation|NZ_CP018478.1|tpos:66628-66765,0.302,0.0,-0.5,-0.198,Non-Allergen
antigen_42|Q8YHF9|Cyclic|NZ_CP018478.1|tpos:369700-369864,0.044,0.5,0.0,0.544,Allergen
antigen_177|Q8YH20|Beta-(1--,0.495,0.0,0.0,0.495,Allergen
2)glucan|NZ_CP018479.1|tpos:329276-329706,0.03,0.0,-0.5,-0.47,Non-Allergen
antigen_197|Q8YIM6|Cell-division|NZ_CP018478.1|tpos:107822-108055,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_22|P63566|Acetylornithine|NZ_CP018478.1|tpos:108489-108891,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_82|Q8YEM5|Cytochrome|NZ_CP018479.1|tpos:99645-99827,0.087,0.0,-0.5,-0.413,Non-Allergen
antigen_85|C0RJB4|LexA|NZ_CP018478.1|tpos:370369-370608,0.023,0.5,-0.5,0.023,Non-Allergen
antigen_156|Q8YED5|Chromosomal|NZ_CP018478.1|tpos:256-751,0.002,0.5,-0.5,0.002,Non-Allergen
antigen_60|Q8YCN8|Nickel|NZ_CP018479.1|tpos:349300-349552,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_107|C0RFX5|Pantothenate|NZ_CP018478.1|tpos:658287-658608,0.033,0.5,-0.5,0.033,Non-Allergen
antigen_35|Q8YJ03|Thiamine|NZ_CP018479.1|tpos:339249-339458,0.124,0.0,0.0,0.124,Non-Allergen
antigen_9|Q8YHC4|UvrABC|NZ_CP018478.1|tpos:503206-503389,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_94|C0RH89|GTPase|NZ_CP018478.1|tpos:489382-489486,0.346,0.0,-0.5,-0.154,Non-Allergen
antigen_182|C0RMG5|Acetylglutamate|NZ_CP018479.1|tpos:322236-322531,0.108,0.5,-0.5,0.108,Non-Allergen
antigen_174|Q8YCV3|L-erythrulose-1-phosphate|NZ_CP018479.1|tpos:270893-271148,0.06,0.5,0.5,1.06,Allergen
antigen_58|Q8YG35|Bifunctional|NZ_CP018478.1|tpos:202857-203839,0.001,0.0,-0.5,-0.499,Non-Allergen
