Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_32|Q8YDS2|Leu/Ile/Val-binding|CP026337.1|tpos:818451-818810,0.592,0.0,0.0,0.592,Allergen
antigen_84|C0RFD2|tRNA|CP026337.1|tpos:983550-983908,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_30|C0RIG5|tRNA-cytidine(32)|CP026337.1|tpos:269672-269964,0.053,0.0,-0.5,-0.447,Non-Allergen
antigen_170|Q8YCA7|sn-glycerol-3-phosphate-binding|CP026337.1|tpos:821057-821489,0.581,0.0,-0.5,0.081,Non-Allergen
antigen_6|Q8YHZ8|Urease|CP026337.1|tpos:299944-300373,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_24|C0RGM7|Ribonuclease|CP026337.1|tpos:60108-60345,0.098,0.0,0.0,0.098,Non-Allergen
antigen_51|C0RIA7|Transcription|CP026337.1|tpos:251748-251918,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_35|Q8YJ03|Thiamine|CP026337.1|tpos:36238-36487,0.101,0.0,0.0,0.101,Non-Allergen
antigen_111|C0REX2|Elongation|CP026337.1|tpos:542895-543080,0.182,0.0,-0.5,-0.318,Non-Allergen
antigen_183|C0RIA3|Transcriptional|CP026337.1|tpos:250848-251005,0.169,0.5,0.0,0.669,Allergen
antigen_77|Q8YGK3|NADH-quinone|CP026337.1|tpos:260485-260880,0.023,0.0,0.0,0.023,Non-Allergen
antigen_161|Q8YCG3|Fe(3+)|CP026337.1|tpos:923287-923515,0.018,0.0,-0.5,-0.482,Non-Allergen
antigen_56|C0RIN3|Aspartyl/glutamyl-tRNA(Asn/Gln)|CP026337.1|tpos:290426-290925,0.249,0.0,-0.5,-0.251,Non-Allergen
antigen_9|Q8YHC4|UvrABC|CP026337.1|tpos:761230-761397,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_141|C0RLJ5|Ribosomal|CP026337.1|tpos:830743-830982,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_145|Q8YCB0|sn-glycerol-3-phosphate|CP026337.1|tpos:852257-852506,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_82|Q8YEM5|Cytochrome|CP026337.1|tpos:32421-32635,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_85|C0RJB4|LexA|CP026337.1|tpos:370593-370832,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_26|C0RFX3|Imidazole|CP026337.1|tpos:1043695-1043897,0.179,0.0,0.0,0.179,Non-Allergen
antigen_75|C0RG65|Formamidopyrimidine-DNA|CP026337.1|tpos:1075578-1075870,0.018,0.0,-0.5,-0.482,Non-Allergen
antigen_22|P63566|Acetylornithine|CP026337.1|tpos:910441-910546,0.282,0.5,-0.5,0.282,Non-Allergen
antigen_121|Q8YEK2|Error-prone|CP026337.1|tpos:267420-268475,0.016,0.0,-0.5,-0.484,Non-Allergen
