Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_60|P66826|Superoxide|WP_002972093.1|tpos:1-173,0.542,0.0,0.5,1.042,Allergen
antigen_160|C0RFI1|Hydroxyacylglutathione|WP_002965004.1|tpos:1-260,0.083,0.5,-0.5,0.083,Non-Allergen
antigen_161|C0RIP1|3-dehydroquinate|WP_002964037.1|tpos:1-157,0.223,0.0,0.0,0.223,Non-Allergen
antigen_162|Q8YBP2|Bifunctional|WP_004681741.1|tpos:1-512,0.052,0.0,0.0,0.052,Non-Allergen
antigen_27|Q8YAY5|HTH-type|WP_002966460.1|tpos:1-259,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_28|C0RFZ4|Tryptophan|WP_004686731.1|tpos:1-406,0.136,0.0,0.0,0.136,Non-Allergen
antigen_33|Q8YCQ9|Fluoride-specific|WP_004684861.1|tpos:1-137,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_183|C0RE73|Phospho-N-acetylmuramoyl-pentapeptide-transferase|WP_002964542.1|tpos:1-360,0.034,0.5,-0.5,0.034,Non-Allergen
antigen_143|C0RHG2|Small|WP_002963611.1|tpos:1-148,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_144|Q8YHH3|Isoprenyl|WP_002964285.1|tpos:1-254,0.074,0.0,-0.5,-0.426,Non-Allergen
antigen_145|C0REH2|Peptidyl-tRNA|WP_002967832.1|tpos:1-250,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_127|Q8YDG6|Putative|WP_004685928.1|tpos:1-514,0.309,0.0,-0.5,-0.191,Non-Allergen
antigen_128|C0RJJ3|Large|WP_002964354.1|tpos:1-66,0.415,0.0,-0.5,-0.085,Non-Allergen
antigen_129|C0RH28|Dihydroorotate|WP_004682882.1|tpos:1-364,0.055,0.0,-0.5,-0.445,Non-Allergen
antigen_31|C0RI03|Ribonuclease|WP_002963805.1|tpos:1-234,0.006,0.5,-0.5,0.006,Non-Allergen
antigen_32|Q8YEN0|Dihydroxy-acid|WP_002965347.1|tpos:1-611,0.073,0.5,-0.5,0.073,Non-Allergen
antigen_188|Q8YCY1|Ornithine|WP_006135649.1|tpos:1-358,0.078,0.0,-0.5,-0.422,Non-Allergen
antigen_15|C0RJI2|Large|WP_002964343.1|tpos:1-156,0.237,0.0,-0.5,-0.263,Non-Allergen
antigen_16|C0RF32|4-hydroxy-3-methylbut-2-en-1-yl|WP_004684229.1|tpos:1-420,0.064,0.0,-0.5,-0.436,Non-Allergen
antigen_66|Q8YBH3|Probable|WP_002966269.1|tpos:1-248,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_68|Q8YHG4|Glutamate--tRNA|WP_004683856.1|tpos:1-473,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_45|P63919|Peptide|WP_002966173.1|tpos:1-164,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_46|C0RHQ0|Xylose|WP_002966715.1|tpos:1-435,0.211,0.0,0.0,0.211,Non-Allergen
antigen_58|Q8YDZ0|Type|WP_006135554.1|tpos:1-380,0.183,0.0,-0.5,-0.317,Non-Allergen
antigen_189|C0RKP8|Cell|WP_002966267.1|tpos:1-90,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_190|C0RJI6|Large|WP_004683920.1|tpos:1-177,0.3,0.0,0.0,0.3,Non-Allergen
antigen_191|C0RF62|Acetyl-coenzyme|WP_004686280.1|tpos:1-651,0.334,0.5,-0.5,0.334,Allergen
antigen_55|Q8YG75|GTPase|WP_004685528.1|tpos:1-311,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_56|Q8YI12|Fluoride-specific|WP_004683990.1|tpos:7-129,0.141,0.0,-0.5,-0.359,Non-Allergen
antigen_25|Q8YGN4|Phosphoribosylformylglycinamidine|WP_002963972.1|tpos:1-223,0.127,0.0,-0.5,-0.373,Non-Allergen
antigen_180|P63353|Sulfate/thiosulfate|WP_002965359.1|tpos:1-359,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_130|C0RGP5|Sulfate|WP_004686641.1|tpos:7-306,0.055,0.0,0.0,0.055,Non-Allergen
antigen_131|C0RGK0|Bifunctional|WP_004686653.1|tpos:1-934,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_154|Q8YJ23|Leu/Ile/Val-binding|WP_004684242.1|tpos:1-371,0.786,0.0,0.0,0.786,Allergen
antigen_173|F8WJP6|GDP-perosamine|WP_002963675.1|tpos:1-259,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_2|P0A4R0|Protein-methionine-sulfoxide|WP_014517422.1|tpos:1-319,0.181,0.5,-0.5,0.181,Non-Allergen
antigen_3|C0RL20|Homoserine|WP_002966142.1|tpos:1-306,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_182|C0RMH3|Methionyl-tRNA|WP_004685942.1|tpos:1-306,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_12|P67173|Probable|WP_002964805.1|tpos:1-248,0.175,0.0,-0.5,-0.325,Non-Allergen
antigen_85|C0RFZ1|Acetyl-coenzyme|WP_002965171.1|tpos:1-301,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_86|Q8YE35|Imidazole|WP_004684542.1|tpos:1-216,0.118,0.0,-0.5,-0.382,Non-Allergen
antigen_87|Q8YIS0|UPF0391|WP_002964748.1|tpos:1-54,0.146,0.0,0.0,0.146,Non-Allergen
antigen_88|C0RJL5|Large|WP_002964374.1|tpos:1-142,0.379,0.0,-0.5,-0.121,Non-Allergen
antigen_89|P67567|UPF0262|WP_002965533.1|tpos:1-160,0.014,0.5,-0.5,0.014,Non-Allergen
antigen_7|C0RIB2|Phosphate|WP_004683580.1|tpos:1-346,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_8|Q7CNT2|Urease|WP_002963433.1|tpos:1-101,0.146,0.0,0.0,0.146,Non-Allergen
antigen_9|P65955|UPF0758|WP_004686411.1|tpos:1-249,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_181|Q8YJ77|Probable|WP_002964920.1|tpos:31-224,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_19|Q8YGV8|Tyrosine--tRNA|WP_014490085.1|tpos:1-417,0.037,0.0,-0.5,-0.463,Non-Allergen
antigen_186|C0RH97|Ribonuclease|WP_004683016.1|tpos:1-220,0.041,0.5,-0.5,0.041,Non-Allergen
antigen_187|C0RIT4|GTP|WP_004683730.1|tpos:1-344,0.028,0.5,-0.5,0.028,Non-Allergen
antigen_4|C0RI35|Nucleoside|WP_002963836.1|tpos:1-140,0.165,0.0,0.5,0.665,Allergen
antigen_5|C0RJI3|Large|WP_002967737.1|tpos:1-65,0.104,0.0,0.0,0.104,Non-Allergen
antigen_6|Q8YIR8|Ferric|WP_004684125.1|tpos:1-141,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_63|P0C537|Type|WP_002966516.1|tpos:1-57,0.555,0.0,0.0,0.555,Allergen
antigen_64|Q8YDZ2|Type|WP_004685876.1|tpos:1-347,0.076,0.5,0.0,0.576,Allergen
antigen_67|Q8YJ29|4-hydroxyproline|WP_004686283.1|tpos:1-333,0.277,0.0,-0.5,-0.223,Non-Allergen
antigen_71|Q8YHB5|Probable|WP_004683823.1|tpos:1-196,0.2,0.0,0.5,0.7,Allergen
antigen_73|C0RJC2|UDP-3-O-acylglucosamine|WP_002964281.1|tpos:1-351,0.174,0.0,-0.5,-0.326,Non-Allergen
antigen_74|Q8YJP2|Tyrosine|WP_005970535.1|tpos:1-307,0.012,0.0,-0.5,-0.488,Non-Allergen
antigen_75|C0RFD1|Porphobilinogen|WP_002964957.1|tpos:1-314,0.003,0.5,-0.5,0.003,Non-Allergen
antigen_109|C0RHI7|UPF0301|WP_004683145.1|tpos:1-200,0.057,0.0,-0.5,-0.443,Non-Allergen
antigen_110|Q8YES6|DNA|WP_004686651.1|tpos:1-910,0.005,0.0,-0.5,-0.495,Non-Allergen
antigen_106|C0RJH8|Small|WP_002964340.1|tpos:1-122,0.123,0.0,0.0,0.123,Non-Allergen
antigen_107|Q8YDG8|Putative|WP_004685927.1|tpos:1-296,0.021,0.0,0.0,0.021,Non-Allergen
antigen_108|Q7CNT4|Urease|WP_002963437.1|tpos:1-208,0.058,0.0,0.0,0.058,Non-Allergen
antigen_165|Q8YJ02|Thiamine-binding|WP_004684204.1|tpos:1-334,0.415,0.0,0.0,0.415,Allergen
antigen_104|C0RIB4|Integration|WP_002963914.1|tpos:1-107,0.112,0.0,-0.5,-0.388,Non-Allergen
antigen_105|C0RJ44|Threonine--tRNA|WP_004686437.1|tpos:1-658,0.032,0.0,-0.5,-0.468,Non-Allergen
antigen_17|C0RGN1|UPF0102|WP_002965427.1|tpos:1-126,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_18|Q8YIV0|tRNA(Ile)-lysidine|WP_004686307.1|tpos:1-448,0.005,0.0,-0.5,-0.495,Non-Allergen
antigen_177|C0RFF2|Large|WP_002964975.1|tpos:1-145,0.285,0.0,-0.5,-0.215,Non-Allergen
antigen_178|C0RJH7|Small|WP_002964339.1|tpos:1-129,0.185,0.0,0.0,0.185,Non-Allergen
antigen_179|C0RFI0|Inner|WP_006135165.1|tpos:1-220,0.055,0.0,0.0,0.055,Non-Allergen
antigen_81|C0RMH2|tRNA|WP_002965618.1|tpos:1-251,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_82|Q8YHP0|Large|WP_002964362.1|tpos:1-237,0.186,0.0,0.0,0.186,Non-Allergen
antigen_83|C0RIT3|Molybdenum|WP_004683729.1|tpos:1-221,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_98|Q8YGK3|NADH-quinone|WP_002963940.1|tpos:1-396,0.023,0.5,0.0,0.523,Allergen
antigen_76|C0RJA5|CTP|WP_004685676.1|tpos:1-542,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_84|Q8YGX8|Valine--tRNA|WP_004686461.1|tpos:1-910,0.018,0.5,-0.5,0.018,Non-Allergen
antigen_92|Q8YGM0|Lipoprotein-releasing|WP_002963957.1|tpos:1-227,0.012,0.5,-0.5,0.012,Non-Allergen
antigen_93|C0RLC2|Glycerol-3-phosphate|WP_004681904.1|tpos:1-201,0.095,0.0,-0.5,-0.405,Non-Allergen
antigen_94|C0RIN8|Leucyl/phenylalanyl-tRNA--protein|WP_005969165.1|tpos:1-189,0.036,0.0,0.0,0.036,Non-Allergen
antigen_95|Q8YBN6|Putative|WP_004686118.1|tpos:1-338,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_142|C0RE23|Probable|WP_014490140.1|tpos:1-651,0.023,0.5,-0.5,0.023,Non-Allergen
antigen_29|P63361|Phosphate|WP_002965205.1|tpos:1-273,0.029,0.5,-0.5,0.029,Non-Allergen
antigen_30|Q8YCB0|sn-glycerol-3-phosphate|WP_004684930.1|tpos:1-282,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_23|Q8YH92|Putative|WP_002964192.1|tpos:1-123,0.306,0.0,-0.5,-0.194,Non-Allergen
antigen_24|C0RLB6|Aspartyl/glutamyl-tRNA(Asn/Gln)|WP_004686069.1|tpos:1-95,0.262,0.0,-0.5,-0.238,Non-Allergen
antigen_122|C0RJA4|2-dehydro-3-deoxyphosphooctonate|WP_002964262.1|tpos:1-277,0.107,0.0,0.0,0.107,Non-Allergen
antigen_123|Q8YFI3|4-diphosphocytidyl-2-C-methyl-D-erythritol|WP_004686591.1|tpos:1-299,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_124|C0RIH6|Phosphoribosylaminoimidazole-succinocarboxamide|WP_002963974.1|tpos:1-254,0.029,0.0,0.0,0.029,Non-Allergen
antigen_52|Q8YDY9|Type|WP_005972055.1|tpos:1-361,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_53|C0RF49|ATP|WP_002964875.1|tpos:1-135,0.202,0.0,-0.5,-0.298,Non-Allergen
antigen_159|Q8YFI5|Na(+)/H(+)|WP_308436515.1|tpos:1-290,0.016,0.0,0.0,0.016,Non-Allergen
antigen_62|Q8YCA5|Adenine|WP_004681932.1|tpos:19-599,0.023,0.5,-0.5,0.023,Non-Allergen
antigen_65|P65320|Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine|WP_002964279.1|tpos:1-278,0.296,0.0,-0.5,-0.204,Non-Allergen
antigen_192|Q8YHH4|Uridylate|WP_004685684.1|tpos:1-240,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_193|C0RJ73|Ribose|WP_004685664.1|tpos:1-192,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_21|Q8YJ15|Biosynthetic|WP_006135199.1|tpos:20-242,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_22|C0RFJ0|Protein|WP_002965012.1|tpos:1-906,0.041,0.5,-0.5,0.041,Non-Allergen
antigen_174|Q8YHH2|Phosphatidate|WP_004685681.1|tpos:1-270,0.043,0.0,-0.5,-0.457,Non-Allergen
antigen_14|C0RES0|Malate|WP_004684123.1|tpos:1-728,0.156,0.5,0.0,0.656,Allergen
antigen_135|Q8YF72|Urease|WP_004682812.1|tpos:1-570,0.173,0.5,0.0,0.673,Allergen
antigen_152|C0RF56|Probable|WP_002966970.1|tpos:1-217,0.223,0.0,0.5,0.723,Allergen
antigen_153|C0RFX4|Phosphoribosyl-ATP|WP_002965152.1|tpos:1-107,0.069,0.5,-0.5,0.069,Non-Allergen
antigen_166|Q8YHZ6|Urease|WP_002964469.1|tpos:1-100,0.201,0.0,0.0,0.201,Non-Allergen
antigen_167|Q8YDR7|Putative|WP_004686821.1|tpos:1-237,0.03,0.0,-0.5,-0.47,Non-Allergen
antigen_140|C0RJJ5|Small|WP_004683924.1|tpos:1-236,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_149|Q8YIG1|Ribose-phosphate|WP_002964638.1|tpos:1-310,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_125|C0RG90|3-phosphoshikimate|WP_004685324.1|tpos:1-450,0.115,0.5,-0.5,0.115,Non-Allergen
antigen_126|Q8YJ80|GTPase|WP_002964923.1|tpos:1-341,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_0|P66399|Small|WP_002964349.1|tpos:1-101,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_118|Q8YDL7|Flagellar|WP_002966643.1|tpos:1-227,0.165,0.0,-0.5,-0.335,Non-Allergen
antigen_90|C0REH1|Large|WP_002964640.1|tpos:1-207,0.357,0.5,-0.5,0.357,Allergen
antigen_91|C0RLC0|Aspartate|WP_002966034.1|tpos:1-322,0.062,0.0,-0.5,-0.438,Non-Allergen
antigen_102|Q8YH52|UPF0283|WP_004686444.1|tpos:1-357,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_103|C0RIL0|Arginine--tRNA|WP_004686473.1|tpos:1-585,0.034,0.5,-0.5,0.034,Non-Allergen
antigen_96|C0REB5|UPF0260|WP_002964583.1|tpos:1-152,0.359,0.0,0.0,0.359,Allergen
antigen_97|C0RJP6|UPF0758|WP_004686411.1|tpos:1-249,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_100|Q8YEA2|tRNA-2-methylthio-N(6)-dimethylallyladenosine|WP_004684577.1|tpos:1-467,0.012,0.0,-0.5,-0.488,Non-Allergen
antigen_101|P65744|Inorganic|WP_002965058.1|tpos:1-176,0.17,0.0,-0.5,-0.33,Non-Allergen
antigen_1|Q8YCK1|Exodeoxyribonuclease|WP_004686015.1|tpos:1-511,0.02,0.5,-0.5,0.02,Non-Allergen
antigen_99|C0RKS9|GMP|WP_004681699.1|tpos:1-520,0.037,0.0,-0.5,-0.463,Non-Allergen
antigen_13|C0RMH8|Elongation|WP_004682459.1|tpos:1-602,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_35|C0RI52|Phosphoribosylformylglycinamidine|WP_004683486.1|tpos:1-359,0.15,0.0,0.0,0.15,Non-Allergen
antigen_41|C0RKF6|DNA|WP_006262032.1|tpos:1-623,0.004,0.0,-0.5,-0.496,Non-Allergen
antigen_184|C0RFS0|Shikimate|WP_002971869.1|tpos:1-200,0.026,0.0,-0.5,-0.474,Non-Allergen
antigen_185|C0RMD3|Protein-methionine-sulfoxide|WP_004682401.1|tpos:1-220,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_141|C0RIH1|Phosphoribosylformylglycinamidine|WP_002966777.1|tpos:1-740,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_36|Q8YCX5|UPF0434|WP_002965755.1|tpos:1-64,0.118,0.0,0.0,0.118,Non-Allergen
antigen_37|C0RIA3|Transcriptional|WP_002966765.1|tpos:1-158,0.169,0.0,0.0,0.169,Non-Allergen
antigen_38|C0RK96|Flagellar|WP_002966429.1|tpos:1-111,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_39|C0RG67|Small|WP_002965247.1|tpos:1-88,0.209,0.0,-0.5,-0.291,Non-Allergen
antigen_20|P64004|Deoxyuridine|WP_002964766.1|tpos:1-157,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_175|Q8YCE3|Sulfur|WP_004684919.1|tpos:1-269,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_176|Q8YH20|Beta-(1--,0.477,0.0,0.0,0.477,Allergen
2)glucan|WP_004683750.1|tpos:1-599,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_198|Q8YI63|D-alanine--D-alanine|WP_004684019.1|tpos:1-308,0.246,0.0,-0.5,-0.254,Non-Allergen
antigen_199|Q8YCE2|Probable|WP_004686038.1|tpos:1-421,0.616,0.0,0.0,0.616,Allergen
antigen_40|C0RFB8|Ubiquinone|WP_004684402.1|tpos:1-248,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_10|C0RJH5|Large|WP_002964337.1|tpos:1-142,0.127,0.0,-0.5,-0.373,Non-Allergen
antigen_11|C0REI6|Oxygen-dependent|WP_002964654.1|tpos:1-303,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_42|C0RF89|Ribosomal|WP_004684318.1|tpos:1-174,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_172|C0RLB0|Octanoyltransferase|WP_006135411.1|tpos:1-249,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_111|P64203|Glutamyl-tRNA(Gln)|WP_004686069.1|tpos:1-95,0.262,0.0,-0.5,-0.238,Non-Allergen
antigen_112|Q8YH64|Xanthine-guanine|WP_002964164.1|tpos:1-170,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_113|P0A3U4|31|WP_004681766.1|tpos:1-240,0.622,0.0,0.0,0.622,Allergen
antigen_150|C0RF97|Large|WP_002964927.1|tpos:1-89,0.261,0.0,0.0,0.261,Non-Allergen
antigen_151|C0RGM7|Ribonuclease|WP_004684686.1|tpos:1-238,0.098,0.0,0.0,0.098,Non-Allergen
antigen_197|Q8YFS6|DNA|WP_004683163.1|tpos:1-377,0.035,0.5,-0.5,0.035,Non-Allergen
antigen_34|C0RLN1|Glycine|WP_004684905.1|tpos:1-932,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_195|C0RMK6|Peptide|WP_004685934.1|tpos:1-218,0.362,0.5,-0.5,0.362,Allergen
antigen_196|Q8YED5|Chromosomal|WP_002970905.1|tpos:51-546,0.002,0.5,-0.5,0.002,Non-Allergen
antigen_72|C0RJ80|ATP-dependent|WP_002964236.1|tpos:1-424,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_119|Q8YC59|UPF0173|WP_002971239.1|tpos:1-237,0.471,0.5,-0.5,0.471,Allergen
antigen_116|Q8YH17|Methionine--tRNA|WP_004685630.1|tpos:1-515,0.077,0.0,-0.5,-0.423,Non-Allergen
"antigen_132|C0RMG8|2,3,4,5-tetrahydropyridine-2,6-dicarboxylate|WP_004685944.1|tpos:1-284",0.431,0.0,0.0,0.431,Allergen
antigen_133|C0RH21|Protein|WP_002963468.1|tpos:1-130,0.231,0.5,0.0,0.731,Allergen
antigen_134|C0RFD3|Glycerol-3-phosphate|WP_002964959.1|tpos:1-326,0.013,0.5,-0.5,0.013,Non-Allergen
antigen_146|C0RG97|Nucleoid-associated|WP_004686684.1|tpos:1-107,0.474,0.0,0.0,0.474,Allergen
antigen_147|Q8YDA3|Membrane|WP_004685946.1|tpos:1-610,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_156|C0RG44|Ribosome|WP_002965224.1|tpos:1-219,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_157|Q8YCN8|Nickel|WP_002965841.1|tpos:1-262,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_158|C0RI01|Holo-[acyl-carrier-protein]|WP_002963803.1|tpos:1-134,0.065,0.0,-0.5,-0.435,Non-Allergen
