parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
UNIPROT:P43839,['Outer membrane protein P2 (UniProt:P43839)'],"['Haemophilus influenzae', 'Haemophilus influenzae 6U', 'Haemophilus influenzae ATCC 9795', 'Haemophilus influenzae MinnA', 'Haemophilus influenzae NTHi 1479', 'Haemophilus influenzae strain 1479', 'Haemophilus influenzae Subtype 1H', 'Haemophilus influenzae Variant d1']","['Cavia porcellus (guinea pig)', 'Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C3H', 'Mus musculus C57BL/6', 'Mus musculus (mouse)', 'Mus musculus SJL', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)']"
UNIPROT:P43840,['Outer membrane protein P5 (UniProt:P43840)'],"['Haemophilus influenzae', 'Haemophilus influenzae 86-028NP (Haemophilus influenzae str. 86-028NP)', 'Haemophilus influenzae NTHi 1128', 'Haemophilus influenzae NTHi UC19']","['Chinchilla lanigera (long-tailed chinchilla)', 'Homo sapiens (human)', 'Oryctolagus cuniculus New Zealand White', 'Rattus norvegicus (brown rat)']"
UNIPROT:P43847,['Phosphoribosylformylglycinamidine synthase (UniProt:P43847)'],"['Haemophilus influenzae', 'Haemophilus influenzae Rd KW20 (Haemophilus influenzae KW20)']",['Homo sapiens (human)']
UNIPROT:P43867,['ATP-dependent Clp protease proteolytic subunit (UniProt:P43867)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P43929,['Uncharacterized protein HI_0040 (UniProt:P43929)'],"['Haemophilus influenzae', 'Haemophilus influenzae 22.1-21 (Haemophilus influenzae 22121)']",['Homo sapiens (human)']
UNIPROT:P43937,['Uncharacterized protein HI_0082 (UniProt:P43937)'],"['Haemophilus influenzae', 'Haemophilus influenzae Rd KW20 (Haemophilus influenzae KW20)']",['Homo sapiens (human)']
UNIPROT:P44003,['Uncharacterized protein HI_0487 (UniProt:P44003)'],"['Haemophilus influenzae', 'Haemophilus influenzae R3021 (Haemophilus influenzae str. R3021)']",['Homo sapiens (human)']
UNIPROT:P44016,['Putative oligopeptide transporter HI_0561 (UniProt:P44016)'],"['Haemophilus influenzae', 'Haemophilus influenzae 3655 (Haemophilus influenzae str. 3655)']",['Homo sapiens (human)']
UNIPROT:P44136,['Putative nickel/cobalt efflux system HI_1248 (UniProt:P44136)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44233,['Mu-like prophage FluMu tail sheath protein (UniProt:P44233)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44252,['Lipoprotein-releasing system transmembrane protein LolC (UniProt:P44252)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44318,['Exodeoxyribonuclease III (UniProt:P44318)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44324,['Aspartate ammonia-lyase (UniProt:P44324)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44402,['Ribosomal protein L11 methyltransferase (UniProt:P44402)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44407,['ATP-dependent lipid A-core flippase (UniProt:P44407)'],"['Haemophilus influenzae', 'Haemophilus influenzae 22.1-21 (Haemophilus influenzae 22121)']",['Homo sapiens (human)']
UNIPROT:P44408,['Recombination protein 2 (UniProt:P44408)'],"['Haemophilus influenzae', 'Haemophilus influenzae PittII (Haemophilus influenzae str. PittII)']",['Homo sapiens (human)']
UNIPROT:P44447,['Putative phosphatase HI_0003 (UniProt:P44447)'],"['Haemophilus influenzae', 'Haemophilus influenzae 22.1-21 (Haemophilus influenzae 22121)']",['Homo sapiens (human)']
UNIPROT:P44504,['Homoserine kinase (UniProt:P44504)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44536,['GTPase Der (UniProt:P44536)'],"['Haemophilus influenzae', 'Haemophilus influenzae 6P18H1 (Haemophilus influenzae str. 6P18H1)']","['Homo sapiens (human)', 'Mus musculus Ob.1A12 TCR Tg']"
UNIPROT:P44602,['Heme/hemopexin-binding protein (UniProt:P44602)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44606,['tRNA-dihydrouridine(16) synthase (UniProt:P44606)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2846 (Haemophilus influenzae str. R2846)']",['Homo sapiens (human)']
UNIPROT:P44608,['UPF0761 membrane protein HI_0276 (UniProt:P44608)'],"['Haemophilus influenzae', 'Haemophilus influenzae Rd KW20 (Haemophilus influenzae KW20)']",['Homo sapiens (human)']
UNIPROT:P44620,['Prepilin leader peptidase/N-methyltransferase (UniProt:P44620)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44680,['ATP-dependent DNA helicase YoaA (UniProt:P44680)'],"['Haemophilus influenzae', 'Haemophilus influenzae PittII (Haemophilus influenzae str. PittII)']",['Homo sapiens (human)']
UNIPROT:P44741,['Tellurite resistance protein TehA homolog (UniProt:P44741)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44766,['Peptidase E (UniProt:P44766)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2846 (Haemophilus influenzae str. R2846)']",['Homo sapiens (human)']
UNIPROT:P44769,['Carbamate kinase (UniProt:P44769)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44821,['HTH-type transcriptional activator IlvY (UniProt:P44821)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44836,['Probable hemoglobin and hemoglobin-haptoglobin-binding protein 3 (UniProt:P44836)'],['Haemophilus influenzae R2846 (Haemophilus influenzae str. R2846)'],['Homo sapiens (human)']
UNIPROT:P44969,['Immunoglobulin A1 protease autotransporter (UniProt:P44969)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44976,['4-hydroxy-3-methylbut-2-enyl diphosphate reductase (UniProt:P44976)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P44987,['Biotin synthase (UniProt:P44987)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P45018,['ATP-dependent RNA helicase HrpA homolog (UniProt:P45018)'],['Haemophilus influenzae'],"['Homo sapiens (human)', 'Mus musculus (mouse)', 'Mus musculus NOD.Cg-Tg']"
UNIPROT:P45042,['Lipooligosaccharide heptosyltransferase 2 (UniProt:P45042)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P45043,['Xylose operon regulatory protein (UniProt:P45043)'],"['Haemophilus influenzae', 'Haemophilus influenzae PittGG (Haemophilus influenzae str. PittGG)']",['Homo sapiens (human)']
UNIPROT:P45053,['Oligopeptide transport system permease protein OppC (UniProt:P45053)'],"['Haemophilus influenzae', 'Haemophilus influenzae PittAA (Haemophilus influenzae str. PittAA)']",['Homo sapiens (human)']
UNIPROT:P45090,['Arginine ABC transporter permease protein ArtQ (UniProt:P45090)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2846 (Haemophilus influenzae str. R2846)']",['Homo sapiens (human)']
UNIPROT:P45103,['Uncharacterized protein HI_1198 (UniProt:P45103)'],"['Haemophilus influenzae', 'Haemophilus influenzae Rd KW20 (Haemophilus influenzae KW20)']",['Homo sapiens (human)']
UNIPROT:P45125,['UvrABC system protein B (UniProt:P45125)'],"['Haemophilus influenzae', 'Haemophilus influenzae 7P49H1 (Haemophilus influenzae str. 7P49H1)']",['Homo sapiens (human)']
UNIPROT:P45200,['Probable NADP-dependent dehydrogenase HI_1430 (UniProt:P45200)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P46448,['Formate dehydrogenase major subunit (UniProt:P46448)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2846 (Haemophilus influenzae str. R2846)']",['Homo sapiens (human)']
UNIPROT:P71354,['Trk system potassium uptake protein TrkA (UniProt:P71354)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P71392,['Protein LicA (UniProt:P71392)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2866 (Haemophilus influenzae str. R2866)']",['Homo sapiens (human)']
UNIPROT:P71398,['Lsg locus putative protein 4 (UniProt:P71398)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P96343,['Mu-like prophage FluMu DNA transposition protein B (UniProt:P96343)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:Q06282,['Glycerophosphodiester phosphodiesterase (UniProt:Q06282)'],['Haemophilus influenzae 86-028NP (Haemophilus influenzae str. 86-028NP)'],['Homo sapiens (human)']
UNIPROT:Q48214,['Uncharacterized glycosyltransferase HI_1696 (UniProt:Q48214)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:Q57180,['Uncharacterized ABC transporter ATP-binding protein HI_1051 (UniProt:Q57180)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:Q57243,['Uncharacterized ABC transporter ATP-binding protein HI_1272 (UniProt:Q57243)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:Q57288,['Ion-translocating oxidoreductase complex subunit D (UniProt:Q57288)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2846 (Haemophilus influenzae str. R2846)']",['Homo sapiens (human)']
UNIPROT:Q57362,['Uncharacterized MscS family protein HI_0195.1 (UniProt:Q57362)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2866 (Haemophilus influenzae str. R2866)']",['Homo sapiens (human)']
UNIPROT:Q57427,['Putative esterase/lipase HI_0193 (UniProt:Q57427)'],"['Haemophilus influenzae', 'Haemophilus influenzae R3021 (Haemophilus influenzae str. R3021)']",['Homo sapiens (human)']
