Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_2|A5UE38|Thiosulfate|WP_005658417.1|tpos:1-105,0.3,0.0,0.0,0.3,Non-Allergen
antigen_198|P45026|Uncharacterized|WP_005647705.1|tpos:1-85,0.107,0.0,0.0,0.107,Non-Allergen
antigen_58|Q9KIV2|Hemoglobin-binding|WP_126466921.1|tpos:1-61,0.355,0.0,0.0,0.355,Allergen
antigen_63|A5UA77|RNA-binding|WP_005693756.1|tpos:1-91,0.169,0.0,0.0,0.169,Non-Allergen
antigen_192|P44809|Probable|WP_406808624.1|tpos:1-53,0.267,0.0,0.0,0.267,Non-Allergen
antigen_3|Q57380|Putative|WP_005661106.1|tpos:133-203,0.165,0.0,0.0,0.165,Non-Allergen
antigen_34|P44794|tRNA-dihydrouridine(20/20a)|WP_041175046.1|tpos:1-326,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_92|P44427|Malate|WP_005691178.1|tpos:1-311,0.249,0.0,0.5,0.749,Allergen
antigen_97|P45337|Transcriptional|WP_005661077.1|tpos:1-221,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_193|Q4QLS3|3-isopropylmalate|WP_015701985.1|tpos:1-358,0.203,0.0,0.0,0.203,Non-Allergen
antigen_197|P44598|dITP/XTP|WP_005668864.1|tpos:1-195,0.513,0.0,-0.5,0.013,Non-Allergen
"antigen_19|A5UDW2|3,4-dihydroxy-2-butanone|WP_005690355.1|tpos:1-215",0.199,0.0,-0.5,-0.301,Non-Allergen
antigen_22|P44923|Uncharacterized|WP_032824449.1|tpos:1-187,0.135,0.0,0.0,0.135,Non-Allergen
antigen_6|A5UBU1|Ribosome-binding|WP_005628626.1|tpos:1-128,0.093,0.0,-0.5,-0.407,Non-Allergen
antigen_87|Q4QM83|UPF0149|WP_015701870.1|tpos:1-182,0.246,0.5,0.0,0.746,Allergen
antigen_90|Q57092|Endolytic|WP_014326526.1|tpos:1-287,0.134,0.5,-0.5,0.134,Non-Allergen
antigen_93|P44500|Uncharacterized|WP_014326556.1|tpos:1-262,0.145,0.0,-0.5,-0.355,Non-Allergen
antigen_102|P40134|Adenylate|WP_015701762.1|tpos:1-843,0.031,0.5,0.0,0.531,Allergen
antigen_130|P44611|Putative|WP_015701550.1|tpos:1-246,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_32|P46450|Long-chain-fatty-acid--CoA|WP_077643698.1|tpos:1-562,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_125|P44842|IMPACT|WP_032826248.1|tpos:1-206,0.137,0.0,0.0,0.137,Non-Allergen
antigen_128|P44189|Uncharacterized|WP_015702298.1|tpos:1-180,0.133,0.0,0.0,0.133,Non-Allergen
antigen_132|P46455|Uncharacterized|WP_005647974.1|tpos:1-85,0.062,0.0,-0.5,-0.438,Non-Allergen
antigen_135|P44350|Large|WP_005626605.1|tpos:1-163,0.191,0.0,-0.5,-0.309,Non-Allergen
antigen_167|A5UF06|Integration|WP_005666808.1|tpos:1-96,0.082,0.0,-0.5,-0.418,Non-Allergen
antigen_169|P45287|Peptide|WP_077643934.1|tpos:1-295,0.019,0.0,0.0,0.019,Non-Allergen
antigen_38|P46458|Putative|WP_005686388.1|tpos:1-153,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_16|P31810|Thiol:disulfide|WP_015701885.1|tpos:1-205,0.297,0.0,0.0,0.297,Non-Allergen
antigen_20|P43837|NADP-dependent|WP_015702142.1|tpos:1-756,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_26|A5UAI4|Putative|WP_005648994.1|tpos:1-139,0.185,0.0,-0.5,-0.315,Non-Allergen
antigen_27|Q57256|Uncharacterized|WP_005692076.1|tpos:1-218,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_29|P44007|S-ribosylhomocysteine|WP_005656552.1|tpos:1-167,0.09,0.0,0.0,0.09,Non-Allergen
antigen_117|P45269|Multifunctional|WP_077643809.1|tpos:1-416,0.044,0.5,-0.5,0.044,Non-Allergen
antigen_131|P44714|PTS|WP_015701673.1|tpos:1-556,0.215,0.5,-0.5,0.215,Non-Allergen
antigen_136|A5UDN8|Elongation|WP_005686046.1|tpos:1-323,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_7|P44991|Probable|WP_040034663.1|tpos:2-492,0.094,0.5,-0.5,0.094,Non-Allergen
antigen_24|A5UG90|Orotate|WP_015701491.1|tpos:1-213,0.124,0.0,-0.5,-0.376,Non-Allergen
antigen_142|P43858|Anthranilate|WP_015702258.1|tpos:1-333,0.262,0.0,-0.5,-0.238,Non-Allergen
antigen_146|P44331|Ribokinase|WP_048951947.1|tpos:1-306,0.277,0.5,-0.5,0.277,Non-Allergen
antigen_156|P44415|Opacity-associated|WP_077643710.1|tpos:1-443,0.15,0.5,0.0,0.65,Allergen
antigen_158|P44297|UPF0231|WP_041175095.1|tpos:1-117,0.11,0.0,0.0,0.11,Non-Allergen
antigen_50|P22236|Capsule|WP_015702017.1|tpos:1-394,0.261,0.0,0.0,0.261,Non-Allergen
antigen_57|P44569|NAD|WP_077643647.1|tpos:1-603,0.275,0.5,0.5,1.275,Allergen
antigen_85|Q48211|N-acetyllactosaminide|WP_077643927.1|tpos:1-304,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_103|P45199|Anaerobic|WP_005650484.1|tpos:1-257,0.029,0.0,-0.5,-0.471,Non-Allergen
antigen_121|P44376|Small|WP_005626581.1|tpos:1-156,0.105,0.0,-0.5,-0.395,Non-Allergen
antigen_123|A5UCP4|5'-methylthioadenosine/S-adenosylhomocysteine|WP_077643787.1|tpos:1-229,0.411,0.0,-0.5,-0.089,Non-Allergen
antigen_126|P44746|Uncharacterized|WP_005649491.1|tpos:1-86,0.33,0.0,-0.5,-0.17,Non-Allergen
antigen_129|P44838|ATP-dependent|WP_048940861.1|tpos:1-411,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_140|Q57147|Uncharacterized|WP_005664204.1|tpos:1-114,0.079,0.0,0.0,0.079,Non-Allergen
antigen_144|P43701|DNA|WP_015701740.1|tpos:1-806,0.079,0.5,-0.5,0.079,Non-Allergen
antigen_163|O86223|Putative|WP_015701459.1|tpos:1-50,0.139,0.0,-0.5,-0.361,Non-Allergen
antigen_166|A4N8V8|Putative|WP_005662662.1|tpos:1-293,0.321,0.5,-0.5,0.321,Allergen
antigen_172|P44659|Uncharacterized|WP_015701592.1|tpos:1-215,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_159|P51000|Dipeptide|WP_015702107.1|tpos:1-295,0.051,0.0,0.0,0.051,Non-Allergen
antigen_8|P44160|Putative|WP_015702203.1|tpos:1-269,0.108,0.0,0.0,0.108,Non-Allergen
antigen_25|P44566|Penicillin-insensitive|WP_038440873.1|tpos:1-286,0.175,0.0,-0.5,-0.325,Non-Allergen
antigen_28|P45312|Probable|WP_015702471.1|tpos:1-223,0.029,0.0,-0.5,-0.471,Non-Allergen
antigen_71|P44627|Ribosomal|WP_015701564.1|tpos:1-245,0.032,0.0,0.0,0.032,Non-Allergen
antigen_91|P31771|Competence|WP_015701647.1|tpos:1-137,0.237,0.0,0.0,0.237,Non-Allergen
antigen_94|P44198|YcgL|WP_077643801.1|tpos:3-85,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_98|P44017|Uncharacterized|WP_005649577.1|tpos:1-95,0.141,0.0,0.0,0.141,Non-Allergen
antigen_99|A5UDD6|Enolase|WP_005655903.1|tpos:1-436,0.353,0.0,0.5,0.853,Allergen
antigen_105|P63196|Small|WP_005543325.1|tpos:1-124,0.334,0.0,-0.5,-0.166,Non-Allergen
antigen_108|A5UII7|Ribonuclease|WP_077643749.1|tpos:1-197,0.214,0.0,-0.5,-0.286,Non-Allergen
antigen_113|P45081|Glutathione/L-cysteine|WP_077643768.1|tpos:1-576,0.059,0.5,-0.5,0.059,Non-Allergen
antigen_116|P45074|Lipopolysaccharide|WP_077643767.1|tpos:1-172,0.21,0.5,0.0,0.71,Allergen
antigen_119|P44661|Probable|WP_032823935.1|tpos:1-282,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_165|A5UE98|High|WP_015701780.1|tpos:1-205,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_182|A5UDJ8|Nucleoside|WP_005670218.1|tpos:1-140,0.172,0.0,0.5,0.672,Allergen
antigen_185|P44465|UPF0250|WP_005649857.1|tpos:1-92,0.175,0.0,0.0,0.175,Non-Allergen
antigen_188|A5UEN9|Valine--tRNA|WP_015702260.1|tpos:1-954,0.067,0.5,-0.5,0.067,Non-Allergen
antigen_30|P43874|Biotin|WP_005669668.1|tpos:1-155,0.275,0.0,0.0,0.275,Non-Allergen
antigen_179|P45024|Probable|WP_005651725.1|tpos:1-257,0.393,0.0,-0.5,-0.107,Non-Allergen
antigen_183|P45148|Carbonic|WP_005631770.1|tpos:1-229,0.087,0.0,-0.5,-0.413,Non-Allergen
antigen_190|A5UC39|Phosphoribosylformylglycinamidine|WP_005650476.1|tpos:1-344,0.435,0.0,0.0,0.435,Allergen
antigen_194|P44871|Cell|WP_005648452.1|tpos:1-218,0.047,0.5,-0.5,0.047,Non-Allergen
antigen_199|P45105|HTH-type|WP_015702118.1|tpos:1-323,0.033,0.5,-0.5,0.033,Non-Allergen
antigen_138|P44276|Uncharacterized|WP_077643942.1|tpos:1-227,0.311,0.5,0.0,0.811,Allergen
antigen_164|A5UFT9|dCTP|WP_005660907.1|tpos:1-195,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_168|P44679|Acyl-CoA|WP_015701607.1|tpos:1-136,0.28,0.0,-0.5,-0.22,Non-Allergen
antigen_170|P45045|Xylose|WP_005693434.1|tpos:1-375,0.025,0.5,-0.5,0.025,Non-Allergen
antigen_45|A5UCW3|UDP-3-O-acyl-N-acetylglucosamine|WP_005651837.1|tpos:1-305,0.136,0.0,0.0,0.136,Non-Allergen
antigen_157|A5UC51|1-deoxy-D-xylulose-5-phosphate|WP_041175083.1|tpos:1-624,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_14|P45300|UPF0102|WP_015702458.1|tpos:1-119,0.138,0.0,-0.5,-0.362,Non-Allergen
antigen_11|P45022|Probable|WP_005647711.1|tpos:1-255,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_75|A5UGE3|DNA|WP_005654053.1|tpos:1-236,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_78|P44416|Opacity-associated|WP_015701577.1|tpos:1-134,0.148,0.5,0.0,0.648,Allergen
antigen_80|Q57223|Probable|WP_005650361.1|tpos:1-161,0.306,0.5,0.0,0.806,Allergen
antigen_110|P45106|Ribosomal|WP_015702119.1|tpos:1-314,0.119,0.0,-0.5,-0.381,Non-Allergen
antigen_118|P44428|2Fe-2S|WP_005656373.1|tpos:1-113,0.165,0.0,-0.5,-0.335,Non-Allergen
antigen_124|P44505|Bifunctional|WP_077643841.1|tpos:1-815,0.102,0.0,-0.5,-0.398,Non-Allergen
antigen_133|A5UFU9|N-acetylmannosamine|WP_005668146.1|tpos:1-300,0.308,0.0,-0.5,-0.192,Non-Allergen
antigen_139|P44492|tRNA|WP_014326546.1|tpos:1-158,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_145|A5UHU3|Large|WP_005625881.1|tpos:1-179,0.134,0.0,-0.5,-0.366,Non-Allergen
antigen_149|P44103|Uncharacterized|WP_077643745.1|tpos:1-369,0.702,0.0,0.0,0.702,Allergen
antigen_137|P44882|UPF0149|WP_015701870.1|tpos:1-182,0.246,0.5,0.0,0.746,Allergen
antigen_143|P43965|Putative|WP_015701733.1|tpos:21-170,0.214,0.0,0.0,0.214,Non-Allergen
"antigen_150|P44123|6-carboxy-5,6,7,8-tetrahydropterin|WP_005647466.1|tpos:1-141",0.053,0.5,0.0,0.553,Allergen
antigen_154|P44179|Uncharacterized|WP_015702271.1|tpos:153-190,0.196,0.0,0.0,0.196,Non-Allergen
antigen_161|P44439|Poly(A)|WP_014326544.1|tpos:1-452,0.063,0.0,-0.5,-0.437,Non-Allergen
antigen_171|O86228|Uncharacterized|WP_005690167.1|tpos:1-102,0.116,0.0,0.0,0.116,Non-Allergen
antigen_174|Q4QNL7|Ribonuclease|WP_005651560.1|tpos:4-131,0.057,0.0,0.0,0.057,Non-Allergen
antigen_180|A5UAZ2|Large|WP_005544470.1|tpos:1-56,0.178,0.0,-0.5,-0.322,Non-Allergen
antigen_181|P44301|Uncharacterized|WP_005649924.1|tpos:1-109,0.094,0.0,0.0,0.094,Non-Allergen
antigen_101|A5UG62|4-hydroxy-tetrahydrodipicolinate|WP_077643721.1|tpos:1-298,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_106|P43890|Uridylate|WP_005651708.1|tpos:1-237,0.123,0.0,-0.5,-0.377,Non-Allergen
antigen_114|P45114|Probable|WP_077643788.1|tpos:1-939,0.278,0.5,0.0,0.778,Allergen
antigen_40|P45038|Thiol:disulfide|WP_005657352.1|tpos:1-181,0.363,0.0,0.0,0.363,Allergen
antigen_41|P44029|Uncharacterized|WP_077643734.1|tpos:1-254,0.303,0.0,-0.5,-0.197,Non-Allergen
antigen_17|P44255|Elongation|WP_077643952.1|tpos:1-178,0.277,0.0,0.0,0.277,Non-Allergen
antigen_21|P44978|Uncharacterized|WP_015702000.1|tpos:1-252,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_23|A5UIA3|Isoleucine--tRNA|WP_041175056.1|tpos:1-941,0.063,0.5,-0.5,0.063,Non-Allergen
antigen_1|P45345|Penicillin-binding|WP_015702503.1|tpos:1-781,0.062,0.0,-0.5,-0.438,Non-Allergen
antigen_15|P45323|Molybdate-binding|WP_005654371.1|tpos:1-254,0.543,0.0,-0.5,0.043,Non-Allergen
antigen_10|P44916|Octaprenyl|WP_006995542.1|tpos:1-329,0.074,0.0,-0.5,-0.426,Non-Allergen
antigen_83|Q57017|UPF0053|WP_005654254.1|tpos:1-420,0.024,0.5,-0.5,0.024,Non-Allergen
antigen_82|Q57124|Uncharacterized|WP_172451691.1|tpos:1-1026,0.06,0.5,-0.5,0.06,Non-Allergen
antigen_9|P44621|Protein|WP_077643717.1|tpos:1-405,0.072,0.5,0.0,0.572,Allergen
antigen_141|A5UDN2|UPF0352|WP_005625990.1|tpos:1-72,0.157,0.0,0.0,0.157,Non-Allergen
antigen_100|P44615|Serine|WP_005660694.1|tpos:1-412,0.02,0.0,0.0,0.02,Non-Allergen
antigen_109|A5UDJ5|Large|WP_005539872.1|tpos:1-85,0.228,0.0,0.0,0.228,Non-Allergen
antigen_112|P44460|Citrate|WP_014326521.1|tpos:1-291,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_115|P45289|Peptide|WP_015702452.1|tpos:1-269,0.042,0.0,-0.5,-0.458,Non-Allergen
antigen_122|P44119|Protein|WP_015702100.1|tpos:16-171,0.19,0.0,0.0,0.19,Non-Allergen
