antigen41|Q5HEC4|CP000253.1|mhcii|seq1298	antigen41|Q5HEC4|CP000253.1|mhcii|seq1298
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1481
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq10
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq42
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1322
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq11
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq43
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1323
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq12
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq44
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1324
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq13
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq45
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq205
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1325
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq14
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq206
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1614
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq15
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq207
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1391
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1615
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq208
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1168
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1616
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq209
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1169
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1617
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq210
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1170
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1618
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1619
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1305
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1306
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1307
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq156
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1308
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq157
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1309
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq158
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1310
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq159
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq160
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq225
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq545
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq546
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1508
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1509
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1510
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1511
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq616
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq617
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq618
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1386
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq171
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq619
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1387
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq172
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq620
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1388
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq173
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1165
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1389
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq174
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1166
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1390
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq175
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1167
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq176
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1371
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq220
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1372
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq221
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1373
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq222
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1374
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq223
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq543
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1375
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq224
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq544
antigen41|Q5HEC4|CP000253.1|mhcii|seq225	antigen41|Q5HEC4|CP000253.1|mhcii|seq1376
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq801
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq1344
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq800
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq1343
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq651
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq652
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq653
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq882
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq883
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq884
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq799
antigen41|Q5HEC4|CP000253.1|mhcii|seq801	antigen41|Q5HEC4|CP000253.1|mhcii|seq1342
antigen41|Q5HEC4|CP000253.1|mhcii|seq897	antigen41|Q5HEC4|CP000253.1|mhcii|seq897
antigen41|Q5HEC4|CP000253.1|mhcii|seq897	antigen41|Q5HEC4|CP000253.1|mhcii|seq107
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq993
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq994
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq1484
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq1485
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq1486
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq272
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq273
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq274
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq990
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq991
antigen41|Q5HEC4|CP000253.1|mhcii|seq993	antigen41|Q5HEC4|CP000253.1|mhcii|seq992
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq1185
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq325
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq326
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq327
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq328
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq329
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq330
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq460
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq461
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq462
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq463
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq464
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq115
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq116
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq603
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq795
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq604
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq796
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq1180
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq605
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq797
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq1181
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq798
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq1182
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq1183
antigen41|Q5HEC4|CP000253.1|mhcii|seq1185	antigen41|Q5HEC4|CP000253.1|mhcii|seq1184
