antigen26|Q5HHQ3|BX571857.1|mhcii|seq2906	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2906
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1709
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1710
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1236
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1844
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1237
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1845
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4181
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1238
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1239
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1975
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1240
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1976
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq574
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq575
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq576
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq705
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1761
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2177
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2178
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2179
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2180
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1771
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1772
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1773
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1774
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1651
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3156
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3157
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq790
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq791
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq792
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq700
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq701
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1757
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq702
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1758
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq703
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1759
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq704
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1760
antigen26|Q5HHQ3|BX571857.1|mhcii|seq705	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2176
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2017	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2017
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3009
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3010
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq745
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq746
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq747
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq748
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq749
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq750
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1906
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1907
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1908
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1909
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1910
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2550
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1911
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2551
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2552
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2553
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2554
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1211
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2555
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1212
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2236
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1213
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2237
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3005
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1214
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2238
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3006
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1215
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2239
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3007
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1216
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2240
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2241	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3008
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4011
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4012
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4013
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4014
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4015
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4016
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq371
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq372
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq916
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq373
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq917
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3861
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq374
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq918
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3126
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3862
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq375
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq919
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3127
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3863
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq920
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3128
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3864
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq921
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3129
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3865
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3130
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3866
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq475
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3131
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq476
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2460
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq477
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2461
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq478
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2462
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq479
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2463
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq480
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2465	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2464
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2689	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2689
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2689	antigen26|Q5HHQ3|BX571857.1|mhcii|seq137
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2689	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2690
antigen26|Q5HHQ3|BX571857.1|mhcii|seq2689	antigen26|Q5HHQ3|BX571857.1|mhcii|seq138
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1441
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1985
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1442
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1986
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1443
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq100
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1444
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq101
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1445
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq102
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1446
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq103
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq104
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq105
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2475
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2476
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2477
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2478
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2479
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2480
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3891
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3892
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3893
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3894
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3895
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3896
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3065
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3066
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3067
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3068
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3516
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3069
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3517
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1982
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3070
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3518
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1983
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3519
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1984
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3521	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3520
antigen26|Q5HHQ3|BX571857.1|mhcii|seq4001	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4001
antigen26|Q5HHQ3|BX571857.1|mhcii|seq4001	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2625
