antigen33|Q2FWH7|CP002114.3|mhcii|seq556	antigen33|Q2FWH7|CP002114.3|mhcii|seq556
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq311
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq481
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq312
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq482
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq313
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq483
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq315
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq485
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq316
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq486
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq317
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq487
antigen33|Q2FWH7|CP002114.3|mhcii|seq142	antigen33|Q2FWH7|CP002114.3|mhcii|seq142
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq462
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq33
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq129
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq34
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq130
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq35
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq131
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq36
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq132
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq133
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq134
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq459
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq460
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq461
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq143
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq463
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq144
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq464
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq145
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq465
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq146
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq147
antigen33|Q2FWH7|CP002114.3|mhcii|seq462	antigen33|Q2FWH7|CP002114.3|mhcii|seq148
antigen33|Q2FWH7|CP002114.3|mhcii|seq367	antigen33|Q2FWH7|CP002114.3|mhcii|seq367
antigen33|Q2FWH7|CP002114.3|mhcii|seq367	antigen33|Q2FWH7|CP002114.3|mhcii|seq369
antigen33|Q2FWH7|CP002114.3|mhcii|seq16	antigen33|Q2FWH7|CP002114.3|mhcii|seq16
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq208
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq207
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq210
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq211
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq98
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq97
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq101
antigen33|Q2FWH7|CP002114.3|mhcii|seq208	antigen33|Q2FWH7|CP002114.3|mhcii|seq112
antigen33|Q2FWH7|CP002114.3|mhcii|seq177	antigen33|Q2FWH7|CP002114.3|mhcii|seq177
antigen33|Q2FWH7|CP002114.3|mhcii|seq162	antigen33|Q2FWH7|CP002114.3|mhcii|seq162
antigen33|Q2FWH7|CP002114.3|mhcii|seq162	antigen33|Q2FWH7|CP002114.3|mhcii|seq510
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq355
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq321
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq353
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq322
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq354
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq323
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq324
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq488
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq201
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq489
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq202
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq490
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq11
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq43
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq203
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq491
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq12
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq44
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq204
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq492
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq13
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq45
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq205
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq397
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq493
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq14
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq206
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq398
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq15
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq399
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq400
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq401
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq402
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq472
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq25
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq26
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq27
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq155
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq28
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq156
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq188
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq29
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq189
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq30
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq190
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq350
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq191
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq319
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq351
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq320
antigen33|Q2FWH7|CP002114.3|mhcii|seq355	antigen33|Q2FWH7|CP002114.3|mhcii|seq352
antigen33|Q2FWH7|CP002114.3|mhcii|seq325	antigen33|Q2FWH7|CP002114.3|mhcii|seq325
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq167
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq515
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq289
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq99
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq100
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq164
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq512
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq165
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq513
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq166
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq514
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq168
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq516
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq209
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq435
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq436
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq532
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq252
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq253
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq254
antigen33|Q2FWH7|CP002114.3|mhcii|seq167	antigen33|Q2FWH7|CP002114.3|mhcii|seq255
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq359
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq357
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq358
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq360
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq368
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq404
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq405
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq380
antigen33|Q2FWH7|CP002114.3|mhcii|seq359	antigen33|Q2FWH7|CP002114.3|mhcii|seq381
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq328
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq497
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq417
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq326
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq495
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq327
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq496
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq265
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq329
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq498
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq330
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq499
antigen33|Q2FWH7|CP002114.3|mhcii|seq328	antigen33|Q2FWH7|CP002114.3|mhcii|seq443
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq457
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq385
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq386
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq387
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq452
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq453
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq454
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq231
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq455
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq551
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq232
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq456
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq552
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq233
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq553
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq234
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq426
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq554
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq427
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq555
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq365
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq366
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq337
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq338
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq275
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq339
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq276
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq340
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq277
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq278
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq279
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq506
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq507
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq412
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq508
antigen33|Q2FWH7|CP002114.3|mhcii|seq457	antigen33|Q2FWH7|CP002114.3|mhcii|seq126
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq10
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq6
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq38
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq198
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq7
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq39
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq199
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq8
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq40
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq200
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq9
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq42
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq395
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq396
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq141
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq136
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq137
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq138
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq139
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq140
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq467
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq468
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq469
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq470
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq151
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq471
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq152
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq153
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq154
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq21
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq22
antigen33|Q2FWH7|CP002114.3|mhcii|seq10	antigen33|Q2FWH7|CP002114.3|mhcii|seq23
