antigen129|P63980|CP002114.3|mhcii|seq1	antigen129|P63980|CP002114.3|mhcii|seq1
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq479
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq480
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq1408
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq609
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq739
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq1731
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq740
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq1732
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq741
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq1733
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3877
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq742
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq1734
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3878
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq743
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq1735
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3879
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq744
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq1736
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3880
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4456
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3881
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4457
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3882
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4458
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4459
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq2636
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4460
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq2637
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4461
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq2638
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq2639
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq2640
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq2641
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4562
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4563
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3540
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4564
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3541
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4565
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq3542
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq4566
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq6455
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq728
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq6456
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq729
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq6457
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq6458
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq604
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq605
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq606
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq1886
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq607
antigen129|P63980|CP002114.3|mhcii|seq609	antigen129|P63980|CP002114.3|mhcii|seq608
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1089
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq577
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1537
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq578
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1538
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq4386
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq579
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1539
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq5348
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq5349
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq3494
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq5350
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1671
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq3495
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq5351
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1672
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq3496
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq5352
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1673
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1674
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1675
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1676
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq4396
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq4397
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq4398
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq4399
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq2256
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq4400
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq2257
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq4401
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq2258
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq2259
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq6099
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq2260
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq6100
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq2261
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq6101
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq6102
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1084
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1085
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq574
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1086
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1534
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq383
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq575
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1087
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1535
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq384
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq576
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1088
antigen129|P63980|CP002114.3|mhcii|seq1089	antigen129|P63980|CP002114.3|mhcii|seq1536
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq1153
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq3559
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq355
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq3558
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq3560
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq3561
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq2868
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq2869
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq2870
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq523
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq521
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq524
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq1151
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq1152
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq990
antigen129|P63980|CP002114.3|mhcii|seq1153	antigen129|P63980|CP002114.3|mhcii|seq5749
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1569
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1793
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq5857
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1794
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1986
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq5858
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1795
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1987
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq5859
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1796
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1988
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq5860
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1989
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq5861
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6501
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1990
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq5862
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6502
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1991
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6503
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1100
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2316
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2380
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1101
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2317
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2381
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1102
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2318
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1103
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2319
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq4623
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1104
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1584
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2320
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq4624
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq2321
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq4625
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq4626
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6550
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6551
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6552
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6553
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6554
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq6555
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1564
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1565
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1566
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1567
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1791
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1568
antigen129|P63980|CP002114.3|mhcii|seq1569	antigen129|P63980|CP002114.3|mhcii|seq1792
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1665
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq4388
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1664
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq4392
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1666
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1667
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1668
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1669
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq4389
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1670
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq4390
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq4391
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq2249
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq4393
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq2250
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq5610
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq2251
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq567
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq568
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq569
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq570
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1531
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1532
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1533
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq566
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq565
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1527
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1525
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1526
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1528
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1529
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1530
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1662
antigen129|P63980|CP002114.3|mhcii|seq1665	antigen129|P63980|CP002114.3|mhcii|seq1663
antigen129|P63980|CP002114.3|mhcii|seq1857	antigen129|P63980|CP002114.3|mhcii|seq1857
antigen129|P63980|CP002114.3|mhcii|seq1857	antigen129|P63980|CP002114.3|mhcii|seq1858
antigen129|P63980|CP002114.3|mhcii|seq1857	antigen129|P63980|CP002114.3|mhcii|seq3183
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2081
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2561
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2817
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq3073
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq4609
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2818
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq3074
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq4610
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2819
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq3075
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq4611
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2820
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq3076
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2821
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq4970
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq4971
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2002
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2003
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq6483
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2004
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq6484
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq6580
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2005
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq6485
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq6581
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq2006
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq6486
antigen129|P63980|CP002114.3|mhcii|seq2081	antigen129|P63980|CP002114.3|mhcii|seq6582
