antigen14|A5IRD0|CP000253.1|mhcii|seq6120	antigen14|A5IRD0|CP000253.1|mhcii|seq6120
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq4173
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5453
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq4174
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq4175
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq4176
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5182
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5183
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5460
antigen14|A5IRD0|CP000253.1|mhcii|seq7848	antigen14|A5IRD0|CP000253.1|mhcii|seq7848
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8392
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8258
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9485
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq4385
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8257
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9484
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq4386
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq4387
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8259
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9486
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq4388
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8260
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9487
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq4389
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8261
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9488
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9317
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8262
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9489
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8263
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq1939
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq1940
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq1941
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq1942
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq1943
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq5946
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq5947
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9318
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6619
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq5948
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9319
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6620
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq5949
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9320
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6621
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq5950
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9321
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6622
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8254
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9481
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8255
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9482
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq8256
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq9483
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6617
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6615
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6616
antigen14|A5IRD0|CP000253.1|mhcii|seq8392	antigen14|A5IRD0|CP000253.1|mhcii|seq6618
antigen14|A5IRD0|CP000253.1|mhcii|seq9160	antigen14|A5IRD0|CP000253.1|mhcii|seq9160
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq9384
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq9379
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11267
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq9380
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11268
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq5829
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq9381
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11269
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq5830
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq9382
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11270
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq5831
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6887
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq9383
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11271
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11687
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq5832
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6888
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11272
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11688
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6889
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11689
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6890
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11690
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6891
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11691
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6892
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq7308
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq11692
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq7309
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq7310
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq7311
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq7312
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6099
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6100
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6101
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6102
antigen14|A5IRD0|CP000253.1|mhcii|seq9384	antigen14|A5IRD0|CP000253.1|mhcii|seq6103
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq9416
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq9417
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq9418
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq7046
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq7044
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq7045
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq7047
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq7048
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq1802
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq9415
antigen14|A5IRD0|CP000253.1|mhcii|seq9416	antigen14|A5IRD0|CP000253.1|mhcii|seq7103
antigen14|A5IRD0|CP000253.1|mhcii|seq9640	antigen14|A5IRD0|CP000253.1|mhcii|seq9640
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq9896
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq9897
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq2866
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq9895
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq2865
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq10300
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq8489
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq8490
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq8491
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq10301
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq8492
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq10302
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq10298
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq10299
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6748
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq457
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6745
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq454
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6746
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq455
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6747
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq456
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6749
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq458
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6750
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq459
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6751
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq460
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq6752
antigen14|A5IRD0|CP000253.1|mhcii|seq9896	antigen14|A5IRD0|CP000253.1|mhcii|seq461
antigen14|A5IRD0|CP000253.1|mhcii|seq9960	antigen14|A5IRD0|CP000253.1|mhcii|seq9960
antigen14|A5IRD0|CP000253.1|mhcii|seq9960	antigen14|A5IRD0|CP000253.1|mhcii|seq9959
antigen14|A5IRD0|CP000253.1|mhcii|seq9960	antigen14|A5IRD0|CP000253.1|mhcii|seq3723
antigen14|A5IRD0|CP000253.1|mhcii|seq9960	antigen14|A5IRD0|CP000253.1|mhcii|seq3767
antigen14|A5IRD0|CP000253.1|mhcii|seq9960	antigen14|A5IRD0|CP000253.1|mhcii|seq3709
antigen14|A5IRD0|CP000253.1|mhcii|seq361	antigen14|A5IRD0|CP000253.1|mhcii|seq361
antigen14|A5IRD0|CP000253.1|mhcii|seq873	antigen14|A5IRD0|CP000253.1|mhcii|seq873
antigen14|A5IRD0|CP000253.1|mhcii|seq1481	antigen14|A5IRD0|CP000253.1|mhcii|seq1481
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq1513
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq1511
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq1512
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq1514
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq1515
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq5551
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq5552
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq5553
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq7195
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq10181
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq7196
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq10182
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq7197
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq10183
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq2881
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq2882
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq2883
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq2884
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq2880
antigen14|A5IRD0|CP000253.1|mhcii|seq1513	antigen14|A5IRD0|CP000253.1|mhcii|seq9130
antigen14|A5IRD0|CP000253.1|mhcii|seq1961	antigen14|A5IRD0|CP000253.1|mhcii|seq1961
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq2217
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq2216
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq2218
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq11663
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq11664
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq11665
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq859
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq8982
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq858
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq8981
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq860
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq8983
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq861
antigen14|A5IRD0|CP000253.1|mhcii|seq2217	antigen14|A5IRD0|CP000253.1|mhcii|seq8984
antigen14|A5IRD0|CP000253.1|mhcii|seq2665	antigen14|A5IRD0|CP000253.1|mhcii|seq2665
antigen14|A5IRD0|CP000253.1|mhcii|seq2665	antigen14|A5IRD0|CP000253.1|mhcii|seq2664
antigen14|A5IRD0|CP000253.1|mhcii|seq2665	antigen14|A5IRD0|CP000253.1|mhcii|seq5068
antigen14|A5IRD0|CP000253.1|mhcii|seq2665	antigen14|A5IRD0|CP000253.1|mhcii|seq4631
antigen14|A5IRD0|CP000253.1|mhcii|seq2665	antigen14|A5IRD0|CP000253.1|mhcii|seq2424
antigen14|A5IRD0|CP000253.1|mhcii|seq2665	antigen14|A5IRD0|CP000253.1|mhcii|seq2425
antigen14|A5IRD0|CP000253.1|mhcii|seq2665	antigen14|A5IRD0|CP000253.1|mhcii|seq10938
antigen14|A5IRD0|CP000253.1|mhcii|seq3465	antigen14|A5IRD0|CP000253.1|mhcii|seq3465
antigen14|A5IRD0|CP000253.1|mhcii|seq3721	antigen14|A5IRD0|CP000253.1|mhcii|seq3721
antigen14|A5IRD0|CP000253.1|mhcii|seq3753	antigen14|A5IRD0|CP000253.1|mhcii|seq3753
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq4009
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq4007
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq4008
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq7140
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq519
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq7137
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq516
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq7138
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq517
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq7139
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq518
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq7141
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq4015
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq6283
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq6284
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq7284
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq6166
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq6167
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq6168
antigen14|A5IRD0|CP000253.1|mhcii|seq4009	antigen14|A5IRD0|CP000253.1|mhcii|seq6973
