antigen91|Q6GIE0|BX571857.1|mhcii|seq129	antigen91|Q6GIE0|BX571857.1|mhcii|seq129
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq2024
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq297
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1737
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq2025
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq298
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1738
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq299
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1739
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq300
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq780
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1740
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq781
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1741
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq782
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq687
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq688
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1648
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq689
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1553
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1649
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq690
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1554
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1650
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq691
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1651
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq692
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1621
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1304
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1305
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1306
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1307
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq732
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1308
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq733
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1309
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq734
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq735
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1023
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq736
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1024
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1249
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1057
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2081
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1058
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2082
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2083
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2084
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2085
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1394
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2066
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1395
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1811
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2067
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1396
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1812
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2068
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1397
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1813
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2069
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq822
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1398
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1814
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2070
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq823
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1399
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1815
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq824
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1816
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq825
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1113
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq826
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1114
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq315
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq827
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1115
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1947
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1116
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1244
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1948
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1117
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1245
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1949
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq478
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1118
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1246
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1950
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq479
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1247
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq480
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq1248
antigen91|Q6GIE0|BX571857.1|mhcii|seq1249	antigen91|Q6GIE0|BX571857.1|mhcii|seq2080
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1569
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1219
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq325
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq326
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq327
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq328
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1800
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq329
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1801
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1961
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1706
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1962
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1707
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1963
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1708
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1964
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1709
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1965
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1710
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1199
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1711
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1200
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1201
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1202
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1491
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1492
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1493
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq792
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq793
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1721
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq794
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1722
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq155
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq795
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1723
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq156
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq796
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1564
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq157
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq797
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1565
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq158
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1566
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1567
antigen91|Q6GIE0|BX571857.1|mhcii|seq1569	antigen91|Q6GIE0|BX571857.1|mhcii|seq1568
antigen91|Q6GIE0|BX571857.1|mhcii|seq1697	antigen91|Q6GIE0|BX571857.1|mhcii|seq1697
antigen91|Q6GIE0|BX571857.1|mhcii|seq1697	antigen91|Q6GIE0|BX571857.1|mhcii|seq1698
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq1921
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq417
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq1441
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq418
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq1442
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq419
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq867
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq1443
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq420
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq868
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq1444
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq869
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq870
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq1478
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq871
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq872
antigen91|Q6GIE0|BX571857.1|mhcii|seq1921	antigen91|Q6GIE0|BX571857.1|mhcii|seq73
