antigen5|Q7A768|CP000253.1|mhcii|seq4739	antigen5|Q7A768|CP000253.1|mhcii|seq4739
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2017
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2018
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2019
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2020
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2014
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2015
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2016
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2273
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2274
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2562
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2561
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2563
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2564
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2565
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2275
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2278
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2277
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2279
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2280
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq910
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq907
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq908
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq909
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq911
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq912
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq913
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2165
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2166
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2259
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2260
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2261
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2262
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2264
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2263
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2265
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1177
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1178
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1181
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1179
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1180
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1182
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1183
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq1184
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2558
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2559
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2560
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq165
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq161
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1665
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq162
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1666
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq163
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1667
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq164
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1668
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1669
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq679
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1095
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq680
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1096
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1097
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1098
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1099
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3211
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1100
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3212
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3213
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3214
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3215
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3216
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1841
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1842
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq5202
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1843
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq5203
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1844
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq5204
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1845
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2389
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3541
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq5205
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1846
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2390
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3542
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2391
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3543
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3544
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2777
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3545
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2778
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3546
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2779
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2780
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq2781
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq160
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq1664
antigen5|Q7A768|CP000253.1|mhcii|seq165	antigen5|Q7A768|CP000253.1|mhcii|seq3456
antigen5|Q7A768|CP000253.1|mhcii|seq421	antigen5|Q7A768|CP000253.1|mhcii|seq421
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq453
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq452
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq775
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq772
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq773
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq774
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq776
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1263
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq4786
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1264
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq4787
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1265
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq4788
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq3955
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq3953
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq3954
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq3956
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq3957
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq3958
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1150
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1153
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1147
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1148
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1149
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1151
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq1152
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq5296
antigen5|Q7A768|CP000253.1|mhcii|seq453	antigen5|Q7A768|CP000253.1|mhcii|seq5297
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1381
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1377
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1378
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2626
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4962
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq131
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1379
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2627
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4963
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq132
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1380
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2628
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4324
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4964
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq133
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq645
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2629
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4325
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4965
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq134
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq646
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2630
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4326
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4966
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq135
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq647
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2631
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4967
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq648
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq649
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq650
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2506
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2507
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2508
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2509
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq3693
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2510
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq3086
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq3694
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq2511
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq3087
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq3695
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq3696
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq4311
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1947
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1948
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1949
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1950
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1951
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1376
antigen5|Q7A768|CP000253.1|mhcii|seq1381	antigen5|Q7A768|CP000253.1|mhcii|seq1952
antigen5|Q7A768|CP000253.1|mhcii|seq2309	antigen5|Q7A768|CP000253.1|mhcii|seq2309
antigen5|Q7A768|CP000253.1|mhcii|seq2309	antigen5|Q7A768|CP000253.1|mhcii|seq2306
antigen5|Q7A768|CP000253.1|mhcii|seq2309	antigen5|Q7A768|CP000253.1|mhcii|seq2307
antigen5|Q7A768|CP000253.1|mhcii|seq2309	antigen5|Q7A768|CP000253.1|mhcii|seq2308
antigen5|Q7A768|CP000253.1|mhcii|seq2309	antigen5|Q7A768|CP000253.1|mhcii|seq2310
