antigen100|Q5HGP6|BX571856.1|mhcii|seq1	antigen100|Q5HGP6|BX571856.1|mhcii|seq1
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2641
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3953
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2738
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3954
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2739
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3955
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2740
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4948
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2741
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4949
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2742
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4950
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4951
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4952
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4953
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3770
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq5370
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3771
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq5371
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq220
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3772
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq5372
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq221
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3773
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq5373
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq222
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3774
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq5374
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq223
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3775
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq5375
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq224
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq385
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq386
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq387
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2115
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2883
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5305
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2116
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2884
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5306
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2117
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2885
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5307
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2118
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq2886
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq1511
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq1512
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq1513
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq1514
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4938
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq1515
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq845
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq37
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4173
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq846
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq38
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4174
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq847
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq39
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4175
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq848
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq40
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4176
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq849
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq41
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4177
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5937
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4178
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5938
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq4179
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5939
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5940
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5941
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5942
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq5943
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq381
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq382
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq383
antigen100|Q5HGP6|BX571856.1|mhcii|seq385	antigen100|Q5HGP6|BX571856.1|mhcii|seq384
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq513
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq5122
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq709
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq4109
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq4110
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq511
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq512
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq5121
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq1894
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq1895
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq1896
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq2848
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq2849
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq2850
antigen100|Q5HGP6|BX571856.1|mhcii|seq513	antigen100|Q5HGP6|BX571856.1|mhcii|seq5120
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq929
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq1154
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq1123
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq1124
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3397
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3398
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6182
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3399
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6183
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3400
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6184
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3401
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6185
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3402
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3434
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3435
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3436
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3437
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3438
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq3439
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq912
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq913
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6225
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq914
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6226
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6227
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6228
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6229
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq6230
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq663
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq759
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq664
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq760
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq665
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq761
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq666
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq762
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq667
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq763
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq2843
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq668
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq764
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq924
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq2844
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq925
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq2845
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq926
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq2846
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq927
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq2847
antigen100|Q5HGP6|BX571856.1|mhcii|seq929	antigen100|Q5HGP6|BX571856.1|mhcii|seq928
antigen100|Q5HGP6|BX571856.1|mhcii|seq1249	antigen100|Q5HGP6|BX571856.1|mhcii|seq1249
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1313
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1314
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1868
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1869
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1870
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1871
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1872
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq2897
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq2898
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq2899
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq2900
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq2901
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1175
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1176
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1177
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1178
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1310
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1311
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq1312
antigen100|Q5HGP6|BX571856.1|mhcii|seq1313	antigen100|Q5HGP6|BX571856.1|mhcii|seq6044
antigen100|Q5HGP6|BX571856.1|mhcii|seq1729	antigen100|Q5HGP6|BX571856.1|mhcii|seq1729
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1953
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3713
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq4449
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq4993
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq5793
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3714
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq4994
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq5794
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3715
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq4995
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq5795
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq4996
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq4997
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq4998
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3755
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3756
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3757
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3758
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3759
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq3760
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq2163
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq2132
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq2133
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1846
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1847
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1016
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1848
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1017
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq6521
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1018
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq6522
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq1019
antigen100|Q5HGP6|BX571856.1|mhcii|seq1953	antigen100|Q5HGP6|BX571856.1|mhcii|seq6523
