antigen128|Q7A0H9|CP002114.3|mhcii|seq1	antigen128|Q7A0H9|CP002114.3|mhcii|seq1
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq632
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1080
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1880
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq633
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1081
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1881
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq634
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1082
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1882
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1083
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1883
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1084
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1244
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq2108
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq989
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1245
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq2109
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq990
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1054
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1246
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq2110
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq991
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1247
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq2111
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq992
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1248
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq2112
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1793
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq481
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1409
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq482
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1154
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1410
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq483
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1155
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1411
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq100
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq484
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1156
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1412
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq101
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1157
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1413
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq102
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1158
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1414
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq103
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1159
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq104
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq616
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq648
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq105
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq617
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq649
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq618
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq619
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq525
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq526
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq527
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq528
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq529
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq2290
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq243
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq2291
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq2292
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1976
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1977
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1978
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1979
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1788
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1980
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1789
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1981
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1790
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq479
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1791
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq480
antigen128|Q7A0H9|CP002114.3|mhcii|seq1793	antigen128|Q7A0H9|CP002114.3|mhcii|seq1792
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq258
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq257
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq705
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq706
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq707
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq708
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq709
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1710
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1711
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq944
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq209
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq689
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq945
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq977
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1169
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq210
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq690
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq946
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq978
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1170
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq211
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq691
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq947
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq979
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1171
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq212
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq692
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq948
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1172
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq213
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq693
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq949
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1173
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq406
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq694
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1174
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq343
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq407
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq344
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq408
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq345
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq409
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq346
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq347
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq348
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq253
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq254
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq255
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq256
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq704
antigen128|Q7A0H9|CP002114.3|mhcii|seq258	antigen128|Q7A0H9|CP002114.3|mhcii|seq1568
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq514
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq513
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1094
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1095
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1096
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1803
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1804
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1518
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1519
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1520
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1521
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1394
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1522
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1395
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1523
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1396
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1141
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1397
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1142
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1398
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq55
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1143
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq56
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq1144
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq57
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq26
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq58
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq27
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq28
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq29
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq509
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq30
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq510
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq511
antigen128|Q7A0H9|CP002114.3|mhcii|seq514	antigen128|Q7A0H9|CP002114.3|mhcii|seq512
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1090
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq52
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1089
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1091
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq53
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1092
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq54
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1252
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1093
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1253
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1797
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1254
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1798
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1255
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1799
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1800
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1516
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1517
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1390
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1391
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1392
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1393
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq50
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq51
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1654
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1655
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1656
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1657
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1658
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1659
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1087
antigen128|Q7A0H9|CP002114.3|mhcii|seq1090	antigen128|Q7A0H9|CP002114.3|mhcii|seq1088
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1538
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1537
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1706
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1707
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1548
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1708
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1549
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1709
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq974
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1230
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1550
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq975
antigen128|Q7A0H9|CP002114.3|mhcii|seq1538	antigen128|Q7A0H9|CP002114.3|mhcii|seq1231
