antigen184|A7X1D2|CP000253.1|mhcii|seq1	antigen184|A7X1D2|CP000253.1|mhcii|seq1
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq745
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1971
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1065
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq746
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1972
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq747
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1973
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1103
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1104
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1105
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1106
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq341
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq342
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq343
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq344
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq345
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq893
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq894
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1118
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq87
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq895
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1119
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq88
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq896
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1120
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq89
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1825
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq961
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1185
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq962
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1186
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1730
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq451
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq963
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1187
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1731
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq452
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1188
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1732
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1733
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1734
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1735
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2156
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2157
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2158
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2159
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2160
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2161
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1394
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1395
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1396
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq245
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1141
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1397
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1142
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1398
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq151
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1143
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq152
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq153
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq154
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq155
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2395
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq156
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1820
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2396
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1821
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2397
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1822
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2398
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1183
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1823
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2399
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq960
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1184
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq1824
antigen184|A7X1D2|CP000253.1|mhcii|seq1825	antigen184|A7X1D2|CP000253.1|mhcii|seq2400
antigen184|A7X1D2|CP000253.1|mhcii|seq2177	antigen184|A7X1D2|CP000253.1|mhcii|seq2177
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2497
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2287
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2498
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2288
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2499
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2509
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2510
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2511
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2512
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq726
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq1952
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq727
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq1953
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq728
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq1954
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq729
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq829
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq26
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2494
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2284
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2495
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2285
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2496
antigen184|A7X1D2|CP000253.1|mhcii|seq2497	antigen184|A7X1D2|CP000253.1|mhcii|seq2286
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq66
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq65
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq481
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq2049
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq482
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq2050
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq2051
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq2052
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq390
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq391
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq392
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq108
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1292
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq109
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1293
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq110
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq111
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq913
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq914
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq915
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq916
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq917
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1685
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq918
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1686
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1687
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1464
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1688
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1465
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1625
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1689
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1466
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1626
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1467
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1627
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq1468
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq61
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq477
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq62
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq478
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq63
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq479
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq64
antigen184|A7X1D2|CP000253.1|mhcii|seq66	antigen184|A7X1D2|CP000253.1|mhcii|seq480
antigen184|A7X1D2|CP000253.1|mhcii|seq322	antigen184|A7X1D2|CP000253.1|mhcii|seq322
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq610
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq257
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq609
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq258
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq259
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq1955
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq260
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq1764
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq1956
antigen184|A7X1D2|CP000253.1|mhcii|seq610	antigen184|A7X1D2|CP000253.1|mhcii|seq2500
