antigen37|Q2YY04|BX571856.1|mhcii|seq339	antigen37|Q2YY04|BX571856.1|mhcii|seq339
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq332
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq374
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq375
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq376
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq377
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq443
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq1052
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq1053
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq1054
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq543
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq6
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq544
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq7
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq1026
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq929
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq1025
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq930
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq931
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq836
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq837
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq40
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq41
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq42
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq43
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq235
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq236
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq237
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq238
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq974
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq975
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq976
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq977
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq690
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq978
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq691
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq692
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq219
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq220
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq221
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq1021
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq222
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq926
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq1022
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq223
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq927
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq1023
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq928
antigen37|Q2YY04|BX571856.1|mhcii|seq1026	antigen37|Q2YY04|BX571856.1|mhcii|seq1024
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1090
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq129
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq481
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq961
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1089
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq130
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq482
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq962
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1122
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq131
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq963
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1123
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq132
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq964
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1124
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq133
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1125
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq618
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq619
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq620
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1100
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1101
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1102
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1103
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1104
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1105
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq115
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq116
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq117
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq277
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq118
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq278
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq601
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq602
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq603
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq635
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq604
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq605
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1085
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq478
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1086
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq479
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq959
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1087
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq128
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq480
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq960
antigen37|Q2YY04|BX571856.1|mhcii|seq1090	antigen37|Q2YY04|BX571856.1|mhcii|seq1088
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq163
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq161
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq705
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq1153
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq162
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq706
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq1154
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq707
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq1155
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq708
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq709
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq70
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq710
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq71
antigen37|Q2YY04|BX571856.1|mhcii|seq163	antigen37|Q2YY04|BX571856.1|mhcii|seq72
