antigen36|Q6GAB5|BX571857.1|mhcii|seq1	antigen36|Q6GAB5|BX571857.1|mhcii|seq1
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2283
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq3435
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq492
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2284
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq493
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq462
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq463
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq464
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq465
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2744
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2745
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2746
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2747
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq220
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2748
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq221
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq222
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq223
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq224
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq737
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq705
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2177
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq706
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2178
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq707
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1891
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2179
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1892
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2180
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1893
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2181
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1894
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1895
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1032
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1896
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1033
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1034
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1035
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1036
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1037
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2353
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1202
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2354
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1203
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2355
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1204
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2356
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1205
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2357
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq1206
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2358
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq732
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq733
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq702
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq734
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq703
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq735
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq704
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq736
antigen36|Q6GAB5|BX571857.1|mhcii|seq737	antigen36|Q6GAB5|BX571857.1|mhcii|seq2176
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq1089
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq1090
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq1091
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq1092
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq2183
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq2182
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq2184
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq2185
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq2186
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3083
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3081
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3082
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3084
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3316
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3320
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3317
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3318
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3319
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq3321
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq1087
antigen36|Q6GAB5|BX571857.1|mhcii|seq1089	antigen36|Q6GAB5|BX571857.1|mhcii|seq1088
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1281
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1729
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1730
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1731
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2147
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2148
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2149
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2150
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2151
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq3047
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2056
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2057
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1834
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2058
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1835
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2059
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1836
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2060
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq717
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2061
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq430
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq718
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1518
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq431
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq719
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1519
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq432
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq720
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1520
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq433
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq721
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1521
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq434
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq722
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq435
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2228
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq3284
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2229
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq3285
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2230
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2231
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2232
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq2233
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1276
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1277
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1278
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1726
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1279
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1727
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1280
antigen36|Q6GAB5|BX571857.1|mhcii|seq1281	antigen36|Q6GAB5|BX571857.1|mhcii|seq1728
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1761
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1321
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1322
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1323
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1324
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1325
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1326
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq687
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq688
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2896
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq689
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2609
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2897
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq690
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2610
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2898
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq691
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2131
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2611
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2899
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq692
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2132
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2612
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2133
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2613
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2134
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2614
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2135
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq856
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2136
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq857
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2041
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1594
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2042
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1595
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2043
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2971
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1596
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1756
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2044
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2972
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1757
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2045
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2973
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1758
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2046
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2974
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1759
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq2975
antigen36|Q6GAB5|BX571857.1|mhcii|seq1761	antigen36|Q6GAB5|BX571857.1|mhcii|seq1760
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2689
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq3239
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq3240
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2954
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2955
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2956
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2957
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2958
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2959
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2161
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1426
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2162
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1427
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1459
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2163
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1428
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1460
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2164
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1429
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1461
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2165
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1430
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq2166
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq3446
antigen36|Q6GAB5|BX571857.1|mhcii|seq2689	antigen36|Q6GAB5|BX571857.1|mhcii|seq1431
