antigen115|Q7A7G0|BX571856.1|mhcii|seq196	antigen115|Q7A7G0|BX571856.1|mhcii|seq196
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2215
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2216
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2217
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq10
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2122
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2218
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq11
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2123
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq12
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2124
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq13
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2125
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq14
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq15
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq879
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq880
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq881
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq882
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1330
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq115
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq883
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1331
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq3315
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq116
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq884
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1332
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq117
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq118
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2262
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq119
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2263
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq120
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq25
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq26
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq27
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1179
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq28
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1180
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq29
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1181
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq30
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1182
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq703
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1183
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq704
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq1184
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq996
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq865
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq993
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2145
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq994
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2146
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq995
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2147
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2148
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq997
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2405
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq998
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2406
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2407
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq3564
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq3565
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq1681
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq1682
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq1683
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq1684
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq1685
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq1686
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2618
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2810
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2619
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2811
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2620
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2621
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq864
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2144
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2808
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2402
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2403
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2404
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq3562
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq3563
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq1680
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2807
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq3128
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq2809
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq862
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq863
antigen115|Q7A7G0|BX571856.1|mhcii|seq996	antigen115|Q7A7G0|BX571856.1|mhcii|seq992
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1124
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1121
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1122
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1123
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq262
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq263
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq2759
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq264
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq488
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq2760
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq265
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq489
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1449
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq2761
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq266
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq490
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1450
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq2762
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq267
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq427
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq491
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq939
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1451
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq2763
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq428
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq492
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq940
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1452
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq2188
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq2764
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3404
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq429
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq941
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3405
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq430
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq942
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq431
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq943
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3535
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq432
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq944
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3536
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3537
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3538
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3539
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq3540
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq280
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq281
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq282
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1119
antigen115|Q7A7G0|BX571856.1|mhcii|seq1124	antigen115|Q7A7G0|BX571856.1|mhcii|seq1120
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1861
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq52
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1858
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq49
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1859
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq50
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1860
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq51
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1862
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq53
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1863
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq54
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1864
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq713
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq714
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq715
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq716
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq717
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1774
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1775
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq1776
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq216
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq3096
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq217
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq3097
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq218
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq3098
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq219
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq3099
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2461
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2956
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2462
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2957
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2463
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2958
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2464
antigen115|Q7A7G0|BX571856.1|mhcii|seq1861	antigen115|Q7A7G0|BX571856.1|mhcii|seq2959
antigen115|Q7A7G0|BX571856.1|mhcii|seq358	antigen115|Q7A7G0|BX571856.1|mhcii|seq358
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq390
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq391
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq3331
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq388
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq3332
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq389
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq2894
antigen115|Q7A7G0|BX571856.1|mhcii|seq390	antigen115|Q7A7G0|BX571856.1|mhcii|seq2893
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq678
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq673
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq674
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq675
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq676
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq677
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq1478
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq1479
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq2919
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq1480
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq2920
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq1481
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq2921
antigen115|Q7A7G0|BX571856.1|mhcii|seq678	antigen115|Q7A7G0|BX571856.1|mhcii|seq1482
