antigen14|A5IRD0|HE681097.1|mhcii|seq1	antigen14|A5IRD0|HE681097.1|mhcii|seq1
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3190
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2679
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3191
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2680
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2681
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq220
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq700
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq221
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq701
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2557
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq222
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq702
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2558
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq223
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq703
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2559
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq224
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq704
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2560
antigen14|A5IRD0|HE681097.1|mhcii|seq801	antigen14|A5IRD0|HE681097.1|mhcii|seq801
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq833
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq836
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq834
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq835
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq837
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq838
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq839
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq1322
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq1323
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq831
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq832
antigen14|A5IRD0|HE681097.1|mhcii|seq833	antigen14|A5IRD0|HE681097.1|mhcii|seq2112
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq929
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4353
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4545
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4546
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4547
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4548
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq999
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1000
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1001
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1993
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq5385
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1002
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1994
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1003
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1995
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1004
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1996
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1997
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1998
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3279
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3280
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3281
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq2706
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1619
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq2707
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq1620
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq2708
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4020
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq2709
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4021
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq2710
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4022
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq2711
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4023
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3321
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3322
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3323
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq924
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3324
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq925
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3325
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4349
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq926
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq3326
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4350
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq927
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4351
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4543
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq928
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4352
antigen14|A5IRD0|HE681097.1|mhcii|seq929	antigen14|A5IRD0|HE681097.1|mhcii|seq4544
antigen14|A5IRD0|HE681097.1|mhcii|seq1185	antigen14|A5IRD0|HE681097.1|mhcii|seq1185
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq1441
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq4513
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq4514
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq2211
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq4515
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq2212
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq4516
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq4517
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq4518
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq3411
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq5395
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq3412
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq5396
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq3413
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq5397
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq3414
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq3415
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq5275
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq1436
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq5276
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq1437
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq5277
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq1438
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq5278
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq1439
antigen14|A5IRD0|HE681097.1|mhcii|seq1441	antigen14|A5IRD0|HE681097.1|mhcii|seq1440
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq1665
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4678
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq3943
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4199
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4679
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq3944
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4200
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4680
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq3945
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4201
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4681
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq3946
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4202
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4682
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq3947
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4203
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4683
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq3948
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4080
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2321
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4081
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2226
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4082
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2227
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4083
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4243
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq5203
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2228
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4244
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq5204
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2229
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4245
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq5205
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2230
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4246
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2231
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4247
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2616
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq4248
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2617
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2618
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2619
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq1660
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2620
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq5564
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq1661
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq2621
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq5565
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq1662
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq1663
antigen14|A5IRD0|HE681097.1|mhcii|seq1665	antigen14|A5IRD0|HE681097.1|mhcii|seq1664
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1761
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq161
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5025
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq162
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq163
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq195
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq2275
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq164
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq2276
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq165
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5036
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5037
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5038
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5039
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq4816
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5040
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq4817
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq4818
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1524
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1525
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1526
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1527
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1528
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1529
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1849
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1850
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1179
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1851
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1180
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1756
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1852
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5020
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1181
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1757
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1853
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq3645
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5021
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1182
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1758
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1854
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq3646
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5022
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1183
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1759
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq3647
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq5023
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq160
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1184
antigen14|A5IRD0|HE681097.1|mhcii|seq1761	antigen14|A5IRD0|HE681097.1|mhcii|seq1760
