antigen98|A5IVY0|BA000018.3|mhcii|seq1	antigen98|A5IVY0|BA000018.3|mhcii|seq1
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq26
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq27
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq28
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq220
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq29
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq221
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq30
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq190
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq222
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq191
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq223
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq192
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq224
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq6528
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq545
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5665
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5666
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2499
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6214
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6215
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6216
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6217
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6218
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6219
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2764
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2765
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2766
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2767
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2768
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2769
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5586
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5587
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1492
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5588
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1493
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5589
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1494
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5590
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1495
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5591
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1496
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1497
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6585
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1658
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1754
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6586
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1659
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1755
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2587
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6587
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq540
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1660
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2588
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq6588
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq541
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1661
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq2589
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5661
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq542
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq1662
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5662
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq543
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5663
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq544
antigen98|A5IVY0|BA000018.3|mhcii|seq545	antigen98|A5IVY0|BA000018.3|mhcii|seq5664
antigen98|A5IVY0|BA000018.3|mhcii|seq801	antigen98|A5IVY0|BA000018.3|mhcii|seq801
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1025
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3649
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3713
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq4417
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq418
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq770
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3650
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3714
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq4418
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq419
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq739
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3651
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq4419
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq420
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq740
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3652
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3653
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3654
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq2088
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq2089
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq2090
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq2091
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq2092
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq6124
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq2093
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq6125
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq6126
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq6127
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq6128
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1297
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq6129
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1298
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1299
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1300
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1301
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1302
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq600
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq601
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq602
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq603
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq604
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1020
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq605
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1021
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1022
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3710
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1023
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3711
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq1024
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq3712
antigen98|A5IVY0|BA000018.3|mhcii|seq1025	antigen98|A5IVY0|BA000018.3|mhcii|seq4416
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq1377
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3681
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2178
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3682
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2179
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3683
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2180
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3684
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2181
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2182
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4294
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2183
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4295
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3304
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4296
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3305
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4297
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3306
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4298
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3307
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4011
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4299
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3308
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4012
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2573
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3309
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4013
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5677
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2574
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq4014
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5678
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq2063
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5679
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5680
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq945
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5681
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq946
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq947
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq948
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq949
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq950
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq1372
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq1373
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq1374
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5214
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq1375
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3679
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5215
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq1376
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq3680
antigen98|A5IVY0|BA000018.3|mhcii|seq1377	antigen98|A5IVY0|BA000018.3|mhcii|seq5216
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1793
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1794
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1795
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4454
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4455
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4456
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4457
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4851
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1976
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1977
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1791
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1792
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4459
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq3770
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq2077
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4856
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1796
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1797
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1578
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4458
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1579
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1580
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4460
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1581
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq2962
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq2963
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4852
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4853
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4854
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq4855
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1978
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1979
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq3771
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq6075
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq1980
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq3772
antigen98|A5IVY0|BA000018.3|mhcii|seq1793	antigen98|A5IVY0|BA000018.3|mhcii|seq6076
