antigen32|Q5HFH6|BX571857.1|mhcii|seq1	antigen32|Q5HFH6|BX571857.1|mhcii|seq1
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3443
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1204
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1684
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3444
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1205
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1685
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3445
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1206
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1686
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3446
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1207
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1687
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3351
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1208
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1688
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3352
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3353
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3354
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq539
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3355
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq540
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq700
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq2588
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3292
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3356
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq701
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq2589
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3293
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq702
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq2590
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3294
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq703
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq2591
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3295
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq704
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq2592
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3296
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1313
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4065
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4066
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4067
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4068
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4069
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4070
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4966
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1767
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4967
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq520
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1768
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4968
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq521
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1769
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4969
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq522
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1770
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq4970
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq523
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq524
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq525
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq5999
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq6000
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq6001
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq5362
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq6002
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq6003
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq6004
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1143
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2423
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1144
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2424
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1145
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2009
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2425
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2681
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1146
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2010
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2426
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2682
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1147
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2427
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2683
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1148
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1308
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq2428
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1309
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1310
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1311
antigen32|Q5HFH6|BX571857.1|mhcii|seq1313	antigen32|Q5HFH6|BX571857.1|mhcii|seq1312
antigen32|Q5HFH6|BX571857.1|mhcii|seq1345	antigen32|Q5HFH6|BX571857.1|mhcii|seq1345
antigen32|Q5HFH6|BX571857.1|mhcii|seq1345	antigen32|Q5HFH6|BX571857.1|mhcii|seq4491
antigen32|Q5HFH6|BX571857.1|mhcii|seq1345	antigen32|Q5HFH6|BX571857.1|mhcii|seq4492
antigen32|Q5HFH6|BX571857.1|mhcii|seq1345	antigen32|Q5HFH6|BX571857.1|mhcii|seq1344
antigen32|Q5HFH6|BX571857.1|mhcii|seq1569	antigen32|Q5HFH6|BX571857.1|mhcii|seq1569
antigen32|Q5HFH6|BX571857.1|mhcii|seq1921	antigen32|Q5HFH6|BX571857.1|mhcii|seq1921
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1953
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1954
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1633
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1969
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1970
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1630
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1631
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1632
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1968
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1966
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1967
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1554
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1556
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1555
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1951
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq1952
antigen32|Q5HFH6|BX571857.1|mhcii|seq1953	antigen32|Q5HFH6|BX571857.1|mhcii|seq6080
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq2145
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1825
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1826
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1827
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1828
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1829
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1830
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4935
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4936
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4265
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4937
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1610
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4938
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq5546
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1611
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4939
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq5547
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1612
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4428
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4940
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1613
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4429
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1870
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq4430
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1871
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1872
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1873
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1874
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1875
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq565
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq566
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq567
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq56
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq568
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq57
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq569
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq58
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq570
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq59
antigen32|Q5HFH6|BX571857.1|mhcii|seq2145	antigen32|Q5HFH6|BX571857.1|mhcii|seq1083
