antigen165|P65407|CP002114.3|mhcii|seq1	antigen165|P65407|CP002114.3|mhcii|seq1
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq497
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq753
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq210
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq498
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq754
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq211
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq755
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq404
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq756
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq149
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq405
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq757
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq150
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq406
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq598
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq758
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq151
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq407
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq599
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq408
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq600
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq409
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq601
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq90
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq378
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq602
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq91
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq603
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq92
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq316
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq93
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq317
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq94
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq318
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq319
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq320
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq513
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq33
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq481
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq34
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq482
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq131
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq483
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq132
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq133
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq134
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq135
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq136
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq588
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq176
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq177
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq178
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq179
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq275
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq180
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq276
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq181
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq661
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq662
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq694
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq663
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq695
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq568
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq664
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq696
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq569
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq665
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq697
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq570
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq666
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq698
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq571
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq508
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq540
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq572
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq509
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq541
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq573
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq478
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq510
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq542
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq479
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq511
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq543
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq32
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq480
antigen165|P65407|CP002114.3|mhcii|seq513	antigen165|P65407|CP002114.3|mhcii|seq512
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq98
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq624
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq97
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq623
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq101
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq627
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq99
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq625
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq100
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq626
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq102
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq628
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq456
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq425
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq457
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq426
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq458
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq720
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq42
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq721
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq43
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq440
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq217
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq441
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq218
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq442
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq219
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq454
antigen165|P65407|CP002114.3|mhcii|seq98	antigen165|P65407|CP002114.3|mhcii|seq455
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq226
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq225
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq289
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq449
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq290
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq450
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq291
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq451
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq452
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq453
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq106
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq107
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq108
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq109
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq46
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq110
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq15
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq47
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq111
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq335
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq463
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq48
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq336
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq464
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq49
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq433
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq465
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq434
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq466
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq435
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq467
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq436
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq468
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq724
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq437
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq725
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq438
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq726
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq631
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq727
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq632
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq728
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq633
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq634
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq635
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq636
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq221
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq222
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq223
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq224
antigen165|P65407|CP002114.3|mhcii|seq226	antigen165|P65407|CP002114.3|mhcii|seq448
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq546
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq545
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq744
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq746
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq65
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq66
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq547
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq548
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq745
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq747
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq396
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq397
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq395
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq594
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq201
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq591
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq592
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq593
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq595
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq596
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq597
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq311
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq308
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq309
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq310
antigen165|P65407|CP002114.3|mhcii|seq546	antigen165|P65407|CP002114.3|mhcii|seq544
antigen165|P65407|CP002114.3|mhcii|seq35	antigen165|P65407|CP002114.3|mhcii|seq35
antigen165|P65407|CP002114.3|mhcii|seq323	antigen165|P65407|CP002114.3|mhcii|seq323
antigen165|P65407|CP002114.3|mhcii|seq323	antigen165|P65407|CP002114.3|mhcii|seq3
antigen165|P65407|CP002114.3|mhcii|seq323	antigen165|P65407|CP002114.3|mhcii|seq322
antigen165|P65407|CP002114.3|mhcii|seq323	antigen165|P65407|CP002114.3|mhcii|seq277
antigen165|P65407|CP002114.3|mhcii|seq323	antigen165|P65407|CP002114.3|mhcii|seq250
antigen165|P65407|CP002114.3|mhcii|seq323	antigen165|P65407|CP002114.3|mhcii|seq641
antigen165|P65407|CP002114.3|mhcii|seq611	antigen165|P65407|CP002114.3|mhcii|seq611
antigen165|P65407|CP002114.3|mhcii|seq611	antigen165|P65407|CP002114.3|mhcii|seq610
antigen165|P65407|CP002114.3|mhcii|seq611	antigen165|P65407|CP002114.3|mhcii|seq413
antigen165|P65407|CP002114.3|mhcii|seq675	antigen165|P65407|CP002114.3|mhcii|seq675
antigen165|P65407|CP002114.3|mhcii|seq675	antigen165|P65407|CP002114.3|mhcii|seq683
antigen165|P65407|CP002114.3|mhcii|seq675	antigen165|P65407|CP002114.3|mhcii|seq765
antigen165|P65407|CP002114.3|mhcii|seq228	antigen165|P65407|CP002114.3|mhcii|seq228
antigen165|P65407|CP002114.3|mhcii|seq228	antigen165|P65407|CP002114.3|mhcii|seq227
antigen165|P65407|CP002114.3|mhcii|seq228	antigen165|P65407|CP002114.3|mhcii|seq229
antigen165|P65407|CP002114.3|mhcii|seq228	antigen165|P65407|CP002114.3|mhcii|seq16
antigen165|P65407|CP002114.3|mhcii|seq484	antigen165|P65407|CP002114.3|mhcii|seq484
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq516
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq517
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq341
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq353
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq354
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq356
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq355
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq357
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq612
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq613
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq521
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq520
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq522
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq338
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq339
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq340
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq342
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq343
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq344
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq414
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq416
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq417
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq415
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq351
antigen165|P65407|CP002114.3|mhcii|seq516	antigen165|P65407|CP002114.3|mhcii|seq352
antigen165|P65407|CP002114.3|mhcii|seq676	antigen165|P65407|CP002114.3|mhcii|seq676
antigen165|P65407|CP002114.3|mhcii|seq676	antigen165|P65407|CP002114.3|mhcii|seq668
antigen165|P65407|CP002114.3|mhcii|seq676	antigen165|P65407|CP002114.3|mhcii|seq677
antigen165|P65407|CP002114.3|mhcii|seq676	antigen165|P65407|CP002114.3|mhcii|seq669
antigen165|P65407|CP002114.3|mhcii|seq676	antigen165|P65407|CP002114.3|mhcii|seq678
antigen165|P65407|CP002114.3|mhcii|seq676	antigen165|P65407|CP002114.3|mhcii|seq670
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq166
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq161
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq162
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq163
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq164
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq740
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq165
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq741
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq742
antigen165|P65407|CP002114.3|mhcii|seq166	antigen165|P65407|CP002114.3|mhcii|seq391
