antigen95|Q7A7B2|BX571857.1|mhcii|seq2851	antigen95|Q7A7B2|BX571857.1|mhcii|seq2851
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq2097
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq2098
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq2099
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq2582
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq2583
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq2584
antigen95|Q7A7B2|BX571857.1|mhcii|seq452	antigen95|Q7A7B2|BX571857.1|mhcii|seq452
antigen95|Q7A7B2|BX571857.1|mhcii|seq452	antigen95|Q7A7B2|BX571857.1|mhcii|seq2852
antigen95|Q7A7B2|BX571857.1|mhcii|seq932	antigen95|Q7A7B2|BX571857.1|mhcii|seq932
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1156
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1153
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3041
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3297
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq258
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1154
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3042
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3298
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq259
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1155
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3043
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3299
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq260
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1316
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3044
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3300
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq261
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1317
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3045
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq262
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1318
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq263
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1319
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1320
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2120
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1321
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2121
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2505
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq778
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2122
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2506
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq779
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2123
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq780
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2124
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq781
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2125
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2639
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2640
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq2641
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1106
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1107
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1108
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1109
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1110
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1111
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3225
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1151
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq1152
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3040
antigen95|Q7A7B2|BX571857.1|mhcii|seq1156	antigen95|Q7A7B2|BX571857.1|mhcii|seq3296
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1476
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1473
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1474
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1475
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1955
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1956
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1957
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1286
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1958
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1287
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1639
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1959
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1288
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1640
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1960
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1289
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1641
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1290
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1642
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq971
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1291
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1579
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1643
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq972
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1580
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1644
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq973
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1581
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq974
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1582
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq975
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1583
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq976
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1584
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1471
antigen95|Q7A7B2|BX571857.1|mhcii|seq1476	antigen95|Q7A7B2|BX571857.1|mhcii|seq1472
antigen95|Q7A7B2|BX571857.1|mhcii|seq2372	antigen95|Q7A7B2|BX571857.1|mhcii|seq2372
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq2404
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq2402
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq2403
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq343
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq1723
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq444
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq1724
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq445
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq1725
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq446
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq447
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq1722
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq1721
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq443
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq32
antigen95|Q7A7B2|BX571857.1|mhcii|seq2404	antigen95|Q7A7B2|BX571857.1|mhcii|seq31
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2596
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2593
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2594
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq1091
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2595
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq1092
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2436
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq581
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq1093
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2437
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq582
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq1094
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2438
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq583
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq1095
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2439
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq584
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq1096
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2440
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq425
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq585
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2441
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq426
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq586
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq427
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3372
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3373
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3374
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq495
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3375
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq496
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3280
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3281
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3282
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3283
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3284
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq3285
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq153
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq154
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2106
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2170
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq155
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2107
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq156
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2108
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq157
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2109
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq158
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2110
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2591
antigen95|Q7A7B2|BX571857.1|mhcii|seq2596	antigen95|Q7A7B2|BX571857.1|mhcii|seq2592
antigen95|Q7A7B2|BX571857.1|mhcii|seq782	antigen95|Q7A7B2|BX571857.1|mhcii|seq782
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq814
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq812
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq813
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq815
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq816
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq902
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq903
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq264
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq904
antigen95|Q7A7B2|BX571857.1|mhcii|seq814	antigen95|Q7A7B2|BX571857.1|mhcii|seq265
