antigen121|Q99U50|CP000253.1|mhcii|seq1	antigen121|Q99U50|CP000253.1|mhcii|seq1
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq3342
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2575
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq3343
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2576
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq3344
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2577
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq3345
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2578
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2131
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2579
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2739
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2132
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2740
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2133
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2741
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1718
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2134
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2742
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1719
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2135
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2743
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1720
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2136
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2744
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2969
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1786
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1787
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq924
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1788
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq925
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1789
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq926
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1790
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq927
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1791
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq928
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1025
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3262
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1026
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3263
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq872
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1448
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3547
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq873
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1449
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3548
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq874
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1450
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3549
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq875
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1451
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1899
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1900
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1901
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3858
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3859
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1022
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3259
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1023
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3260
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq1024
antigen121|Q99U50|CP000253.1|mhcii|seq1025	antigen121|Q99U50|CP000253.1|mhcii|seq3261
antigen121|Q99U50|CP000253.1|mhcii|seq1185	antigen121|Q99U50|CP000253.1|mhcii|seq1185
antigen121|Q99U50|CP000253.1|mhcii|seq1185	antigen121|Q99U50|CP000253.1|mhcii|seq3287
antigen121|Q99U50|CP000253.1|mhcii|seq1185	antigen121|Q99U50|CP000253.1|mhcii|seq1186
antigen121|Q99U50|CP000253.1|mhcii|seq1185	antigen121|Q99U50|CP000253.1|mhcii|seq3288
antigen121|Q99U50|CP000253.1|mhcii|seq1473	antigen121|Q99U50|CP000253.1|mhcii|seq1473
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1697
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1698
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1699
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1828
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1829
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2853
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1830
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2854
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2855
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2856
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq143
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1401
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq3193
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1402
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq3194
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1403
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq3195
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1404
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2748
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq3196
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1405
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2749
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq3197
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1406
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1694
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2750
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1695
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2751
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq1696
antigen121|Q99U50|CP000253.1|mhcii|seq1697	antigen121|Q99U50|CP000253.1|mhcii|seq2752
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1761
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq129
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq130
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq131
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq132
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq133
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq134
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq595
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq596
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2996
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3700
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq597
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2997
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3701
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq598
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2998
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3702
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq599
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2295
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2999
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3703
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1816
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2296
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3000
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3704
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1817
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2297
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3001
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq3705
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq282
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1818
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2298
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq283
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1819
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2299
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq284
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1756
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1820
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2300
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2876
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1757
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1821
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2877
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1758
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2878
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq703
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1759
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq2879
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq704
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1184
antigen121|Q99U50|CP000253.1|mhcii|seq1761	antigen121|Q99U50|CP000253.1|mhcii|seq1760
antigen121|Q99U50|CP000253.1|mhcii|seq2017	antigen121|Q99U50|CP000253.1|mhcii|seq2017
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2049
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2050
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2051
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq3361
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2443
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq242
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2444
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq243
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2447
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq246
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2445
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq244
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2446
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq245
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2448
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq247
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2449
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq248
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2450
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2047
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq960
antigen121|Q99U50|CP000253.1|mhcii|seq2049	antigen121|Q99U50|CP000253.1|mhcii|seq2048
antigen121|Q99U50|CP000253.1|mhcii|seq2241	antigen121|Q99U50|CP000253.1|mhcii|seq2241
antigen121|Q99U50|CP000253.1|mhcii|seq2241	antigen121|Q99U50|CP000253.1|mhcii|seq2242
antigen121|Q99U50|CP000253.1|mhcii|seq2241	antigen121|Q99U50|CP000253.1|mhcii|seq3055
antigen121|Q99U50|CP000253.1|mhcii|seq2241	antigen121|Q99U50|CP000253.1|mhcii|seq3054
antigen121|Q99U50|CP000253.1|mhcii|seq2625	antigen121|Q99U50|CP000253.1|mhcii|seq2625
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq2849
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq1122
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq1123
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq324
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq1124
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq325
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq326
antigen121|Q99U50|CP000253.1|mhcii|seq2849	antigen121|Q99U50|CP000253.1|mhcii|seq327
