antigen111|A5ISH9|CP000253.1|mhcii|seq1	antigen111|A5ISH9|CP000253.1|mhcii|seq1
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq1798
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2406
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq1799
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2407
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq7015
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq7016
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq41
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2057
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq7017
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq42
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2058
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq7018
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq43
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2059
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq7019
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq44
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2060
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq7020
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq45
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2061
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2062
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2195
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2196
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq5364
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2197
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq5365
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq5366
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq1559
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq5367
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq700
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq701
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq702
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq703
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq3775
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq704
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq3776
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq929
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq897
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq898
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq899
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6179
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6180
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1510
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6790
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1511
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6791
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6823
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq360
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1512
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6792
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6824
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1513
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6025
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6505
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6793
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6825
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1514
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6026
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6506
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6794
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6027
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6507
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6795
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6028
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6508
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq3917
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6029
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6509
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq3918
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq6510
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq3919
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq3920
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq3921
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq3922
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1046
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1047
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1048
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq1049
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq924
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq925
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq894
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq926
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq895
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq927
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq896
antigen111|A5ISH9|CP000253.1|mhcii|seq929	antigen111|A5ISH9|CP000253.1|mhcii|seq928
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq1409
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq5737
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq5738
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq5739
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6763
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6764
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6765
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq4398
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq4399
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6415
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq4400
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6416
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq4401
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6417
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq3506
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq4402
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq5970
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6418
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq6419
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq789
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq2677
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq790
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq2678
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq2679
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq2680
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq4026
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq4027
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq252
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq1404
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq253
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq1405
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq254
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq1406
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq255
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq1407
antigen111|A5ISH9|CP000253.1|mhcii|seq1409	antigen111|A5ISH9|CP000253.1|mhcii|seq1408
antigen111|A5ISH9|CP000253.1|mhcii|seq1665	antigen111|A5ISH9|CP000253.1|mhcii|seq1665
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq1889
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4897
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4898
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4899
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4900
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4901
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3590
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4902
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3591
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3592
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3593
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq2602
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3594
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq7050
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq2603
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3595
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq2604
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq2605
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq6445
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq2606
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq6446
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq2607
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq6447
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq6448
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3665
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq6449
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3666
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq6450
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3667
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3668
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4116
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3669
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq4117
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq3670
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5783
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5784
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq313
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5785
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq314
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5274
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5786
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq315
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5275
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5787
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq1884
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5276
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq1885
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq5277
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq1886
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq1887
antigen111|A5ISH9|CP000253.1|mhcii|seq1889	antigen111|A5ISH9|CP000253.1|mhcii|seq1888
antigen111|A5ISH9|CP000253.1|mhcii|seq2017	antigen111|A5ISH9|CP000253.1|mhcii|seq2017
antigen111|A5ISH9|CP000253.1|mhcii|seq2017	antigen111|A5ISH9|CP000253.1|mhcii|seq1089
antigen111|A5ISH9|CP000253.1|mhcii|seq2017	antigen111|A5ISH9|CP000253.1|mhcii|seq834
