antigen150|O50581|HE681097.1|mhcii|seq1	antigen150|O50581|HE681097.1|mhcii|seq1
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1870
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1039
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1871
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1040
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1872
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1873
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1426
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1874
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1427
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1875
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1428
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1780
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1429
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1781
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1430
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1782
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1431
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1559
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1783
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1560
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1784
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1561
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1785
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1562
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1563
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq764
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1564
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq381
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq765
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq382
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq766
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq383
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq767
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq384
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq768
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq98
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq9
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq97
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq8
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq449
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq834
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq99
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq10
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq835
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq836
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq837
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq230
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq838
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq231
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq232
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq233
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq54
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq446
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq95
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq6
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq447
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq96
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq7
antigen150|O50581|HE681097.1|mhcii|seq98	antigen150|O50581|HE681097.1|mhcii|seq448
antigen150|O50581|HE681097.1|mhcii|seq418	antigen150|O50581|HE681097.1|mhcii|seq418
antigen150|O50581|HE681097.1|mhcii|seq418	antigen150|O50581|HE681097.1|mhcii|seq417
antigen150|O50581|HE681097.1|mhcii|seq418	antigen150|O50581|HE681097.1|mhcii|seq1981
antigen150|O50581|HE681097.1|mhcii|seq418	antigen150|O50581|HE681097.1|mhcii|seq1982
antigen150|O50581|HE681097.1|mhcii|seq418	antigen150|O50581|HE681097.1|mhcii|seq420
antigen150|O50581|HE681097.1|mhcii|seq418	antigen150|O50581|HE681097.1|mhcii|seq1644
antigen150|O50581|HE681097.1|mhcii|seq418	antigen150|O50581|HE681097.1|mhcii|seq1983
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq482
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq481
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq705
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq929
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq2081
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq706
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq930
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq2082
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq707
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq931
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq2083
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq932
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq2084
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq2085
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1290
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1291
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1292
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1293
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq206
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1294
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq207
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1295
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq208
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq209
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1945
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq26
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1946
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq27
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq827
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1947
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq28
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq828
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1948
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq29
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq477
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq829
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1949
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq30
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq478
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq702
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq1950
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq479
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq703
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq927
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq480
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq704
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq928
antigen150|O50581|HE681097.1|mhcii|seq482	antigen150|O50581|HE681097.1|mhcii|seq2080
antigen150|O50581|HE681097.1|mhcii|seq738	antigen150|O50581|HE681097.1|mhcii|seq738
antigen150|O50581|HE681097.1|mhcii|seq738	antigen150|O50581|HE681097.1|mhcii|seq739
antigen150|O50581|HE681097.1|mhcii|seq738	antigen150|O50581|HE681097.1|mhcii|seq740
antigen150|O50581|HE681097.1|mhcii|seq770	antigen150|O50581|HE681097.1|mhcii|seq770
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq962
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq961
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq642
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq643
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq644
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq645
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq646
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq647
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1708
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1709
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq174
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1006
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1710
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq175
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1007
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq176
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1008
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq177
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1009
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq178
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1010
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq179
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq852
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq853
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq854
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq855
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1335
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq856
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1336
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq857
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1337
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1338
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq411
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1339
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq412
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq1340
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq413
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq509
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq957
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq414
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq510
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq958
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq415
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq511
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq959
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq416
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq512
antigen150|O50581|HE681097.1|mhcii|seq962	antigen150|O50581|HE681097.1|mhcii|seq960
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1026
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq122
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq123
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq65
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq64
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1029
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1027
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1028
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1030
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1082
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1626
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1083
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1627
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq124
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1084
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq120
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1080
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq1081
antigen150|O50581|HE681097.1|mhcii|seq1026	antigen150|O50581|HE681097.1|mhcii|seq121
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1154
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1153
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq2020
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq2021
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq2022
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq2023
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1992
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq2024
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1993
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq2025
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1994
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1995
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1900
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq429
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq717
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq1901
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq430
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq718
antigen150|O50581|HE681097.1|mhcii|seq1154	antigen150|O50581|HE681097.1|mhcii|seq942
