antigen198|Q9ZEH3|CP002114.3|mhcii|seq1	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5468
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6492
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq637
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3549
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5469
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6493
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq638
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5470
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6494
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq639
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5471
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6495
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq640
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq993
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3617
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq994
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3618
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq995
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3239
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3240
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3241
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3242
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3243
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4972
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4973
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4974
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4975
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq274
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4145
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7488
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq275
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7489
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4146
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq276
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7490
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4147
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq277
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7491
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4148
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq278
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7492
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4149
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq279
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7493
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4150
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq990
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq991
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq992
antigen198|Q9ZEH3|CP002114.3|mhcii|seq993	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3616
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6145
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6146
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6147
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6148
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6149
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5318
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6150
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5319
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8170
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8171
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8172
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8173
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq593
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq594
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4946
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq595
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2899
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4947
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq596
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2900
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4948
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2901
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4949
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2902
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4950
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2903
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4951
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2904
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6585
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3290
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3291
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7195
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1308
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3292
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7196
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1309
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3293
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7197
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1310
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3294
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4126
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7198
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1311
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4127
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7199
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1312
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1313	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4128
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1377	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1377
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1409	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1409
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1409	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6888
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1409	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7262
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1409	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7263
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1409	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1408
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5697
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5698
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5699
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2020
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5700
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7364
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2021
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4005
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7365
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2022
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4006
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5126
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4007
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5127
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2152
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq4008
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5128
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5800
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2153
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5129
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5801
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2154
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5130
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5802
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2155
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5131
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5803
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2156
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5804
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2157
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5805
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8276
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8277
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8278
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8279
antigen198|Q9ZEH3|CP002114.3|mhcii|seq1601	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2232
