antigen76|Q5HGQ3|BA000018.3|mhcii|seq1346	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1346
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq207
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq687
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1135
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1359
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq208
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1136
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1360
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1520
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1137
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1521
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1522
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq627
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1523
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1524
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1525
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1622
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1623
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1624
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1625
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1626
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq862
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq863
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq864
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1123	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1123
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq26
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq833
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1473
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq24
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1505
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq802
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq834
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1474
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq25
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq835
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1476
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq27
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1477
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq28
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1158
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1478
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq29
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq807
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1159
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1479
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq30
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1160
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq457
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1161
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq458
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1162
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq459
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1163
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq460
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq461
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq462
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq463
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq879
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1639
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq880
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1640
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq882
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq84
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq85
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq86
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq87
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq89
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq828
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq829
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1501
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq830
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1502
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq831
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1471
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq22
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1503
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq832
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1472
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq23
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1504
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq804
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq805
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq806
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq877
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1637
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq878
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1638
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq881
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1641
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq83
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq88
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1475	antigen76|Q5HGQ3|BA000018.3|mhcii|seq90
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1762
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq585
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq583
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq584
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1751
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1692
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1763	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1582
